chemblID,smiles,ALogP,LogD
CHEMBL2377694,C[C@H](O)[C@H](NC(=O)c1ccc(C#Cc2ccccc2)cc1)C(=O)NO,1.07,1.75
CHEMBL2377568,NC(=O)C[C@H](NC(=O)c1ccc(C#Cc2ccccc2)cc1)C(=O)NO,0.57,0.94
CHEMBL1836401,COc1cccc(C#Cc2ccc(S(N)(=O)=O)cc2)c1,1.74,2.54
CHEMBL3690673,CCOc1ccc(C#Cc2ccc(C(C)NC(=O)C(C)OCC(F)(F)F)cc2)cc1,4.63,5.00
CHEMBL1917806,CCCC(Oc1ccc(Cl)cc1C#Cc1cc(S(=O)(=O)CCC)ccc1C)C(=O)O,4.86,2.48
CHEMBL373548,Nc1ccc(C#Cc2ccc(O)cc2)cc1,2.37,2.96
CHEMBL3690659,CCOc1ccc(C#Cc2ccc(CC(C)NC(=O)CF)cc2)cc1,3.50,4.02
CHEMBL3690716,CCOc1ccc(C#Cc2ccc(CC(C)NC(=O)N(C)CC)cc2)cc1,4.08,4.41
CHEMBL2315254,CS(=O)(=O)CCCCOc1cccc(C#Cc2ccc(CCC(=O)O)cc2)c1,3.31,0.05
CHEMBL2315553,COc1cccc(C#Cc2ccc(CCC(=O)O)cc2)c1,3.11,0.79
CHEMBL150349,CS(=O)(=O)Nc1cc(C(F)(F)P(=O)(O)O)ccc1C#Cc1ccccc1,2.68,-0.90
CHEMBL3686175,CC(=O)NC(C)Cc1ccc(C#Cc2cccc(OC(C)C)c2)cc1,3.94,4.36
CHEMBL272763,COc1ccc(C#Cc2ccc(N(C[C@H](O)C(=O)NO)S(C)(=O)=O)cc2)cc1,0.73,0.70
CHEMBL1917595,CC(C)S(=O)(=O)c1ccc(Cl)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,4.04,1.04
CHEMBL1917602,CCNS(=O)(=O)c1ccc(C)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,2.81,0.22
CHEMBL3686224,CC(=O)NC(C)c1ccc(C#Cc2ccc(OC(C)(C)C)cc2)cc1,4.46,4.35
CHEMBL3690788,CC(=O)NC(C)Cc1ccc(C#Cc2ccc(OCC(F)F)cc2)cc1,3.80,4.05
CHEMBL2377703,CS(=O)(=O)C[C@H](NC(=O)c1ccc(C#Cc2ccccc2)cc1)C(=O)NO,0.73,0.71
CHEMBL3690638,CCOc1ccc(C#Cc2ccc(CC(C)NC(=O)CN(C)C)cc2)cc1,3.09,3.48
CHEMBL486145,Cc1ccccc1C#Cc1ccc(OCC(=O)O)cc1,2.86,0.46
CHEMBL3690709,CCOc1ccc(C#Cc2ccc(CC(C)NS(C)(=O)=O)cc2)cc1,2.97,3.44
CHEMBL227577,CNc1ccc(C#Cc2ccc(OCCOCCO)cc2)cc1,2.52,2.67
CHEMBL2315547,O=C(O)CCc1ccc(C#Cc2ccccc2Cl)cc1,3.76,1.53
CHEMBL413436,CN(C)c1ccc(C#Cc2ccc(OCCOCCOCCO)cc2)cc1,2.56,3.26
CHEMBL427275,COc1cccc(C#Cc2ccccc2C#CCCCCO)c1,3.61,4.82
CHEMBL267011,OCCCCC#Cc1ccccc1C#Cc1cccc(C(F)(F)F)c1,4.62,5.86
CHEMBL225863,OCC#Cc1ccccc1C#Cc1ccccc1,2.43,3.80
CHEMBL3690800,CCC(COC)Oc1ccc(C#Cc2ccc(CC(C)NC(C)=O)cc2)cc1,3.96,4.48
CHEMBL1834963,O=C(O)c1cccc(C#Cc2ccccc2)c1,2.78,0.56
CHEMBL1917402,COCc1ccc(C#Cc2cc(Cl)ccc2OCC(=O)O)c(F)c1,3.49,0.55
CHEMBL1917802,CCCS(=O)(=O)c1ccc(F)c(C#Cc2cc(Cl)ccc2OC(C)C(=O)O)c1,3.91,1.11
CHEMBL3690657,CCOc1ccc(C#Cc2ccc(CC(C)NC(=O)CNC)cc2)cc1,2.75,2.04
CHEMBL226363,OCCCCC#Cc1ccccc1C#Cc1ccc(O)cc1,3.31,4.67
CHEMBL3690677,CCOc1ccc(C#Cc2ccc(CC(C)NC(=O)[C@H](C)OC)cc2)cc1,3.57,4.34
CHEMBL223309,C(#Cc1ccccc1)c1ccccc1,3.09,4.09
CHEMBL3690758,CC(=O)NC(C)Cc1ccc(C#Cc2ccc(C(=O)N(C)C)cc2)cc1,2.86,3.04
CHEMBL3698537,CCCOc1ccc(C#Cc2ccc([C@H](C)NC(C)=O)cc2)cc1,4.07,4.18
CHEMBL3698619,CCCOc1ccc(C#Cc2ccc(CC(C)(C)NC(C)=O)cc2)cc1,4.33,4.75
CHEMBL2377701,NC[C@H](NC(=O)c1ccc(C#Cc2ccccc2)cc1)C(=O)NO,0.65,0.70
CHEMBL1917613,Cc1ccc(S(=O)(=O)N(C)CCN(C)C)cc1C#Cc1cc(Cl)ccc1OCC(=O)O,2.69,0.69
CHEMBL1917612,Cc1ccc(S(=O)(=O)N(C)CCCN(C)C)cc1C#Cc1cc(Cl)ccc1OCC(=O)O,3.08,0.93
CHEMBL3686159,CC(=O)NC(C)Cc1ccc(C#Cc2ccc(C(=O)NCC(F)(F)F)cc2)cc1,3.45,3.77
CHEMBL1917797,CC(C)c1ccc(S(C)(=O)=O)cc1C#Cc1cc(C#N)ccc1OCC(=O)O,2.95,-0.17
CHEMBL2386354,N#CCc1cccc(C#Cc2ccc(CCC(=O)O)c(F)c2)c1,3.31,0.65
CHEMBL3686254,CC(=O)NC(C)Cc1ccc(C#Cc2ccc(OC(C)(C)C)cc2)cc1,4.33,4.64
CHEMBL1917388,O=C(O)COc1ccc(Cl)cc1C#Cc1ccccc1,3.20,0.55
CHEMBL3690675,CCOc1ccc(C#Cc2ccc(C(C)NC(=O)CO)cc2)cc1,2.65,2.84
CHEMBL3690713,CCOc1ccc(C#Cc2ccc(C(C)NC(=O)NCC(=O)O)cc2)cc1,2.93,-0.22
CHEMBL3690619,COc1ccc(Cl)c(C#Cc2ccc(CC(C)NC(C)=O)cc2)c1,3.82,4.19
CHEMBL272984,CS(=O)(=O)N(C[C@H](O)C(=O)NO)c1ccc(C#Cc2ccc(Cl)cc2)cc1,1.37,1.46
CHEMBL1917794,N#Cc1ccc(OCC(=O)O)c(C#Cc2ccccc2Cl)c1,3.07,0.36
CHEMBL3690696,CCOc1ccc(C#Cc2ccc(CC(C)NC(=O)CCNC(C)=O)cc2)cc1,3.06,3.08
CHEMBL3686169,CCc1ccc(C#Cc2ccc(CC(C)NC(C)=O)cc2)cc1,3.72,4.70
CHEMBL3695060,CC(=O)NC(C)CCc1ccc(C#Cc2ccc(OC(C)C)cc2)cc1,4.33,4.80
CHEMBL3690652,CCOc1ccc(C#Cc2ccc(CC(C)NC(=O)C(=O)CC)cc2)cc1,3.51,4.93
CHEMBL1836408,NS(=O)(=O)c1ccccc1C#Cc1ccccc1,1.73,2.70
CHEMBL1917792,O=C(O)COc1ccc(C(F)(F)F)cc1C#Cc1ccccc1Cl,4.22,1.43
CHEMBL1917615,CN(C)C(=O)c1ccc(C#Cc2cc(Cl)ccc2OCC(=O)O)cc1,2.91,-0.17
CHEMBL223285,COc1ccc(C#Cc2ccc(N)cc2)cc1,2.68,3.11
CHEMBL485713,Cc1cccc(C#Cc2ccc(OCC(=O)O)cc2)c1,2.86,0.46
CHEMBL487365,O=C(O)CCc1ccc(C#Cc2cccc(C(F)(F)F)c2)cc1,4.12,1.83
CHEMBL389671,CN(C)c1ccc(C#Cc2ccc(OCCOCCO)cc2)cc1,2.54,3.31
CHEMBL2377570,COCCNC(=O)C[C@H](NC(=O)c1ccc(C#Cc2ccccc2)cc1)C(=O)NO,0.84,1.11
CHEMBL3690623,COc1ccc(C#Cc2ccc(CC(C)NC(C)=O)cc2)c(C#N)c1,3.03,3.44
CHEMBL3686197,CC(=O)NC(C)Cc1ccc(C#Cc2ccc(OCC(C)C)cc2)cc1,4.19,4.83
CHEMBL3698573,CCOc1ccc(C#Cc2ccc(CCNC(C)=O)cc2)cc1,3.16,3.53
CHEMBL3125474,CCCN(C(=O)N[C@@H](CSCC(C)C)C(=O)O)C(=O)c1cccc(C#Cc2ccccc2F)c1,4.63,2.37
CHEMBL3309930,CN(C)c1ccc(C#Cc2cccc(F)c2)cc1,3.29,4.34
CHEMBL3690634,CCOc1ccc(C#Cc2ccc(CC(C)NC(=O)COC)cc2)cc1,3.18,3.77
CHEMBL1917594,CCCS(=O)(=O)c1ccc(Cl)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,4.04,1.00
