chemblID,smiles,ALogP,LogD
CHEMBL3990570,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(C(F)(F)F)cc2)cc1,6.38,4.86
CHEMBL3991163,COc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(OCCN(C)C)cc2)cc1,5.37,3.82
CHEMBL1229023,CC/C(=C(\c1ccccc1)c1ccc(OCC[N+](C)(C)C)cc1)c1ccccc1,6.14,2.19
CHEMBL292185,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccc(O)c(OC)c2)c2ccccc2)cc1,6.28,4.13
CHEMBL3990472,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(Br)cc2)cc1,6.12,4.75
CHEMBL3990473,Cc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(OCCN(C)C)cc2)cc1,5.67,4.49
CHEMBL3990700,CN(C)CCOc1ccc(C(=C(C#N)c2ccccc2)c2ccccc2)cc1,5.11,3.95
CHEMBL1229028,CCC[N+](C)(C)CCOc1ccc(/C(=C(/CC)c2ccccc2)c2ccccc2)cc1,6.92,3.07
CHEMBL170602,COc1ccc(C(=C(c2ccccc2)c2ccccc2)C(F)(F)F)cc1,6.22,6.25
CHEMBL3990520,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccccc2)cc1,5.36,3.98
CHEMBL2107548,CCc1ccc(/C(=C(\Br)c2ccccc2)c2ccccc2)cc1,6.56,7.02
CHEMBL3824284,CC/C(=C(/c1ccc(NC(=O)C(C)C)cc1)c1ccc(OC)cc1)c1ccc(O)cc1,6.36,6.51
CHEMBL3990897,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(F)cc2F)cc1,5.64,4.27
CHEMBL38266,CCCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(O)cc1,5.56,5.98
CHEMBL1241754,COc1ccc(/C=C(/c2ccc(C)cc2)c2cc(OC)c(OC)c(OC)c2)cc1O,5.32,5.32
CHEMBL1949791,CCC(=C(c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,5.36,3.62
CHEMBL3978054,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(Br)cc2)cc1.Cl,6.12,4.75
CHEMBL11052,CCC(=C(c1ccccc1)c1ccccc1)c1ccc(OC(C)=O)cc1,5.98,6.10
CHEMBL66352,CCN(CC)CCOc1ccc(/C(=C(\C#N)c2ccccc2)c2ccc(O)cc2)cc1,5.60,4.01
CHEMBL3991341,CN(C)CCOc1ccc(/C(=C(/CCC(F)F)c2ccccc2)c2ccc(O)cc2)cc1,6.34,4.60
CHEMBL2105273,OCCNCCOc1ccc(/C(=C(\c2ccccc2)C(F)(F)F)c2ccccc2)cc1,5.17,3.61
CHEMBL3422034,NCCOc1ccc(/C(=C/c2ccccc2)c2ccc(O)cc2)cc1,4.32,2.72
CHEMBL267426,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCN(C)C)cc1)c1ccccc1,7.38,5.50
CHEMBL545665,CC/C(=C(\c1ccccc1)c1ccc(OCCN(CC)CC)cc1)c1ccccc1.Cl,6.78,5.16
