chemblID,smiles,ALogP,LogD
CHEMBL1986032,CCOC(=O)COc1cc(Br)c(/C=N/Nc2ccccc2)cc1OC,3.85,4.23
CHEMBL3303291,CCCOc1ccc(/C=N/Nc2ccc(C(=O)O)cc2)c(OCCC)c1,4.41,2.13
CHEMBL2008932,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc(Br)cc1,3.98,1.30
CHEMBL2008789,CN(C)CC/C(=N\Nc1ccc(Cl)cc1)c1ccccc1,4.11,2.85
CHEMBL2010392,CN(C)CC/C(=N\Nc1ccc(Cl)c(Cl)c1)c1ccccc1,4.76,3.45
CHEMBL69226,COc1ccc(N/N=C/c2ccc(O)c(O)c2)cc1,2.55,3.02
CHEMBL3197943,C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1cccc([N+](=O)[O-])c1,3.78,0.54
CHEMBL3198308,COc1cc(/C(C)=N/Nc2ccc(C(=O)O)cc2)cc(OC)c1OC,3.25,0.06
CHEMBL3191572,O=[N+]([O-])c1ccc(O)c(/C=N/Nc2ccccc2[N+](=O)[O-])c1,2.65,3.38
CHEMBL69572,O=[N+]([O-])c1ccc(/C=N/Nc2ccccc2)cc1,3.04,3.74
CHEMBL3190521,COc1cc(/C=N/Nc2ccc(S(N)(=O)=O)cc2)cc(OC)c1OC,1.81,1.93
CHEMBL3212947,C/C(=N\Nc1ccc(F)cc1F)c1ccc(F)cc1,3.94,4.07
CHEMBL599409,CCN(CC)c1ccc(/C=N\Nc2ccc(Cl)c(C(=O)O)c2)c(O)c1,4.04,1.30
CHEMBL3304448,COc1ccc(OC)c(/C(C)=N/Nc2ccc(C(=O)O)cc2)c1,3.24,0.22
CHEMBL2361805,CN(C)c1ccc(/C=N\Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1Br,3.78,5.19
CHEMBL3196921,C/C(=N\Nc1ccccc1[N+](=O)[O-])c1ccccc1O,3.14,3.91
CHEMBL3306747,COc1cccc(/C=N/Nc2ccc(S(=O)(=O)O)cc2)c1O,2.09,0.14
CHEMBL150353,Cc1ccccc1N/N=C(\Cl)c1ccccc1,4.01,4.79
CHEMBL3302777,O=C(O)c1ccc(N/N=C/c2ccc(C(F)(F)F)cc2)cc1,3.85,1.57
CHEMBL422660,Cl/C(=N\Nc1ccccc1)c1ccccc1,3.70,4.28
CHEMBL2164291,NS(=O)(=O)c1ccc(N/N=C/c2ccccc2O)c([N+](=O)[O-])c1,1.39,2.67
CHEMBL3192204,CCCOc1ccc(/C=N/Nc2ccc(C(=O)O)cc2)c(OCCC)c1.O=S(=O)(O)O,4.41,2.13
CHEMBL3302423,COc1ccc(/C(C)=N/Nc2ccc(C(=O)O)cc2)c(OC)c1,3.24,0.22
CHEMBL3331034,O=[N+]([O-])c1cc(/C=N/Nc2ccccc2)c(O)c([N+](=O)[O-])c1,2.65,1.47
CHEMBL3196853,O=[N+]([O-])c1ccccc1N/N=C\c1ccccc1Cl,3.69,4.99
CHEMBL3191488,O=[N+]([O-])c1ccc(O)c(/C=N/Nc2ccccc2Cl)c1,3.40,3.04
CHEMBL3210227,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1ccc(C#N)cc1,3.30,3.44
CHEMBL3330842,Oc1c(Br)cc(Br)cc1/C=N/Nc1ccccc1,4.36,4.49
CHEMBL3191775,NS(=O)(=O)c1ccc(N/N=C/c2ccccc2Br)cc1,2.54,3.18
CHEMBL3213153,COc1cc(/C=N/Nc2cccc(C)c2)cc(Br)c1O,3.92,4.57
CHEMBL2005032,CN(C)CC(C)(C)/C(=N\Nc1ccccc1)c1ccccc1.Cl,4.09,2.85
CHEMBL1996429,CCN(CC)S(=O)(=O)c1ccc(N/N=C/c2ccccc2OCC(=O)O)c([N+](=O)[O-])c1,2.53,0.00
CHEMBL2003564,CSc1ccc(/C=N/Nc2cccc(C(=O)O)c2)cc1,3.55,1.46
CHEMBL3196130,O=[N+]([O-])c1cccc(N/N=C/c2cc([N+](=O)[O-])ccc2O)c1,2.65,2.62
CHEMBL307304,O=[N+]([O-])c1cccc(/C=N/Nc2ccccc2)c1,3.04,3.74
CHEMBL3193178,COc1cccc(N/N=C/c2cccc(Br)c2O)c1,3.61,3.82
CHEMBL3210136,C/C(=N\Nc1ccc(F)cc1F)c1ccccc1O,3.51,3.61
CHEMBL1254016,CN(C)c1ccc(/C=N/Nc2ccc(S(=O)(=O)O)cc2)cc1,2.45,0.98
CHEMBL3331020,O=[N+]([O-])c1ccc(N/N=C/c2cc([N+](=O)[O-])ccc2O)cc1,2.65,2.37
CHEMBL150401,Cl/C(=N\Nc1ccccc1)c1ccc(Br)cc1,4.46,5.05
CHEMBL3193265,COc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])cc(OC)c1O,2.76,3.76
CHEMBL357352,CC(C)c1ccc(/C(Cl)=N/Nc2ccccc2)cc1,4.82,5.52
CHEMBL1981423,CN(C)CC/C(=N\Nc1ccc(Cl)cc1Cl)c1ccccc1.Cl,4.76,3.45
CHEMBL3210789,CCOc1cc(/C=N/Nc2ccccc2Cl)ccc1OCC(=O)O,3.65,0.50
CHEMBL3193476,CCN(CC)c1ccc(/C=N/Nc2cccc(C)c2)c(O)c1,3.99,4.71
CHEMBL224032,Oc1ccc(/C=N/Nc2ccccc2)cc1,2.84,3.48
CHEMBL3195435,COc1cccc(/C=N/Nc2ccc(S(=O)(=O)[O-])cc2)c1O.[K+],2.09,0.14
CHEMBL150694,O=[N+]([O-])c1ccc(/C(Cl)=N/Nc2ccccc2)c(Cl)c1,4.26,4.82
CHEMBL3360781,O=[N+]([O-])c1ccc(N/N=C/c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)cc1,2.56,1.41
CHEMBL3212821,Clc1ccc(/C=N\Nc2ccccc2)cc1,3.79,4.40
CHEMBL3331022,CC(C)(C)c1cccc(/C=N/Nc2ccc([N+](=O)[O-])cc2)c1O,4.04,4.98
CHEMBL69179,COc1ccc(/C=N/Nc2ccccc2)cc1O,2.85,3.33
CHEMBL151653,Cl/C(=N\Nc1ccccc1)c1cccc(Cl)c1,4.35,4.88
CHEMBL3192131,O=C(O)c1ccc(N/N=C/c2ccc(C(F)(F)F)cc2)cc1.O=S(=O)(O)O,3.85,1.57
CHEMBL3195282,NS(=O)(=O)c1ccc(N/N=C/c2ccc(C(=O)O)cc2)c([N+](=O)[O-])c1,1.39,-0.53
CHEMBL1967031,CCCOc1ccc(/C=N/Nc2ccccc2[N+](=O)[O-])c(O)c1,3.54,4.79
CHEMBL1731829,O=[N+]([O-])c1ccccc1C=NNc1ccccc1,3.04,3.74
CHEMBL3195483,O=[N+]([O-])c1cccc(N/N=C/c2cccc(O)c2O)c1,2.45,3.10
CHEMBL3331019,O=[N+]([O-])c1ccc(O)c(/C=N/Nc2ccccc2)c1,2.75,2.43
CHEMBL3331012,O=[N+]([O-])c1ccc(N/N=C/c2cc(Br)cc(Br)c2O)cc1,4.27,4.43
CHEMBL308189,O=[N+]([O-])c1ccc(N/N=C/c2ccc(O)cc2O)c([N+](=O)[O-])c1,2.36,3.70
CHEMBL443706,COc1ccc(/C=N/Nc2ccccc2)cc1OC,3.15,3.48
CHEMBL2003831,O=[N+]([O-])c1ccc(N/N=C/c2ccccc2)c(F)c1,3.18,3.88
CHEMBL3195082,C=CCOc1c(Br)cc(/C=N/Nc2ccc(C(=O)O)cc2)cc1OCC,4.56,2.23
CHEMBL3331030,Oc1c(Br)cccc1/C=N/Nc1ccccc1,3.60,3.97
CHEMBL2387145,Cc1ccc(N(/N=C/c2cccc(O)c2)C(=O)C(F)(F)F)c(C)c1,3.94,4.84
CHEMBL3194128,COc1ccc(Br)cc1/C=N/Nc1ccc(Cl)c(C(=O)O)c1,4.26,1.37
CHEMBL222847,CN(/N=C/c1ccc(O)cc1)c1ccccc1,2.86,3.53
CHEMBL66342,Oc1ccc(O)c(/C=N/Nc2ccccc2)c1,2.54,3.18
CHEMBL3196314,COc1ccc(/C(C)=N/Nc2cccc(C(=O)O)c2)cc1OC,3.24,0.36
CHEMBL69173,Oc1ccc(Br)cc1/C=N/Nc1ccc(Br)cc1,4.36,4.99
CHEMBL3199831,C/C(=N\Nc1ccc(C#N)cc1[N+](=O)[O-])c1ccc(O)cc1,3.01,3.78
CHEMBL3209126,COc1cc(/C=N/Nc2ccc(F)cc2F)cc(OC)c1OC,3.44,3.61
CHEMBL1994738,Oc1ccccc1/C=N/Nc1ccccc1,2.84,3.48
CHEMBL3883225,CN(C)c1ccc(/C=N/Nc2ccc(F)cc2)cc1,3.34,3.98
CHEMBL2164290,NS(=O)(=O)c1ccc(N/N=C/c2ccc(O)cc2)c([N+](=O)[O-])c1,1.39,2.68
CHEMBL3303281,CCN(CC)c1ccc(/C=N/Nc2ccc(C)cc2)c(O)c1,3.99,4.72
CHEMBL3209462,COc1ccc(/C(C)=N/Nc2ccc(C(=O)O)cc2)c(OC)c1.O=S(=O)(O)O,3.24,0.22
CHEMBL1968665,COc1ccc(N/N=C(\CCN(C)C)c2ccccc2)cc1.Cl,3.46,2.09
CHEMBL3194767,COc1ccccc1/C=N\Nc1ccccc1[N+](=O)[O-],3.05,4.23
CHEMBL3195012,O=[N+]([O-])c1ccc(O)c(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,2.56,2.96
CHEMBL150328,Cc1cccc(/C(Cl)=N/Nc2ccccc2)c1,4.01,4.79
