chemblID,smiles,ALogP,LogD
CHEMBL1208175,CC(C)CCC[C@@H](COS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C,6.02,1.11
CHEMBL58087,C#C[C@H](O)C(C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C,4.56,3.98
CHEMBL1615840,C=CC[C@@](C)(N)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,5.22,1.37
CHEMBL2008518,CN(C)CCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.56,2.07
CHEMBL2104166,CC[C@]1(O)CC[C@H]2[C@@H]3CC=C4CCCC[C@@H]4[C@H]3CC[C@@]21C,5.09,4.69
CHEMBL2418982,C[C@H](CCC(=O)N(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)N(CCO)CCO)CC[C@]4(C)[C@H]3CC[C@@]21C,4.86,3.43
CHEMBL611324,CCCC(=O)O[C@@H](C=C(C)C)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](OC)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C)CC[C@]12C,8.28,7.60
CHEMBL477971,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,7.55,7.05
CHEMBL3989621,CN(C)CCCN(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C.Cl.Cl,4.56,0.26
CHEMBL4278464,CC[C@H](CC[C@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,8.02,7.84
CHEMBL2023660,CC(=O)[C@]1(O)CC[C@]2(O)[C@]3(O)CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3C[C@@H](OC(=O)/C=C(\C)C(C)C)[C@]12C,2.98,2.31
CHEMBL424916,C[C@H](CNCCCCCCC(=O)O)[C@H]1CC[C@H]2C3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,6.19,2.88
CHEMBL353918,CC(C)CCCC(C)[C@H]1CC[C@H]2C3CC=C4C[C@@H](OC(=O)C[N+](C)(C)C)CCC4(C)[C@H]3CCC21C,7.65,3.28
CHEMBL9072,CCCCCCC(C/C=C\CCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1)OC(=O)N(CCCl)CCCl,14.87,15.06
CHEMBL524098,C=C[C@@](O)(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,6.92,6.46
CHEMBL1958045,C/C=C(\C[C@@H](C)CO)C(=O)[C@@H](C)[C@H]1[C@@H](OC(C)=O)C[C@H]2[C@@H]3CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@@]21C,6.21,5.24
CHEMBL1970164,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)C(=O)O)CCC32)C1,5.22,1.79
CHEMBL1881503,CC(=O)C1CCC2C3CC(C)=C4CC(O)CCC4(C)C3CCC12C,4.91,3.82
CHEMBL1570078,CC(=O)OC1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)CC[C@@H]32)C1,5.09,4.02
