chemblID,smiles,ALogP,LogD
CHEMBL3039799,S=C(S)OCCC12CC3CC(CC(C3)C1)C2,3.82,3.37
CHEMBL3303627,N=C(CS)NCCC12CC3CC(CC(C3)C1)C2,3.09,1.69
CHEMBL1616533,CCC(N)C12CC3CC(CC(O)(C3)C1)C2,2.06,-0.96
CHEMBL1197357,CC(C)=CCC/C(C)=C/CNCCNC1C2CC3CC(C2)CC1(O)C3,3.80,1.20
CHEMBL3304088,N=C(CS)NCC1C2CC3CC(C2)CC1C3,2.56,1.31
CHEMBL2111145,CC(C)(N)CC12CC3CC(CC(C3)C1)C2,3.33,-0.04
CHEMBL1623054,CC12CC3CC(C)(C1)CC(CN)(C3)C2,2.94,0.01
CHEMBL1196980,CC(C)=CCC/C(C)=C/CN(CCNC1C2CC3CC(C2)CC1C3)C(=O)OCOC(=O)C(C)(C)C,6.08,3.81
CHEMBL4302792,CC12CC3CC(C)(C1)CC(NCCCCNCCCCN)(C3)C2,3.43,-6.22
CHEMBL1907511,NC(CCC(=O)O)C12CC3CC(CC(C3)C1)C2,2.39,-0.40
CHEMBL215387,O=C(O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,5.24,2.32
CHEMBL1197319,CC(C)=CCC/C(C)=C/CNCCNC1C2CC3CC1CC(O)(C3)C2,3.80,0.78
CHEMBL1618702,CC(C)(C)CNC(CO)C12CC3CC(CC(C3)C1)C2,3.20,0.40
CHEMBL1190977,CC(C)=CCC/C(C)=C/CN(CCNC1C2CC3CC(C2)CC1C3)C(=O)OC(C)OC(=O)C(C)(C)C,6.47,4.04
CHEMBL224580,CCNC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,5.29,4.51
CHEMBL3305547,CN(C)CC12CC3CC(CC(C3)C1Br)C2,3.14,1.75
CHEMBL522918,Cl.NC12CC3(CCC(=O)O)CC(CCC(=O)O)(C1)CC(CCC(=O)O)(C2)C3,2.62,-6.94
CHEMBL2380753,S=C([S-])OCCC12CC3CC(CC(C3)C1)C2.[K+],3.82,3.37
CHEMBL1491172,CCCNC(=O)OCC12CC3CC(CC(C3)C1)C2,3.34,3.12
CHEMBL66319,CCOC(=O)CCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,2.53,1.54
CHEMBL4302384,CCN(CC)C[C@H](Cl)[C@H](O)C12CC3CC(CC(C3)C1)C2,3.51,2.52
CHEMBL1088386,CC(C)CCCC(C)CCNCCNC12CC3CC(CC(C3)C1)C2,4.99,2.20
CHEMBL1621250,COCCNC(C)C(=O)C12CC3CC(CC(C3)C1)C2,2.40,1.93
CHEMBL3303840,N=C(CS)NCCCCC12CC3CC(CC(C3)C1)C2,3.87,2.58
CHEMBL382623,CC(C)(C#N)NC(=O)[C@@H](N)C12CC3CC(CC(C3)C1)C2,1.95,0.58
CHEMBL1620023,CN(C)CCOC(=O)CC12CC3CC(C1)CC(CC(=O)OCCN(C)C)(C3)C2,2.56,-0.05
CHEMBL4302061,CC12CC3CC(C)(C1)CC(NCCCCN)(C3)C2,3.06,-3.45
CHEMBL1727355,CCCCN(C(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2)S(C)(=O)=O,2.44,1.64
CHEMBL224448,CC(C)COC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,6.35,6.13
CHEMBL1496996,O=C(O)CSC12CC3CC(C1)CC(C(=O)O)(C3)C2,2.23,-4.34
CHEMBL68115,CCOC(=O)CCCCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,5.26,4.50
CHEMBL3228646,Cl.N=C(CS)NC12CC3CC(CC(C3)C1)C2,2.45,1.07
CHEMBL558937,CC(C)=CCC/C(C)=C/CN(CCNC1C2CC3CC(C2)CC1C3)C(=O)OCOC(=O)C(C)(C)C.O=C(O)/C=C\C(=O)O,6.08,3.81
CHEMBL2041310,OC12CC3CC(CC(C3)C1)C2,1.95,1.57
CHEMBL1620942,CCN(CC)CCNC(=O)C12CC3CC(CC(C3)C1)C2,2.66,0.88
CHEMBL1619020,OCCNCC1(O)C2CC3CC(C2)CC1C3,0.76,-1.70
CHEMBL3247396,CC12CC3(C)CC(C)(C1)CC(C(O)C(=O)O)(C2)C3,2.82,-0.47
CHEMBL166314,C[N+](C)(C)CCOP(=O)([O-])OCCCCCC12CC3CC(CC(C3)C1)C2,3.97,1.66
CHEMBL3304159,N=C(CS)NCC12CC3CC(CC(C3)C1)C2,2.70,1.40
CHEMBL302704,CCOC(=O)CCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,4.48,3.61
CHEMBL2110921,CCCCCCCCCC[N+](C)(C)CCOC(=O)C12CC3CC(CC(C3)C1)C2,5.96,2.37
CHEMBL1622171,CCN(CC)CCNC(=O)C12CC3CC(C)(CC(C)(C3)C1)C2,3.44,1.48
CHEMBL2107566,CC(C)(N)CC12CC3CC(CC(C3)C1)C2.Cl,3.33,-0.04
CHEMBL2336708,O=C(CC12CC3CC(CC(CO)(C3)C1)C2)NO,1.46,0.51
CHEMBL41785,NCC(O)[C@]12CC3C[C@@H](C[C@H](C3)C1)C2,1.52,-0.95
CHEMBL1197339,CC(C)=CCC/C(C)=C/C(C)NCCNC1C2CC3CC(C2)CC1C3,5.07,2.27
CHEMBL4294627,O=C(O)C(Br)C12CC3CC(CC(O)(C3)C1)C2,2.17,-1.58
CHEMBL3138984,CC(C)=CCC/C(C)=C/CNCCNC12CC3CC(CC(C3)C1)C2,4.83,1.85
CHEMBL1740373,NC(CO)C12CC3CC(CC(C3)C1)C2,1.52,-0.96
CHEMBL1625897,CC(OCCN(C)C)C(=O)C12CC3CC(CC(C3)C1)C2,2.74,2.29
CHEMBL203618,CCN(CC#N)C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,1.02,-0.91
CHEMBL1818416,CCOCCNC(=O)NC12CC3CC(CC(C3)C1)C2,2.29,1.48
CHEMBL1624121,CC(NCCO)C(=O)C12CC3CC(CC(C3)C1)C2,1.74,1.23
CHEMBL1620865,CN(C)CCOC(=O)NCC12CC3CC(CC(C3)C1)C2,2.49,1.20
CHEMBL1619434,CCN(CC)CC(O)COCCC12CC3CC(CC(C3)C1)C2,3.31,0.90
CHEMBL4302374,CC12CC3CC(C)(C1)CC(NCCCCCCCCCN)(C3)C2,5.01,-1.23
