chemblID,smiles,ALogP,LogD
CHEMBL4103921,CCCCCCCCCN1CCNCC1,2.64,1.23
CHEMBL1624077,COCCN=C(S)N1CCN(C)CC1,0.17,1.22
CHEMBL11004,CC(=O)N(C)CC#CCN1CCN(CCO)CC1,-0.92,-1.35
CHEMBL1615485,CCOC(=O)N1CCN(/[N+]([O-])=N\O)CC1,0.03,-1.30
CHEMBL1619678,CCN1CCN(C(S)=NCCOC)CC1,0.56,1.57
CHEMBL1621168,CCCCN=C(S)NCCN1CCN(C(S)=NCCCC)CC1,2.37,4.92
CHEMBL2391364,CCCCN(CCC)C(=O)CN1CCNCC1,0.93,-0.54
CHEMBL11121,CC(=O)N(C)CC#CCN1CCNCC1,-0.63,-2.43
CHEMBL1616396,CCCN=C(S)N1CCN(CC)CC1,1.32,2.50
CHEMBL2027832,S=C(S)N1CCN(C(=S)S)CC1,1.03,-0.04
CHEMBL1188315,CCCCCCCCCCCCCCC(=O)N1CCN(N)CC1,4.10,4.23
CHEMBL3467035,CCCS(=O)(=O)N1CCN(C(=O)CO)CC1,-1.14,-1.80
CHEMBL1406992,CCCCCCC(=O)NN1CCN(C)CC1,1.24,1.03
CHEMBL209790,NCCN1CCNCC1,-1.15,-4.89
CHEMBL413341,CC1CN(N=O)CCN1N=O,0.36,0.15
CHEMBL1407899,S=C(S)N1CCNCC1,0.11,0.47
CHEMBL1617420,CC(C)OCC(O)CN1CCNCC1,-0.32,-2.08
CHEMBL1971563,CCOC(=O)N1CCN(C=S)CC1,0.72,0.83
CHEMBL392198,CCN1CCN(C(=O)C(C)(C)C)CC1,1.20,1.25
CHEMBL2008231,O=CNCCCN1CCN(CCCNC=O)CC1,-1.12,-2.64
CHEMBL3187284,O=S(=O)([O-])CCN1CCN(CCO)CC1.[Na+],-1.52,-3.38
CHEMBL1617483,CC(C)(C)NC(=O)CN1CCN(C(=O)CCl)CC1,0.28,-0.25
CHEMBL1872747,CCC(CC)CN1CCN(CCC(C)C)C(CCO)C1,2.84,1.44
CHEMBL1557344,CC1CN(S(=O)(=O)N(C)C)CCN1S(=O)(=O)N(C)C,-1.39,-2.12
CHEMBL1620205,CCCCN=C(S)N1CCN(C)CC1,1.32,2.59
CHEMBL553354,CN1CCN(CC#N)CC1.Cl,-0.24,-0.77
CHEMBL78436,CN(CC(=O)O)NC(=O)C[C@H](N)CC(O)CN1CCNCC1,-2.59,-7.22
CHEMBL937,CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.70,-0.03
CHEMBL1741511,CN1CCN(CCCNN)CC1,-0.91,-1.91
CHEMBL1620804,CCN1CCN(CC(O)COC(C)C)CC1,0.41,-0.23
CHEMBL1188548,CCCCCCCCCCCCCCCN1CCN(N)CC1,4.57,4.45
CHEMBL3594528,CCOC(=S)N1CCN(C)CC1,0.56,1.01
CHEMBL3498544,COCCNC(=O)C(C)N1CCN(C)CC1.O=C(O)C(=O)O,-0.62,-0.78
CHEMBL1740581,CC(C)N1CCNCC1,0.30,-1.68
CHEMBL1620233,CC(C)NC(=O)CN1CCN(C(=O)CCl)CC1,-0.11,-0.53
CHEMBL1789645,O=[N+]([O-])OCCCN1CCNCC1,-0.51,-2.11
CHEMBL3544918,CC(=O)O.N=C(N)NCCC[C@H](N)C(=O)NCCCN1CCN(CCCNC(=O)[C@@H](N)CCCNC(=N)N)CC1,-3.20,-11.31
CHEMBL1622431,CN(C)C(=O)CN1CCN(C(=O)CCl)CC1,-0.54,-1.08
CHEMBL487747,CCOCCOCCOCCNN1CCNCC1,-0.53,-1.98
CHEMBL1617685,CCCCN=C(S)N1CCN(CC)CC1,1.71,2.94
CHEMBL1232545,O=S(=O)(O)CCN1CCN(CCO)CC1,-1.52,-3.38
CHEMBL1621578,CCC(C)N1CCNCC1,0.69,-1.27
CHEMBL3792735,C=CCN1CCN(C(=S)SCCC)CC1,2.22,3.00
CHEMBL1972517,O=C(O)/C=C/C(=O)O.O=CNCCCN1CCN(CCCNC=O)CC1,-1.12,-2.64
CHEMBL4086003,CCCCCCCCN1CCNCC1,2.25,0.79
CHEMBL1331107,CCCCN=C(S)N1CCN(CC)CC1.O=C(O)C(=O)O,1.71,2.94
CHEMBL1818376,CCN1CCN(C(=O)CC[N+](=O)[O-])CC1,-0.18,-0.72
CHEMBL3467859,CC(C)(C)C(O)CN1CCN(CC(=O)NCC(F)(F)F)CC1,0.69,0.29
CHEMBL3966185,CC(C)(C)OC(=O)N1CCN(C(=O)OC(C(F)(F)F)C(F)(F)F)CC1,3.17,2.75
CHEMBL3451372,CCCS(=O)(=O)N1CCN(C(C)(C)CO)CC1,0.11,-0.27
CHEMBL3622601,CCNC(=O)N1CCN(C)CC1,-0.04,-0.64
CHEMBL1556160,COCCN=C(S)N1CCN(C)CC1.O=C(O)C(=O)O,0.17,1.22
CHEMBL3463325,CC1(C)CN(CC(F)(F)F)CCN1CC(N)=O,0.43,0.35
CHEMBL3496429,CCC1CN(CCC(=O)N(C)C)CCN1CCOC,0.51,-0.98
CHEMBL3454365,CCC(O)CN1CCN(C(=O)CCSC)CC1,0.65,0.29
CHEMBL1509907,CCN1CCN(C(=O)/C=C\C(=O)O)CC1,-0.21,-3.15
CHEMBL2338294,CN1CCN(C(=O)CCl)CC1,0.00,-0.23
CHEMBL148392,NCCC(N)C(=O)N1CCNCC1,-1.91,-5.45
CHEMBL3454366,CSCCC(=O)N1CCN(CC(C)O)CC1,0.26,-0.16
CHEMBL281246,CCOC(=O)COC(=O)[C@H]1[C@@H](C(N)=O)N(CC(=O)OCC)CCN1CC(=O)OCC,-1.94,-1.30
CHEMBL3465118,CSC(C)C(=O)N1CCN(CCO)CC1,-0.13,-0.28
CHEMBL1569956,CN(C)S(=O)(=O)N1CCN(S(=O)(=O)N(C)C)CC1,-1.78,-2.54
CHEMBL2023164,CN1CCN(NC(=S)[S-])CC1.[K+],-0.05,-0.39
CHEMBL1496692,CCOC(=O)N1CCN(S(=O)(=O)N(C)C)CC1,-0.43,-1.05
CHEMBL4088447,CCCCCCCCCCCCCN1CCNCC1,4.20,3.01
