chemblID,smiles,ALogP,LogD
CHEMBL3464297,NC(=O)NC(CC(=O)NCCc1ccc(F)cc1)c1ccccc1,2.28,1.93
CHEMBL1077581,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CS,0.86,1.43
CHEMBL2382079,NCCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCc1ccc(O)cc1)C(N)=O,1.15,-1.08
CHEMBL288597,CSCCC(N)P(=O)(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,2.97,-1.26
CHEMBL1878662,COc1ccc(CCNC(=O)CCc2ccc(OC)cc2)cc1,3.00,3.17
CHEMBL11227,CC(c1ccc(O)cc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,2.56,0.09
CHEMBL297327,CC(C)(C)OC(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCCCCCCO,4.69,5.20
CHEMBL500242,N[C@@H](C(=O)NCCc1ccccc1)[C@@H](O)c1ccc([N+](=O)[O-])cc1,1.31,1.24
CHEMBL157307,O=C(CCc1ccccc1Cl)N[C@@H](CS)Cc1ccccc1,3.93,4.55
CHEMBL310482,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@@H](CS)Cc1ccccc1,2.29,0.14
CHEMBL558870,CC(=O)OC[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,3.41,3.81
CHEMBL378907,NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc1ccccc1,0.47,0.60
CHEMBL1242947,Cl.N[C@@H](Cc1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,1.33,1.19
CHEMBL367174,CC(C)CC(S)CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,2.97,0.64
CHEMBL3103451,COc1ccc(CCNC(=O)CC(CC(=O)NO)c2ccc(Cl)cc2Cl)cc1,3.73,3.12
CHEMBL80950,N#CCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,1.44,-1.39
CHEMBL1078034,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CS,0.56,1.13
CHEMBL156518,CCCCCNC(=O)C(Cc1ccc(OCC(=O)OC)c(C(=O)OC)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,3.49,4.34
CHEMBL173943,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,3.07,-1.46
CHEMBL607573,COC(Cc1ccc(O)cc1)C(=O)NCCc1ccc(O)cc1,2.01,2.64
CHEMBL2371915,CSCC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N(C)C,-1.24,-2.47
CHEMBL3735210,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)CCC(=O)O)C(N)=O,0.37,-6.27
CHEMBL299121,CCCCCNC(=O)[C@H](Cc1ccc(OCC(N)=O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,2.72,-0.27
CHEMBL431349,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)NO)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,2.74,-0.30
