chemblID,smiles,ALogP,LogD
CHEMBL3654718,C/C=C/c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,3.87,3.30
CHEMBL3663131,COCCOC[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c1ccccc1,3.42,2.03
CHEMBL4110827,CC(C)COC(=O)Nc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,4.05,3.63
CHEMBL4110113,CCNc1n[nH]c2cc(NC(=O)N[C@H](C)c3cccc(F)c3)ncc12,3.41,2.51
CHEMBL4114345,CCNc1n[nH]c2cc(NC(=O)N[C@H](CSC)c3ccccc3)ncc12,3.62,2.80
CHEMBL4107371,CCOc1n[nH]c2cc(NC(=O)N[C@H](CO)c3ccccc3)ncc12,2.21,1.69
CHEMBL4106520,COC[C@@H](NC(=O)Nc1ncc2c(OC)n[nH]c2c1Br)c1ccccc1,3.24,2.70
CHEMBL4113659,COC(=O)Nc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccc(Cl)c(F)c3)ncc12,3.81,3.13
CHEMBL4111138,CCOc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccc(F)cc3)nc([C@@H](C)O)c12,3.43,2.73
CHEMBL3654761,COC(C)CNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,2.61,1.71
CHEMBL4115437,CNc1n[nH]c2cc(NC(=O)N[C@H](COC)c3ccccc3)ncc12,2.51,1.61
CHEMBL4109508,COc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)nc(C(=O)N(C)C)c12,2.55,2.03
CHEMBL4112065,CCC(O)COc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,2.99,2.63
CHEMBL4110014,CCOc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)nc([C@H](C)O)c12,3.29,2.59
CHEMBL3976263,COc1n[nH]c2cc(NC(=O)NCc3ccc(F)c(Cl)c3)ncc12,3.08,2.71
CHEMBL3950485,COCCOc1n[nH]c2cc(NC(=O)NCc3ccc(Cl)c(Cl)c3)ncc12,3.61,3.12
CHEMBL3911230,Cc1cccc(Cl)c1CNC(=O)Nc1cc2[nH]nc(N)c2cn1,2.82,2.41
CHEMBL4113805,COc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccc(Cl)c(Cl)c3)ncc12,4.16,3.58
CHEMBL4109658,O=C(Nc1cc2[nH]nc(OCCO)c2cn1)N[C@H](COC(F)F)c1ccccc1,2.43,2.21
CHEMBL3907826,CCNc1n[nH]c2cc(NC(=O)NC(C(=O)N(CC)CC)c3ccc(F)cc3)ncc12,3.26,2.14
CHEMBL3954207,CCOc1n[nH]c2cc(NC(=O)N[C@@H](c3ccc(F)cc3)C(C)(C)O)ncc12,3.13,2.53
CHEMBL3936722,CC(C)(O)[C@@H](NC(=O)Nc1cc2[nH]nc(OCC(F)F)c2c(CO)n1)c1ccc(F)cc1,2.87,1.92
CHEMBL4108771,C[C@@H](NC(=O)Nc1cc2[nH]nc(NC(=O)CC(F)(F)F)c2cn1)c1ccccc1,3.73,2.69
CHEMBL4110919,COc1n[nH]c2cc(NC(=O)N[C@H](C)c3cccc(F)c3)nc(CO)c12,2.48,1.81
CHEMBL4114357,CCOc1n[nH]c2cc(NC(=O)N[C@H](c3ccccc3)[C@H](O)COC)ncc12,2.23,1.70
CHEMBL3663106,CC(F)(F)c1n[nH]c2cc(NC(=O)NCc3ccc(F)cc3)ncc12,3.53,2.68
CHEMBL3951055,COCCOc1n[nH]c2cc(NC(=O)N[C@@H](COC)c3ccccc3)ncc12,2.49,1.93
CHEMBL3966825,COc1cccc(F)c1CNC(=O)Nc1cc2[nH]nc(OC)c2cn1,2.44,1.95
CHEMBL4112910,COCCOc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)nc([C@H](C)O)c12,2.92,2.18
CHEMBL4109931,CCN(C(C)=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,3.21,1.99
CHEMBL4111847,COC[C@@H](NC(=O)Nc1cc2[nH]nc(N(C)C)c2cn1)c1ccccc1,2.53,2.24
CHEMBL4115083,COC(=O)Nc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccc(Cl)c(Cl)c3)ncc12,4.33,3.59
CHEMBL3932165,COc1cccc(F)c1CNC(=O)Nc1cc2[nH]nc(OC)c2c(CO)n1,1.93,1.24
CHEMBL4109871,COC(=O)Nc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccc(Cl)c(OC)c3)ncc12,3.68,2.83
CHEMBL4110448,COc1n[nH]c2cc(NC(=O)N[C@H](CO)c3ccc(Cl)c(Cl)c3)nc(CO)c12,2.62,1.83
CHEMBL4113996,C[C@@H](O)[C@@H](NC(=O)Nc1cc2[nH]nc(OCCO)c2c(CO)n1)c1ccc(F)cc1,1.20,0.49
CHEMBL3654768,CCNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,2.59,1.70
CHEMBL3663050,COCc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,2.99,1.89
CHEMBL4111415,COc1cc([C@@H](C)NC(=O)Nc2cc3[nH]nc(OC)c3c(CO)n2)ccc1Cl,3.00,2.12
CHEMBL4111205,COCCS(=O)(=O)Nc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,2.23,0.35
CHEMBL4113966,COc1n[nH]c2cc(NC(=O)N[C@H](CSC)c3ccccc3)ncc12,3.19,2.81
CHEMBL4109615,COC[C@@H](NC(=O)Nc1cc2[nH]nc(OCCO)c2c(C)n1)c1ccccc1,2.15,1.41
CHEMBL4108801,COc1n[nH]c2cc(NC(=O)N[C@H](c3ccccc3)[C@@H](O)C(C)C)ncc12,2.85,2.63
CHEMBL4113148,O=C(Nc1cc2[nH]nc(OC[C@H](O)C(F)(F)F)c2cn1)N[C@H](CO)c1ccccc1,2.12,1.65
CHEMBL4110724,COCCOc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)nc(CO)c12,2.36,1.62
CHEMBL3948938,COC(=O)Nc1n[nH]c2cc(NC(=O)N[C@@H](c3ccc(F)cc3)C(C)(C)O)ncc12,2.91,2.18
CHEMBL3943583,COc1n[nH]c2cc(NC(=O)NCc3cccc(F)c3)ncc12,2.43,2.10
CHEMBL4114438,C[C@@H](NC(=O)Nc1cc2[nH]nc(OCCO)c2cn1)c1ccc(F)cc1,2.35,1.83
CHEMBL4108350,Nc1n[nH]c2cc(NC(=O)N[C@H](CO)c3ccccc3)ncc12,1.40,0.66
CHEMBL4110968,COc1n[nH]c2c(F)c(NC(=O)N[C@H](C)c3ccccc3)ncc12,2.99,2.50
