chemblID,smiles,ALogP,LogD
CHEMBL1076347,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,5.29,4.93
CHEMBL4069379,CC(C)=CCOc1cccc(NC(=O)Nc2ccc(Br)cc2)c1,5.44,5.09
CHEMBL531070,N=C(N)Nc1cccc(NC(=O)Nc2cccc(NC(=N)N)c2)c1,1.94,-0.70
CHEMBL2047827,COc1ccc(C)cc1NC(=O)Nc1ccc(OS(N)(=O)=O)cc1,2.23,2.12
CHEMBL155527,O=C(Nc1ccccc1F)Nc1cc(Cl)ccc1C(=O)O,3.82,0.81
CHEMBL1088687,O=C(O)CCCNC(=O)c1cccc(NC(=O)Nc2ccc(C(F)(F)F)cc2)c1,3.94,-0.15
CHEMBL593694,CC(C)c1ccccc1NC(=O)Nc1ccc([N+](=O)[O-])cc1O,4.07,3.56
CHEMBL1739243,CN(C)CCOc1ccc(NC(=O)Nc2ccc(N(CCCl)CCCl)cc2)cc1,4.56,3.03
CHEMBL1583951,O=C(Nc1ccccc1F)Nc1ccccc1F,3.61,3.40
CHEMBL547229,N=C(N)c1cc(Cl)cc(NC(=O)Nc2cc(Cl)cc(C(=N)N)c2)c1,3.21,-2.57
CHEMBL2206883,CC(=O)Nc1cc(NC(=O)Nc2ccc(C)c(C)c2)ccc1C,4.21,3.90
CHEMBL2420548,COc1ccc(OC)c(NC(=O)Nc2ccc(C)c(S(=O)(=O)N(C)C)c2)c1,2.91,2.37
CHEMBL185259,O=C(Nc1ccccc1Br)Nc1ccc(Cl)c(Cl)c1O,5.11,3.93
CHEMBL593462,Cc1ccc(NC(=O)Nc2ccc([N+](=O)[O-])cc2O)c(C)c1,3.56,3.34
CHEMBL4101790,CC(C)=CCOc1cccc(NC(=O)Nc2cccc(C)c2)c1,4.98,4.84
CHEMBL2331758,COc1ccc(OC)c(NC(=O)Nc2ccc(NS(N)(=O)=O)cc2)c1,1.96,0.72
CHEMBL1445595,COc1ccc(NC(=O)Nc2cccc(OC)c2)cc1,3.35,2.80
CHEMBL156464,Cc1cccc(C(=O)O)c1NC(=O)Nc1cccc(C(F)(F)F)c1,4.36,1.45
CHEMBL3092072,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(F)(F)F)cc1Cl,5.66,5.20
CHEMBL1422740,CCOC(=O)c1cccc(NC(=O)Nc2ccc(OCC)cc2)c1,3.91,3.68
CHEMBL596475,Cc1cccc(C(C)C)c1NC(=O)Nc1ccc([N+](=O)[O-])cc1O,4.38,4.07
CHEMBL2047836,CCOC(=O)c1ccccc1NC(=O)Nc1ccc(OS(N)(=O)=O)cc1,2.09,2.77
CHEMBL1322162,N#Cc1ccccc1NC(=O)Nc1ccccc1,3.20,2.97
CHEMBL1688054,Cc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl,5.60,5.44
CHEMBL184147,O=C(Nc1ccc(Cl)cc1O)Nc1ccccc1Br,4.45,4.08
CHEMBL1496506,COc1ccccc1NC(=O)Nc1ccc(F)c(F)c1,3.62,3.25
CHEMBL1377119,CSc1cccc(NC(=O)Nc2ccccc2)c1,4.05,3.75
CHEMBL3827384,CN(C(=O)N(C)c1ccccc1)c1ccccc1,3.38,2.85
CHEMBL3220764,COC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccc(NC(=O)Nc2ccccc2C(F)(F)F)cc1)C(C)C,3.70,0.71
CHEMBL1448811,CSc1ccccc1NC(=O)Nc1ccc(F)c(Cl)c1,4.85,4.49
CHEMBL1509417,CC(=O)Nc1cccc(NC(=O)Nc2cccc(Cl)c2C)c1,4.25,3.47
CHEMBL1450047,N#Cc1ccc(NC(=O)Nc2cccc(C#N)c2)cc1,3.07,2.83
CHEMBL76841,CC(C)(Oc1ccc(NC(=O)Nc2cc(Cl)c(Cl)c(Cl)c2)cc1)C(=O)O,5.53,1.85
CHEMBL1688040,Cc1ccc(NC(=O)Nc2ccc(Cl)cc2Cl)cc1Cl,5.60,5.44
