chemblID,smiles,ALogP,LogD
CHEMBL29112,Nc1c(CC(=O)[O-])cc(Br)cc1C(=O)c1ccc(Br)cc1.[Na+],3.65,0.96
CHEMBL10556,CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)c(OC(=O)C(C)(C)C)c1,4.82,6.25
CHEMBL1204822,Cc1cc(CC(=O)O)c(N)c(C(=O)c2ccc(Cl)cc2Cl)c1,3.74,1.32
CHEMBL10503,CC(CO)Cc1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C,4.04,5.17
CHEMBL585772,O=C(c1ccc([N+](=O)[O-])cc1)c1ccc(Cl)c(Cl)c1,4.13,4.58
CHEMBL29327,Cc1ccc(C(=O)c2ccccc2)c(N)c1CC(=O)[O-].[Na+],2.44,0.27
CHEMBL1198213,CC(C)[P+](Cc1ccc(C(=O)c2ccc(C[P+](C(C)C)(C(C)C)C(C)C)cc2)cc1)(C(C)C)C(C)C,10.40,7.51
CHEMBL1204816,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Cl)cc1Cl,3.43,0.76
CHEMBL2079045,N=C(N)SCc1ccccc1C(=O)c1ccc(F)cc1CSC(=N)N,3.31,-0.98
CHEMBL1207749,Cc1ccc(C(=O)c2cccc(CC(=O)O)c2N)c(C)c1,2.74,0.80
CHEMBL1207731,Cc1cc(CC(=O)O)c(N)c(C(=O)c2ccc(F)cc2)c1,2.57,0.27
CHEMBL3559085,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccc(C(=O)c2ccccc2)cc1,8.98,5.85
CHEMBL3559096,CCCC[N+](CCCC)(CCCC)Cc1ccc(C(=O)c2ccc(C[N+](CCCC)(CCCC)CCCC)cc2)cc1,10.35,2.93
CHEMBL1893590,O=C(O)COc1ccc(C(=O)c2ccccc2)cc1,2.38,-0.72
CHEMBL1204857,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(I)cc1,2.73,0.56
CHEMBL1789236,CC(CO)C(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1,3.14,3.89
CHEMBL75511,CCCCC[P+](CCCCC)(CCCCC)c1ccc(C(=O)c2ccc([P+](CCCCC)(CCCCC)CCCCC)cc2)cc1,13.34,13.55
CHEMBL536819,N=C(N)Nc1ccc(C(=O)c2ccccc2)cc1,2.22,0.98
CHEMBL1189050,CN(C)Cc1cc(C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)cc(CN(C)C)c1O,3.52,-1.28
CHEMBL1801608,COc1ccc(C(=O)c2cc(O)c(OC)cc2O)cc1O,2.05,2.63
