chemblID,smiles,ALogP,LogD
CHEMBL3747124,CCC(=O)Nc1ccc2c(c1)c(CC(=O)NCCN(C)C)c(C)n2C(=O)c1ccc(Br)cc1,3.97,2.09
CHEMBL481283,COc1cc(C(=O)n2c(C)cc3c(O)c(OC)ccc32)cc(OC)c1OC,3.38,2.50
CHEMBL1378145,COc1ccc2c(c1)c(CC(=O)OC(C)C(=O)N(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,3.86,3.36
CHEMBL1549674,COC(=O)c1cn(C(=O)c2cccc(C)c2)c2ccccc12,3.42,3.76
CHEMBL22466,COc1ccc2c(c1)c(CC(=O)N[C@@H](CCC(=O)O)C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.28,-3.96
CHEMBL279265,COc1ccc2c(c1)c(CC(=O)N[C@H](CO)CC(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,4.37,3.93
CHEMBL281910,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc(Br)cc1,3.28,2.78
CHEMBL433160,COc1ccc2c(c1)c(CC(=O)OCCNC(=O)OC(C)(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,4.91,4.37
CHEMBL479930,COC(=O)c1ccc2c(ccn2C(=O)c2cc(OC)c(OC)c(OC)c2)c1,3.14,2.78
CHEMBL2323508,CCc1c(CCC(=O)O)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,4.57,1.26
CHEMBL24415,COc1ccc2c(c1)c(CC(=O)NCCO)c(C)n2C(=O)c1ccc(Cl)cc1,2.95,2.26
CHEMBL97834,COc1ccc2c(c1)c(CC(=O)N(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,3.93,3.17
CHEMBL479744,COc1cc(C(=O)n2ccc3cc(CN(C)C)ccc32)cc(OC)c1OC,3.42,1.22
CHEMBL64525,COc1ccc2c(c1)c(/C=C/CCCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,5.57,2.11
CHEMBL48265,Cc1c(CC(=O)O)c2cc(OC(=O)CCCC(C)C)ccc2n1C(=O)c1ccc(Cl)cc1,5.65,2.28
CHEMBL2088693,COc1ccc2c(c1)c(CC(=O)NCCN(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,3.52,1.83
CHEMBL307210,COC(=O)Cc1c(C)n(C(=O)c2ccccc2Cl)c2ccc(OC)cc12,4.02,3.68
CHEMBL1598159,COC(=O)c1cn(C(=O)c2ccc(C)cc2C)c2ccccc12,3.73,4.28
CHEMBL65490,COc1ccc2c(c1)c(CC(=O)N(C)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.69,2.91
CHEMBL448156,COc1ccc2c(c1)c(CC(=O)OCO/N=[N+](\[O-])N(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,3.71,2.65
CHEMBL3745843,CCCC(=O)Nc1ccc2c(c1)c(CC(=O)NCCN(C)C)c(C)n2C(=O)c1ccc(Br)cc1,4.36,2.53
CHEMBL327510,CCN(CC)C(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,4.71,3.88
CHEMBL429267,COc1ccc2c(c1)c(CC(=O)NOC(C)=O)c(C)n2C(=O)c1ccc(Cl)cc1,3.44,2.86
CHEMBL42593,COc1ccc2c(c1)c(CN(O)C(N)=O)c(C)n2C(=O)c1ccc(Cl)cc1,3.57,2.49
CHEMBL2028292,COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1.[K+],3.93,0.26
CHEMBL185277,CCCCOc1ccc(C(=O)n2c(C)c(CCCCC(=O)O)c3cc(OC)ccc32)cc1,5.62,2.29
CHEMBL1405611,CCOc1ccc(C(=O)n2cc(C(=O)OC)c3ccccc32)cc1,3.52,3.45
CHEMBL503179,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccc(Cl)cc1,3.62,0.03
CHEMBL235332,COc1ccc2c(c1)c(CCOC(=O)NS(=O)(=O)OCCCO[N+](=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,3.43,2.63
CHEMBL330194,CCCCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,6.36,6.33
CHEMBL3889665,COc1ccc2c(c1)c(CNC(C)=O)cn2C(=O)c1ccc(Cl)cc1,3.63,2.64
CHEMBL2323510,COc1ccc2c(c1)c(C)c(CC(C)C(=O)O)n2C(=O)c1ccc(Cl)cc1,4.56,1.34
CHEMBL184628,COc1ccc2cc(C)n(C(=O)c3cc(OC)c(OC)c(OC)c3)c2c1,3.67,2.81
CHEMBL24869,COc1ccc2c(c1)c(CC(=O)NCCCCCO)c(C)n2C(=O)c1ccc(Cl)cc1,4.12,3.28
CHEMBL185981,COc1cc(OC)cc(C(=O)n2ccc3cc(OC)ccc32)c1,3.36,2.77
CHEMBL521095,COc1ccc2c(c1)c(CN(C)C)cn2C(=O)c1cc(OC)c(OC)c(OC)c1,3.43,1.71
CHEMBL800,Cc1c(CC(=O)O)c2cc(O)ccc2n1C(=O)c1ccc(Cl)cc1,3.62,0.08
CHEMBL1978814,O=Cc1cn(C(=O)c2ccccc2)c2ccccc12,3.14,2.96
CHEMBL2323509,COc1ccc2c(c1)c(C)c(CC(C)(C)C(=O)O)n2C(=O)c1ccc(Cl)cc1,4.95,1.91
CHEMBL155039,O=C(O)c1ccccc1C(=O)n1ccc2ccccc21,3.03,-0.59
CHEMBL2170687,COc1ccc2c(CC(=O)O)c(C)n(C(=O)c3ccc(Cl)cc3)c2c1,3.93,0.26
CHEMBL364421,CCCCOc1cccc(C(=O)n2c(C)c(CC(=O)O)c3cc(OC)ccc32)c1,4.45,0.78
CHEMBL210467,CC(C)(C)c1cc(C(=O)n2ccc3cc([N+](=O)[O-])ccc32)cc(C(C)(C)C)c1,5.83,6.28
CHEMBL2323486,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccc(C(F)(F)F)cc1,3.98,0.30
CHEMBL46871,COc1ccc2c(c1)c(CN(O)C(C)=O)c(C)n2C(=O)c1ccc(Cl)cc1,4.04,2.76
CHEMBL369092,CCCCCCCCCCc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(S(=O)(=O)O)cc12,7.22,5.37
CHEMBL281379,COc1ccc2c(c1)c(CC(=O)N[C@H](CO)CCSC)c(C)n2C(=O)c1ccc(Cl)cc1,4.07,3.32
CHEMBL295243,CNC(=S)N(O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,4.00,3.61
