chemblID,smiles,ALogP,LogD
CHEMBL2008830,CSc1ccc(/C=C2\CNC/C(=C\c3ccc(SC)cc3)C2=O)cc1,4.77,5.11
CHEMBL3765956,CN(C)Cc1cc(/C=C2\CNC/C(=C\c3ccc(O)c(CN(C)C)c3)C2=O)ccc1O,2.86,1.17
CHEMBL2010244,CN(C)CCC(=O)N1C/C(=C\c2ccc(Cl)c(Cl)c2)C(=O)/C(=C/c2ccc(Cl)c(Cl)c2)C1,6.13,4.97
CHEMBL4168837,CN1C/C(=C\c2ccc(F)cc2)C(=O)/C(=C/c2cccc([N+](=O)[O-])c2)C1,3.72,4.36
CHEMBL3787510,COc1cccc(/C=C2\CN(C)C/C(=C\c3cccc(OC)c3Cl)C2=O)c1Cl,4.99,5.17
CHEMBL3397739,CCCCCCCCCCCCCC(=O)N1C/C(=C\c2ccccc2)C(=O)/C(=C/c2ccccc2)C1,8.27,9.10
CHEMBL1255829,CCOc1cc(/C=C2\CN(C(=O)CCC(=O)NCCCNCCCN)C/C(=C\c3ccc(O)c(OCC)c3)C2=O)ccc1O,3.00,-1.71
CHEMBL1740754,CCN(CC)CCC(=O)N1C/C(=C/c2ccccc2)C(=O)/C(=C\c2ccccc2)C1,4.30,2.74
CHEMBL3991089,NCCCNCCCCNCCCNC(=O)CCC(=O)N1C/C(=C\c2ccccc2)C(=O)/C(=C/c2ccccc2)C1,3.16,-4.58
CHEMBL3990278,NCCCNCCCCNCCCNC(=O)CCC(=O)N1C/C(=C\c2ccc(O)cc2)C(=O)/C(=C/c2ccc(O)cc2)C1,2.57,-4.39
CHEMBL1255827,CCOc1cc(/C=C2\CN(C(=O)CCC(=O)NCCCNCCCCNCCCN)C/C(=C\c3ccc(O)c(OCC)c3)C2=O)ccc1O,3.37,-4.35
CHEMBL358894,O=C1/C(=C/c2ccc(F)cc2)CNC/C1=C\c1ccc(F)cc1,3.60,4.14
CHEMBL3765957,CCN(CC)Cc1cc(/C=C2\CNC/C(=C\c3ccc(O)c(CN(CC)CC)c3)C2=O)ccc1O,4.42,1.79
CHEMBL3991088,NCCCNCCCCNCCCNC(=O)CCC(=O)N1C/C(=C/c2ccc(O)c(O)c2)C(=O)/C(=C/c2ccc(O)c(O)c2)C1,1.98,-4.92
CHEMBL3991124,NCCCNCCCCNCCCNC(=O)CCC(=O)N1C/C(=C/c2cccc(O)c2)C(=O)/C(=C/c2cccc(O)c2)C1,2.57,-4.74
CHEMBL454594,C=CC(=O)N1C/C(=C\c2ccc(C)cc2)C(=O)/C(=C/c2ccc(C)cc2)C1,4.37,5.29
CHEMBL1740147,Cc1ccc(/C=C2/CNC/C(=C/c3ccc(C)cc3)C2=O)cc1,3.94,4.88
CHEMBL1773420,O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)CN(C(=O)CCSCCO)C/C1=C\c1ccc([N+](=O)[O-])cc1,3.50,3.50
CHEMBL2008026,CSc1ccc(/C=C2\CN(C)C/C(=C\c3ccc(SC)cc3)C2=O)cc1,5.11,5.54
CHEMBL4081505,CCN1C/C(=C\c2c(F)cc(F)cc2F)C(=O)/C(=C/c2c(F)cc(F)cc2F)C1,4.89,5.49
CHEMBL2079270,O=C1/C(=C/c2ccc(Br)cc2)CNC/C1=C\c1ccc(Br)cc1,4.85,5.39
CHEMBL1271789,CCOP(=O)(OCC)N1C/C(=C\c2ccc(Cl)cc2)C(=O)/C(=C/c2ccc(Cl)cc2)C1,6.53,5.62
CHEMBL1091848,COc1cc(/C=C2\CNC/C(=C\c3ccc(O)c(OC)c3)C2=O)ccc1C,3.36,3.75
CHEMBL4163904,COc1cccc(/C=C2\CN(C)C/C(=C\c3cccc(OC)c3OC)C2=O)c1OC,3.70,3.65
CHEMBL4159078,Cc1cccc(/C=C2\CN(C)C/C(=C\c3cccc(C)c3)C2=O)c1,4.28,5.30
