chemblID,smiles,ALogP,LogD
CHEMBL24464,CC(C)(C)NC(=O)[C@H]1CCC2C3CCC4=C(S)C(=O)CC[C@]4(C)C3CC[C@@]21C,5.31,3.48
CHEMBL2106514,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(O)C(Cl)(Cl)Cl,5.59,5.22
CHEMBL1741036,CCC[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@H]2CC[C@@]3(C)[C@H](CC[C@]3(O)CCC(=O)O)[C@H]12,5.14,1.63
CHEMBL1712905,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(Cl)C(O)CC21C,2.71,2.22
CHEMBL433198,CC(=O)C1CCC2C3C[C@H](C)C4=CC(=O)CCC4(C)C3CCC12C,4.97,4.44
CHEMBL583220,CC(C)[C@H](N)C(=O)O[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C.Cl,5.05,4.57
CHEMBL2104256,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.06,3.52
CHEMBL1356093,CC(=O)[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C,3.84,3.40
CHEMBL3189011,CC(C)CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.87,5.68
CHEMBL1357114,C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C,4.06,3.66
CHEMBL341752,C#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]21C,3.88,3.52
CHEMBL111163,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)CCC4(C)C3C(O)CC21C,2.55,1.74
CHEMBL3349078,COC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.31,3.96
CHEMBL3306941,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@]2(O)CCC(=O)O)[C@H](C#N)CC1=CC(=O)CC[C@@]13C,3.86,-0.54
CHEMBL517420,CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3[C@H](O)C[C@]21C,2.35,1.72
CHEMBL1885075,CC1CC2C(C(O)CC3(C)C(O)CCC23)C2(C)CCC(=O)C=C12,3.10,2.34
CHEMBL1561844,CC(=O)C1CCC2C3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)C(O)C[C@]12C,3.79,2.88
CHEMBL3250065,CC(=O)CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,2.72,1.78
CHEMBL2106309,CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3.31,2.86
CHEMBL488762,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.45,3.81
CHEMBL1221414,C=C(C)[C@@](O)(CC)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C(=O)O,6.33,3.49
CHEMBL419250,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CC[C@]2(O)C(=O)COP(=O)(O)O,1.90,-2.42
CHEMBL3250363,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,3.79,2.88
CHEMBL1361852,CC(=O)C1CCC2C3CC(C)C4=CC(=O)CC[C@@]4(C)C3C(O)C[C@@]12C,3.94,3.13
CHEMBL303842,CSCOC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3[C@@H](O)CC21C,3.08,2.61
CHEMBL2104187,CCCC(=O)O[C@]1(C(=O)CS)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,4.07,3.90
CHEMBL1472865,C[C@@]12CCC(=O)C=C1CC[C@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@@H]1CC[C@@]2(O)C(=O)CO,1.78,1.28
CHEMBL2078806,C/C(=N\OC(=O)[C@@H](N)C(C)C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.04,4.65
CHEMBL1197709,CC(C)[C@H](N)C(=O)O[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.05,4.57
CHEMBL391236,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.66,4.17
CHEMBL113108,C[C@@H]1CC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC2(C)[C@@]1(O)C(=O)CO,2.03,1.64
CHEMBL1904014,CC(=O)OC1(C(C)=O)CCC2C3CC(Cl)C4=CC(=O)CCC4(C)C3CCC21C,4.63,3.97
CHEMBL1823707,COC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3.75,3.58
CHEMBL3246284,CC(=O)[C@H]1CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,4.72,4.15
CHEMBL487929,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=C(O)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.34,3.28
CHEMBL110850,C[C@H]1CC2C3CCC4=CC(=O)CCC4(C)[C@@]3(F)C(O)CC2(C)[C@@]1(O)C(=O)CO,2.12,1.68
CHEMBL486288,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3.24,2.34
CHEMBL1908235,C=CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(C)=O,5.28,4.73
CHEMBL3250072,C[C@@H]1C[C@@]2(C)C(=CC1=O)CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]12,2.03,1.82
CHEMBL519327,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=C(Cl)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.02,4.20
CHEMBL3311220,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,6.71,6.21
CHEMBL3250352,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,3.73,2.54
CHEMBL2028668,C[C@]12CC[C@@H]3C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2C(=O)CO,3.31,3.03
CHEMBL1375243,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C,3.88,3.52
CHEMBL135651,C/C(=N/O)[C@H]1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,4.98,4.16
CHEMBL66926,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,8.23,8.41
CHEMBL139097,CCOC(=O)C[C@@H]1C[C@@]2(C)C(=CC1=O)CCC1C2CC[C@]2(C)C(C(C)CCCC(C)C)CCC12,7.78,7.85
CHEMBL3250936,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CCCOC(=O)CBr,4.19,3.83
CHEMBL453031,C=C(C)[C@@H](CC)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,7.12,6.83
CHEMBL3348910,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,3.88,3.66
CHEMBL136967,C[C@@H](C#N)C1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]21C,5.29,4.61
CHEMBL3247088,CC(=O)[C@@]1(OC(=O)CBr)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,5.03,4.85
CHEMBL391648,C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CCC(=O)C=C1C[C@H]3CCCCCCCCCC(=O)O,7.09,4.20
CHEMBL4285345,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CCC(=O)C=C1C[C@H]3O,6.57,6.37
CHEMBL1870018,CC12CCC(=O)C=C1C(O)CC1C2CCC2(C)C1CCC2(O)C(=O)CO,1.78,1.35
CHEMBL25196,CC(C)(C)NC(=O)[C@H]1CCC2C3CCC4=C(C#N)C(=O)CC[C@]4(C)C3CC[C@@]21C,4.94,4.10
CHEMBL1741900,C[C@@]12CCC(=O)C=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@](O)(C(=O)CO)CC[C@@]12O,1.93,1.50
CHEMBL2069523,C/C(=N\OC(=O)C[N+](C)(C)C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C.[I-],4.76,0.03
CHEMBL322559,CC12CC(O)[C@@]3(F)C(C[C@H](Cl)C4=CC(=O)CCC43C)C1CC(O)[C@]2(O)C(=O)CO,1.06,0.37
CHEMBL2440889,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](N)C[C@]12C,3.66,0.24
CHEMBL7834,C=CC[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21C,4.44,4.01
CHEMBL1705958,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,2.81,2.58
CHEMBL109722,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,3.24,2.46
CHEMBL3187229,C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,6.01,6.14
CHEMBL1389133,C[C@]12C[C@H](O)[C@H]3[C@@H](C[C@@H](O)C4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.75,0.04
CHEMBL70087,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=C(Br)C(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,8.32,8.23
CHEMBL1908078,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4[C@H]3CC[C@@]21C,3.45,3.10
CHEMBL3349101,CCN(CC)C(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=C(C#N)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.90,3.98
CHEMBL2105134,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,4.66,4.31
CHEMBL2107003,CCC[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)CCC(=O)O)[C@@H]21,5.14,1.63
CHEMBL1200635,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C.Cl,2.67,2.28
CHEMBL3278288,CCO[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(C)=O)C(=O)CCl,3.71,3.04
CHEMBL2104328,CC(=O)[C@@]1(Br)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,5.19,4.60
CHEMBL2048335,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,7.52,7.27
CHEMBL3278286,CCCCC(=O)O[C@]1(C(=O)CCl)[C@H](OC)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,4.49,4.27
CHEMBL338238,CC(=O)[C@@]1(C)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,4.72,4.40
CHEMBL182140,C[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2C1C1CCC(=O)C=C1C[C@@H]2C,3.98,3.64
CHEMBL1623839,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@H](O)C[C@]2(C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,2.20,-1.78
CHEMBL2105170,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C(Cl)=C4CC[C@H]3[C@@H]1CC[C@@H]2O,4.06,3.45
CHEMBL3348947,CC(=O)O[C@]1(C(C)=O)CC[C@@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.66,4.13
CHEMBL2440890,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](NCC(=O)OC(C)(C)C)C[C@]12C,4.63,3.65
CHEMBL2112398,C[C@@H](O)C1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4(C)[C@H]3CCC12C(=O)C=[N+]=[N-],3.37,2.04
CHEMBL36573,CC(C)(C)NC(=O)[C@H]1CCC2C3CCC4=C(O)C(=O)CC[C@]4(C)C3CC[C@@]21C,4.93,3.76
CHEMBL182041,C[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2C1C1CCC(=O)C=C1C[C@H]2C,3.98,3.64
CHEMBL1200542,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.27,3.77
CHEMBL2136046,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(O)CCC12,2.85,2.06
CHEMBL3250358,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)[C@H](C)C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,4.03,3.43
CHEMBL342898,CN(C)/N=C(\C=O)C1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C,4.25,4.12
CHEMBL3250361,CC(=O)CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,2.77,2.12
CHEMBL259548,C[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@@H]21,4.52,3.93
CHEMBL287148,CC(=O)O[C@]1(C(C)=O)CCC2C3C[C@H](C)C4=CC(=O)CCC4(C)C3CCC21C,4.66,4.13
CHEMBL7815,C#C[C@]1(O)CCC2C3C(CC[C@@]21C)C1CCC(=O)C=C1C[C@H]3C,3.74,3.50
CHEMBL487528,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)C(F)Cl,4.96,4.65
CHEMBL2075012,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)O,2.49,-0.30
CHEMBL1823700,CCC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3.92,3.66
CHEMBL2440894,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](NC[C@H](N)C(=O)O)C[C@]12C,2.70,-0.45
CHEMBL3250933,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CCCCl,4.49,4.02
CHEMBL3349126,CCN(CC)C(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.00,4.17
CHEMBL1730629,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.78,1.28
CHEMBL1315559,CCC[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@H]2CC[C@@]3(C)[C@H](CC[C@]3(O)CCC(=O)[O-])[C@H]12.[K+],5.14,1.63
CHEMBL2069518,CC(=O)O/N=C(\C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.07,4.30
CHEMBL3251829,C#C[C@]1(O)CC[C@H]2[C@@H]3C[C@@H](O)C4=CC(=O)[C@H](CO)C[C@]4(C)[C@H]3CC[C@@]21C,2.07,1.55
CHEMBL305969,C[C@@H]1CC2=CC(=O)CC[C@@H]2C2CC[C@@]3(C)C(CC[C@@]3(O)CF)C21,4.07,3.48
CHEMBL1699974,CCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,4.80,4.54
CHEMBL1527439,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,2.81,2.09
CHEMBL111333,CCCCC(=O)O[C@]1(C(=O)O)CCC2C3CCC4=CC(=O)CC(CSC)C4(C)C3[C@@H](O)CC21C,4.64,1.23
CHEMBL2354819,CC(=O)[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@@]4(C)C3CC[C@]21C,3.84,3.40
CHEMBL66448,C[C@@H]1CC2=CC(=O)CC[C@@H]2C2CC[C@@]3(C)C(CC[C@@H]3O)C21,3.74,3.35
CHEMBL1092578,C[C@]12C[C@H](O)[C@H]3C(CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1.78,1.28
CHEMBL1557383,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21C,3.49,3.22
CHEMBL1314138,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H](C(=O)CO)CC[C@H]12,3.70,3.33
