chemblID,smiles,ALogP,LogD
CHEMBL2009814,CCCCCC/C=C\CCCCCCCCCC1=C(CN(C)C)C(=O)C=C(OC)C1=O,6.56,7.37
CHEMBL3357299,NC1=CC(=O)C=CC1=O,-0.46,-0.13
CHEMBL4301596,CC1=C(C)C(=O)C(CC[C@](C)(O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C(=O)O)=C(C)C1=O,6.83,5.59
CHEMBL43055,COC1=CC(=O)C(COC(C)=O)=CC1=O,0.16,0.17
CHEMBL4302880,C=CCSC1=CC(=O)C(NCCCN(C)C)=CC1=O,1.37,0.69
CHEMBL4299935,CC1=C(C)C(=O)C(CC[C@](C)(O)CCC[C@H](C)CCC[C@H](C)CCCC(C)CO)=C(C)C1=O,6.73,7.67
CHEMBL217894,CCCCCCCCCCC1=C(C)C(=O)C(OC)=C(OC)C1=O,4.49,5.00
CHEMBL442564,CC(C)=CCC/C(C)=C\CC1=CC(=O)C=C(C)C1=O,4.09,4.69
CHEMBL4211087,C=CCSC1=CC(=O)C(NCCCO)=CC1=O,0.80,0.68
CHEMBL3330726,O=C1C=C(NCCO)C(=O)C=C1NCCO,-1.93,-1.80
CHEMBL4204088,CC1=CC(=O)C(N(C)C)=CC1=O,0.53,1.08
CHEMBL3823367,CNC1=CC(=O)C=C(C(C)(C)C)C1=O,1.21,1.73
CHEMBL4163865,O=C1C=C(Br)C(=O)C(Cl)=C1Cl,2.11,2.36
CHEMBL3416169,CCCCC1=C(O)C(=O)C=C(OC)C1=O,1.67,0.07
CHEMBL1672002,CC1=CC(=O)C(C(C)C)=CC1=O,1.67,2.55
CHEMBL4301442,C=CCSC1=CC(=O)C(NCCCNC)=CC1=O,1.02,-1.48
CHEMBL42185,CC(=O)OCC1=CC(=O)C=CC1=O,0.18,0.58
CHEMBL2252967,CC1=CC(=O)C(C(C)(C)C)=CC1=O,2.06,2.85
CHEMBL4216999,C=CCSC1=CC(=O)C(NCCO)=CC1=O,0.41,0.62
CHEMBL3586537,CC1=C(Br)C(=O)C(C(C)(C)CC(=O)O)=C(C)C1=O,2.62,-0.40
CHEMBL447771,CCCCCCCC1=CC(=O)C=C(OC)C1=O,2.96,3.68
CHEMBL1966705,CCCCCCCCSC1=C(Cl)C(=O)C(OC)=C(OC)C1=O,4.19,3.98
CHEMBL2228914,CCCCCC1=C(OC)C(=O)C=C(OC)C1=O,2.15,2.39
CHEMBL2347665,COC1=C(OC)C(=O)C(CCCCCCCCC(C)(C)C)=C(C)C1=O,5.13,5.59
CHEMBL1085446,COC(=O)[C@H](C)NC1=C(Cl)C(=O)C(N[C@@H](CCCNC(=N)N[N+](=O)[O-])C(=O)OC)=C(Cl)C1=O,-0.59,-0.37
CHEMBL2252964,COC1=CC(=O)C(C)=CC1=O,0.61,1.01
