chemblID,smiles,ALogP,LogD
CHEMBL3634564,O=C1c2c(O)cc(O)cc2O[C@H](c2ccccc2O)[C@H]1O,1.48,1.95
CHEMBL3401430,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)ccc21,2.51,2.03
CHEMBL3608335,COc1cc(C2CC(=O)c3c(cc(O)c(C/C=C(\C)CCCC(C)(C)O)c3O)O2)cc(O)c1O,4.65,4.51
CHEMBL4160845,CCCCOc1ccc([C@@H]2CC(=O)c3cc(CC=C(C)C)c(OC)cc3O2)cc1,6.09,5.83
CHEMBL4160626,COc1cc(O)c(CC=C(C)C)c2c1C(=O)C[C@@H](c1ccc(O)cc1)O2,4.32,3.87
CHEMBL1551302,COc1cc2c(cc1CC=C(C)C)C(=O)C[C@@H](c1ccc(O)cc1)O2,4.62,4.36
CHEMBL1717868,COc1cccc(C2Oc3ccc(Br)cc3C(=O)C2O)c1,3.14,2.99
CHEMBL1928773,CCCc1c(O)ccc2c1OC(c1cc(OC)c(OC)cc1OC)CC2=O,4.08,3.65
CHEMBL1186971,COc1ccc(C2Oc3ccccc3C(=O)C2N)cc1,2.34,2.02
CHEMBL32571,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,2.51,2.70
CHEMBL482235,COc1ccc([C@H]2Oc3cc(OC)c(OC)c(OC)c3C(=O)[C@@H]2O)cc1O,2.10,1.44
CHEMBL490976,COc1ccc2c(c1)OC(OC)(c1ccc(OC)c(OC)c1)C(O)(OC)C2=O,2.12,2.92
CHEMBL1977891,COc1ccc2c(c1)OC(c1ccccc1O)CC2=O,3.11,2.63
CHEMBL4160635,COc1cc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCCC(C)(C)O)c3O)O2)cc(O)c1O,4.65,4.51
CHEMBL463344,COc1cc(O)c2c(c1)O[C@H](c1ccc(OC)c(OC)c1C/C=C(\C)CCC=C(C)C)CC2=O,6.36,6.34
CHEMBL458820,C=CCc1c(O)cc(O)c2c1OC(c1ccc(OC)cc1)CC2=O,3.54,3.90
CHEMBL3809755,O=C1CC(c2cc(O)c(O)c(O)c2)Oc2cc(O)cc(O)c21,1.92,2.08
CHEMBL453812,C=C(C)[C@H](O)Cc1c(OC)cc(OC)c2c1O[C@H](c1ccccc1)CC2=O,3.89,3.34
CHEMBL492424,C=C(C)C(CC=C(C)C)Cc1c(O)cc(O)c2c1OC(c1ccccc1O)CC2=O,5.60,6.04
CHEMBL462721,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)c(CC=C(C)C)c3O2)ccc1O,5.82,5.73
CHEMBL228985,COc1ccc2c(c1)OC(c1ccc(OCC=C(C)C)cc1)CC2=O,4.75,4.14
CHEMBL1492383,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)C1O,1.19,1.65
CHEMBL1094618,CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1cc(O)cc(O)c1)O2,5.45,5.73
CHEMBL462784,C=CCc1cc(O)cc2c1OC(c1ccc(O)cc1)CC2=O,3.53,3.58
CHEMBL2402613,COc1ccc(C2CC(=O)c3c(cc(C)c(Cl)c3C)O2)cc1OC,4.68,4.41
CHEMBL1207023,COc1ccc(C2CC(=O)c3c(O)cc(OCC(=O)O)cc3O2)cc1O,2.28,-1.22
CHEMBL516671,C=CC(C)(C)c1cc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(O)cc1O,5.19,5.75
CHEMBL3357527,CCCCCCOc1ccccc1C1CC(=O)c2ccc(O)cc2O1,5.06,4.70
CHEMBL2374587,C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1OC(c1ccc(O)cc1O)[C@@H](O)C2=O,4.58,4.50
CHEMBL4296705,CCN(CC)Cc1ccc(C2CC(=O)c3cc(OC)c(OC)cc3O2)cc1,4.25,2.15
CHEMBL107131,COc1cc(OC)c2c(c1)OC(c1ccccc1)CC2=O,3.41,2.78
CHEMBL1545584,CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)CC(c1ccc(O)cc1)O2,5.53,6.04
CHEMBL241571,COc1cc([C@H]2Oc3cc(O)ccc3C(=O)[C@@H]2O)ccc1O,1.78,1.44
CHEMBL1095905,CC(C)CC(=O)O[C@H]1C(=O)c2c(O)cc(O)cc2O[C@@H]1c1ccccc1,3.37,4.14
CHEMBL126797,CCCCCCCC/C=C/CCCCCCCC(=O)Oc1cc(O)c2c(c1)OC(c1ccc(O)cc1)CC2=O,8.75,9.69
CHEMBL517927,COc1cc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)C/C=C/C(C)(C)O)c3O)O2)ccc1O,4.72,4.61
CHEMBL3401938,C=CCOc1ccccc1C1CC(=O)c2ccccc2O1,3.96,3.67
CHEMBL1548173,COc1ccc2c(c1)C(=O)[C@@H](O)[C@H](c1ccc(OC)c(Br)c1)O2,3.14,2.83
CHEMBL458480,COc1ccc([C@H]2Oc3cc(O)cc(O)c3C(=O)[C@@H]2O)cc1,1.78,2.11
CHEMBL486857,CC(C)=CCc1c(O)cc(O)c2c1OC(c1cccc(Br)c1)CC2=O,5.08,5.46
CHEMBL463842,COc1cc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)cc(OC)c1O,5.76,5.72
CHEMBL503483,O=C1c2ccccc2OC(Cl)(c2ccccc2)C1Cl,3.96,4.74
CHEMBL525974,C=CCc1c(O)ccc2c1OC(c1ccc(Cl)cc1)CC2=O,4.48,4.29
CHEMBL399121,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,2.52,2.55
CHEMBL482776,COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)cc(OC)c1OC,2.83,2.54
CHEMBL4083227,C=CC(C)(C)c1cc(C2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)c(OC)cc1O,5.49,5.90
CHEMBL254613,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,3.11,3.26
CHEMBL482954,O=C1CC(c2ccccc2)Oc2c(Cl)cccc21,4.05,3.70
CHEMBL1685068,COc1cc(OC)c2c(c1C)OC(c1ccccc1)CC2=O,3.72,3.29
CHEMBL3109442,CC(=O)O[C@@H]1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1,1.76,2.09
CHEMBL4243820,C=CCc1ccc2c(c1O)C(=O)CC(c1ccc(OC)cc1)O2,3.84,4.36
CHEMBL517472,COc1cc(O)c2c(c1)O[C@H](c1ccc(OC)c(O)c1C/C=C(\C)CCC=C(C)C)CC2=O,6.06,6.19
CHEMBL468285,COc1cc([C@@H]2Oc3cc(OC)c(OC)c(OC)c3C(=O)[C@@H]2O)cc(OC)c1OC,2.42,1.43
CHEMBL492828,COc1cc(O)c(CC=C(C)C)c2c1C(=O)CC(c1ccc(O)cc1)O2,4.32,3.87
CHEMBL4296704,CCN(C)Cc1ccc(C2CC(=O)c3cc(OC)c(OC)cc3O2)cc1,3.86,2.05
CHEMBL2402614,COc1cc(C2CC(=O)c3c(cc(C)c(Cl)c3C)O2)cc(OC)c1OC,4.69,4.25
CHEMBL515359,CC(C)=CCc1cc(O)c(O)c(CC=C(C)C)c1[C@H]1Oc2c(CC=C(C)C)c(O)cc(O)c2C(=O)[C@@H]1O,5.71,6.78
CHEMBL2402611,Cc1cc2c(c(C)c1Cl)C(=O)CC(c1ccc(Cl)cc1)O2,5.32,5.33
CHEMBL509989,COC1(O)C(=O)c2ccccc2OC1(OC)c1ccc(C)cc1,2.40,3.91
CHEMBL4248925,COc1ccc(C2CC(=O)c3c(ccc(CC=C(C)C)c3O)O2)cc1,4.62,4.99
CHEMBL485468,COc1ccc(C2(OC)Oc3ccccc3C(=O)C2(O)O)cc1,1.45,2.58
CHEMBL4286258,CC(C)(O)CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,3.21,3.43
CHEMBL482793,O=C1CC(c2ccc(Cl)cc2Cl)Oc2ccc(Cl)cc21,5.35,4.91
CHEMBL2011402,COc1ccc([C@H]2Oc3cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c3C(=O)[C@@H]2O)cc1O,4.72,5.13
CHEMBL1224711,COc1ccc(C2CC(=O)c3c(O)c(C)c(O)c(C)c3O2)cc1,3.43,3.98
CHEMBL453642,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1OC)CC2=O,5.61,5.89
CHEMBL3634588,COc1cc(OC)cc([C@H]2Oc3cc(O)cc(O)c3C(=O)[C@@H]2O)c1,1.79,1.95
CHEMBL1715302,COc1cccc(C2Oc3ccc(OC)cc3C(=O)C2O)c1,2.38,2.07
CHEMBL462786,C=CCc1cc(O)cc2c1OC(c1ccc(Cl)cc1)CC2=O,4.48,4.49
CHEMBL483028,O=C1CC(c2ccccc2)Oc2ccc(Cl)cc21,4.05,3.70
CHEMBL479869,CC(C)=CCC/C(C)=C/Cc1cc([C@@H]2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)cc(O)c1O,6.96,7.46
CHEMBL470249,COc1c(CC=C(C)C)cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1CC=C(C)C,5.83,6.31
CHEMBL4168939,COc1cc(O)cc([C@@H]2CC(=O)c3c(O)c(C)c(O)c(C)c3O2)c1,3.14,3.67
CHEMBL3401438,CCCCCCCCCCCC(=O)Oc1ccc(C2CC(=O)c3ccc(OC)cc3O2)cc1O,6.93,7.59
CHEMBL470666,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(CC=C(C)C)c1O,5.54,5.96
CHEMBL479476,COc1cc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(O)cc1O,3.73,3.92
CHEMBL492827,C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1OC(c1ccc(O)cc1O)CC2=O,5.61,5.23
CHEMBL4242814,C=CCc1ccc2c(c1O)C(=O)CC(c1ccc(C)cc1)O2,4.14,5.03
CHEMBL482956,Cc1ccc(C2CC(=O)c3cc(Cl)ccc3O2)cc1,4.35,4.21
CHEMBL4174694,COc1c(O)cc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)cc1O,5.46,5.58
CHEMBL1505816,O=C1CC(c2ccc(O)c(O)c2)Oc2c1ccc(O)c2O,2.22,1.78
CHEMBL601205,Cc1ccc2c(c1)O[C@H](c1ccccc1)CC2=O,3.70,3.61
CHEMBL3765063,COc1ccc([C@@H]2CC(=O)c3c(cc(O)c(CN(C)C)c3O)O2)cc1O,2.58,1.36
CHEMBL2299043,COc1cc(OC)c2c(c1)OC(c1cc(OC)c(O)c([N+](=O)[O-])c1)CC2=O,3.03,1.96
CHEMBL3634580,COc1cccc(OC)c1C1Oc2cc(O)cc(O)c2C(=O)C1O,1.79,1.95
CHEMBL1224647,Cc1c(O)c(C)c2c(c1O)C(=O)CC(c1ccc(Cl)cc1)O2,4.07,4.74
CHEMBL253249,COc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(OC)C2=O,2.14,2.57
CHEMBL1513069,COc1ccc2c(c1)O[C@H](c1cccc(C(F)(F)F)c1)[C@@H](O)C2=O,3.39,3.10
CHEMBL426154,Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,2.82,3.29
CHEMBL465402,C=C(C)[C@H](CC=C(C)C)Cc1c(OC)cc(O)c2c1O[C@H](c1c(O)cccc1O)CC2=O,5.61,5.94
CHEMBL3634567,O=C1c2c(O)cc(O)cc2O[C@@H](c2cccc(O)c2)[C@@H]1O,1.48,1.96
CHEMBL3634583,COc1ccc([C@H]2Oc3cc(O)cc(O)c3C(=O)[C@@H]2O)c(OC)c1,1.79,1.95
CHEMBL600385,COc1ccc2c(c1)O[C@@H](c1ccc(F)cc1)CC2=O,3.54,3.08
CHEMBL1728972,COC(=O)C(COC(C)(C)C)NC(=O)OC1C(=O)c2cc(OC)ccc2OC1c1cccc(OC)c1,3.47,3.24
CHEMBL520468,COc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1OC(C)=O,3.18,1.76
CHEMBL3401434,CCC(=O)Oc1ccc(C2CC(=O)c3ccc(OC)cc3O2)cc1OC(=O)CC,4.03,3.55
CHEMBL508731,O=C1c2ccc(O)cc2OC(c2ccc(O)c(O)c2)C1O,1.48,1.29
CHEMBL506959,COc1cc2c(c(OC)c1O)C(=O)[C@H](O)[C@@H](c1ccc(O)cc1)O2,1.79,1.45
CHEMBL513212,COc1c(/C=C/C(C)(C)O)cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc1CC=C(C)C,5.40,4.76
CHEMBL1802144,Cc1c(O)cc(O)c2c1O[C@H](c1ccccc1O)CC2=O,2.82,3.28
CHEMBL440494,C=C(C)C(CCC(C)(C)O)Cc1c(O)cc(OC)c2c1O[C@H](c1ccc(O)cc1O)[C@H](O)C2=O,3.78,3.43
CHEMBL468031,C/C(=C/Cc1c([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)ccc(O)c1O)CCCC(C)(C)O,4.65,4.72
CHEMBL463498,COc1cc2c(c(OC)c1OC)C(=O)CC(c1ccc(O)c(O)c1)O2,2.83,2.01
CHEMBL4104143,COC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)cc1,2.13,2.60
CHEMBL1269161,Cc1c(O)cc(O)c2c1O[C@H](c1ccccc1)CC2=O,3.11,3.60
CHEMBL113704,CC1C(=O)c2cc(O)ccc2OC1c1ccc(O)cc1,3.05,3.02
CHEMBL483411,COc1ccc(C2CC(=O)c3cc(OC)ccc3O2)cc1,3.41,2.78
CHEMBL4251381,CC(C)CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)cc1)O2,4.10,4.90
CHEMBL92057,CCCCCCC/C=C\CCCCCCCCC(=O)Oc1cc(O)c2c(c1)OC(c1ccc(OC)c(O)c1)CC2=O,8.76,9.54
CHEMBL597472,Cc1ccc([C@@H]2CC(=O)c3ccc(F)cc3O2)cc1,3.84,3.75
CHEMBL3260545,CCN(CC)C(=S)SC1C(=O)c2cc(Br)ccc2OC1c1ccc(OC)cc1,5.50,5.59
CHEMBL3634586,COc1ccc(OC)c([C@@H]2Oc3cc(O)cc(O)c3C(=O)[C@H]2O)c1,1.79,1.95
CHEMBL238481,O=C1c2ccc(O)cc2OC(c2ccc(O)c(O)c2O)C1O,1.19,0.97
CHEMBL465773,CC(C)=CCc1cc(C2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)cc(CC=C(C)C)c1O,7.04,7.83
CHEMBL1556144,CCOC(=O)CNC(=O)O[C@@H]1C(=O)c2cc(OC)ccc2O[C@H]1c1ccc(OC)c(Br)c1,3.44,3.15
CHEMBL2236790,CCCCCOc1cc(OC)c2c(c1CC=C(C)C)O[C@H](c1ccc(O)cc1)CC2=O,6.19,5.97
CHEMBL1224649,Cc1c(O)c(C)c2c(c1O)C(=O)CC(c1ccc([N+](=O)[O-])cc1)O2,3.33,4.08
CHEMBL491534,CC(C)=CCc1c(O)ccc2c1O[C@H](c1ccc(O)cc1)CC2=O,4.31,4.01
CHEMBL4101733,COc1cc2c(cc1OC)C(=O)[C@@H](O)[C@H](c1cccc(O)c1O)O2,1.79,1.45
CHEMBL1425525,COc1c(CC=C(C)C)cc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1CC=C(C)C,5.83,6.31
CHEMBL9249,O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,1.19,1.65
CHEMBL1556958,Cc1c(O)cc2c(c1O)C(=O)CC(c1ccccc1)O2,3.11,3.59
CHEMBL455102,CC(C)=CCc1c(O)cc(O)c2c1O[C@@H](c1ccc(O)cc1)[C@@H](O)C2=O,2.99,3.63
CHEMBL3901561,O=C1C[C@@H](c2cc(O)c(O)c(O)c2)Oc2cc(O)ccc21,2.22,1.72
CHEMBL2386669,COc1ccc(Cl)cc1C1CC(=O)c2ccccc2O1,4.06,3.54
CHEMBL1089227,COc1cc(O)c2c(c1CC=C(C)C)OC(c1ccccc1)CC2=O,4.62,4.99
CHEMBL3581349,C=C(CCC=C(C)C)C(O)Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,4.72,4.96
CHEMBL482761,Cc1ccc(C2CC(=O)c3cccc(Cl)c3O2)cc1,4.35,4.21
CHEMBL57943,CC(C)NCC(O)COc1ccc2c(c1)OC(c1ccccc1)CC2=O,3.13,0.58
CHEMBL9353,COc1cc([C@H]2Oc3cc(O)cc(O)c3C(=O)[C@@H]2O)ccc1O,1.49,1.80
CHEMBL3634587,COc1ccc(C2Oc3cc(O)cc(O)c3C(=O)C2O)cc1OC,1.79,1.95
CHEMBL104565,O=C1CC(c2ccccc2)Oc2c1ccc(O)c2O,2.80,2.39
CHEMBL3581347,C/C(=C\Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2)CCC(O)C(C)(C)O,3.91,3.90
CHEMBL601844,Cc1ccc2c(c1)O[C@@H](c1ccccc1)CC2=O,3.70,3.61
CHEMBL1688181,COc1c(CC=C(C)C)cc(C2CC(=O)c3ccc(O)cc3O2)cc1CC=C(C)C,6.12,5.95
CHEMBL4162628,CC(C)=CCC/C(C)=C/Cc1c(O)c(CC=C(C)C)cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c1O,6.96,7.50
