chemblID,smiles,ALogP,LogD
CHEMBL1823119,C/C(=C\[C@@H](O)C/C(C)=C/CCCC(=O)CO)CC[C@@H](O)[C@]1(C)CCC(=O)O1,2.60,1.91
CHEMBL3545514,CCN(CC)CCC1(C(C)=O)CCOC1=O,1.24,-0.30
CHEMBL1624997,CCCC1CC(CSC(=N)N)OC1=O,1.34,-0.72
CHEMBL1623342,CCCCC1(C(=O)OCC)CC(CSC(=N)N)OC1=O,1.67,-0.03
CHEMBL1617813,CCCCCCC1CC(CSC(=N)N)OC1=O,2.52,0.61
CHEMBL452126,CCCCCCCC[C@H]1OC(=O)C(C)(C)[C@@H]1C(=O)O,3.39,1.35
CHEMBL1911954,CCCCCCNC(=O)C1CCOC1=O,1.25,1.51
CHEMBL1999425,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@]1(CO)CCC(=O)O1,5.64,6.20
CHEMBL1818521,O=C(CCCCCCCCCNC(=O)CCl)CC(=O)N[C@H]1CCOC1=O,1.85,1.76
CHEMBL267527,CCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,2.13,2.51
CHEMBL492056,CCCCCCCCCCOC[C@@H](O)[C@H]1CCC(=O)O1,3.21,3.52
CHEMBL191935,CCCCCC1CCC(=O)O1,2.27,2.42
CHEMBL3199863,CCCC1CC(C)(/C(C)=N\NC(N)=S)OC1=O,1.32,2.01
CHEMBL2269645,CCCCCCC1(O)CC(=O)OC1(C)C,2.41,2.51
CHEMBL2262422,CCC(=O)OCC1CC(CC)(CC)C(=O)O1,2.06,2.65
CHEMBL323750,CCCCCCCC/C=C/CCCCCCCC(=O)OCC1(CO)CCC(=O)O1,5.64,6.20
CHEMBL397411,C=CC(CCCCC)O[C@@H]1CC(=O)O[C@@H]1CCCCCCC,5.18,6.04
CHEMBL435688,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(I)C1CCC(=O)O1,7.03,7.55
CHEMBL3916503,CCCCCCCCC[C@H]1OC(=O)C[C@H]1O,2.80,3.28
CHEMBL1740886,CCCCCC1(C(=O)OCC)CC(CSC(=N)N)OC1=O,2.06,0.42
CHEMBL206242,CCCCCCCCC(=O)CCC(=O)N[C@H]1CCOC1=O,2.52,2.44
CHEMBL3235593,CCCCCCCCCC(=O)CC(=O)O[C@H]1CCOC1=O,2.95,3.68
CHEMBL1823928,CC(=O)CCCC(=O)N[C@H]1CCOC1=O,0.18,-0.48
CHEMBL3986271,CCCCCCCCCCCCC[C@H]1OC(=O)C[C@H]1O,4.36,5.06
CHEMBL275831,CC(C)(C)CC(=O)CC(=O)NC1CCOC1=O,0.81,0.87
CHEMBL1823941,O=C(CCCCCCCCCCNC(=O)CCl)CC(=O)N[C@H]1CCOC1=O,2.24,2.21
CHEMBL1271054,CCCCCCCCCCCCCCCC[C@@](C)(O)C[C@]1(C)OC(=O)C[C@@H]1O,6.07,6.38
CHEMBL482475,CCCCCC(=O)CC(=O)NC1CCOC1=O,0.96,1.17
CHEMBL1911953,CCCCCNC(=O)C1CCOC1=O,0.86,0.99
CHEMBL267760,O=C(O)CCCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,2.36,0.11
CHEMBL161889,CC(=O)O[C@@H]1OC(=O)[C@](O)(C(C)=O)[C@@H]1C,-0.61,0.05
CHEMBL461617,C#CCCCCCCCC/C=C/[C@H]1C(=O)O[C@@H](C)[C@H]1O,3.22,3.91
CHEMBL260905,CCCCCCCCCCNS(=O)(=O)NC1CCOC1=O,1.87,2.16
CHEMBL466882,O=C1O[C@@H]([C@H](O)CO)[C@H](O)[C@H]1O,-3.01,-2.75
CHEMBL478088,CCC(C)C[C@H]1C(=O)O[C@@H](C)[C@@H]1O,1.34,1.81
CHEMBL426064,CCCCCCS(=O)(=O)NC1CCOC1=O,0.80,0.76
CHEMBL397412,C#CC(CCCCCCC)O[C@@H]1CC(=O)O[C@@H]1CCCCCCC,5.41,6.43
CHEMBL427463,C=CCC(C)O[C@@H]1CC(=O)O[C@@H]1CCCCCCC,4.01,4.47
CHEMBL275081,C=CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,2.68,3.09
CHEMBL455439,CCCCC1CCOC1=O,1.74,2.03
CHEMBL405466,CCCCCCCOC(=O)O[C@H]1CC(=O)O[C@@H]1CO,1.79,2.32
CHEMBL162268,CC(=O)[C@@]1(C)C(=O)O[C@@H](OC(=O)C(C)(C)C)[C@H]1C,1.69,2.90
CHEMBL1269938,C#CCCCCCCCC[C@@H]1C[C@H](C[C@@H](O)CO)C(=O)O1,2.42,2.76
CHEMBL286415,CCC1(CC)CCOC1=O,1.74,2.14
CHEMBL1978153,CCOP(=O)(OCC)C1CC(C)OC1=O,1.96,0.76
CHEMBL453145,C/C=C/C=C\[C@@H](O)[C@H]1CCC(=O)O1,1.19,1.22
CHEMBL3605257,C[C@@H](O)CCCCCC[C@@H]1CCC(=O)O1,2.41,2.29
CHEMBL607627,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,-2.37,-2.11
CHEMBL96773,CCCCCCCCCCCCCC(=O)OCC1(CO)COC(=O)C1,4.16,4.36
CHEMBL12988,CCCCCCCCCCCCCC[C@H]1C(=O)O[C@@H](CO)[C@@H]1OC(C)=O,4.54,5.36
CHEMBL282101,CCCCCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(=O)O[C@H]1CO,5.86,6.85
CHEMBL608357,O=C1O[C@H](CCl)[C@@H](O)[C@H]1O,-1.13,-0.76
CHEMBL8560,CCCCCC(C)CCC(=O)CC(=O)N[C@H]1CCOC1=O,2.37,2.79
CHEMBL1328484,O=C1O[C@@H]([C@@H](O)CO)[C@@H](O)[C@H]1O,-3.01,-2.75
CHEMBL1775183,CCCCOCCCNC(=O)CC(=O)N[C@H]1CCOC1=O,0.13,-0.44
CHEMBL13044,CCCCCCCCCCCCCC(=O)O[C@H]1CC(=O)O[C@@H]1CO,3.91,4.63
CHEMBL4126635,C=CCCCCCCCC/C=C/[C@H]1C(=O)O[C@@H](C)[C@H]1O,3.77,4.41
CHEMBL3244477,CCCCC[C@@](C)(O)/C=C/[C@H]1COC(=O)[C@@H]1CCCCCCC(=O)OC,4.18,4.35
CHEMBL1770361,C#CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,2.13,2.59
CHEMBL26662,CCCCCCCOC(=O)O[C@H]1OC(=O)C[C@@H]1O,1.74,2.58
CHEMBL478639,CCCCCCC1CCOC1=O,2.52,2.92
