chemblID,smiles,ALogP,LogD
CHEMBL356900,CN1C(=O)CN=C(c2c(F)cccc2F)c2cc(Br)ccc21,3.54,3.53
CHEMBL2106564,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2N(C(=O)NC)C1=O,2.93,3.34
CHEMBL4111709,CC(F)(F)C[C@H](C(N)=O)[C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c2ccccc2NC1=O,4.02,3.40
CHEMBL2106762,CP(C)(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.10,1.57
CHEMBL4077570,CC[C@H](C)[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,3.89,4.51
CHEMBL150738,CN1C(=O)CN=C(c2ccccc2)c2cc(F)ccc21,2.64,2.61
CHEMBL3891599,Cc1cccc2c1NC(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C2c1cccc(Cl)c1,5.28,5.41
CHEMBL3823924,COC(=O)/C=C\CCN1C(=O)CN=C(c2ccccc2)c2ccccc21,2.99,3.30
CHEMBL3908473,Cc1cccc2c1NC(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C2c1cccc(C(F)(F)F)c1,5.65,5.61
CHEMBL1098611,CCOC1N=C(c2ccccc2)c2cc(Br)ccc2NC1=O,3.60,4.09
CHEMBL3956533,NC(=O)[C@@H](CCCF)[C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c2cccc(Cl)c2NC1=O,4.38,4.16
CHEMBL306396,NC1N=C(c2ccccc2)c2ccccc2NC1=O,1.76,2.21
CHEMBL2408695,CN1C(=O)[C@H](NC(=O)CCCCCCC(=O)NO)N=C(c2ccccc2)c2ccccc21,2.79,2.68
CHEMBL2408690,CN1C(=O)CN=C(c2ccccc2)c2cc(C#CCCC(=O)NO)ccc21,2.14,2.20
CHEMBL4073906,CC(C)C[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,3.89,4.43
CHEMBL3977486,Cc1cccc2c1NC(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCCC(F)(F)F)C(N)=O)N=C2c1cccc(Cl)c1,5.67,5.85
CHEMBL4079510,CC(C)(C)OC(=O)NCCCC[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)O)C1=O,5.19,1.69
CHEMBL1574922,O=C1Nc2ccc(Br)cc2C(c2ccc(Cl)cc2)=NC1O,3.21,3.69
CHEMBL1896709,CC(=O)NNC(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Br)ccc21,1.80,1.32
CHEMBL275115,CN1C(=O)CN=C(c2ccccc2)c2cc(C#N)ccc21,2.37,2.33
CHEMBL348664,CCc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,3.04,3.57
CHEMBL3921166,C[C@@H](C[C@H](C(N)=O)[C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(c2ccccc2)c2cccc(F)c2NC1=O)C(F)(F)F,4.71,4.81
CHEMBL1616450,NCCCCCC(=O)OC1N=C(c2ccccc2Cl)c2cc(Br)ccc2NC1=O,4.28,2.02
CHEMBL2106231,CCOC(=O)C1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,3.71,4.31
CHEMBL358422,CN1C(=O)CN=C(c2ccccc2Cl)c2ccccc21,3.15,3.08
CHEMBL3251474,COC(=O)CCC(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N[14C]1=O,2.95,3.34
CHEMBL2110637,O=C(O)C1N=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2NC1=O,1.84,-0.95
CHEMBL13135,CN(C)c1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2C,3.22,3.18
CHEMBL299688,CCOC1N=C(c2ccccc2)c2cc(Cl)ccc2N(CCOC(C)=O)C1=O,3.45,3.54
