chemblID,smiles,ALogP,LogD
CHEMBL4062540,CCc1c2c(nc3ccc(F)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,2.78,2.32
CHEMBL1193266,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/NC(=O)C(N)CO,-0.15,-1.40
CHEMBL2008959,CC[C@@]1(OC(=O)CCC(=O)O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,2.50,-1.78
CHEMBL1192656,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/NC(=O)C(N)CC(C)C,1.90,0.50
CHEMBL128924,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=C/C=O,2.29,1.22
CHEMBL168975,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(/C=C(\NC(C)=O)C(=O)OC)cccc3nc2-1,1.73,0.43
CHEMBL1194191,CCC1(OC(=O)CN)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(N)ccc3nc2-1,1.17,-0.26
CHEMBL2010170,CCNCC(=O)O[C@]1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,2.24,1.47
CHEMBL1195829,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(/N=C(\C)N(C)C)cccc3nc2-1,2.69,-0.63
CHEMBL219664,CCCNc1c2c(c(=O)n3c1-c1nc4ccccc4cc1C3)COC(=O)[C@]2(O)CC,2.90,1.50
CHEMBL10960,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[N+](C)(C)C)c(O)ccc3nc2-1,1.99,-2.28
CHEMBL3314162,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CN(C(C)C)C(C)C,3.70,0.35
CHEMBL3277952,C#CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1.69,0.86
CHEMBL2028430,CC[C@@]1(OC(=O)CCC(=O)[O-])C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1.[Na+],2.50,-1.78
CHEMBL2009251,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)CCSC,1.61,-0.09
CHEMBL2115019,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(Cl)ccc3nc2-1,2.73,1.82
CHEMBL369836,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(I)cc1c2C(=O)O,2.38,-1.56
CHEMBL1207852,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OCC(=O)O)ccc3nc2-1,1.54,-2.85
CHEMBL355285,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(/C=C/C(=O)OC)cccc3nc2-1,2.27,1.76
CHEMBL3277951,CCC1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,3.54,2.97
CHEMBL1197073,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/NC(=O)C(N)CCSC,1.61,-0.09
CHEMBL1190084,CCc1c2c(nc3cccc(/N=C/N(C)C)c13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,2.86,0.43
CHEMBL1998850,CC[C@@]1(N(C)C)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,2.65,1.76
CHEMBL1999172,CCC(C)C(N)C(=O)N/N=C\c1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.Cl,1.90,0.51
CHEMBL1189582,CCC1(OC(=O)CN)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,1.17,-0.26
CHEMBL2005017,CCCNCC(=O)O[C@]1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1.Cl,2.63,1.97
CHEMBL2010187,CC[C@@]1(OC(=O)C(N)CCC(=O)O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1.82,-1.57
CHEMBL2008388,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/NC(=O)C[N+](C)(C)C,1.24,-3.91
CHEMBL71475,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OC)c(OC)cc3nc2-1,2.10,0.90
CHEMBL542775,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N/C=N/C)cccc3nc2-1.Cl,2.15,0.21
CHEMBL166487,COCCOCOCCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1.70,0.37
CHEMBL352302,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(F)cc1c2C(=O)O,1.92,-2.35
CHEMBL1196700,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/NC(=O)CN,0.49,-1.10
CHEMBL304814,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OCCN)ccc3nc2-1,1.42,-1.59
CHEMBL174428,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cccc(I)c1c2C(=O)O,2.38,-1.57
CHEMBL1995417,CCNCC(=O)O[C@]1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1.Cl,2.24,1.47
CHEMBL518029,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)[C@@H](F)c2cc3ccccc3nc2-1,2.55,1.62
CHEMBL1985778,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)CO.Cl,-0.15,-1.40
CHEMBL354031,CC(=O)OCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1.23,0.09
CHEMBL322309,CC(=O)O.CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C,2.62,-0.87
CHEMBL411287,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(/C=N/OC(C)(C)C)c(O)ccc3nc2-1,2.93,2.04
CHEMBL113393,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OCCN(C)C,1.99,0.78
CHEMBL50835,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C,2.62,-0.87
CHEMBL114135,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)CO,2.20,1.33
CHEMBL3326014,CC[C@@]1(OC(=O)CCCCCCCCC(=O)OCCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,13.95,13.03
CHEMBL91945,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(OC)cccc3nc2-1,2.09,1.06
CHEMBL1732483,CCC1(OC(=O)CN(C)C)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1.Cl,1.77,0.66
CHEMBL65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,2.08,1.22
CHEMBL154567,C[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1.69,0.70
CHEMBL2009856,CCN(CC)CC(=O)O[C@]1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,2.97,2.08
CHEMBL168505,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(/C=C/C(=O)OC)ccc3nc2-1,2.27,1.76
CHEMBL1688857,CCc1c2c(nc3ccccc13)-c1c(N)c3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,2.22,1.14
CHEMBL3353755,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CSCCC(=O)O)c(O)ccc3nc2-1,2.49,-1.84
CHEMBL3353749,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CSC)c(O)ccc3nc2-1,2.65,1.78
CHEMBL267814,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(CN)ccc3nc2-1,1.54,-1.44
CHEMBL91495,O=C1OCc2c(cc3n(c2=O)Cc2cc4ccccc4nc2-3)C1(O)CCBr,2.45,1.25
CHEMBL1760032,CC[C@@]1(OC(C)=O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(COC(C)=O)c(OC(C)=O)ccc3nc2-1,2.64,0.94
CHEMBL10611,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(CC#N)cc1c2C,2.45,1.43
CHEMBL4237816,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@@]3(CC)OC(=O)CCCCCCCCC(=O)NO,4.52,3.98
CHEMBL103145,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cccc(CN)c1c2C,1.85,-1.14
CHEMBL1621717,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(NC(=O)CN)cccc3nc2-1,0.98,-1.14
CHEMBL2010219,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)CS,0.79,-0.45
CHEMBL10571,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(COCCN(C)C)c(O)ccc3nc2-1,1.86,-0.66
CHEMBL340864,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(OC)cc1c2COC(C)=O,2.15,0.74
CHEMBL1183874,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OCC(=O)NCCCN,0.90,-2.81
CHEMBL3353756,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CSCC(=O)OC)c(O)ccc3nc2-1,2.19,1.09
CHEMBL1188190,CCC1(N)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,2.05,0.99
CHEMBL355355,COCOCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1.29,0.36
CHEMBL540086,CCc1c2c(nc3cccc(/N=C/N(C)C)c13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.Cl,2.86,0.43
