chemblID,smiles,ALogP,LogD
CHEMBL2398411,COC(=O)C1=C(C(C)C)NC(=O)NC1c1cccc([N+](=O)[O-])c1,2.03,1.71
CHEMBL4217167,CCOC(=O)C1=C(C)NC(=O)NC1c1cc(C=O)c(O)c(C(C)(C)C)c1,2.69,2.83
CHEMBL3414780,CCCCCCCCCCCCCCCCOC(=O)C1=C(C)NC(=O)NC1c1cccc(O)c1,7.04,7.23
CHEMBL167072,CC1=C(C(=O)OC(C)C)C(c2c(Cl)cccc2Cl)N(C(N)=O)C(=O)N1,3.36,2.52
CHEMBL582885,CNC(=O)C1=C(C)NC(=O)NC1c1ccccc1,1.06,-0.08
CHEMBL4104059,CCC(=O)C1=C(C)NC(=O)NC1c1ccc([N+](=O)[O-])cc1,2.20,1.47
CHEMBL1889128,COC(=O)C1=C(C)N(CCCC(=O)O)C(=O)NC1c1ccc([N+](=O)[O-])cc1,1.97,-2.21
CHEMBL166590,CC1=C(C(=O)OC(C)C)C(c2cccc(Cl)c2Cl)N(C(N)=O)C(=O)N1,3.36,2.52
CHEMBL1901721,CCN1C(=O)NC(c2cccc(C(F)(F)F)c2)C(C(C)=O)=C1C,3.65,2.29
CHEMBL2138210,CCN1C(=O)N[C@@H](c2cccc(C(F)(F)F)c2)C(C(=O)OC)=C1C,3.24,2.34
CHEMBL3818790,COC(=O)C1=C(C)NC(=O)NC1c1ccccc1OC,1.50,0.73
CHEMBL2145125,CCOC(=O)CN1C(=O)N[C@@H](c2cccc(F)c2)C(C(=O)OC)=C1C,1.90,1.23
CHEMBL1876456,COCCN1C(=O)N(C)C(c2ccccc2)C(C(C)=O)=C1C,2.60,1.23
CHEMBL1322205,CC1=C([N+](=O)[O-])C(c2ccc(Cl)cc2)NC(=O)N1C,2.54,1.24
CHEMBL4211115,CCOC(=O)C1=C(C)NC(=O)NC1c1cc(/C=N/NC(=S)NC)c(O)c(C(C)(C)C)c1,2.31,2.39
CHEMBL2042525,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)N(P(N)(N)=O)C(=O)N1,1.91,-0.13
CHEMBL424356,CC1=C(C(=O)OC(C)C)C(c2cccc(C(F)(F)F)c2)N(C(N)=O)C(=O)N1,3.08,2.19
CHEMBL4087415,CCOC(=O)C1=C(C)NC(=O)N(CCC(N)=O)C1c1cccc([N+](=O)[O-])c1,1.37,0.31
CHEMBL550952,CCCCCCCCCCN1C(=O)NC(c2ccccc2)C(C(=O)OCC)=C1C,5.73,5.46
CHEMBL1339523,CCOc1c(O)ccc(C2NC(=O)NC(C)=C2C(=O)OC)c1[N+](=O)[O-],1.50,0.36
CHEMBL1480493,CCCC1=C(C(=O)OCC)C(c2ccccc2OCC)NC(=O)N1C,3.40,2.63
CHEMBL1451045,CCOC(=O)C1=C(C)N(CCCC(=O)O)C(=O)NC1c1ccc(OC)cc1,2.46,-1.89
CHEMBL217188,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(O)cc1,1.58,0.93
CHEMBL3819636,COC(=O)C1=C(C)NC(=O)NC1c1ccc(C(F)(F)F)cc1,2.51,1.76
CHEMBL3818290,COC(=O)C1=C(C)NC(=O)NC1c1ccc(OC(C)=O)c(OC)c1,1.42,0.33
CHEMBL1736581,CCOC(=O)C1=C(C)N(CCO)C(=O)NC1c1cccc(O)c1,1.29,0.47
CHEMBL1533394,CCOC(=O)C1=C(C)N(CCC(=O)O)C(=O)NC1c1ccccc1Cl,2.72,-1.40
CHEMBL1558852,COc1cc(C2NC(=O)NC(C)=C2C(=O)OC(C)(C)C)ccc1OCC(N)=O,1.53,0.29
CHEMBL1612863,CCSCCOC(=O)C1=C(C)NC(=O)NC1c1cccc(OC)c1OC,2.63,1.61
CHEMBL1977576,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(OC)cc1OC,1.89,0.92
CHEMBL1864346,COC(=O)C1=C(C)N(CCCC(=O)O)C(=O)NC1c1ccc(OC)cc1,2.07,-2.24
CHEMBL2144518,CC1=C(C(=O)N(C)C)C(c2ccccc2OC(F)F)NC(=O)N1,2.00,0.91
CHEMBL583380,CNC(=O)C1=C(C)NC(=O)NC1c1cccc([N+](=O)[O-])c1,0.97,-0.14
CHEMBL582914,CNC(=O)C1=C(C)NC(=O)NC1c1ccc(OC)cc1,1.07,-0.24
CHEMBL3818711,COC(=O)C1=C(C)NC(=O)NC1c1c(Cl)cccc1Cl,2.79,2.09
CHEMBL1419871,COc1ccc(Br)cc1C1NC(=O)NC(C)=C1C(=O)N(C)C,2.17,0.76
CHEMBL3354416,CCCCCCSC1=C(C#N)C(c2cccc(Cl)c2)NC(=O)N1,4.74,4.55
CHEMBL1489054,COC(=O)C1=C(C)N(C)C(=O)NC1c1ccc(O)c(Cl)c1,2.19,1.29
CHEMBL378290,CC/C=C/COC(=O)C1=C(C)NC(=O)NC1c1ccc([N+](=O)[O-])cc1,2.73,2.39
CHEMBL2136926,CCOC(=O)C1=C(C)N(CCCC(=O)O)C(=O)NC1c1ccccc1Cl,3.11,-1.17
CHEMBL4094921,CCOC(=O)C1=C(C)NC(=O)N(CCC(=O)O)C1c1cccc([N+](=O)[O-])c1,1.97,-2.22
CHEMBL2282111,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(Br)cc1,2.64,2.01
CHEMBL16411,CC1=C(C(=O)OCC(F)(F)C(F)(F)F)C(c2ccccc2)NC(=O)N1,3.06,2.54
CHEMBL3819653,COC(=O)C1=C(C)NC(=O)NC1c1cc(Br)c(OC)c(OC)c1,2.27,1.34
CHEMBL1432129,CCN1C(=O)N[C@@H](c2ccc(Br)cc2)C(C(=O)OC)=C1C,2.98,2.23
CHEMBL1956959,CC1=C(C(=O)O)C(c2cccc(O)c2)NC(=O)N1,1.10,-3.25
CHEMBL1467858,COCCN1C(=O)N[C@@H](c2ccc(Br)cc2)C(C(C)=O)=C1C,3.02,1.78
CHEMBL1501888,COc1cc(Cl)cc(C2NC(=O)NC(C)=C2C(C)=O)c1OCC(=O)O,2.03,-2.78
CHEMBL1462633,COCCOC(=O)C1=C(C)NC(=O)NC1c1c(F)cccc1Cl,2.30,1.58
CHEMBL166502,CCNC(=O)N1C(=O)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,2.62,1.83
CHEMBL4208349,CCOC(=O)C1=C(C)NC(=O)NC1c1cc(C)c(O)c(/C=N/NC(=S)NC)c1,1.32,1.36
CHEMBL404694,CCOC(=O)C1=C(C)N(CCCC(=O)NCCC(=O)NCCC(=O)O)C(=O)NC1c1ccc(Br)cc1,2.23,-2.62
CHEMBL1864542,C=C(C)CCN1C(=O)NC(c2cccc(C(F)(F)F)c2)C(C(=O)OC)=C1C,4.18,3.25
CHEMBL2398406,CC1=C(C(=O)OC(C)C)[C@@H](c2cccc([N+](=O)[O-])c2)N(C(=O)OC(C)C)C(=O)N1,3.43,2.98
