chemblID,smiles,ALogP,LogD
CHEMBL1615908,NCCCC[C@@H](N)C(=O)NCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,1.79,-2.85
CHEMBL1616021,NCCCCC(N)CNCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,2.65,-4.17
CHEMBL1822021,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CC(O)CO,1.57,0.80
CHEMBL1616002,N=C(N)NCCC[C@H](N)C(=O)NCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,1.31,-3.22
CHEMBL218884,COc1cccc2c1-c1c(c3ccc([N+](=O)[O-])cc3c(=O)n1CCCN)C2=O,2.48,-0.95
CHEMBL2312917,COC(=O)CCC(=O)Nc1ccc2c3c(n(CCCNC(=O)OC(C)(C)C)c(=O)c2c1)-c1ccccc1C3=O,4.02,2.08
CHEMBL3216712,Cl.Cl.NCCCC[C@@H](N)C(=O)CCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,2.63,-1.43
CHEMBL409569,COc1ccc2c(c1OC)-c1c(c3ccc([N+](=O)[O-])cc3c(=O)n1CCCN=[N+]=[N-])C2=O,3.84,1.82
CHEMBL390858,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCNCCO,2.18,-1.07
CHEMBL224967,CC(C)(C)OC(=O)NCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,5.69,4.72
CHEMBL2365894,C[N+](C)(C)CCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,3.31,-1.97
CHEMBL123218,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCO,2.21,1.43
CHEMBL2365202,NCCCn1c2c(c3ccc(C(=O)O)cc3c1=O)C(=O)c1ccccc1-2,2.26,-1.23
CHEMBL1615940,NCCCC[C@H](N)C(=O)NCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,2.18,-2.97
CHEMBL230423,COc1cc2c3c(n(CCCN=[N+]=[N-])c(=O)c2cc1OC)-c1ccc([N+](=O)[O-])cc1C3=O,3.84,1.82
CHEMBL437947,COC(=O)c1ccc2c(c1)C(=O)c1c-2n(CCCN=[N+]=[N-])c(=O)c2cc([N+](=O)[O-])ccc12,3.61,2.14
CHEMBL2172214,CC(=O)Nc1ccc2c3c(n(CCCN)c(=O)c2c1)-c1ccccc1C3=O,2.52,-1.50
CHEMBL1184623,N=C(N)NCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,2.09,-1.37
CHEMBL3546937,NCCCn1c2c(c3ccc([N+](=O)[O-])cc3c1=O)C(=O)c1cccc(O)c1-2,2.18,-0.48
CHEMBL2365203,COC(=O)c1ccc2c3c(n(CCCN)c(=O)c2c1)-c1ccccc1C3=O,2.35,-0.73
CHEMBL1616001,NCCCCC(N)C(=O)CCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,2.63,-1.43
CHEMBL1184079,COc1cc2c(cc1OC)-c1c(c3ccccc3c(=O)n1CCCN)C2=O,2.58,-1.05
CHEMBL2059278,CS(=O)(=O)NCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,2.54,1.21
CHEMBL3422389,Br.COc1cc2c(cc1O)C(=O)c1c-2n(CCCN)c(=O)c2cc([N+](=O)[O-])ccc12,2.18,-0.81
