chemblID,smiles,ALogP,LogD
CHEMBL2109956,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1cc(OC)c2c(c1)C(=O)c1cc(OC)cc(OC)c1C2=O,8.55,4.88
CHEMBL4089401,Cc1cc(Cl)c2c(c1N)C(=O)c1ccccc1C2=O,3.01,3.86
CHEMBL2220025,CCCCCCCCCCCCCCCC[N+](C)(CCCCCCCCCCCCCCCC)CCCCOc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,14.75,15.32
CHEMBL172680,CCN(CC)CCNc1cccc2c1C(=O)c1c(NCCN(CC)CC)cccc1C2=O,3.97,3.30
CHEMBL4116229,CCCCCCCCC[N+](C)(CCOCCOCCO)Cc1cc(OC)c2c(c1)C(=O)c1cc(OC)cc(OC)c1C2=O,5.21,0.99
CHEMBL107893,NCCCC[C@H](N)C(=O)NCC(=O)Nc1ccc(NC(=O)CNC(=O)[C@@H](N)CCCCN)c2c1C(=O)c1ccccc1C2=O,-0.52,-6.99
CHEMBL2220243,CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)Cc1cc(O)c2c(c1)C(=O)c1cc(OC)cc(O)c1C2=O,10.67,10.73
CHEMBL2064268,O=C(OCCOCCO)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,1.04,2.69
CHEMBL3184279,O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)[O-])ccc21.[Na+],1.71,-0.28
CHEMBL2220328,CCCCCCCCCC[N+](C)(CCCCCCCCCC)Cc1cc(O)c2c(c1)C(=O)c1cc(OC)cc(O)c1C2=O,9.11,8.95
CHEMBL53843,CN(CCO)CCNc1ccc(NCCN(C)CCO)c2c1C(=O)c1c(O)ccc(O)c1C2=O,0.55,2.06
CHEMBL2220178,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1cc(O)c2c(c1)C(=O)c1cc(OC)cc(O)c1C2=O,7.94,7.63
CHEMBL1951929,CCN(CC)CC(=O)Nc1cccc2c1C(=O)c1c(NC(=O)CN(CC)CC)cccc1C2=O,3.02,3.85
CHEMBL2220092,CCCCCCCCCCCCCC[N+](C)(C)CCCCOc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,8.12,7.77
CHEMBL2365885,COc1cccc2c1C(=O)c1c(OC)cc(C[N+](C)(C)C)cc1C2=O,2.69,-1.62
CHEMBL4116910,CCN(CC)CCCCCCOC(=O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,3.93,4.09
CHEMBL1180882,CC[N+](C)(CC)CCC(=O)Nc1ccc2c(c1)C(=O)c1ccc(NC(=O)CC[N+](C)(CC)CC)cc1C2=O,4.09,-5.25
CHEMBL44123,CCCCCCc1ccc2c(c1OC(=O)OCCCC)C(=O)c1c(OC(=O)OCCCC)cccc1C2=O,7.22,8.76
CHEMBL256439,CC(=O)c1cccc2c1C(=O)c1cccc(O)c1C2=O,2.37,2.69
CHEMBL3780653,Cl.N=C(N)SCc1ccc2c(c1)C(=O)c1ccccc1C2=O,2.59,0.64
CHEMBL470819,COC(=O)c1c(O)cc2c(c1C)C(=O)c1c(O)cccc1C2=O,1.97,3.89
CHEMBL1331312,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,2.68,3.37
CHEMBL542830,COc1cc(OC)c2c(c1)C(=O)c1cc(CNCCCl)cc(OC)c1C2=O.Cl,2.82,2.23
CHEMBL3617755,CCCC(c1cc(O)c2c(c1O)C(=O)c1ccccc1C2=O)N(CCCl)CCCl,4.49,6.14
CHEMBL112887,O=C1c2cccc(SCC(O)CO)c2C(=O)c2cccc(SCC(O)CO)c21,1.35,1.01
