chemblID,smiles,ALogP,LogD
CHEMBL2221029,COc1ccc(CNS(=O)(=O)c2ccc(C(=N)N)cc2)cc1,1.46,-0.79
CHEMBL3454393,Cc1ccc(F)c(S(=O)(=O)NCc2cccc(CS(C)(=O)=O)c2)c1,2.16,1.77
CHEMBL2221028,N=C(N)c1ccc(S(=O)(=O)NCc2ccccc2)cc1,1.45,-0.63
CHEMBL1182187,Cc1ccc(S(=O)(=O)NCc2cccc(CN)c2)cc1,1.93,0.33
CHEMBL1502712,CCOC(=O)C(C)(C)N(Cc1ccc(C)cc1)S(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,4.09,4.79
CHEMBL4098334,O=C(CN(Cc1cccc(C(=O)O)c1)S(=O)(=O)c1ccc(F)cc1)NO,1.22,-1.94
CHEMBL280116,COc1ccc(S(=O)(=O)N(Cc2ccc(Cl)c([N+](=O)[O-])c2)[C@H](C)C(=O)NO)cc1,2.34,2.35
CHEMBL1549811,Cc1ccc(S(=O)(=O)NCc2ccccc2C)cc1,2.78,3.55
CHEMBL1893847,COc1ccc(C(CC(=O)O)NS(=O)(=O)c2ccc(C)cc2)cc1OC,2.51,-0.87
CHEMBL236167,CC(C)[C@H](C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCC[18F])cc1,2.76,2.90
CHEMBL356725,Cc1ccc(S(=O)(=O)N(Cc2ccc([N+](=O)[O-])cc2)C(C)C(=O)NO)cc1,1.99,2.42
CHEMBL1879154,CC(=O)Nc1ccc(S(=O)(=O)NC(CC(=O)O)c2ccc(OC(C)C)cc2)cc1,2.93,-1.25
CHEMBL145851,CC(C(=O)NO)N(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1ccc([N+](=O)[O-])c(Cl)c1,2.24,2.45
CHEMBL4168729,CC(C)(C)c1ccc(C(CC(=O)O)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1,4.38,2.00
CHEMBL1699168,COc1cccc(CN(CCC(C)C)S(=O)(=O)c2cc(Br)ccc2Br)c1,5.46,5.74
CHEMBL1486867,Cc1cc(Br)ccc1S(=O)(=O)NCc1ccccc1,3.24,3.81
CHEMBL4078433,COc1ccc(S(=O)(=O)N(CC(=O)NO)Cc2cccc(C(=O)O)c2)cc1,1.09,-2.24
CHEMBL429800,CC(C)[C@H](C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCCF)cc1,2.76,2.90
CHEMBL1907950,O=C(O)[C@H](NS(=O)(=O)c1ccc(F)cc1)c1ccccc1,1.93,-1.11
CHEMBL75039,CC(C(=O)NO)N(Cc1ccccc1[N+](=O)[O-])S(=O)(=O)c1cc(Cl)ccc1Cl,2.99,3.12
CHEMBL54436,O=C(CN(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1ccc(C(=O)O)cc1)NO,0.99,-2.37
CHEMBL2221244,COc1ccc(CNS(=O)(=O)c2cccc(C(=N)N)c2)cc1,1.46,-0.80
CHEMBL1885367,COc1cccc(CN(C)S(=O)(=O)c2ccccc2Br)c1,3.28,3.36
CHEMBL1726033,Cc1ccc(S(=O)(=O)NC(CC(=O)O)c2ccc(F)cc2)cc1,2.63,-0.37
CHEMBL2164177,C=CC[C@H](C(N)=O)N(Cc1ccc(OC)c(F)c1)S(=O)(=O)c1ccc(Cl)cc1,3.11,3.24
CHEMBL1546832,CCOC(=O)C(C)(C)N(Cc1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,4.43,4.88
CHEMBL73498,CC(C(=O)O)N(Cc1ccccc1[N+](=O)[O-])S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,2.95,-0.06
CHEMBL1306651,O=S(=O)(NCc1ccccc1)c1ccc(Cl)cc1,2.82,3.13
CHEMBL1418993,CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc(C)cc2)cc1,2.43,2.28
CHEMBL146279,CC(C(=O)O)N(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1ccccc1[N+](=O)[O-],2.17,-0.83
CHEMBL4302679,CC(C)(C)c1cc(C(C)(C)C)cc(S(=O)(=O)NCc2ccc(C(=O)NCCN)cc2)c1,3.45,2.15
CHEMBL4094578,CC(C)[C@@H](O)[C@H](O)C(=O)Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1,1.48,1.77
