chemblID,smiles,ALogP,LogD
CHEMBL1893313,CC(=O)Nc1ccc(C)c(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c1,3.77,2.94
CHEMBL232166,CCCN(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(C)cc1,3.75,3.91
CHEMBL2221242,COc1ccc(NS(=O)(=O)c2cccc(C(=N)N)c2)cc1OC,1.79,0.50
CHEMBL3608709,COC(=O)c1cc(F)ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,3.72,3.13
CHEMBL3311196,COc1ccc(S(=O)(=O)Nc2c(C)cc(F)cc2C)cc1,3.25,3.43
CHEMBL2035417,CC(=O)Nc1ccc(Cl)c(S(=O)(=O)N(c2ccc(C(C)(O)C(F)(F)F)cc2)C(C)C)c1,4.67,3.83
CHEMBL4300422,CN(c1cccc(C(=O)NCCN)c1)S(=O)(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,3.80,2.30
CHEMBL97108,CC(Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)C(=O)NO,2.17,2.15
CHEMBL2221026,COc1cccc(NS(=O)(=O)c2ccc(C(=N)N)cc2)c1,1.78,0.80
CHEMBL4084781,COc1cccc(NS(=O)(=O)c2ccc(C)cc2)c1C(=O)O,2.50,-0.92
CHEMBL1619035,COc1ccc([N+](=O)[O-])cc1N(CC(O)CN(CC(C)C)CC(C)C)S(=O)(=O)c1ccc(C)cc1,4.08,2.00
CHEMBL2289615,N#Cc1ccc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c(Cl)c1,4.03,3.78
CHEMBL227716,O=C(O)c1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,4.22,0.40
CHEMBL225943,O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,2.19,-1.32
CHEMBL4085287,Cc1cccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1C(=O)O,3.51,0.22
CHEMBL4300008,CC(C)(C)c1cc(C(C)(C)C)cc(S(=O)(=O)Nc2ccccc2C(=O)NCCNC(=N)N)c1,3.30,3.23
