chemblID,smiles,ALogP,LogD
CHEMBL3304254,CC(C)C[C@H](N)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)NO)N(S(=O)(=O)c2ccccc2)C1,-1.07,-2.14
CHEMBL3302225,C[C@H](N)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)NO)N(S(=O)(=O)c2ccc(Cl)cc2)C1,-1.44,-2.76
CHEMBL4302364,CC(C)(C)c1cc(C(C)(C)C)cc(S(=O)(=O)N2CCC[C@H]2C(=O)NCCNC(=N)N)c1,2.03,0.09
CHEMBL3302230,CC[C@H](C)[C@H](N)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)NO)N(S(=O)(=O)c2ccccc2)C1,-1.07,-2.13
CHEMBL1431866,COC(CNS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1)OC,0.37,0.49
CHEMBL1444511,O=C(O)c1cc(S(=O)(=O)N2CCCC2)ccc1Br,1.93,-1.62
CHEMBL423050,CC(C)[C@@H](CC(=O)O)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,2.76,-0.56
CHEMBL1367017,CCOc1cc(C)c(S(=O)(=O)N2CCCC2)cc1C,2.49,2.66
CHEMBL207500,O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(F)cc(Cl)c1O,1.42,-3.61
CHEMBL1503926,CCNC(=O)C1CCCN1S(=O)(=O)c1ccc(OC)cc1,0.98,0.74
CHEMBL3741394,N#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(Cl)c(Cl)c1,1.03,0.40
CHEMBL1330295,CCCNC(=O)COC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1,1.81,1.81
CHEMBL3450049,CN(C)CC1(O)CCN(S(=O)(=O)c2cccc(F)c2)C1,0.51,-1.23
CHEMBL3302226,Cc1ccc(S(=O)(=O)N2C[C@@H](NC(=O)CNC(=O)[C@@H](N)CC(C)C)C[C@H]2C(=O)NO)cc1,-0.76,-1.63
CHEMBL3478504,COc1cc(S(=O)(=O)N2C[C@@H](C)[C@@](C)(O)C2)c(C)cc1C,1.70,1.91
CHEMBL3304140,CSCC[C@H](N)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)NO)N(S(=O)(=O)c2ccc(C)cc2)C1,-1.06,-2.22
CHEMBL3304327,C[C@H](N)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)NO)N(S(=O)(=O)c2ccccc2)C1,-2.10,-3.36
CHEMBL3476664,Cc1cc(F)ccc1S(=O)(=O)N1C[C@@H](C)[C@@](C)(O)C1,1.53,1.70
CHEMBL3261760,C[C@H](N)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)NO)N(S(=O)(=O)c2ccc(Cl)cc2)C1.Cl,-1.44,-2.76
CHEMBL3194153,CC/C(C)=N/Nc1ccc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-],2.58,2.97
CHEMBL1440879,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCCC2)c1,1.38,1.37
CHEMBL157678,CC(C)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,2.76,-0.56
CHEMBL325414,O=C(O)CC[C@H](NC(=O)c1ccc(S(=O)(=O)N2CCC[C@@H]2C(=O)O)cc1)C(=O)O,-0.03,-10.45
CHEMBL3739555,N#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(F)cc1,-0.14,-0.66
CHEMBL432036,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)C=[N+]=[N-])cc1,1.02,0.54
CHEMBL3480124,COCC1CCN(S(=O)(=O)c2ccc(C(=O)NCC(F)F)cc2)C1,1.34,0.59
CHEMBL1711547,CC(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,1.43,0.67
CHEMBL1897322,CCOC(=O)c1cccc(S(=O)(=O)N2CCCC2)c1,1.65,1.79
CHEMBL3478454,CCN(C)C[C@@H]1CN(S(=O)(=O)c2cccc(C#N)c2)C[C@@H]1CO,0.74,-1.78
CHEMBL1459361,COC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1,1.91,2.04
CHEMBL3212871,CCC(/C=N/Nc1ccc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-])CC,3.21,3.91
CHEMBL1465268,CCOC(=O)CNS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,0.31,0.24
CHEMBL1866072,CCC(C)NC(=O)C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,2.41,2.44
CHEMBL3450004,COc1ccc(S(=O)(=O)N2CCC(O)(CN(C)C)C2)cc1,0.38,-1.53
CHEMBL1387888,CC(C)CNC(=O)C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,2.27,2.39
CHEMBL591795,CCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CC[C@H](O)C2)c1,2.43,2.79
CHEMBL1576908,COc1ccc(S(=O)(=O)N2CCCC2)cc1C(C)C,2.60,2.52
CHEMBL3473305,CCC[C@H]1CN(S(=O)(=O)c2cc(C)ccc2C)C[C@@H]1N,2.05,0.62
CHEMBL494920,COC(=O)[C@@H]1C[C@@H](OS(C)(=O)=O)CN1S(=O)(=O)c1ccc(C)cc1,0.28,0.57
CHEMBL357904,CNC(=O)N[C@H]1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,-0.74,-1.41
