chemblID,smiles,ALogP,LogD
CHEMBL1621260,CC(C)CCN(C)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,2.96,0.06
CHEMBL593560,CCNC(=O)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,1.36,1.02
CHEMBL1620580,COCCNCC(=O)Nc1ccc(C)c(S(=O)(=O)N2CCCCC2)c1,1.34,0.49
CHEMBL1742947,CC(=O)Nc1ccc(S(=O)(=O)N2CCC(N(C)CCC(C)C)CC2)cc1,2.78,-0.84
CHEMBL1950846,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1)C(C)(C)C,1.09,0.09
CHEMBL1583394,NC(=O)C1CCN(S(=O)(=O)c2cccc(C(=O)O)c2)CC1,0.27,-3.34
CHEMBL1668514,CCC(C)(C)C(=O)Cc1cc(C)c(C)c(S(=O)(=O)N2CCCCC2)c1,4.03,5.12
CHEMBL1487829,CC1CC(C)CN(S(=O)(=O)c2ccc(Cl)cc2)C1,3.01,3.21
CHEMBL1477829,CCOC(=O)C1CCN(S(=O)(=O)c2ccc(Cl)cc2OC)CC1,2.31,2.05
CHEMBL1603758,CCN(CC)C(=O)/C=C/c1ccc(OC)c(S(=O)(=O)N2CCCCC2)c1,2.75,2.24
CHEMBL1905271,Cc1ccc(S(=O)(=O)N2CCC(C)CC2)cc1,2.42,2.68
CHEMBL1446413,O=S(=O)(c1cc(Cl)ccc1Br)N1CCCCC1,3.28,3.25
CHEMBL472116,C[C@H]1CCCCN1S(=O)(=O)c1ccc(C(C)(O)C(F)(F)F)cc1,3.02,2.82
CHEMBL4301581,CC(C)(C)c1cc(C(C)(C)C)cc(S(=O)(=O)N2CCC(C(=O)NCCNC(=N)N)CC2)c1,2.28,0.07
CHEMBL3480701,N[C@H]1CCCN(S(=O)(=O)c2ccc(C(=O)NCC(F)F)cc2)C1,0.79,-1.72
CHEMBL1383253,CN(C)N=C(S)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,2.04,1.32
CHEMBL1440976,Cc1cc(C)c(S(=O)(=O)N2CCC(C(N)=O)CC2)cc1C,1.50,1.83
CHEMBL1374038,CCOc1ccc(OCC)c(S(=O)(=O)N2CCC(C)CC2)c1,2.90,2.56
CHEMBL1300924,O=[N+]([O-])c1ccccc1S(=O)(=O)N1CCCC(C(F)(F)F)C1,2.56,2.52
CHEMBL1532116,Cc1ccc(S(=O)(=O)N2CCC(C)CC2)c([N+](=O)[O-])c1,2.32,2.62
CHEMBL3486237,CSc1ccc(S(=O)(=O)N2CCCCC2CCNC(C)=O)cc1,2.48,1.65
CHEMBL1882235,COCC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)O)cc2)CC1,0.30,-3.82
CHEMBL1619106,CC(C)CCN(C)C1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,3.84,0.80
CHEMBL1340880,CCOc1ccc(OCC)c(S(=O)(=O)N2CCCCC2)c1,2.66,2.28
CHEMBL1421842,CCOC(=O)C1CCN(S(=O)(=O)c2ccc(OCC)cc2)CC1,2.05,1.80
CHEMBL1406500,NN=C(S)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,1.43,1.12
