chemblID,smiles,ALogP,LogD
CHEMBL23903,Cn1c(=O)c2c(ncn2CCCl)n(C)c1=O,-0.33,0.12
CHEMBL2104491,Cn1c(=O)c2c(ncn2CCOC(O)C(Cl)(Cl)Cl)n(C)c1=O,0.14,0.62
CHEMBL24444,C#CCn1cnc2c1c(=O)n(C)c(=O)n2CC(C)C,0.19,0.93
CHEMBL1989943,CN(C)/N=N/c1nc2c(c(=O)n(C)c(=O)n2C)n1C,-0.47,0.53
CHEMBL3544675,CC(=O)CCCCn1c(=O)c2[nH]cnc2n(C)c1=O,0.18,-0.12
CHEMBL2107084,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCO,-1.04,-0.84
CHEMBL1454136,C=CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)C,1.28,1.94
CHEMBL1438740,C=CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CC,0.72,1.52
CHEMBL308464,CC(=O)OCCn1c(=O)c2c(ncn2C)n(C)c1=O,-1.00,-0.79
CHEMBL1402795,CC(C)n1c(SCC(N)=O)nc2c1c(=O)n(C)c(=O)n2C,-0.41,-0.10
CHEMBL3732592,CCCCCn1c(=O)n(C)c(=O)c2[nH]c(Cl)nc21,1.27,1.02
CHEMBL1979172,Cn1c(=O)c2[nH]c(N=O)nc2n(C)c1=O,-0.64,-0.92
CHEMBL4101630,CC(C)n1c(S)nc2c1c(=O)n(C)c(=O)n2C,0.30,0.81
CHEMBL1496667,CCCCCn1c(SCC(=O)OC)nc2c1c(=O)[nH]c(=O)n2C,0.88,1.62
CHEMBL4098211,CSc1nc2c(c(=O)n(C)c(=O)n2C)n1C,-0.31,0.77
CHEMBL1972946,Cn1c(=O)c2[nH]cnc2n(CC(=O)O)c1=O,-1.49,-4.86
CHEMBL70246,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,-1.48,-4.50
CHEMBL86227,C#CCn1c(=O)c2c(ncn2CCCC(C)=O)n(C)c1=O,-0.10,0.02
CHEMBL29272,CCCn1c(=O)n(CCOC)c(=O)c2[nH]cnc21,-0.06,-0.07
CHEMBL279898,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,-0.18,-0.23
CHEMBL419617,CC(=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.98,-0.74
CHEMBL4300766,C[C@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,-0.02,0.20
CHEMBL1355736,Cn1c(=O)c2[nH]cnc2n(C)c1=O.O,-1.04,-0.84
CHEMBL115670,CCCn1c(=O)[nH]c2ncn(C)c2c1=O,-0.17,1.12
CHEMBL1498670,CC(C)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,0.09,0.82
CHEMBL66058,Cn1c(=O)c2c(ncn2CC#N)n(C)c1=O,-1.04,-1.01
CHEMBL2104570,CN(CCO)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,-1.60,-0.44
CHEMBL112295,CC(C)n1c(=O)[nH]c(=O)c2[nH]cnc21,-0.01,-0.34
CHEMBL26119,CC(C)n1c(=O)n(C)c(=O)c2[nH]cnc21,0.00,-0.13
CHEMBL3616532,Cn1cnc2[nH]c(=O)n(O)c(=O)c21,-1.34,-1.96
CHEMBL1160614,Cn1c(Br)nc2c1c(=O)n(CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O)c(=O)n2C,-0.46,-8.55
CHEMBL3730969,CCCCCCn1c(=O)[nH]c(=O)c2[nH]c(Cl)nc21,1.65,1.24
CHEMBL3730224,O=c1[nH]c(=O)n(CCCCCF)c2nc(Cl)[nH]c12,1.21,0.25
CHEMBL88329,Cn1c(=O)c2c(nc(C(F)(F)F)n2C)n(C)c1=O,-0.01,0.71
CHEMBL86100,CC(=O)CCCn1cnc2c1c(=O)n(C)c(=O)n2C,-0.20,-0.21
CHEMBL29052,CCCn1c(=O)n(C)c(=O)c2c1ncn2CCC(=O)O,-0.22,-3.27
CHEMBL368532,CC(C)CCn1cnc2c1c(=O)[nH]c(=O)n2CC(C)C,1.59,2.08
CHEMBL3727456,CCC(C)Cn1c(=O)[nH]c(=O)c2[nH]c(Cl)nc21,1.11,0.72
CHEMBL1388058,CC(C)CCn1c(NCCN(C)C)nc2c1c(=O)[nH]c(=O)n2C,0.44,-0.39
CHEMBL1160606,CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1CCOP(=O)(O)O,-1.06,-3.80
CHEMBL114892,CCCn1cnc2[nH]c(=O)[nH]c(=O)c21,-0.18,0.89
CHEMBL174591,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(CCCO)nc21,0.00,0.24
CHEMBL1699436,CCC(C)Nc1nc2c(c(=O)n(C)c(=O)n2C)n1C,0.18,0.91
CHEMBL1730708,CCC(C)Oc1nc2c(c(=O)n(C)c(=O)n2C)n1C,0.15,1.28
CHEMBL83307,CC(=O)CCCCCn1c(=O)c2c(ncn2CCCC(C)=O)n(C)c1=O,1.42,1.01
CHEMBL3297887,COC(=O)CC[C@H](NC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C)C(=O)OC,-1.96,-1.67
CHEMBL1989905,CN(C)/N=N/c1nc2c(c(=O)n(C)c(=O)n2C)n1CC(O)CO,-1.65,-0.79
CHEMBL1160608,Cn1c(=O)c2c(ncn2CCCOP(=O)(O)OP(=O)(O)OP(=O)(O)O)n(C)c1=O,-0.83,-9.55
CHEMBL2104934,CCOCn1cnc2c1c(=O)n(CCCCC(C)(C)O)c(=O)n2C,0.83,0.90
CHEMBL28559,CCCn1c(=O)n(CCCCC(C)=O)c(=O)c2[nH]cnc21,1.06,0.76
CHEMBL25427,C=CCn1c(=O)c2c(ncn2C)n(C)c1=O,-0.38,0.19
CHEMBL1322194,CC(C)COc1nc2c(c(=O)n(C)c(=O)n2C)n1C,0.01,1.23
CHEMBL83071,Cn1c(=O)c2c(ncn2CCCCCC(=O)O)n(C)c1=O,0.08,-2.96
CHEMBL1518395,CCCCn1c(SCC(=O)OCC)nc2c1c(=O)[nH]c(=O)n2C,0.88,1.53
CHEMBL1322486,CCCCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CC,1.73,2.56
CHEMBL1994937,CCS(=O)(=O)CCn1c(=O)c2c(ncn2C)n(C)c1=O,-1.13,-1.36
CHEMBL1500925,C/C=C/CSc1nc2c(c(=O)[nH]c(=O)n2C)n1C(C)C,1.67,2.32
CHEMBL1384969,CCC(C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1C,0.85,1.63
CHEMBL3732956,CCCCCn1c(=O)n(C)c(=O)c2[nH]c(C#N)nc21,0.49,0.32
CHEMBL1823437,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OCn1cnc2c1c(=O)n(C)c(=O)n2C,4.52,5.60
CHEMBL282394,CCCn1c(=O)n(CCC(C)=O)c(=O)c2[nH]cnc21,0.28,0.02
CHEMBL28684,CCCn1c(=O)n(C)c(=O)c2c1ncn2CCC(N)=O,-0.82,-0.76
CHEMBL85828,Cn1c(=O)c2c(ncn2CCCCCCO)n(C)c1=O,-0.01,0.23
