chemblID,smiles,ALogP,LogD
CHEMBL478676,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c2oc3ccc([N+](=O)[O-])cc3c(=O)c12,2.98,3.29
CHEMBL4130054,COc1cc(O)c2c(=O)c3c(C)cc(O)c(O)c3oc2c1,2.38,2.84
CHEMBL3953113,CCCCNCC(O)COc1cc(OC(C)C)c2c(=O)c3ccccc3oc2c1,3.86,1.53
CHEMBL4213880,CC(C)=CCc1c(O)c(O)c2oc3c(O)ccc(O)c3c(=O)c2c1CC=C(C)C,4.79,5.46
CHEMBL1196897,CCN(CC)CCCCCOc1ccc2c(=O)c3ccc(OCCCCCN(CC)CC)c(F)c3oc2c1F,7.01,0.79
CHEMBL3417777,COc1cccc2c(=O)c3c(O)cc(OCC(O)CO)cc3oc12,1.39,1.62
CHEMBL4116609,NCCCCNCC(O)COc1cc(O)c2c(=O)c3ccccc3oc2c1,1.72,-1.96
CHEMBL3753882,CCCN(CCC)CCCCOc1cc2oc3cc(OCCCCN(CCC)CCC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,10.24,5.97
CHEMBL165692,O=C(O)Cc1cccc2c(=O)c3cc([N+](=O)[O-])ccc3oc12,2.48,-0.96
CHEMBL4062638,COC(=O)[C@H](CCCCN)NC(=O)COc1cc(OCC=C(C)C)cc2oc3cc(OCC=C(C)C)cc(OCC(=O)N[C@@H](CCCCN)C(=O)OC)c3c(=O)c12,3.97,-2.23
CHEMBL4116221,NCCCNCC(O)COc1cc(O)c2c(=O)c3ccccc3oc2c1,1.33,-1.07
CHEMBL3754281,CCCCCN(C)CCCCOc1cc2oc3cc(OCCCCN(C)CCCCC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,10.24,6.45
CHEMBL23771,C[S+]([O-])c1ccc2oc3ccc(C(=O)O)cc3c(=O)c2c1,2.38,-1.72
CHEMBL1782154,O=c1c2ccccc2oc2cc(OCC(O)CSCCO)cc(O)c12,2.12,2.31
CHEMBL3958642,CCCCCOc1cc(OCC(O)CNCCCC)cc2oc3c(OC)cccc3c(=O)c12,4.65,2.37
CHEMBL2436160,COc1cc(OC)c2c(=O)c3ccc(OC)c(OC)c3oc2c1,2.98,2.33
CHEMBL4177146,O=c1c2cc(O)ccc2oc2cc(OCCCCCO[N+](=O)[O-])cc(O)c12,3.11,3.82
CHEMBL279662,O=C(O)c1ccc2oc3ccc(S(=O)(=O)N(CCO)CCO)cc3c(=O)c2c1,0.62,-2.78
CHEMBL279456,O=C(O)c1ccc2oc3ccc(S(=O)(=O)O)cc3c(=O)c2c1,1.89,-3.65
CHEMBL110491,COc1c(O)cc2oc3cc(O)cc(O)c3c(=O)c2c1CC=C(C)C,3.58,3.90
CHEMBL2029708,CC(C)=CCOc1ccc2c(=O)c3c(O)cc(OCC=C(C)C)cc3oc2c1,5.34,5.67
CHEMBL25806,COc1cc2oc3ccc(OC)c(OC)c3c(=O)c2c(O)c1CC=C(C)C,4.19,4.48
CHEMBL3752131,CCCCCCN(C)CCCCOc1cc2oc3cc(OCCCCN(C)CCCCCC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,11.02,7.34
CHEMBL3093479,COc1cc(OC)c2c(=O)c3c(OC)c(O)ccc3oc2c1,2.68,2.18
CHEMBL3252011,CC(C)Oc1cc([S+](C)[O-])cc2c(=O)c3cc(C(=O)O)ccc3oc12,3.17,-1.11
CHEMBL1186886,CC(CO)(CO)NCC(O)COc1cccc2c(=O)c3ccc(Cl)cc3oc12,1.67,0.21
CHEMBL71264,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1Cl,3.54,0.31
CHEMBL228785,CC(C)=CCOc1cc(O)c2c(=O)c3ccccc3oc2c1,4.00,4.46
CHEMBL4203967,C=C(C)C(O)Cc1c(O)cc2c(=O)c3cccc(O)c3oc2c1O,2.54,2.40
CHEMBL3093485,COc1c(OC)c(O)c2c(=O)c3c(O)cc(O)c(OC)c3oc2c1OC,2.10,2.62
CHEMBL91631,O=C(O)COc1cc2c(=O)c3ccccc3oc2cc1Cl,3.06,-0.62
CHEMBL3093490,COc1ccc2oc3cccc(O)c3c(=O)c2c1,2.66,3.11
CHEMBL280952,CCN(C)S(=O)(=O)c1ccc2oc3ccc(C(=O)O)cc3c(=O)c2c1,2.28,-1.05
CHEMBL167346,COc1ccc2oc3c(CC(=O)O)cccc3c(=O)c2c1,2.58,-1.02
CHEMBL3133214,CCC/C=C/C(=O)NNC(=O)Cc1cccc2c(=O)c3ccc(C)c(C)c3oc12,3.61,4.26
CHEMBL186863,COc1ccc2c(=O)c3ccccc3oc2c1O,2.66,2.47
CHEMBL1187782,CC(C)(CO)NCC(O)COc1cccc2c(=O)c3ccc(Cl)cc3oc12,2.70,0.73
CHEMBL477762,C[C@@H](O)CNCc1ccc2oc3cc(Cl)ccc3c(=O)c2c1,3.07,1.62
CHEMBL97157,CN(C)CCOC(=O)Cc1cccc2c(=O)c3ccccc3oc12,2.59,2.27
CHEMBL23760,O=C(O)c1ccc2oc3ccccc3c(=O)c2c1,2.64,-0.46
CHEMBL1242452,COc1cc(OCC(O)CCl)cc2oc3ccccc3c(=O)c12,2.93,2.68
CHEMBL3103173,C[C@@H](O)CNC(=O)COc1ccc2c(=O)c3ccccc3oc2c1,1.82,1.42
CHEMBL1186815,CC(C)(CO)NCCCOc1cccc2c(=O)c3ccccc3oc12,3.08,0.27
CHEMBL4301996,N[C@@H](CS)C(=O)Oc1ccc2c(=O)c3ccccc3oc2c1,2.11,2.18
CHEMBL3093577,COc1c(OC)c(OC)c2c(=O)c3c(O)cc(O)c(OC)c3oc2c1O,2.10,1.97
CHEMBL4293355,Cl.NCC(=O)Oc1ccc2c(=O)c3ccccc3oc2c1,1.81,1.56
CHEMBL3357571,COc1cc2oc3cc(O)cc(O)c3c(=O)c2cc1OC,2.37,2.45
CHEMBL4089294,CCCCN(CCCC)CC(O)COc1cc2oc3cc(OCC(O)CN(CCCC)CCCC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,8.96,7.07
CHEMBL1186548,C[C@@H](CCl)NCc1ccc2oc3cc(Cl)ccc3c(=O)c2c1,4.32,3.50
CHEMBL98725,Cc1cccc2c(=O)c3cccc(C(C)C(=O)O)c3oc12,3.44,0.29
CHEMBL4203265,C=C(CCC=C(C)C)C(O)Cc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3cc(O)ccc3oc12,5.78,6.40
CHEMBL1186872,C=CCNCC(O)COc1ccc2oc3ccccc3c(=O)c2c1,2.46,1.12
CHEMBL1187608,O=c1c2ccc(Cl)cc2oc2ccc(CNCCCO)cc12,3.07,1.18
CHEMBL4301041,C[C@H](N)C(=O)Oc1ccc2c(=O)c3ccccc3oc2c1,2.20,2.07
CHEMBL187044,COc1cc(O)c2c(=O)c3c(O)c(O)ccc3oc2c1,2.07,3.10
CHEMBL2311986,CC(CN)Oc1ccc2oc3ccc(OC(C)CN)cc3c(=O)c2c1,2.40,-1.54
CHEMBL1782150,O=c1c2ccccc2oc2cc(OCC(O)CNCCCO)cc(O)c12,1.36,-0.07
CHEMBL463409,CC(C)=CCC/C(C)=C/Cc1c(O)c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c12,6.51,6.93
CHEMBL4077432,COc1cc(OC)c2c(=O)c3ccc(O)cc3oc2c1,2.67,2.07
CHEMBL351643,O=C(O)Cc1cc(O)cc2c(=O)c3ccccc3oc12,2.28,-1.17
CHEMBL465560,CCCCOc1cc2oc3cc(OCCCC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,8.04,8.87
CHEMBL3093480,COc1ccc2oc3cc(O)cc(OC)c3c(=O)c2c1OC,2.68,1.93
CHEMBL2087610,COc1cc2c(=O)c3c(O)c(CC=C(C)C)c(O)c(CC=C(C)C)c3oc2c(O)c1O,4.79,5.16
CHEMBL3814052,COc1cc(OC)c2c(=O)c3cccc(O)c3oc2c1,2.67,2.22
CHEMBL4166960,O=c1c2cc(O)ccc2oc2cc(OCCCCCCO[N+](=O)[O-])cc(O)c12,3.50,4.26
CHEMBL3252009,CCOc1cc([S+](C)[O-])cc2c(=O)c3cc(C(=O)O)ccc3oc12,2.78,-1.53
CHEMBL99404,NC(C(=O)O)c1cccc2c(=O)c3ccccc3oc12,2.03,-0.59
CHEMBL284014,COC(C)c1ccc2oc3ccc(C(=O)O)cc3c(=O)c2c1,3.35,-0.17
CHEMBL1704560,O=c1c2ccccc2oc2cc(Br)ccc12,3.71,3.73
CHEMBL4174091,COc1ccc2oc3cc(OCCCCO[N+](=O)[O-])cc(O)c3c(=O)c2c1,3.03,3.53
CHEMBL2000939,CN(C)CCNC(=O)c1cccc2c(=O)c3ccccc3oc12.Cl,2.24,1.50
CHEMBL1812028,COC(=O)c1cccc2oc3cc(CO)cc(O)c3c(=O)c12,1.93,2.48
CHEMBL463410,COc1c(O)c(CC=C(C)C)c2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,6.60,7.22
