chemblID,smiles,ALogP,LogD
CHEMBL581939,CC(C)Cn1c(N)cc(=O)n(C)c1=O,-0.21,0.34
CHEMBL3307080,C[N+](C)(C)CC(=O)c1c[nH]c(=O)[nH]c1=O,-1.05,-4.78
CHEMBL1537212,CCCCCCCCn1cc(C(C)=O)c(=O)[nH]c1=O,2.10,2.38
CHEMBL1902087,CC(=O)OCc1cc(=O)n(C)c(=O)n1C,-0.85,-0.81
CHEMBL1950822,COCn1cc(CCO)c(=O)n(COC)c1=O,-1.25,-0.88
CHEMBL2078932,Cc1cn(CCCNCCCNCCCN)c(=O)[nH]c1=O,-0.85,-6.62
CHEMBL3304609,Cc1[nH]c(=O)[nH]c(=O)c1CN(CCCl)CCCl,0.65,0.48
CHEMBL3250889,Cc1cn(C[C@@H](O)CO)c(=O)[nH]c1=O,-1.80,-1.56
CHEMBL2104036,C=CCn1c(N)cc(=O)n(CC)c1=O,-0.20,0.18
CHEMBL121915,N[C@@H](Cn1cc(I)c(=O)[nH]c1=O)C(=O)O,-1.45,-3.08
CHEMBL1650756,O=c1[nH]c(=O)n(C/C=C/CP(=O)(O)O)cc1Cl,-0.08,-2.89
CHEMBL1374840,CCCCn1c(N)c(C(=S)NC(=O)CC(C)(C)C)c(=O)n(C)c1=O,1.16,1.80
CHEMBL387346,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CC/C=C\Cn1cc(C)c(=O)[nH]c1=O,6.88,3.96
CHEMBL223133,Cc1cn(C/C=C\CCP(=O)(O)O)c(=O)[nH]c1=O,-0.03,-2.90
CHEMBL1882388,CCCOCn1cc(F)c(=O)[nH]c1=O,0.06,0.43
CHEMBL1650761,O=c1[nH]c(=O)n(C/C=C/CCP(=O)(O)O)cc1Br,0.42,-2.39
CHEMBL60333,CC(N=[N+]=[N-])c1cn(COCCO)c(=O)[nH]c1=O,-0.13,-1.02
CHEMBL133034,[N-]=[N+]=NC(CCl)c1cn(CCC(CO)CO)c(=O)[nH]c1=O,0.12,-1.23
CHEMBL3277683,CCCCN(CCCC)/N=N/c1cc(=O)[nH]c(=O)[nH]1,1.96,2.16
CHEMBL30317,O=NN(CCCl)C(=O)NCCC(OCCO)n1cc(F)c(=O)[nH]c1=O,-0.49,-0.47
CHEMBL440715,O=C(O)CCCn1cc(N(CCCl)CCCl)c(=O)[nH]c1=O,0.69,-2.48
CHEMBL1428557,CCOC(=O)Cn1c(=O)c(C#N)cn(C(C)C)c1=O,0.03,0.16
CHEMBL1904641,Cn1c(=O)[nH]cc(N(CCCl)CCCl)c1=O,0.36,0.63
CHEMBL2333052,CCCCCCNC(=O)n1cc(F)c(=O)n(C(=O)C(C)C)c1=O,1.58,2.67
CHEMBL1993950,C=CCOC(C)n1c(C)cc(=O)n(C(C)OCC=C)c1=O,1.76,1.84
CHEMBL206306,Nc1cn(COCCO)c(=O)[nH]c1=O,-1.91,-2.15
CHEMBL500082,O=c1[nH]c(Cl)c(CCCCOP(=O)(O)O)c(=O)[nH]1,0.15,-3.11
CHEMBL2261780,Cl.NC/C=C\Cn1ccc(=O)[nH]c1=O,-0.95,-3.09
CHEMBL2333065,CCCCCCNC(=O)n1ccc(=O)[nH]c1=O,0.67,1.23
CHEMBL366505,Cc1cn(CCCCOCOCP(=O)(O)O)c(=O)[nH]c1=O,-0.25,-2.97
CHEMBL3139227,N=C(N)SCc1[nH]c(=O)[nH]c(=O)c1Cl,-0.16,-1.91
CHEMBL1403766,CCCCCCC(C)n1cc(C(C)=O)c(=O)n(C)c1=O,2.28,2.58
CHEMBL2333046,CCCCCCNC(=O)n1c(C)c(C)c(=O)[nH]c1=O,1.29,1.83
CHEMBL2048445,CC(C)(C)CC(C)(C)NC(=O)CCn1ccc(=O)[nH]c1=O,1.26,1.11
CHEMBL380804,N[C@@H](Cn1cc(I)c(=O)n(CCC(=O)O)c1=O)C(=O)O,-1.50,-6.52
CHEMBL3138815,Cc1cn(C/C=C\CN)c(=O)[nH]c1=O,-0.64,-2.69
CHEMBL1450910,CCCNc1cc(=O)n(C)c(=O)n1C,-0.09,0.40
CHEMBL1972021,CCCC[S+]([O-])CC(CO)NC(=O)/C=C/c1c(C)[nH]c(=O)[nH]c1=O,-0.59,-1.87
CHEMBL2001607,C/C(=C/c1c(C)[nH]c(=O)[nH]c1=O)C(=O)O,-0.14,-3.48
CHEMBL135219,Cc1cn(C/C=C\CO)c(=O)[nH]c1=O,-0.61,-0.40
CHEMBL3250473,Cc1[nH]c(=O)[nH]c(=O)c1/C=C/C(=O)NC(CO)CSC(C)C,0.00,-0.56
CHEMBL1986204,CSCSCC(CO)NC(=O)/C(C)=C\c1c(C)[nH]c(=O)[nH]c1=O,0.31,-0.13
CHEMBL572422,O=c1ccn(CCCCCOP(=O)(O)O)c(=O)[nH]1,-0.18,-3.47
CHEMBL427488,Cc1cn(CCCCCCCCP(=O)(O)O)c(=O)[nH]c1=O,1.36,-1.49
CHEMBL199233,N[C@@H](Cn1c(=O)ccn(CC(=O)O)c1=O)C(=O)O,-2.49,-7.69
CHEMBL1968659,C=CCn1c(=O)c(C)cn(/C(=C/C(=O)OCC)C(=O)OCC)c1=O,0.47,1.62
CHEMBL2048466,CC(C)(CO)NC(=O)CCCn1ccc(=O)[nH]c1=O,-0.80,-1.21
CHEMBL1980004,Cc1c(C(=O)O)n(C)c(=O)n(C)c1=O,-0.91,-3.86
CHEMBL207010,CCc1cn(COC(CO)CO)c(=O)[nH]c1=O,-1.57,-1.05
CHEMBL118888,Cc1c(Cl)n(COCCO)c(=O)[nH]c1=O,-0.54,-0.20
CHEMBL122005,N[C@@H](Cn1ccc(=O)[nH]c1=O)C(=O)O,-2.05,-4.03
CHEMBL2420335,O=C(O)CCCn1ccc(=O)[nH]c1=O,-0.60,-3.73
CHEMBL1650799,CCOP(=O)(CC/C=C/Cn1cc(Cl)c(=O)[nH]c1=O)OCC,2.40,1.55
CHEMBL2030722,Cc1cn(CCCCSCCCCC(F)(F)P(=O)(O)O)c(=O)[nH]c1=O,2.30,-1.15
CHEMBL237996,CCCCc1c(Cl)[nH]c(=O)[nH]c1=O,1.06,1.49
CHEMBL1608694,Cn1c(N)c(N=O)c(=O)n(C)c1=O,-0.94,-1.21
CHEMBL1987921,CCOC(=O)/C=C(/C(=O)OCC)n1cc(Cl)c(=O)n(CC(=O)OCC)c1=O,0.19,1.13
CHEMBL11470,Cn1ccc(=O)n(C)c1=O,-0.92,-0.41
CHEMBL135079,Cc1cn(C/C=C\OC(=O)CC(C)(C)C)c(=O)[nH]c1=O,1.34,1.55
CHEMBL352921,Cc1cn(C(CCO)SCCO)c(=O)[nH]c1=O,-0.55,-0.62
CHEMBL2140314,NC(=S)NN=CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O,-1.74,-2.13
CHEMBL1650754,O=c1ccn(C/C=C/CP(=O)(O)O)c(=O)[nH]1,-0.73,-3.53
CHEMBL2333033,CCCCCCNC(=O)n1cc(C(F)(F)F)c(=O)[nH]c1=O,1.69,1.85
CHEMBL2005829,Cc1cn(CCCCCOC(=O)NC(CCCNC(=N)N)C(=O)O)c(=O)[nH]c1=O,-0.54,-2.08
CHEMBL1650759,O=c1[nH]c(=O)n(C/C=C/CCP(=O)(O)O)cc1F,-0.20,-3.04
CHEMBL1385225,CCCn1c(N)cc(=O)n(CCC)c1=O,0.41,0.85
CHEMBL1417515,CCCCn1c(N)c(Br)c(=O)[nH]c1=O,0.68,1.00
CHEMBL1950821,COCn1c(=O)[nH]cc(CCO)c1=O,-1.32,-1.17
