chemblID,smiles,ALogP,LogD
CHEMBL1782626,CCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CCC,6.18,6.74
CHEMBL4301833,CCN(CC)CCCNC(=O)c1cn(CC)c2cc(Cl)ccc2c1=O,3.14,0.80
CHEMBL4163430,CSc1[nH]c2c(Cl)ccc(C(F)(F)F)c2c(=O)c1C(C)=O,4.12,4.38
CHEMBL2008933,CN(C)CCNC(=O)Cn1ccc(=O)c2ccc([N+](=O)[O-])cc21,0.59,-0.50
CHEMBL533186,CCCCCCCc1[nH]c2ccccc2c(=O)c1C,4.35,5.29
CHEMBL4302661,CCN(CC)CCCNC(=O)c1cn(C)c2cc(Cl)ccc2c1=O,2.65,0.45
CHEMBL1782648,CCCCCCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CCCC,8.13,8.96
CHEMBL129204,CCn1cc(C(=O)O)c(=O)c2cc(F)c(NC)cc21,1.90,-0.13
CHEMBL1911517,CCCCCC/C=C/Cc1[nH]c2ccccc2c(=O)c1C,4.91,5.82
CHEMBL1939147,CCc1c(C)[nH]c2cc(OCCN(C)C)c(Cl)cc2c1=O,2.99,2.79
CHEMBL224183,CCCCCCc1cc(=O)c2ccccc2n1O,3.36,4.06
CHEMBL1365822,CCN(CC)CCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N(C)C)cc2c1=O,1.34,-0.06
CHEMBL2426224,CCCCCCCc1cc(=O)c2cc(C(F)(F)F)ccc2[nH]1,5.06,5.78
CHEMBL164069,COc1cc(OC)c2c(=O)ccn(C)c2c1,1.56,1.47
CHEMBL4301549,CCN(CC)CCCNC(=O)c1c[nH]c2cc(F)ccc2c1=O,2.13,0.15
CHEMBL4064420,CCCCCCCCc1cc(=O)c2ccccc2[nH]1,4.43,5.34
CHEMBL3250388,CCn1cc(C(=O)O)c(=O)c2cccc(C)c21,2.03,0.95
CHEMBL1782630,CCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CCCCC,6.96,7.63
CHEMBL2008730,CN(C)CCNC(=O)Cn1cc([N+](=O)[O-])c(=O)c2ccccc21,0.59,-0.67
CHEMBL203066,CCOC(=O)c1cn(COCCO)c2ccc(F)cc2c1=O,1.28,1.62
CHEMBL3249652,Cc1c(NC(=O)C(=O)O)ccc2c(=O)cc(C(=O)O)[nH]c12,0.56,-5.71
CHEMBL488819,CCc1ccc2[nH]cc(C(=O)CC(C)CC)c(=O)c2c1,3.71,4.70
CHEMBL1546234,Cc1cccc2c(=O)cc(C)n(CC(N)=O)c12,1.10,1.17
CHEMBL471551,CCCCC(=O)c1c[nH]c2ccc(CC)cc2c1=O,3.46,4.41
CHEMBL4300616,C=CCn1cc(C(=O)NCCN(CC)CC)c(=O)c2ccc(Cl)cc21,2.91,1.87
CHEMBL132268,O=c1ccn(F)c2ccccc12,1.73,2.04
CHEMBL1256318,CCCCC#Cc1c(C)[nH]c2ccccc2c1=O,3.38,4.36
CHEMBL1782631,CCCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CC,6.18,6.66
CHEMBL420117,CCOc1c(F)cc2c(=O)c(C(=O)O)cn(C(C)(C)CF)c2c1Cl,3.60,1.53
CHEMBL3235394,CCCCCCCc1[nH]c2ccc([N+](=O)[O-])cc2c(=O)c1O,3.65,4.59
CHEMBL3808497,CCCCCCCCCCOc1cc2c(=O)c(C(=O)NCCOCCO)c[nH]c2cc1OCC,4.19,4.25
CHEMBL1334043,CCn1cc(C(=O)O)c(=O)c2cc(Br)ccc21,2.48,0.26
CHEMBL4204054,CCCCn1cc(C(=O)NCCCN(CC)CC)c(=O)c2ccc(Cl)cc21.Cl,3.92,1.77
CHEMBL2009110,O=C(O)Cn1ccc(=O)c2ccc([N+](=O)[O-])cc21,0.99,-2.25
CHEMBL2283188,CCn1cc(C(=O)N[C@H](C(=O)O)C(C)C)c(=O)c2ccc(C(F)(F)F)cc21,2.88,-0.39
CHEMBL2418393,CCn1cc(C(=O)NN)c(=O)c2ccccc21,0.62,0.63
CHEMBL3706968,CCNCc1c(F)cc2c(=O)c(C(=O)O)cn(CC)c2c1F,2.11,-0.38
CHEMBL1933711,CN(C)CCCNC(=O)c1cc(=O)c2ccccc2[nH]1.Cl,1.21,-0.15
CHEMBL3409317,COc1cccc2c(=O)c(C(=O)NC(C)(C)C)cn(CCCF)c12,2.90,1.95
CHEMBL4202566,CCCCn1cc(C(=O)NCCN(CC)CC)c(=O)c2ccc(Cl)cc21.Cl,3.53,2.46
CHEMBL471552,CCCCCC(=O)c1c[nH]c2ccc(CC)cc2c1=O,3.85,4.86
CHEMBL1190621,CCn1cc(C(=O)N=C(N)N)c(=O)c2cc(OC)ccc21,0.44,-0.08
CHEMBL164490,COc1ccc(O)c2c(=O)ccn(C)c12,1.25,1.97
CHEMBL1782636,CCCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CCCCC,7.35,8.07
CHEMBL4217376,CCN(CC)CCCNC(=O)c1c[nH]c2cc(F)ccc2c1=O.Cl,2.13,0.15
CHEMBL24945,CCn1cc(C(=O)O)c(=O)c2cc(F)c(C(=O)NCCO)cc21,0.58,-1.63
CHEMBL3235397,CCCCCCCc1[nH]c2ccccc2c(=O)c1C(=O)OCC,4.22,5.22
CHEMBL1255774,COc1cc2[nH]c(C)c(C(C)C)c(=O)c2cc1Cl,3.62,3.73
CHEMBL1299567,CCN(CC)S(=O)(=O)c1ccc2c(c1)c(=O)c(C(=O)NCCOC)cn2C,0.95,0.51
CHEMBL2058637,CCOC(=O)c1cn(CP(=O)(OC(C)C)OC(C)C)c2cc(Cl)ccc2c1=O,4.83,4.28
CHEMBL1643849,CCCCCCCCCC/C=C/C=C/c1cc(=O)c2ccccc2n1C,6.64,7.28
CHEMBL291071,CCn1cc(C(N)=O)c(=O)c2ccc(F)cc21,1.26,1.07
CHEMBL2418396,CCn1cc(C(=O)NN)c(=O)c2ccc(Cl)cc21,1.28,1.23
CHEMBL1222508,CCOC(=O)CCCCOCC#Cc1ccc2c(c1)c(=O)c(C(=O)OCC)cn2CC,3.30,3.77
CHEMBL1257313,C=C(CCCCCCC)c1c(C)[nH]c2ccccc2c1=O,5.21,5.60
CHEMBL203301,CCCCCn1cc(C(=O)O)c(=O)c2ccccc21,2.89,1.96
CHEMBL1643830,CCCCCCCCC/C=C\CCCCc1cc(=O)c2ccccc2n1C,6.95,7.93
CHEMBL3235392,CCCCCCCc1[nH]c2ccccc2c(=O)c1[N+](=O)[O-],3.95,4.47
CHEMBL2270129,CCCC/C=C/Cc1[nH]c2ccccc2c(=O)c1C,4.13,4.93
CHEMBL1782634,C#CCn1c(/C=C/CCCCCCCCC)cc(=O)c2ccccc21,5.79,6.53
CHEMBL3115465,C=C(C)Cn1cc(Br)c(=O)c2ccc(Cl)cc21,3.99,4.19
CHEMBL2028369,O=C([O-])Cn1cc([N+](=O)[O-])c(=O)c2ccccc21.[Na+],0.99,-2.31
CHEMBL3235406,CCCCCCCc1[nH]c2ccc([N+](=O)[O-])cc2c(=O)c1C(N)=O,3.05,3.62
CHEMBL203001,O=C(O)c1cn(COCCO)c2cc([N+](=O)[O-])ccc2c1=O,0.57,-1.46
CHEMBL390493,CCCCCc1cc(=O)c2ccccc2n1O,2.97,3.62
CHEMBL283424,CCn1cc(C(=O)O)c(=O)c2cc(F)c(C)cc21,2.17,0.85
CHEMBL3235386,CCCCCOCc1cc(=O)c2ccccc2[nH]1,3.23,3.52
CHEMBL3235405,CCCCCCCc1[nH]c2ccccc2c(=O)c1C(N)=O,3.14,3.68
CHEMBL2028521,O=C([O-])Cn1ccc(=O)c2c([N+](=O)[O-])cccc21.[Na+],0.99,-2.24
CHEMBL1256109,Cc1cc(=O)c2ccccc2[nH]1,1.84,2.15
CHEMBL1255729,CCc1c(C)[nH]c2cc(OC)c(Cl)cc2c1=O,3.06,3.44
CHEMBL1411260,CCOC(=O)Cn1c(C)cc(=O)c2cccc(C)c21,2.18,2.48
CHEMBL1256345,CCCCC#Cc1c(C)[nH]c2ccc(Cl)cc2c1=O,4.03,4.96
CHEMBL3235384,CCCCCCCc1cc(=O)c2cc(C(F)(F)F)ccc2n1C,5.07,5.61
CHEMBL555368,CCn1cc(C(=O)NN=C(N)N)c(=O)c2cc(OC)ccc21.Cl,-0.05,-0.03
CHEMBL4204086,COC(=O)c1cc(=O)c2c(OC)cc(OC)cc2n1C,1.34,1.48
CHEMBL537807,CCCCCCCCCc1c(C)[nH]c2ccccc2c1=O,5.13,6.10
CHEMBL3248707,CC(=O)c1cccc2c(=O)cc(C(=O)O)[nH]c12,1.43,-2.35
CHEMBL295748,CC(C)(C)Nc1cc2c(cc1[N+](=O)[O-])c(=O)c(C(=O)O)cn2C(C)(C)C,3.57,1.60
CHEMBL1782620,CCCCCCC/C=C/c1cc(=O)c2ccccc2n1CC,5.40,5.77
CHEMBL204908,CCOC(=O)c1cn(COCCO)c2ccc([N+](=O)[O-])cc2c1=O,1.05,1.42
CHEMBL3248967,CCNCc1c(C)[nH]c2ccc(C)cc2c1=O,2.25,0.70
CHEMBL1483529,CCOC(=O)c1cn(CC)c2cc(F)c(F)cc2c1=O,2.48,2.75
