chemblID,smiles,ALogP,LogD
CHEMBL1359089,CCOC(=O)C(C)Oc1ccc2c(CC)cc(=O)oc2c1C,2.99,3.43
CHEMBL1819430,Cc1cc(O)cc2oc(=O)cc(C)c12,2.12,2.18
CHEMBL4279050,C/C(=C\COc1cc2oc(=O)ccc2cc1O)C/C=C/C(C)(C)O,3.54,3.07
CHEMBL3763163,CN(C)CCNC(=O)c1cc2cc(Br)cc(Br)c2oc1=O,2.61,1.20
CHEMBL3991227,Cc1cc(=O)oc2cc(NC(=O)CCNC(=N)N)ccc12,0.91,-2.11
CHEMBL1531361,CCCC(=O)OCCNC(=O)c1cc2ccccc2oc1=O,1.87,1.68
CHEMBL451518,COc1cc2ccc(=O)oc2c(OC)c1O,1.52,1.01
CHEMBL3139453,CCN(CC)CCOc1cc2ccc(=O)oc2cc1O,2.22,0.32
CHEMBL1789741,CC(C)N(CCOc1ccc2ccc(=O)oc2c1)C(C)C,3.29,0.76
CHEMBL3668116,COc1cc2c(C)c(CC(=O)NCCO)c(=O)oc2c(C=O)c1O,0.28,-0.11
CHEMBL156411,CN/N=C/c1ccc2ccc(=O)oc2c1,1.35,1.44
CHEMBL1388510,COC(=O)Cc1c(C)c2c(O)cc(C)cc2oc1=O,1.83,1.77
CHEMBL3139642,CC(C)NCCCOc1cc2ccc(=O)oc2cc1O,2.27,-0.14
CHEMBL2234939,COP(=S)(OC)N(C)/N=C/c1c(O)c2ccccc2oc1=O,2.28,-0.55
CHEMBL3797379,CCN(CC)c1ccc2c(CO)cc(=O)oc2c1,2.13,1.62
CHEMBL360708,C[C@](O)(CBr)C(=O)Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,2.90,2.36
CHEMBL116469,COC(=O)c1cc2ccc(OCCN(C)C(=O)OC(C)(C)C)cc2oc1=O,2.83,2.51
CHEMBL1349648,COCCCNC(=O)c1cc2cc(Br)ccc2oc1=O,2.32,1.57
CHEMBL3120181,C#CCCCOc1ccc2oc(=O)c(C(=O)OC)cc2c1,2.37,2.55
CHEMBL1370970,CCc1c(C)c2ccc(OCC(=O)OC)cc2oc1=O,2.22,2.39
CHEMBL1873362,CCN(CC)c1c([N+](=O)[O-])c(=O)oc2ccccc12,2.55,1.84
CHEMBL257494,O=c1oc2cc(O)ccc2c(O)c1Br,1.97,-1.19
CHEMBL3668105,COc1cc2c(CN(C)C)c(C)c(=O)oc2c(C=O)c1O,1.69,1.16
CHEMBL3628490,COc1ccc2c(CCCNC(C)=O)cc(=O)oc2c1,1.87,1.09
CHEMBL3121782,C#CCCCOc1ccc2ccc(=O)oc2c1,2.59,2.59
CHEMBL311624,C=CC(C)(C)Oc1ccc2ccc(=O)oc2c1,3.14,3.05
CHEMBL1084286,CC(C)=CCc1cccc2ccc(=O)oc12,3.30,3.51
CHEMBL4083422,CCCCCCCCCCc1c(O)c2ccccc2oc1=O,5.18,3.77
CHEMBL567139,NCc1ccc2oc(=O)ccc2c1,1.25,-0.89
CHEMBL1631881,COc1ccc2c(O)cc(=O)oc2c1,1.51,-1.21
CHEMBL500553,COc1cc2ccc(=O)oc2cc1O/C=C(\C)CCC=C(C)C,4.83,4.26
CHEMBL3193776,CC(C)Nc1c(N)c(=O)oc2ccccc12,2.20,0.71
CHEMBL1358287,CCOc1ccc2cc(C#N)c(=O)oc2c1,2.06,1.79
CHEMBL1444589,CC(=O)Cc1cc2cc([N+](=O)[O-])ccc2oc1=O,1.83,1.99
CHEMBL3668108,COCCNC(=O)CCc1c(COC)c2cc(OC)c(O)c(C=O)c2oc1=O,1.16,0.29
CHEMBL610182,COc1cc(OC)c2oc(=O)c(CC(O)CO)cc2c1,0.71,0.24
CHEMBL512838,Cc1cc(=O)oc2cc(C(=O)NC(=O)[C@@H](N)C(C)C)ccc12,1.34,1.09
CHEMBL1183580,COc1ccc2c(CSCCN)cc(=O)oc2c1,1.99,-1.01
CHEMBL70729,O=c1oc2ccccc2cc1[N+](=O)[O-],1.70,1.55
CHEMBL3251819,Cc1cc2oc(=O)c(C#N)c([O-])c2cc1C.[Na+],1.99,-0.47
CHEMBL3121791,C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,3.28,3.33
CHEMBL271516,O=c1cc(CCl)c2ccc(O)cc2o1,2.24,1.69
CHEMBL1366940,Cc1c(C)c2ccc(OCC(=O)N(C)C)c(C)c2oc1=O,2.19,1.95
CHEMBL2106251,CCN(CC)CCNC(=O)c1c(O)c2ccccc2oc1=O,1.57,-1.27
CHEMBL74431,CC(C)=CC(=O)OCc1cc(=O)oc2ccc(Cl)cc12,3.46,3.47
CHEMBL1079137,CC(C)=CCC/C(C)=C/[C@@H](O)C/C(C)=C/COc1ccc2ccc(=O)oc2c1,5.56,5.08
CHEMBL3186529,Cc1cc(=O)oc2cc(N(C)C)ccc12,2.17,2.19
CHEMBL72877,CCCCCCCC(=O)Oc1ccc2oc(=O)c([N+](=O)[O-])cc2c1,3.97,4.08
CHEMBL469432,COc1c(O)cc2ccc(=O)oc2c1OC,1.52,1.16
CHEMBL2376890,O=C(Nc1cc2ccccc2oc1=O)OCCBr,2.74,2.19
CHEMBL1427175,C=C(C)COc1ccc2c(C)c(CC(=O)OC)c(=O)oc2c1C,3.08,3.08
CHEMBL3967947,Cc1cc(=O)oc2cc(NC(=O)CCCCCNC(=N)N)ccc12.O=C(O)C(F)(F)F,2.08,-0.94
CHEMBL1488616,CCCc1cc(=O)oc2cc(C)cc(O)c12,2.76,3.00
CHEMBL70715,CC(C)=CCC/C(C)=C/COc1ccc2ccc(=O)oc2c1O,4.57,4.99
CHEMBL1339192,COc1ccc2c(C)cc(=O)oc2c1C,2.42,2.44
CHEMBL1517704,CCOc1ccc2c(C)cc(=O)oc2c1OCC,2.90,2.48
CHEMBL1446961,C=CCc1cccc2cc(C(=O)NC(C)(C)C)c(=O)oc12,3.05,2.94
CHEMBL591811,CCCc1c(C)c2ccc(O)cc2oc1=O,2.76,2.91
CHEMBL1163263,Cc1cc(O)c2c(C)c(CC(=O)N[C@H](CCCNC(N)=O)C(=O)O)c(=O)oc2c1,0.68,-3.43
CHEMBL3990370,Cc1cc(=O)oc2cc(NC(=O)CCCN)ccc12,1.78,-1.54
CHEMBL1192658,Cc1cc(=O)oc2ccc(O)c(CN)c12,1.27,-0.74
CHEMBL1288595,CCOc1ccc2ccc(=O)oc2c1C(C)=O,2.39,1.54
CHEMBL3306221,Cc1ccc2c(O)c(C#N)c(=O)oc2c1,1.68,-1.08
CHEMBL1891727,CCOP(=O)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.31,3.26
CHEMBL3614094,CCCCCCCCCCc1c(C)c2ccc(N(CC)CCCC(=O)O)cc2oc1=O,6.48,3.94
CHEMBL13635,C[C@@H](O)CCOc1ccc2ccc(=O)oc2c1,1.94,1.41
CHEMBL1966165,CC(C)OCC(O)COc1ccc2ccc(=O)oc2c1,1.96,1.72
CHEMBL3297789,CC(C)(C)NC(=O)c1cc2cc([N+](=O)[O-])ccc2oc1=O,2.23,1.78
CHEMBL71850,C=CC(C)(C)c1cc2ccc(O)cc2oc1=O,2.96,2.90
CHEMBL3184017,Cc1cc(=O)oc2cc(O)ccc12.O,1.81,1.63
CHEMBL457874,Cc1c(O)ccc2ccc(=O)oc12,1.81,1.94
CHEMBL1377388,CCCCc1cc(=O)oc2c(CN(CC)CC)c(O)c(Cl)cc12,4.34,3.05
CHEMBL270029,Cc1cc(=O)oc2c(O)c(O)c([N+](=O)[O-])cc12,1.42,0.44
CHEMBL3989643,CCN(CC)CCOc1cc2oc(=O)cc(C)c2cc1OCCN(CC)CC.Cl.Cl,3.54,-0.45
CHEMBL1372043,Cc1cc(=O)oc2c(OS(C)(=O)=O)c(OS(C)(=O)=O)ccc12,0.78,0.29
CHEMBL2105200,Cc1cc(=O)oc2cc(O)c(OCC(=O)O)cc12,1.27,-2.44
CHEMBL4069668,CCN(CC)c1ccc2cc(C(CC=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)c(=O)oc2c1,0.88,-6.05
CHEMBL1622392,CCN(CC)Cc1c(O)ccc2c(C)c(CC(=O)OC)c(=O)oc12,2.36,0.71
CHEMBL12253,O=C(O)Cc1cc(=O)oc2cc(O)ccc12,1.13,-2.64
CHEMBL79071,CCCCCCc1c(C)c2ccc(OC(=O)N(C)C)cc2oc1=O,4.28,4.42
CHEMBL2259697,CCCc1cc(=O)oc2cc(OCC(=O)OCC)ccc12,2.69,2.79
CHEMBL3764659,CN(C)CCNC(=O)c1cc2cc(Cl)cc(Cl)c2oc1=O,2.39,0.87
CHEMBL2178987,Cc1c(C)c2ccc(OCC(=O)NN)cc2oc1=O,0.78,0.70
CHEMBL1979928,CC(=O)Nc1cc2ccc(=O)oc2cc1Cl,2.40,1.63
CHEMBL1438898,CCCCCC(=O)NC(=S)Nc1ccc2oc(=O)ccc2c1,3.19,3.59
CHEMBL1405081,CCCCc1cc(=O)oc2cc(O)cc(O)c12,2.55,2.51
CHEMBL407746,Cc1c(Br)c(=O)oc2c(Br)c(O)c([N+](=O)[O-])cc12,3.24,1.37
CHEMBL1489077,CCN(CC)c1ccc2c(C)c(CO)c(=O)oc2c1,2.44,2.02
CHEMBL402991,CC(C)(C)c1ccc2oc(=O)c(CCC(=O)NO)cc2c1,2.53,2.47
CHEMBL1367862,Cc1cc(OCC(=O)C(C)(C)C)c2c(C)c(C)c(=O)oc2c1,3.71,4.44
CHEMBL273220,CCc1ccc2c(C)cc(=O)oc2c1,2.66,3.04
