chemblID,smiles,ALogP,LogD
CHEMBL368670,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(C)=O)CC2,4.01,2.98
CHEMBL1081,COc1c(O)cc2c(c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,2.57,1.31
CHEMBL19167,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N)CC2.O=C(O)C(O)C(O)C(=O)O,2.69,-0.34
CHEMBL61609,CSc1ccc2c(cc1=O)[C@@H](NC(C)=O)CCc1cc(O)c(O)c(O)c1-2,2.68,1.49
CHEMBL153454,COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](N)CC2,3.10,0.31
CHEMBL49781,COc1cc2c(c(OC)c1O)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)CC(C)=O)CC2,3.24,2.13
CHEMBL165050,CCC(C)c1ccc2c(cc1=O)[C@@H](NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-2,4.38,3.17
CHEMBL166302,COc1cc2c(c(OC)c1OC)-c1ccc(Br)c(=O)cc1[C@@H](NC(C)=O)CC2,3.63,2.42
CHEMBL3218103,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CS)CC2,3.43,2.29
CHEMBL157033,COc1c(C#N)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,2.74,1.32
CHEMBL3134565,COc1c(OC)c2c(c(C(F)F)c1OC)CC[C@H](NC(C)=O)c1cc(=O)c(OC)ccc1-2,3.81,1.85
CHEMBL325328,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,2.57,1.12
CHEMBL3134567,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NS(C)(=O)=O)CC2,2.94,1.56
CHEMBL3798105,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](N=[N+]=[N-])CC2,4.05,2.46
CHEMBL35027,CCCCCCCCCCCCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,9.05,8.73
CHEMBL3218109,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CCO)CC2,2.89,1.49
CHEMBL355794,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(C)=O)CC2,4.01,2.98
CHEMBL3134543,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(N)=S)CC2,3.22,2.62
CHEMBL213015,COc1c(N)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,3.16,1.58
CHEMBL301851,COc1c(O)c(O)cc2c1-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,2.98,1.92
CHEMBL3134553,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=S)N(C)CCO)CC2,3.19,2.38
CHEMBL2385957,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CCC(=O)NO)CC2,2.14,0.46
CHEMBL3218099,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CN(C)C)CC2,3.07,1.86
CHEMBL351881,COc1c(O)cc2c(c1OC)-c1cccc(=O)cc1[C@@H](NC(C)=O)CC2,2.56,1.45
CHEMBL48364,COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2C=O,3.02,1.17
CHEMBL320802,COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2,3.28,2.10
CHEMBL3134541,CCN(CC)C(=O)N[C@H]1CCc2c(Cl)c(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,4.44,2.89
CHEMBL349068,COc1cc2c(c(OC)c1OC)-c1ccc(C(C)(C)C)c(=O)cc1[C@@H](NC(C)=O)CC2,4.16,3.02
CHEMBL262394,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@H](NC(C)=O)CC2,3.58,2.25
CHEMBL1254451,CN[C@H]1CCc2cc(OC)c(O)c(OC)c2-c2ccc(SC)c(=O)cc21.O=C(O)CCC(=O)O,3.37,1.04
CHEMBL3134545,CCNC(=S)N[C@H]1CCc2c(Cl)c(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,3.87,3.20
CHEMBL152280,CCOCC(=O)N[C@H]1CCc2cc(O)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,3.30,2.29
CHEMBL3288758,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)[C@@H](N)C(C)C)CC2.Cl,2.84,1.03
CHEMBL479301,[2H]C(C)C([2H])C(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,3.65,2.61
CHEMBL4285951,CCSc1ccc2c(cc1=O)[C@@H](NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-2,3.98,2.50
CHEMBL2385954,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CCCCC(=O)NO)CC2,2.92,1.35
CHEMBL517083,CNc1ccc2c(cc1=O)[C@@H](NC(C)=O)CCc1cc(O)c(O)c(O)c1-2,2.00,0.39
CHEMBL27910,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)C(F)(F)F)CC2,3.11,1.98
CHEMBL2205476,COc1cc2c(c(OC)c1OC)-c1ccc(NCCN)c(=O)cc1[C@@H](NC(C)=O)CC2,2.23,-1.26
CHEMBL61707,CCCCCC(=O)N[C@H]1CCc2cc(O)c(O)c(O)c2-c2ccc(SC)c(=O)cc21,4.24,3.53
CHEMBL155693,COc1c(C=O)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,2.68,1.17
CHEMBL2374788,COc1c(OC(C)=O)c(OC(C)=O)cc2c1-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,2.71,0.99
CHEMBL312882,COc1cc2c(c(OC)c1OC)-c1ccc(S(C)(=O)=O)c(=O)cc1[C@@H](NC(C)=O)CC2,2.27,0.49
CHEMBL1080,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,2.57,1.12
CHEMBL4075161,CCCCCCCCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,6.77,6.16
CHEMBL3134552,CCCN(CCC)C(=S)N[C@H]1CCc2c(Cl)c(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,5.39,4.83
CHEMBL86029,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CF)CC2,2.82,1.54
CHEMBL3218072,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)C(F)(F)F)CC2,4.07,2.71
CHEMBL517186,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1[C@@H](N)CC2,2.39,-0.46
CHEMBL85042,COc1cc2c(c(OC)c1OC)-c1ccc([S+](C)[O-])c(=O)cc1[C@@H](NC(C)=O)CC2,2.60,0.39
CHEMBL2385955,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CCCCCC(=O)NO)CC2,3.31,1.80
CHEMBL279198,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](N(C)C(=O)C(F)(F)F)CC2,4.47,3.61
CHEMBL479300,C=CC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,3.04,2.22
CHEMBL4284332,CCCCSc1ccc2c(cc1=O)[C@@H](N)CCc1cc(OC)c(OC)c(OC)c1-2,4.58,1.66
CHEMBL3134570,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NS(=O)(=O)CC(C)C)CC2,3.96,2.96
CHEMBL3134549,COc1c(Cl)c2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=S)NCCO)CC2,2.85,2.16
CHEMBL1487099,CCN(CC)c1ccc2c(cc1=O)[C@@H](NC)CCc1cc(OC)c(OC)c(OC)c1-2,3.79,0.60
CHEMBL350163,CCc1ccc2c(cc1=O)[C@@H](NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-2,3.43,2.44
CHEMBL285684,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NC(=O)N(CCCl)N=O)CC2,4.38,3.41
CHEMBL347182,COc1c(OC(C)=O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,3.50,2.01
CHEMBL2385958,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CCCC(=O)NO)CC2,2.53,0.91
CHEMBL19531,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,3.67,0.61
CHEMBL4092678,CCCCCCCCCCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,7.55,7.05
CHEMBL208189,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NCC(C)=O)CC2,2.91,1.17
CHEMBL1819370,COC(=O)CCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,3.98,2.77
CHEMBL329896,COc1cc2c(c(OC(C)=O)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,3.50,2.01
