chemblID,smiles,ALogP,LogD
CHEMBL429961,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.93,0.07
CHEMBL16051,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)c(O)c2c1=O,1.29,-0.59
CHEMBL3138787,CCCCCCCC(=O)N1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)CC1C,4.58,2.74
CHEMBL539826,Cc1c(N2CCNCC2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl,1.75,-0.46
CHEMBL1974188,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.O.O,1.98,-0.61
CHEMBL3763301,CCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CC1.[K+],3.40,1.66
CHEMBL116788,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2F)CC1,1.87,-0.07
CHEMBL3884193,C#CCOC(=O)c1cn(C2CC2)c2cc(N3CCN(CC#C)CC3)c(F)cc2c1=O,2.02,2.77
CHEMBL2106116,C[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC(F)F)CCN1.Cl,2.57,0.33
CHEMBL15426,COc1c(N2CC(C)NC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,2.37,-0.20
CHEMBL584126,CCCCCC(=O)OCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,2.95,1.28
CHEMBL122659,O=C(O)c1cn(C2CC2)c2c(Cl)c(N3CCNCC3)ccc2c1=O,2.10,-0.40
CHEMBL573543,CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.84,-0.38
CHEMBL3763280,O=C([O-])CCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CC1.[K+].[K+],1.69,-3.70
CHEMBL1188134,O=C(O)c1cn(C2CC2)c2c([N+](=O)[O-])c(N3CCNCC3)c(F)cc2c1=O,1.49,-0.96
CHEMBL3765834,COC(=O)CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.39,-0.34
CHEMBL1212948,CCC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)CCN1,2.37,-0.10
CHEMBL305727,CCOP(=O)(OCC)C(N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)P(=O)(OCC)OCC,5.11,2.50
