chemblID,smiles,ALogP,LogD
CHEMBL1221982,COc1cc(-c2cc3cc(C)cc(Br)c3oc2=O)cc(OC)c1OC,4.56,4.26
CHEMBL1381354,COc1ccc2cc(-c3ccccc3)c(=O)oc2c1,3.47,3.29
CHEMBL1765810,CN(C)c1ccc(-c2cc3ccccc3oc2=O)cc1,3.53,3.56
CHEMBL1391722,NC(=O)COc1ccc2cc(-c3ccccc3)c(=O)oc2c1,2.32,1.96
CHEMBL1915318,O=c1oc2cc(O)c(O)cc2cc1-c1ccccc1,2.87,2.52
CHEMBL1765801,CN(C)c1ccc(-c2cc3cc(F)ccc3oc2=O)cc1,3.67,3.70
CHEMBL1440551,CCC(=O)Nc1cccc(-c2cc3ccccc3oc2=O)c1,3.81,3.39
CHEMBL3359870,COc1ccc(-c2cc3cc(Br)cc(OC)c3oc2=O)cc1OC,4.25,3.75
CHEMBL1835225,Cc1ccc(-c2cc3cc(O)ccc3oc2=O)cc1,3.47,3.65
CHEMBL3237818,O=C(O)c1ccccc1-c1cc2cc(O)c(O)cc2oc1=O,2.57,-1.20
CHEMBL3338420,COc1ccc(-c2cc3cc(CBr)cc(C)c3oc2=O)cc1OC,4.68,4.42
CHEMBL1987062,CC(=O)Oc1ccccc1-c1cc2ccccc2oc1=O,3.39,3.06
CHEMBL3360735,Cc1ccc2oc(=O)c(-c3ccc(N)cc3)cc2c1,3.35,3.14
CHEMBL2397718,Cc1cccc2cc(-c3cc(O)cc(O)c3)c(=O)oc12,3.18,3.32
CHEMBL3735254,CC(=O)Oc1ccccc1-c1cc2cc(C)ccc2oc1=O,3.69,3.57
CHEMBL3819219,CC(C)OP(=O)(Nc1ccc(-c2cc3ccc(OS(N)(=O)=O)cc3oc2=O)cc1)OC(C)C,4.41,2.71
CHEMBL3237815,O=C(O)c1ccccc1-c1cc2cc(O)ccc2oc1=O,2.86,-0.59
CHEMBL3612756,CCN(CC)c1ccc2c(C)c(-c3ccc(OC(C)=O)cc3)c(=O)oc2c1,4.54,4.18
CHEMBL1765802,Nc1ccc(-c2cc3cc(F)ccc3oc2=O)cc1,3.18,2.77
CHEMBL4073206,O=c1oc2cc(O)cc(O)c2cc1-c1ccc(Br)cc1,3.63,3.18
CHEMBL2000417,Cc1c(-c2ccccc2)c(=O)oc2ccc(Cl)cc12,4.42,4.35
CHEMBL3735572,CC(=O)Oc1cccc(-c2cc3cc(C)ccc3oc2=O)c1,3.69,3.57
CHEMBL1783715,COc1cc(OC)cc(-c2cc3cc(C)ccc3oc2=O)c1,3.79,3.65
CHEMBL4090835,NS(=O)(=O)Oc1ccc2cc(-c3ccc(F)c(F)c3)c(=O)oc2c1,2.32,2.38
CHEMBL486894,O=c1oc2ccc(O)cc2cc1-c1ccc(O)cc1,2.87,2.79
CHEMBL1915319,COc1cc2cc(-c3ccc(O)cc3)c(=O)oc2cc1O,2.88,2.48
CHEMBL1777849,O=c1oc2c(O)cc(Br)cc2cc1-c1ccc(O)cc1,3.63,4.21
CHEMBL1289672,CC(C)CCc1c(O)ccc2cc(-c3ccc(OC(F)(F)F)cc3)c(=O)oc12,5.65,6.52
CHEMBL2070337,Cc1ccc2oc(=O)c(-c3ccccc3)c(O)c2c1,3.47,2.44
CHEMBL1373593,COC(=O)C(C)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1,3.40,3.49
CHEMBL82544,COc1ccc(-c2c(C)c3ccc(OC(=O)N(C)C)cc3oc2=O)cc1,3.84,3.31
CHEMBL3359859,COc1cccc2cc(-c3ccc(F)cc3)c(=O)oc12,3.61,3.44
CHEMBL2397717,Cc1cccc2cc(-c3ccc(O)c(O)c3)c(=O)oc12,3.18,3.31
CHEMBL81161,COc1cccc(-c2c(C)c3ccc(OC(=O)N(C)C)cc3oc2=O)c1,3.84,3.31
CHEMBL153505,O=c1oc2cc(O)ccc2cc1-c1ccccc1,3.17,2.78
CHEMBL1441041,COc1cccc2cc(-c3ccccc3)c(=O)oc12,3.47,3.29
CHEMBL3359862,COc1cc(-c2cc3cc(Cl)ccc3oc2=O)cc(OC)c1OC,4.14,3.58
CHEMBL3359864,COc1ccc(-c2cc3cc(Cl)cc(Cl)c3oc2=O)cc1,4.78,4.50
CHEMBL3939546,O=c1oc2c(O)c(O)ccc2cc1-c1ccc(O)c(O)c1,2.28,2.59
CHEMBL3356690,CC(C)=CCOc1ccc(-c2c(C)c3cc(Br)ccc3oc2=O)cc1OCC=C(C)C,7.22,6.93
CHEMBL3359873,COc1cc(-c2cc3cc(Br)cc(OC)c3oc2=O)cc(OC)c1OC,4.26,3.59
CHEMBL3360733,Cc1ccc2oc(=O)c(-c3ccccc3N)cc2c1,3.35,3.14
CHEMBL3359868,COc1cccc(-c2cc3ccccc3oc2=O)c1,3.47,3.29
CHEMBL1777848,O=c1oc2c(O)cccc2cc1-c1ccc(O)cc1,2.87,3.45
CHEMBL3338421,COc1cc(-c2cc3cc(CBr)cc(C)c3oc2=O)cc(OC)c1OC,4.69,4.26
CHEMBL3808458,C=CC(C)(C)c1c(O)cc(OC)c2cc(-c3ccc(O)cc3O)c(=O)oc12,4.05,3.55
CHEMBL1172522,COc1ccc(-c2c(C)c3ccccc3oc2=O)cc1OC,3.79,3.44
CHEMBL1426170,COc1ccc(-c2cc3ccc(OC(C)C(=O)O)cc3oc2=O)cc1,3.32,-0.28
CHEMBL1880957,CC(=O)Oc1ccc(-c2cc3ccccc3oc2=O)cc1,3.39,3.06
CHEMBL1915321,COc1cc(-c2cc3cc(OC)c(O)cc3oc2=O)ccc1O,2.89,2.34
CHEMBL3359858,COc1cccc2cc(-c3ccc(Cl)cc3)c(=O)oc12,4.12,3.90
CHEMBL1504784,Cc1c(-c2ccccc2)c(=O)oc2cc(O)ccc12,3.47,3.06
CHEMBL467028,O=c1oc2ccc(O)cc2cc1-c1ccccc1,3.17,3.13
CHEMBL3359875,COc1cc(Br)cc2cc(-c3cccc(OC(C)=O)c3)c(=O)oc12,4.16,3.67
CHEMBL1765816,CN(C)c1ccc(-c2cc3cc(O)ccc3oc2=O)cc1,3.23,3.24
CHEMBL2006642,CC(=O)Oc1ccc2cc(-c3ccccc3OC(C)=O)c(=O)oc2c1,3.31,2.67
CHEMBL1170355,COc1ccc(-c2c(C)c3cc(Br)ccc3oc2=O)cc1OC,4.55,4.20
CHEMBL1989041,COc1ccc2c(N=[N+]=[N-])c(-c3ccccc3)c(=O)oc2c1,4.41,2.72
CHEMBL3359861,COc1ccccc1-c1cc2cc(Cl)ccc2oc1=O,4.12,3.90
CHEMBL3933208,O=c1oc2c(O)cccc2cc1-c1cccc(O)c1,2.87,3.47
CHEMBL78873,Cc1c(-c2ccc(C(F)(F)F)cc2)c(=O)oc2cc(OC(=O)N(C)C)ccc12,4.85,4.35
CHEMBL1765812,CN(C)c1ccc(-c2cc3ccc(O)cc3oc2=O)cc1,3.23,2.89
CHEMBL1502196,COc1ccc(-c2c(C)c3cc(O)ccc3oc2=O)cc1,3.48,3.27
CHEMBL3356691,CC(C)=CCOc1ccc(-c2c(C)c3cc(Br)cc(Br)c3oc2=O)cc1OCC=C(C)C,7.98,7.70
CHEMBL1289458,COc1ccc2cc(-c3ccc(F)c(F)c3)c(=O)oc2c1CCC(C)C,5.34,5.71
CHEMBL67599,CC(=O)Oc1ccc(-c2cc3cc(OC(C)=O)c(OC(C)=O)cc3oc2=O)cc1OC(C)=O,3.16,1.88
CHEMBL3360731,Cc1ccc2oc(=O)c(-c3cccc([N+](=O)[O-])c3)cc2c1,3.68,3.90
CHEMBL1171570,Cc1c(-c2ccc(Br)cc2)c(=O)oc2ccccc12,4.53,4.52
CHEMBL3360730,Cc1ccc2oc(=O)c(-c3ccccc3[N+](=O)[O-])cc2c1,3.68,3.90
CHEMBL1835223,COc1ccc2oc(=O)c(-c3cccc(C)c3)cc2c1,3.78,3.81
CHEMBL3121792,C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1,4.65,4.54
CHEMBL78658,Cc1c(-c2cccc(C(F)(F)F)c2)c(=O)oc2cc(OC(=O)N(C)C)ccc12,4.85,4.35
CHEMBL4062467,O=c1oc2cc(O)ccc2cc1-c1ccc(O)c(F)c1,3.01,2.33
CHEMBL3237816,O=C(O)c1ccccc1-c1cc2c(O)cccc2oc1=O,2.86,-0.79
CHEMBL1449156,CCC(=O)Nc1cc(-c2cc3ccccc3oc2=O)ccc1OC,3.82,3.23
CHEMBL1258188,COc1ccc(-c2c(C)c3ccc(OC)cc3oc2=O)cc1,3.79,3.44
CHEMBL2397719,Cc1cccc2cc(-c3cc(O)c(O)c(O)c3)c(=O)oc12,2.89,2.95
CHEMBL1835228,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1,4.08,4.48
CHEMBL3735913,Cc1ccc2oc(=O)c(-c3cccc(OCCBr)c3)cc2c1,4.54,4.66
CHEMBL3739747,O=c1oc2cc(O)ccc2cc1-c1ccc(Cl)cc1,3.82,3.39
CHEMBL3818079,CCOP(=O)(Nc1ccc(-c2cc3ccc(OS(N)(=O)=O)cc3oc2=O)cc1)OCC,3.64,1.88
CHEMBL1934674,COc1ccc(-c2c(O)c3cc(Cl)ccc3oc2=O)cc1,3.83,1.73
CHEMBL1915324,COc1cc2cc(-c3cc(OC)c(OC)c(OC)c3)c(=O)oc2c(OC)c1O,3.21,1.96
CHEMBL1777846,O=c1oc2c(O)cccc2cc1-c1ccccc1,3.17,3.80
CHEMBL1350853,COC(=O)COc1ccc2cc(-c3ccccc3)c(=O)oc2c1,3.01,2.92
CHEMBL1221981,COc1cc(OC)cc(-c2cc3cc(C)cc(Br)c3oc2=O)c1,4.55,4.42
CHEMBL1835224,COc1ccc2oc(=O)c(-c3ccc(C)cc3)cc2c1,3.78,3.81
CHEMBL3360734,Cc1ccc2oc(=O)c(-c3cccc(N)c3)cc2c1,3.35,3.14
CHEMBL1971302,COc1ccc(-c2cc3cc(Cl)cc(Cl)c3oc2=O)cc1OC,4.78,4.34
CHEMBL1554901,Cc1ccc2oc(=O)c(-c3ccc(O)cc3)c(C)c2c1,3.78,3.92
CHEMBL1777844,CCOc1cccc2cc(-c3ccc(OC)cc3)c(=O)oc12,3.87,3.49
CHEMBL3957454,O=c1oc2c(O)c(O)ccc2cc1-c1ccccc1O,2.58,2.91
CHEMBL3360732,Cc1ccc2oc(=O)c(-c3ccc([N+](=O)[O-])cc3)cc2c1,3.68,3.90
CHEMBL3735242,Cc1ccc2oc(=O)c(-c3cccc(OCCN(C)C)c3)cc2c1,3.71,2.46
CHEMBL3309833,COc1cc(OC)cc(-c2cc3ccc(OC(C)=O)c(OC(C)=O)c3oc2=O)c1,3.33,2.35
CHEMBL1765815,CC(=O)Oc1ccc2oc(=O)c(-c3ccc(N(C)C)cc3)cc2c1,3.45,3.17
CHEMBL1361055,COc1ccc(-c2c(C)c3cc(O)ccc3oc2=O)cc1OC,3.49,3.12
CHEMBL3359865,COc1cccc(-c2cc3cc(Cl)cc(Cl)c3oc2=O)c1,4.78,4.50
CHEMBL1289223,COc1ccc2cc(-c3ccc(C(F)(F)F)cc3)c(=O)oc2c1CCC(C)C,6.08,6.31
CHEMBL2070339,COc1ccc(-c2c(O)c3cc(C)ccc3oc2=O)c(OC)c1,3.49,1.81
CHEMBL2070338,COc1ccc(-c2c(O)c3ccccc3oc2=O)c(OC)c1,3.18,1.21
CHEMBL3359863,O=c1oc2ccc(Cl)cc2cc1-c1ccc(Cl)cc1,4.77,4.66
CHEMBL1172342,COc1ccc(-c2c(C)c3cc(Cl)ccc3oc2=O)cc1OC,4.44,4.04
