chemblID,smiles,ALogP,LogD
CHEMBL3964921,COc1cc(Br)cc2cc(-c3ccc([N+](=O)[O-])cc3)oc12,4.78,4.25
CHEMBL4073507,CC(C)(NS(C)(=O)=O)[C@H](NC(=O)c1ccc(-c2cc3ccc(O)cc3o2)cc1)C(=O)NO,1.74,0.53
CHEMBL3426811,O=Cc1c(-c2ccc(O)cc2O)oc2cc(O)ccc12,3.03,2.36
CHEMBL4282135,CCOC(=O)c1c(-c2ccccc2F)oc2ccc(O)cc12,4.12,3.89
CHEMBL3921708,COc1ccccc1-c1cc2cc(Cl)ccc2o1,4.76,4.15
CHEMBL562810,CC(C)=CCC/C(C)=C\CC/C(C)=C\Cc1c(O)cc(O)cc1-c1cc2ccc(O)cc2o1,8.18,7.81
CHEMBL4279114,CC(C)OC(=O)/C=C/c1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12,4.18,3.86
CHEMBL3958276,COc1cc(-c2cc3cc(Br)cc(OC)c3o2)ccc1O,4.59,3.85
CHEMBL573879,COc1cc2oc(-c3ccc(O)cc3O)c(C=O)c2c(O)c1CCC(C)(C)O,3.74,2.82
CHEMBL3104855,Cc1c(O)c(O)c(O)c(C=O)c1-c1cc2c(C=O)c(C)c(O)c(O)c2o1,2.87,1.36
CHEMBL464396,COc1ccc(C(=N)NC(C)C)cc1-c1cc2ccc(C(=N)NC(C)C)cc2o1,4.76,-1.24
CHEMBL2178549,Oc1ccc(-c2cc3cc([125I])ccc3o2)cc1,4.41,4.32
CHEMBL233913,O=Cc1c(-c2ccccc2)oc2ccccc12,3.91,3.41
CHEMBL2435514,COc1cc(-c2cc3cc(/C=C/C(=O)O)cc(OC)c3o2)ccc1O,3.92,-0.03
CHEMBL1643185,OCC#Cc1c(-c2ccccc2)oc2ccccc12,3.44,3.41
CHEMBL186874,N#CCc1cc(O)cc2cc(-c3ccc(O)c(F)c3)oc12,3.72,2.80
CHEMBL483399,N=C(N)c1cccc(-c2cc3cc(C(=N)N)ccc3o2)c1,2.67,-3.25
CHEMBL65912,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccccc2)oc2ccccc12,7.63,7.40
