chemblID,smiles,ALogP,LogD
CHEMBL3329222,Oc1ccc2cc(-c3ccc(O)c(O)c3)ccc2c1,3.62,3.69
CHEMBL394898,CN(CCc1ccc2cc(-c3ccc(C#N)cc3)ccc2c1)C(C)(C)C,5.65,3.16
CHEMBL3665044,CN(C)C(=O)c1cccc(-c2ccc3c(C=O)c(O)ccc3c2)c1,3.73,3.90
CHEMBL265960,Nc1cccc(-c2ccc3cc(O)ccc3c2)c1,3.79,3.48
CHEMBL371126,Cc1c(O)cc(C#N)c2cc(-c3ccc(O)c(F)c3)ccc12,4.24,4.34
CHEMBL1917880,Cc1cc(O)ccc1-c1ccc2c(O)cccc2c1,4.23,4.51
CHEMBL4299894,COc1ccc2cc(-c3c(C(=O)O)cccc3C(=O)O)ccc2c1,3.91,-2.88
CHEMBL1644036,N#Cc1ccc(-c2ccc3c(O)cccc3c2)cc1,4.08,4.16
CHEMBL248499,Oc1ccc(-c2ccc3cc(O)ccc3c2)c(O)c1,3.62,3.69
CHEMBL3645223,CNC(=O)c1cc(OC)cc(-c2ccc3cc(OC)ccc3c2)c1,3.88,3.37
CHEMBL3645215,CCOC(=O)/C=C/c1c(OC)ccc2cc(-c3cccc(OC)c3)ccc12,5.10,5.19
CHEMBL3330533,CC(O)c1ccc(-c2ccc3cc(O)ccc3c2)cc1,4.27,3.95
CHEMBL3330531,COC(=O)c1ccc(-c2ccc3cc(OC)ccc3c2)cc1,4.30,4.46
CHEMBL1917891,Oc1ccc(-c2ccc3c(O)cccc3c2)cc1F,4.06,4.10
CHEMBL3330543,CC(=O)c1cc(-c2ccc3cc(O)ccc3c2)cc([N+](=O)[O-])c1O,4.03,3.29
CHEMBL195217,Oc1cccc(-c2ccc3cc(O)ccc3c2)c1,3.92,4.00
CHEMBL559897,N=C(N)c1ccc2cc(-c3ccc(N)cc3)ccc2c1,3.37,0.30
CHEMBL3303637,CCCCN(CCCC)CCC(O)c1cc(-c2ccc(Cl)cc2)cc2c(Cl)cc(Cl)cc12,8.79,5.85
CHEMBL3330526,COc1ccc2cc(-c3ccc([N+](=O)[O-])c(C(F)(F)F)c3)ccc2c1,5.44,5.27
CHEMBL477833,COc1ccc2cc(-c3cccc(CI)c3)cc(CCNC(C)=O)c2c1,5.13,4.89
CHEMBL184977,COC(=O)N(CC(=O)O)C(=O)c1c(-c2ccc(Cl)cc2)ccc2c(C(F)(F)F)c(OC)ccc12,5.48,1.87
CHEMBL191901,Oc1ccc(-c2cc(F)c3c(Cl)c(O)ccc3c2)cc1F,4.85,4.65
CHEMBL491605,COC(=O)c1cccc(-c2cc(CCNC(C)=O)c3cc(OC)ccc3c2)c1,3.98,3.69
CHEMBL258504,O=C(O)c1ccc(-c2ccc3cc(O)ccc3c2)cc1,3.91,0.84
CHEMBL193010,Oc1cccc(-c2ccc3c(O)cccc3c2)c1,3.92,4.00
CHEMBL3330544,COc1ccc2cc(-c3cc(C(C)=O)c(O)c([N+](=O)[O-])c3)ccc2c1,4.33,3.43
CHEMBL3229957,CCCCNCC(O)c1cc(-c2ccc(Cl)cc2)cc2cc(Cl)ccc12,6.24,3.76
CHEMBL1917895,Oc1ccc(-c2ccc3c(O)cccc3c2)c(C(F)(F)F)c1,4.94,4.87
CHEMBL84786,COc1ccc2c(C(=O)N(C)CC(=O)O)cc(-c3ccccc3)cc2c1Br,4.43,0.55
CHEMBL106946,Cc1cc2ccc(F)cc2c(C)c1-c1ccc(O)c(O)c1,4.67,5.17
CHEMBL3330522,COC(=O)c1ccc(O)c(-c2ccc3cc(OC)ccc3c2)c1,4.01,4.09
CHEMBL103684,O=C(O)c1cc(-c2ccc3cc(O)c(O)cc3c2)ccc1O,3.32,0.50
CHEMBL1800080,CNc1ccc(-c2ccc3cc(OCCOCCOCCF)ccc3c2)cc1,4.93,4.03
CHEMBL192901,O=Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,3.87,3.73
CHEMBL365999,Oc1ccc2cc(-c3ccc(O)c(Cl)c3)ccc2c1,4.57,4.48
CHEMBL3622541,NC(=O)c1ccc2cc(-c3ccc(O)c(O)c3)ccc2c1,3.02,2.85
CHEMBL1173779,Oc1cccc(-c2ccc3c(O)c(O)ccc3c2)c1O,3.33,3.38
CHEMBL3330519,O=Cc1ccc(O)c(-c2ccc3cc(O)ccc3c2)c1,3.73,3.19
CHEMBL195058,Oc1ccc2cc(-c3ccccc3O)ccc2c1,3.92,4.00
CHEMBL192068,Oc1ccc2cc(-c3cc(F)c(O)c(F)c3)ccc2c1Cl,4.85,4.50
CHEMBL1644037,CC(=O)c1ccc(-c2ccc3c(O)cccc3c2)cc1,4.42,3.86
CHEMBL3330516,O=C(O)Cc1cc(-c2ccc3cc(O)ccc3c2)ccc1O,3.55,0.69
CHEMBL476132,COc1ccc2cc(-c3ccc(CO)cc3)cc(CCNC(C)=O)c2c1,3.69,2.92
CHEMBL3230053,CCCCN(CCCC)CC(O)c1cc(-c2ccc(Cl)cc2)cc2cc(Cl)c(OC)cc12,7.76,5.21
