chemblID,smiles,ALogP,LogD
CHEMBL2219511,Nc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1,3.83,3.38
CHEMBL2009717,CCN(CC)CCCC(C)Nc1cc(-c2ccccc2)nc2cc(OC)ccc12,5.83,1.80
CHEMBL280313,CC(C)Oc1cc(-c2ccccc2)nc2ccccc12,4.69,4.78
CHEMBL2008119,CN(C)CCNC(=O)c1cc(Cl)cc2ccc(-c3ccccc3)nc12,3.85,2.72
CHEMBL3039873,CCCOc1ccc(-c2cc(OCC(C)N(C)C)c3ccccc3n2)cc1,5.02,3.55
CHEMBL1190239,NCCNCc1ccc2ccc(-c3ccccc3)nc2c1,2.95,0.74
CHEMBL2448990,COc1ccc2nc(-c3ccccc3)cc(N)c2c1,3.49,2.73
CHEMBL546480,CCN(CC)CC(O)c1cc(-c2ccc(OC)cc2)nc2cc(Cl)ccc12,4.94,2.86
CHEMBL46206,CN(C)CCNc1cc(-c2ccc(Br)cc2)nc2ccccc12,4.64,2.63
CHEMBL1193697,NCCNCc1cccc2ccc(-c3ccccc3)nc12,2.95,0.72
CHEMBL545149,Cl.Cl.Cl.NCCNCc1cccc2ccc(-c3ccccc3)nc12,2.95,0.72
CHEMBL219230,Cc1ccc(-c2nc3c(C)c(C)ccc3c(C(=O)O)c2O)cc1,4.23,2.29
CHEMBL416738,CN(C)CCCCNc1cc(-c2ccc(F)cc2)nc2ccccc12,4.79,1.63
CHEMBL1255755,Cl.Nc1ccc(-c2ccc3ccccc3n2)cc1,3.48,3.33
CHEMBL1951852,CCOc1ccc(-c2cc(OC)c3ccccc3n2)cc1OCC,4.71,4.40
CHEMBL3230157,CCCCCCCN(CCCCCCC)CC(O)c1cc(Cl)cc2ccc(-c3ccc(Cl)cc3)nc12,9.48,7.72
CHEMBL3401629,Cc1ccc2nc(-c3cccc([N+](=O)[O-])c3)ccc2c1,4.12,4.62
CHEMBL98824,O=C(O)Cc1cccc2nc(-c3ccccc3F)cc(O)c12,3.37,0.54
CHEMBL185644,CCc1ccc(-c2cc(O)c3c(O)cc(OC)cc3n2)cc1,3.88,4.13
CHEMBL4168943,CCCOc1ccc(-c2cc(OCCN(CC)CC)c3cc(OC)cc(OC)c3n2)cc1,5.43,3.25
CHEMBL1307776,CCCCOc1cccc(-c2cc(C(=O)NN=C(S)NCC)c3ccccc3n2)c1,4.62,4.84
CHEMBL3229592,CCCCN(CCCC)CC(O)c1cc(-c2ccccc2)nc2ccc(OC)cc12,5.85,3.59
CHEMBL3780316,COc1ccc(-c2cc(CO)c3c(OC)c(OC)c(OC)cc3n2)cc1O,3.13,2.46
CHEMBL15634,Oc1ccc2c(O)cc(-c3ccccc3)nc2c1,3.31,3.51
CHEMBL3401622,Cc1ccc2nc(-c3ccccc3Br)ccc2c1,4.97,5.45
CHEMBL2385702,COc1ccc(-c2cc(C(=O)O)c3cc(F)ccc3n2)cc1,3.75,0.45
CHEMBL84677,C[C@H](O)CNc1cc(-c2ccccc2)nc2ccccc12,3.69,3.02
CHEMBL2009205,CN(C)CCNC(=O)c1cc([N+](=O)[O-])cc2ccc(-c3ccccc3)nc12,3.10,2.06
CHEMBL3303938,CCCCNCC(O)c1cc(-c2ccccc2)nc2ccccc12,4.32,2.14
CHEMBL14633,CN(C)c1cccc(-c2cc(O)c3ccccc3n2)c1,3.67,3.97
CHEMBL103139,Cc1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)nc2ccccc12.[Na+],3.31,0.06
CHEMBL2385720,O=C(O)c1cc(-c2ccc(F)cc2)nc2ccc(Cl)cc12,4.39,1.21
CHEMBL184620,COc1cc(O)c2c(O)cc(-c3ccc(OC)c(F)c3)nc2c1,3.47,3.16
CHEMBL90216,Cc1ccc(-c2cc(NCC(O)CO)c3ccccc3n2)cc1,2.98,2.45
CHEMBL1447422,Cc1c(-c2ccccc2Cl)nc2ccccc2c1C(=O)O,4.56,1.53
CHEMBL217918,Cc1ccc2nc(-c3ccc(Cl)cc3)c(O)c(C(=O)O)c2c1,4.27,1.86
CHEMBL3229555,CCCCN(CCCC)CC(O)c1cc(-c2ccc(Cl)cc2)nc2cc(I)ccc12,7.10,5.31
CHEMBL3229517,CCCCN(CCCC)CC(O)c1c(F)c(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cc12,7.94,6.02
CHEMBL446677,Cc1ccccc1-c1cc(NCC(O)CO)c2ccccc2n1,2.98,2.59
CHEMBL578056,CN(C)CCCNc1cc(-c2ccccc2)nc2ccccc12,4.27,1.37
CHEMBL71241,COC(=O)c1cc2cc(OC)c(OC)cc2nc1-c1ccc([N+](=O)[O-])cc1,3.61,3.79
CHEMBL48171,CC(C)CNc1cc(-c2ccccc2)nc2ccccc12,4.97,4.52
CHEMBL1537307,CC(=O)Nc1ccc(-c2cc(C(=O)O)c3ccc(C)cc3n2)cc1,3.87,0.22
CHEMBL1814795,CCCOc1ccc(-c2cc(OC)c3ccccc3n2)cc1,4.70,4.72
CHEMBL225367,CN(C)CCNc1cc(-c2ccc(F)cc2)nc2ccc(Cl)cc12,4.67,2.86
CHEMBL14412,COc1cccc(-c2cc(O)c3cc(OC)ccc3n2)c1,3.62,3.54
