chemblID,smiles,ALogP,LogD
CHEMBL3647114,CC(=O)c1ccc(-c2ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cn2)cc1,2.19,1.28
CHEMBL547807,CN(C)Cc1ccc(O)c(-c2ccc(C(C)(C)C)cc2)n1,3.81,3.16
CHEMBL1732533,CCCOc1ccc(-c2cc(C(F)(F)F)c(C#N)c(SCCC(=O)O)n2)cc1,4.99,1.58
CHEMBL3692232,CC(C)[C@H](CO)NCc1nc(-c2cccc(C(F)(F)F)c2)ccc1F,4.01,3.38
CHEMBL3229926,CC(C)CCCN(CCC(C)C)CC(O)c1cc(-c2ccc(C(F)(F)F)cc2)nc(C(F)(F)F)c1,7.60,5.84
CHEMBL4104993,Cc1c(CO)cccc1-c1cccc(Cl)n1,3.20,3.36
CHEMBL597357,Cc1cccc(C)c1-c1cccc(SCCN(C)C)n1,4.02,3.69
CHEMBL4283056,Cc1nc(-c2ccccc2)cc(C(=O)O)c1O,2.46,-0.49
CHEMBL3229920,CCCC(CCC)NCC(O)c1cc(-c2ccc(C(F)(F)F)cc2)nc(C(F)(F)F)c1,6.38,4.25
CHEMBL1502516,COc1ccc(-c2ccc(C(=O)O)c(O)n2)cc1,2.16,-0.15
CHEMBL1573121,CCOC(=O)c1cc(C#N)c(SC)nc1-c1ccccc1,3.52,4.23
CHEMBL1618908,CCOc1c(C)cc(-c2ncccc2O)cc1C,3.47,3.70
CHEMBL3542350,CO/N=C/c1ccc(-c2ccccn2)cc1,2.73,2.89
CHEMBL3447635,Cc1nc(-c2ccc(CNS(=O)(=O)N(C)C)cc2)ccc1C(N)=O,1.05,0.20
CHEMBL1470154,COc1ccc(-c2cc(C(F)(F)F)c(C#N)c(O)n2)cc1,3.35,3.65
CHEMBL185444,CCc1cc(-c2cccc(N)n2)c(OC)cc1CCCN(C)C,3.40,1.83
CHEMBL3988901,N[C@@H](CCC(=O)N[C@@H](CSCc1ccc(-c2ccccn2)cc1)C(=O)NCC(=O)O)C(=O)O,0.86,-5.30
CHEMBL1520167,COc1ccc(-c2cc(C(F)(F)F)c(C#N)c(SCC(=O)O)n2)cc1,3.82,0.24
CHEMBL3542352,O=C(O)CNC(=O)c1ccc(-c2ccccn2)cc1,1.56,-2.01
CHEMBL3229923,CCCCNCC(O)c1cc(-c2ccc(C(F)(F)F)cc2)nc(C(F)(F)F)c1,5.21,3.12
CHEMBL2144313,CNc1cccc(-c2cccc(O)c2)n1,2.50,2.53
CHEMBL164302,CCCOC(=O)c1c(-c2cccc(F)c2)nc(CC)c(C(=O)SCC)c1CCC,5.86,7.06
CHEMBL1342896,CCCc1ccc(-c2ccc(/C=C/C(=O)O)cc2)nc1,3.80,1.23
