chemblID,smiles,ALogP,LogD
CHEMBL4115960,CN(CCN)Cc1ccc(-c2cccc(C(F)(F)F)c2)o1,3.36,0.67
CHEMBL579540,CNCCCNCc1ccc(-c2ccc(F)c(Cl)c2)o1,3.44,-0.18
CHEMBL4117075,CNCCN(C)Cc1ccc(-c2ccc(C#N)cc2)o1,2.47,-0.43
CHEMBL4117864,COc1cccc(-c2ccc(CN(C)CCN)o2)c1,2.35,-0.37
CHEMBL192601,Cc1ccc(F)c(-c2ccc(C(=O)N=C(N)N)o2)c1,1.81,1.38
CHEMBL4117471,CNCCN(C)Cc1ccc(-c2cccc(C(F)(F)F)c2)o1,3.62,0.59
CHEMBL3193662,COC(=O)N/N=C/c1ccc(-c2ccccc2Cl)o1,3.29,2.96
CHEMBL394539,N=C(N)NCCC[C@@H](NC(=O)c1ccc(-c2cccc(CO)c2)o1)C(=O)O,0.89,-1.60
CHEMBL4076876,CN(C)CCCNc1ccc(-c2ccc(Cl)cc2Cl)o1,4.62,1.54
CHEMBL1083519,Cc1oc(-c2ccc(NC(=O)CCCCN)cc2)cc1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,1.77,-3.66
CHEMBL2153774,O=C(O)c1ccc(-c2c(Cl)cc([N+](=O)[O-])cc2Cl)o1,3.86,-0.05
CHEMBL425386,O=C(O)c1ccc(-c2ccccc2[N+](=O)[O-])o1,2.55,-1.26
CHEMBL1383311,O=Cc1ccc(-c2ccccc2C(=O)O)o1,2.46,-1.45
CHEMBL3190961,COC(=O)N/N=C/c1ccc(-c2cc(Cl)cc(Cl)c2)o1,3.94,3.56
CHEMBL363344,CCOc1ccc(Cl)cc1-c1ccc(C(=O)N=C(N)N)o1,2.41,1.54
CHEMBL232179,CC(=O)N(C)c1cc(-c2cc(Cl)ccc2Cl)oc1C(=O)N=C(N)N,2.65,1.08
CHEMBL199544,O=C(O)c1ccc(-c2ccc([N+](=O)[O-])cc2Cl)o1,3.21,-0.65
CHEMBL4116645,CNCCN(C)Cc1ccc(-c2cccc(OC(F)(F)F)c2)o1,3.50,1.15
CHEMBL212338,NS(=O)(=O)c1cccc(-c2ccc(C=O)o2)c1,1.41,0.92
