chemblID,smiles,ALogP,LogD
CHEMBL1527776,Cc1ccccc1-n1nc(-c2ccc(N)cc2)cc1N,3.01,3.04
CHEMBL1620296,N=C(N)SCc1cn(-c2ccccc2)nc1-c1ccc(Br)cc1,4.43,2.58
CHEMBL183311,CCOC(=O)c1cn(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])nc1-c1ccccc1F,3.67,4.48
CHEMBL1760828,NS(=O)(=O)c1ccc(-n2cc(C(=O)O)c(-c3ccc(F)cc3)n2)cc1,2.02,-0.92
CHEMBL3416366,Cc1ccc(-c2nn(-c3ccc(C)cc3)cc2C=O)cc1,3.97,4.83
CHEMBL4281026,CCCSC(=S)c1c(-c2ccc(Br)cc2)nn(-c2ccccc2)c1O,5.83,6.91
CHEMBL1716544,CN(Cc1cn(-c2ccccc2)nc1-c1ccc(F)cc1)C(=O)CCC(=O)O,3.50,0.16
CHEMBL1454377,CCNC(=O)COC(=O)c1cc(-c2ccccc2)nn1-c1ccccc1,2.83,3.27
CHEMBL90103,O=C(Cc1cn(-c2cccc(C(F)(F)F)c2)nc1-c1ccc(Cl)c(Cl)c1)NO,4.91,4.99
CHEMBL1878132,O=C(O)c1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,3.89,0.94
CHEMBL4202837,CCOc1ccc(-c2nn(-c3ccc(Cl)cc3)cc2/C=C(\C#N)C(=O)O)cc1,4.58,1.35
CHEMBL3189360,CCCC/C(C)=N/NC(=O)c1cn(-c2ccccc2)nc1-c1ccccc1,4.84,5.09
CHEMBL4206841,OCc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,3.69,3.93
CHEMBL1508557,CCC(COC)NCc1cn(-c2ccc(F)cc2F)nc1-c1ccccc1C,4.64,3.88
CHEMBL86485,CN(C)C(=O)Cc1cn(-c2cc(Cl)cc(Cl)c2)nc1-c1ccc(Cl)c(Cl)c1,5.78,5.79
CHEMBL1270095,CN(C)/C=N/c1c(C=O)c(-c2ccccc2)nn1-c1cccc([N+](=O)[O-])c1,3.48,3.42
CHEMBL1496699,C/C=C/C(=O)OCC(=O)Nc1cc(-c2cc(C)c(C)cc2C)nn1-c1ccccc1,4.52,5.96
CHEMBL1760825,NS(=O)(=O)c1ccc(-n2cc(C(=O)O)c(-c3ccccc3)n2)cc1,1.88,-1.06
CHEMBL1760827,COc1ccc(-c2nn(-c3ccc(S(N)(=O)=O)cc3)cc2C(=O)O)cc1,1.89,-1.22
CHEMBL2260918,O=C(O)CCC(=O)/C=C/c1cn(-c2ccccc2)nc1-c1ccccc1,3.99,1.33
CHEMBL1501680,O=C(CCl)Nc1cn(-c2ccccc2)nc1-c1ccc(F)cc1,3.86,4.01
CHEMBL505460,CCOC(=O)c1c(-c2ccccc2Cl)nn(-c2ccccc2)c1C,4.68,5.26
CHEMBL1612923,COc1cccc(-c2nn(-c3ccccc3)cc2CO)c1,3.04,3.17
CHEMBL4205958,Cc1ccc(-n2cc(CO)c(-c3ccccc3)n2)cc1,3.34,3.84
CHEMBL3629060,Cc1cccc(-c2nn(-c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2/C=N/NC(=N)N)c1,2.48,3.47
CHEMBL313053,CN(C)C(=O)Cc1cn(-c2ccc(C(C)(C)C)cc2)nc1-c1ccc(Cl)c(Cl)c1,5.77,6.12
CHEMBL1096180,O=C(CCCCCCCCCCS)Nc1cn(-c2ccccc2)nc1-c1ccccc1,6.92,7.40
