chemblID,smiles,ALogP,LogD
CHEMBL1191884,CN(C)CCCOc1cc(-c2ccccc2)c2ccccc2n1,4.23,2.44
CHEMBL3039777,CC(C)c1nc2ccc(Cl)cc2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,5.42,1.95
CHEMBL318120,OCc1c(O)nc2ccc(C(F)(F)F)cc2c1-c1cc(Cl)ccc1O,4.48,4.44
CHEMBL1739308,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(CCCC(=O)O)cc23)cc1,5.27,3.24
CHEMBL1189779,CN(C)CCCSc1cc(-c2ccccc2)c2ccccc2n1,4.95,3.20
CHEMBL1819413,CC(=O)NCCCCCCNCc1nc2ccc(Cl)cc2c(-c2ccccc2)c1C(=O)O,5.04,1.69
CHEMBL525183,NCc1c(N)nc2ccccc2c1-c1ccc(Cl)cc1Cl,4.25,2.51
CHEMBL185278,CC(C)(C)Sc1c(O)nc2ccc(C(F)(F)F)cc2c1-c1cc(Cl)ccc1O,6.88,6.58
CHEMBL3259893,CO[C@H](C(=O)O)c1c(C)nc2ccc(Br)cc2c1-c1ccc(Cl)cc1,5.40,1.44
CHEMBL3230304,CCCCN(CCCC)CC(O)c1cc(-c2ccc(Cl)cc2)c2cc(Cl)cc(Cl)c2n1,7.80,5.91
CHEMBL1422813,Cc1nc2ccccc2c(-c2ccccc2)c1CC(=O)O,3.84,0.90
CHEMBL1819407,CCOC(=O)c1c(CN(CC)CC)nc2ccc(Cl)cc2c1-c1ccccc1,5.57,4.78
CHEMBL1288813,CCCCc1cc(-c2ccccc2)c2ccccc2n1,5.24,5.50
CHEMBL4117236,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(OCCCCC(=O)O)cc23)cc1,5.50,3.00
CHEMBL3897268,Cc1ccc2c(-c3ccccc3F)cc(C(N)=O)nc2c1,3.45,3.67
CHEMBL15914,CCN(CC)C(=O)c1c(C)nc2ccccc2c1-c1ccccc1,4.69,3.92
CHEMBL1852264,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(C(N)=O)cc23)cc1,3.97,2.08
CHEMBL335142,CC(C)(CCCCOc1cc(-c2ccccc2)c2ccc(Cl)cc2n1)C(=O)O,6.22,3.91
CHEMBL1192706,CN(C)CCOc1cc(-c2ccccc2)c2ccccc2n1,3.84,2.98
CHEMBL1668637,[N-]=[N+]=NCCc1c(Cl)nc2ccc(Cl)cc2c1-c1ccccc1Cl,6.71,6.04
CHEMBL94310,COc1ccc(-c2c(CC(C)C)c(C)nc3cc(OC)c(OC)c(OC)c23)cc1OC,5.45,4.69
CHEMBL1808463,CC(C)Cc1nc2ccc(OCC(N)=O)cc2c(-c2ccc(F)cc2)c1CN,3.56,1.33
CHEMBL136433,O=C(O)CCCCCCOc1cc(-c2ccccc2)c2ccccc2n1,5.32,2.41
CHEMBL1495082,Cc1cccc2c(-c3ccccc3)cc(O)nc12,3.92,4.58
CHEMBL420261,COc1ccc(-c2c(C)c(C(C)C)nc3cc(OC)c(OC)c(OC)c23)cc1OC,5.38,4.81
CHEMBL3970688,NC(=O)c1cc(-c2ccc(F)cc2)c2cccc(F)c2n1,3.28,3.30
CHEMBL3644525,NC(N)=NC(=O)c1ccc2ncc(Cl)c(-c3ccc(F)cc3F)c2c1,3.25,2.82
CHEMBL434810,COc1cccc(-c2cc(OCCCCC(C)(C)C(=O)O)nc3ccccc23)c1,5.57,3.15
CHEMBL2368093,CC(C)c1nc2ccc(Cl)cc2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],5.42,1.95
CHEMBL3220898,CCN(CC)C(=O)c1cc(-c2ccccc2I)c2ccccc2n1,4.99,5.10
CHEMBL4082445,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(OCC(=O)O)cc23)cc1.Cl.Cl,4.33,2.03
CHEMBL301059,Nc1c(O)nc2cccc(C(F)(F)F)c2c1-c1cc(Cl)ccc1O,4.57,4.38
CHEMBL543043,CN(C)CCCOc1cc(-c2ccccc2)c2ccccc2n1.Cl,4.23,2.44
CHEMBL3215633,CNC(=O)COc1ccc2nc(CC(C)C)c(CN)c(-c3ccc(C)cc3)c2c1.Cl.Cl,3.99,1.92
CHEMBL3259901,Cc1ccc2c(-c3ccc(Cl)cc3)c([C@H](OC(C)(C)C)C(=O)O)c(C)nc2c1,6.11,2.63
CHEMBL4072939,CCCCCc1nc2ccc(OCC(N)=O)cc2c(-c2ccccc2)c1CN,3.96,1.78
CHEMBL137346,Cc1c(OCCCCC(C)(C)C(=O)O)nc2ccccc2c1-c1ccccc1,5.87,3.73
CHEMBL2436016,CC(=O)Nc1cccc(-c2cc(C)nc3ccccc23)c1,4.17,3.14
CHEMBL3931394,COc1ccc(-c2cc(C(N)=O)nc3ccccc23)c(F)c1,3.15,3.00
CHEMBL3259886,Cc1ccc(-c2c(CC(=O)O)c(C)nc3ccc(Br)cc23)cc1,4.91,1.64
CHEMBL3894156,CC(C)(C)OC(=O)N(Cc1ccc2c(-c3ccc(F)cc3)cc(C(N)=O)nc2c1)C(=O)OC(C)(C)C,5.81,5.44
CHEMBL1499430,CC(=O)c1c(C)nc2ccc(Br)cc2c1-c1ccccc1,5.18,4.24
CHEMBL1606044,COC(=O)CSc1c(O)nc2ccc(Cl)cc2c1-c1ccccc1,4.53,4.61
CHEMBL1739310,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(CCCCCC(=O)O)cc23)cc1,6.05,4.13
CHEMBL4072218,CC(C)Cc1nc2ccc(Br)cc2c(-c2ccccc2)c1CN,5.32,3.46
CHEMBL50643,Nc1c(O)nc2ccc(Cl)cc2c1-c1cc(Cl)ccc1O,4.20,4.11
CHEMBL4279717,Cc1ccc(-c2c(C(OC(C)(C)C)C(=O)O)c(C)nc3ccccc23)cc1,5.46,2.06
CHEMBL1192705,CN(C)CCN(C)c1cc(-c2ccccc2)c2ccccc2n1,3.90,3.12
CHEMBL4286560,CSc1ccc(-c2c(C(OC(C)(C)C)C(=O)O)c(C)nc3ccccc23)cc1,5.87,2.00
CHEMBL3259897,Cc1ccc2nc(C)c([C@H](OC(C)(C)C)C(=O)O)c(-c3ccc(Cl)cc3)c2c1,6.11,2.61
CHEMBL297915,Nc1c(O)nc2c(C(F)(F)F)cccc2c1-c1cc(Cl)ccc1O,4.57,4.39
CHEMBL3216749,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(C(N)=O)cc23)cc1.Cl.Cl,3.97,2.08
CHEMBL4117209,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(OCCC(=O)O)cc23)cc1,4.72,2.27
CHEMBL2436387,COc1ccc(-c2cc(/C=C/CO)nc3ccc(Cl)cc23)cc1,4.57,4.30
CHEMBL342688,Cc1ccc(-c2cc(OCCCCC(C)(C)C(=O)O)nc3ccccc23)cc1,5.87,3.82
CHEMBL4293598,Cc1nc2ccccc2c(-c2cccc(F)c2)c1C(OC(C)(C)C)C(=O)O,5.29,1.61
CHEMBL1213820,CCOC(=O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,5.04,4.87
CHEMBL3230305,CCCCN(CCCC)CC(O)c1cc(-c2ccc(Cl)cc2)c2cc(OC)c(Cl)cc2n1,7.15,5.10
CHEMBL4101425,CCCc1nc2ccc(OCC(N)=O)cc2c(-c2ccccc2)c1CN,3.18,0.90
CHEMBL3259888,Cc1nc2ccccc2c(-c2ccc(Cl)cc2)c1CC(=O)O,4.49,1.32
CHEMBL2436466,OC/C=C/c1cc(-c2cccc(F)c2)c2cc(Cl)c(F)cc2n1,4.84,4.74
CHEMBL4292417,Cc1nc2ccccc2c(-c2ccccc2Cl)c1C(OC(C)(C)C)C(=O)O,5.80,2.07
CHEMBL1735172,CC(=O)c1c(O)nc2ccccc2c1-c1ccccc1,3.81,4.28
CHEMBL318441,CCC(CC)CC(=O)c1nc2cc(OC)c(OC)c(OC)c2c(-c2ccc(OC)c(OC)c2)c1C(=O)OC,5.74,5.26
CHEMBL137322,O=C(O)CCCCCCc1cc(-c2ccccc2)c2ccccc2n1,5.48,2.92
CHEMBL4289412,Cc1nc2ccccc2c(-c2ccc(Cl)cc2)c1C(OC(C)(C)C)C(=O)O,5.80,2.06
CHEMBL3951152,CC(C)c1nc2ccccc2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,4.76,1.35
CHEMBL373121,N#CCOc1ccc(Cl)cc1-c1c(CCO)c(O)nc2ccc(C(F)(F)F)cc12,4.72,4.45
CHEMBL1668635,OCCc1c(Cl)nc2ccc(Cl)cc2c1-c1ccccc1Cl,5.40,5.33
CHEMBL4290481,Cc1cccc(-c2c(C(OC(C)(C)C)C(=O)O)c(C)nc3ccccc23)c1,5.46,2.07
CHEMBL543750,CN(C)CCSc1cc(-c2ccccc2)c2ccccc2n1.Cl,4.56,3.64
CHEMBL295492,O=S(=O)(Nc1c(O)nc2cc(C(F)(F)F)ccc2c1-c1cc(Cl)ccc1O)C(F)(F)F,5.25,5.40
CHEMBL4282209,Cc1nc2ccccc2c(-c2cccc(Cl)c2)c1C(OC(C)(C)C)C(=O)O,5.80,2.06
CHEMBL184521,OCCSc1c(O)nc2ccc(C(F)(F)F)cc2c1-c1cc(Cl)ccc1O,5.07,4.89
CHEMBL1341946,CC(=O)c1c(O)nc2ccc([N+](=O)[O-])cc2c1-c1ccccc1,3.72,4.21
CHEMBL4285986,COc1cccc(-c2c(C(OC(C)(C)C)C(=O)O)c(C)nc3ccccc23)c1,5.16,1.25
CHEMBL1335879,COCCC(=O)Nc1c(O)nc2ccc(Br)cc2c1-c1ccccc1,4.34,4.14
CHEMBL1884903,O=C(O)Cc1c(O)nc2ccc(Br)cc2c1-c1ccccc1,4.00,1.13
CHEMBL4071958,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(OCCCC(=O)O)cc23)cc1.Cl.Cl,5.11,2.56
CHEMBL1723392,CC(=O)c1c(O)nc2ccccc2c1-c1ccc(Cl)cc1,4.46,4.88
CHEMBL4289243,CC(=O)c1ccc(-c2c(C(OC(C)(C)C)C(=O)O)c(C)nc3ccccc23)cc1,5.35,0.87
CHEMBL136937,OCCCCCCOc1cc(-c2ccccc2)c2ccccc2n1,4.83,4.99
CHEMBL543045,CN(C)CCNc1cc(-c2ccccc2)c2ccccc2n1.Cl,3.88,2.45
CHEMBL50774,COc1ccc(Cl)cc1-c1c(N)c(O)nc2ccccc12,3.85,3.69
CHEMBL1433122,O=C(O)Cc1c(O)nc2ccc(Br)cc2c1-c1ccccc1Cl,4.65,1.74
CHEMBL2426005,CCCC(C(=O)O)c1cnc2ccc(Cl)cc2c1-c1ccccc1,5.52,2.66
CHEMBL96140,COc1ccc(Cl)cc1-c1c(CCCO)c(O)nc2ccc(C(F)(F)F)cc12,5.21,5.36
CHEMBL276756,CCC(C)N(C)C(=O)c1nc2ccccc2c(-c2ccccc2)c1C,5.08,5.27
CHEMBL1191680,CCN(CC)Cc1cc(-c2ccccc2)c2ccccc2n1,4.74,2.89
CHEMBL137654,CC(C)(CCCCOc1cc(-c2ccccc2)c2cc(Cl)ccc2n1)C(=O)O,6.22,3.91
CHEMBL1702383,Cc1ccc2c(-c3ccc([N+](=O)[O-])cc3)cc(O)nc2c1,3.82,4.52
CHEMBL137497,CC(C)(CCCCOc1cc(-c2ccc(Cl)cc2)c2ccccc2n1)C(=O)O,6.22,3.91
CHEMBL3210116,C/C(=N\N)c1c(O)nc2ccc(C)cc2c1-c1ccccc1,3.60,3.86
CHEMBL15003,CCC(C)N(C)C(=O)c1nc2ccccc2c(-c2ccccc2F)c1C,5.22,5.41
CHEMBL3259895,Cc1nc2ccc(Br)cc2c(-c2ccc(Cl)cc2)c1[C@H](OC(C)(C)C)C(=O)O,6.57,2.54
CHEMBL1819411,CC(C)NCc1nc2ccc(Cl)cc2c(-c2ccccc2)c1C(=O)O,4.75,1.97
CHEMBL136805,COc1ccc(-c2cc(OCCCCC(C)(C)C(=O)O)nc3ccccc23)cc1,5.57,3.15
CHEMBL3644526,Cc1nc2ccc(C(=O)N=C(N)N)cc2c(-c2c(F)cc(F)cc2F)c1C,3.35,3.01
CHEMBL3974279,Cc1cc(Cl)ccc1-c1cc(C(N)=O)nc2ccccc12,3.96,4.13
CHEMBL51111,O=S(=O)(Nc1c(O)nc2ccc(C(F)(F)F)cc2c1-c1cc(Cl)ccc1O)C(F)(F)F,5.25,5.40
CHEMBL102112,Cc1nc2ccccc2c(-c2ccccc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],3.18,-0.85
CHEMBL4280818,Cc1nc2ccc(Br)cc2c(-c2ccc(Cl)cc2)c1C(OC(C)(C)C)C(=O)O,6.57,2.54
CHEMBL3259900,Cc1nc2cc(Cl)ccc2c(-c2ccc(Cl)cc2)c1[C@H](OC(C)(C)C)C(=O)O,6.46,2.58
CHEMBL1230654,CCC[C@H](C(=O)O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,5.83,2.84
CHEMBL1192507,CN(C)CCSc1cc(-c2ccccc2)c2ccccc2n1,4.56,3.64
CHEMBL1321562,CCN(CC)c1c(O)nc2ccc(C)cc2c1-c1ccccc1,4.76,5.40
CHEMBL3644524,Cc1cc(-c2c(F)cc(F)cc2F)c2cc(C(=O)N=C(N)N)ccc2n1,3.04,2.49
CHEMBL1205483,Cc1nc2ccccc2c(-c2ccccc2)c1OCC(O)C[C@@H](O)CC(=O)O,3.18,-0.85
CHEMBL1852302,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(C(=O)O)cc23)cc1,4.57,2.37
CHEMBL1739309,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(CCCCC(=O)O)cc23)cc1,5.66,3.68
CHEMBL280035,CCC(C)NC(=O)c1nc2ccccc2c(-c2ccccc2F)c1C,4.88,5.19
CHEMBL4116738,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(OCCCC(=O)O)cc23)cc1,5.11,2.56
CHEMBL1851814,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(CCC(N)=O)cc23)cc1,4.29,2.47
CHEMBL1447420,COc1ccc2c(-c3ccccc3)cc(SCC(=O)N(C)C)nc2c1,4.09,3.65
CHEMBL3985577,NC(=O)c1cc(-c2ccc(Br)cc2)c2ccccc2n1,3.76,3.78
CHEMBL3259891,COC(C(=O)O)c1c(C)nc2ccc(Br)cc2c1-c1ccc(Cl)cc1,5.40,1.44
CHEMBL1348812,COCCNC(=O)CSc1cc(-c2ccccc2)c2ccc(OC)cc2n1,3.77,3.38
CHEMBL3982696,COc1ccc(-c2cc(C(N)=O)nc3cc(C)ccc23)cc1,3.32,3.37
CHEMBL3215844,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(CCCC(=O)O)cc23)cc1.Cl.Cl,5.27,3.24
CHEMBL3972482,NC(=O)c1cc(-c2c(F)cc(Cl)cc2F)c2ccccc2n1,3.93,3.90
CHEMBL4289649,Cc1nc2ccccc2c(-c2ccccc2C#N)c1C(OC(C)(C)C)C(=O)O,5.02,0.92
CHEMBL3211508,C/C(=N\NC(=O)CCCC(=O)O)c1c(O)nc2ccc(Cl)cc2c1-c1ccccc1,4.36,0.75
CHEMBL3914492,COC(=O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,4.65,4.52
CHEMBL1191253,CN(C)CCCNc1cc(-c2ccccc2)c2ccccc2n1,4.27,1.92
CHEMBL2180479,CCCC(C(=O)O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,5.83,2.84
CHEMBL1668638,[N-]=[N+]=NCCc1c(N=[N+]=[N-])nc2ccc(Cl)cc2c1-c1ccccc1Cl,7.00,6.11
CHEMBL1852295,CNC(=O)COc1ccc2nc(CC(C)C)c(CN)c(-c3ccc(C)cc3)c2c1,3.99,1.92
CHEMBL1602227,COc1ccc2c(-c3ccccc3)cc(SC(C)C(N)=O)nc2c1,3.88,3.77
CHEMBL185344,CSc1c(O)nc2ccc(C(F)(F)F)cc2c1-c1cc(Cl)ccc1O,5.71,5.84
CHEMBL136156,CC(C)(CCCCSc1cc(-c2ccccc2)c2ccccc2n1)C(=O)O,6.28,4.05
CHEMBL3210610,C/C(=N\NC(=O)CCC(=O)O)c1c(O)nc2ccc(Br)cc2c1-c1ccccc1,4.07,0.45
