chemblID,smiles,ALogP,LogD
CHEMBL4104854,O=C(O)c1cc(-c2ccccc2O)cc(C(=O)O)n1,1.85,-3.98
CHEMBL28212,Cc1cc(-c2cc([N+](=O)[O-])ccc2F)cc(C)n1,3.41,2.74
CHEMBL3040089,CC(C)c1nc(C(C)(C)C)cc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,4.91,1.84
CHEMBL1739283,Cc1ccc(-c2c(CC(=O)O)c(C)nc(CC(C)C)c2CN)cc1,3.65,1.11
CHEMBL1739448,CCCCc1nc(C)c(C(=O)O)c(-c2ccc(C)cc2)c1CN,3.86,1.28
CHEMBL24905,CCCCCc1c(C(C)C)nc(C(C)C)c(CO)c1-c1ccc(F)cc1F,6.50,6.96
CHEMBL333147,CCCCCc1c(C(C)C)nc(C(C)C)c(C(C)O)c1-c1ccc(F)cc1O,6.63,6.85
CHEMBL1205423,CC(C)c1cc(-c2ccc(F)cc2)c(C#CP(=O)(O)C[C@H](O)CC(=O)O)c(C(C)C)n1,4.55,-1.87
CHEMBL4086985,COc1ccc(-c2cc(C(=O)O)nc(C(=O)O)c2)cc1,2.15,-3.72
CHEMBL4082511,O=C(O)c1cccc(-c2cc(C(=O)O)nc(C(=O)O)c2)c1,1.84,-7.11
CHEMBL3216938,Cc1ccc(-c2c(CN)c(CC(C)(C)C)nc(C)c2C(=O)O)cc1.Cl.Cl,4.11,1.43
CHEMBL359833,N#Cc1c(N)nc(SCCO)c(C#N)c1-c1cccc(C(F)(F)F)c1,3.18,3.03
CHEMBL1215105,CN(C)c1nc(Cl)c(C#N)c(-c2ccccc2)c1C#N,3.21,3.64
CHEMBL1739440,CCCc1nc(C)c(C(=O)O)c(-c2ccc(C)cc2)c1CN,3.47,0.84
CHEMBL4079832,O=C(O)c1cc(-c2ccccc2)cc(C(=O)O)n1,2.15,-3.59
CHEMBL4087202,CCCCCCc1ccc(-c2ccncc2)cc1,4.87,5.14
CHEMBL416559,CCCCCc1c(C(C)C)nc(C(C)C)c(CO)c1-c1cccc(C)c1,6.53,7.18
CHEMBL4100527,CN(C)c1ccc(-c2cc(C(=O)O)nc(C(=O)O)c2)cc1,2.21,-3.43
CHEMBL178932,N#Cc1c(N)nc(SCCO)c(C#N)c1-c1ccc(F)cc1,2.30,2.30
CHEMBL1739128,COC(=O)CNC(=O)Cc1c(C)nc(CC(C)C)c(CN)c1-c1ccc(C)cc1,2.85,0.62
CHEMBL3040022,CC(C)c1cc(-c2ccc(F)cc2)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(C(C)C)n1,4.73,1.31
CHEMBL1739449,Cc1ccc(-c2c(CN)c(CC(C)(C)C)nc(C)c2C(=O)O)cc1,4.11,1.43
