chemblID,smiles,ALogP,LogD
CHEMBL55430,Nc1nc(O)c(I)c(-c2cccc([N+](=O)[O-])c2)n1,1.94,3.09
CHEMBL88745,C=CCSc1nc(O)c(C#N)c(-c2ccc(C)cc2)n1,3.31,4.68
CHEMBL3415353,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(C)cc2)n1,2.21,4.13
CHEMBL293085,Cc1ccccc1-c1nc(N)nc(O)c1Cl,2.39,3.34
CHEMBL285501,CCC(C)Sc1nc(O)cc(-c2ccccc2)n1,3.74,4.77
CHEMBL539663,CCC(C)Nc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,3.78,3.63
CHEMBL1327761,CC(=O)NCCNc1cc(-c2ccccc2CN(C)C)ncn1,1.75,-0.69
CHEMBL549393,CCCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,3.78,3.66
CHEMBL37847,N=C(N)Nc1nc(O)c(Br)c(-c2ccccc2)n1,1.92,2.71
CHEMBL1271069,CCCc1cc(-c2cc(C(=O)N(C)C)cc(C(F)(F)F)c2)nc(C#N)n1,3.69,4.04
CHEMBL1391717,COCC(C)NC(=O)CCSc1nc(-c2ccc(OC)cc2)cc(C(F)(F)F)n1,3.80,3.89
CHEMBL1305514,CCN(CC)c1nc(C(N)=O)cc(-c2ccccc2)n1,2.09,2.82
CHEMBL2023702,COc1ccc(-c2cc(NS(C)(=O)=O)nc(N)n2)cc1,1.11,0.48
CHEMBL412888,Nc1nc(O)c(Cl)c(-c2ccccc2O)n1,1.79,2.47
CHEMBL1353194,COc1ccc(-c2cc(C(F)(F)F)nc(S(C)(=O)=O)n2)cc1,2.57,2.71
CHEMBL1409193,COC(=O)CSc1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,3.57,4.11
CHEMBL4087092,CC(=O)Nc1nccc(-c2cccc(NC(=O)CCCN(C)C)c2)n1,2.38,-0.57
CHEMBL1411109,COCCNC(=O)CCSc1nc(-c2ccc(OC)cc2)cc(C(F)(F)F)n1,3.42,3.48
CHEMBL417418,CCOCCOc1cccc(-c2nc(N)nc(O)c2Br)c1,2.61,3.14
CHEMBL3407905,O=C(O)c1cc(-c2ccc(F)c(F)c2)ncn1,2.12,-0.93
CHEMBL160005,CSc1nc(S)c(C#N)c(-c2cccc(F)c2)n1,3.16,3.50
CHEMBL1738736,COc1cc(-c2cc(C)nc(N)n2)c(Cl)cc1Cl,3.35,3.11
CHEMBL2316968,C[C@@H](O)[C@H](O)C(=O)NS(=O)(=O)/C=C/c1cccc(-c2cc(N)ncn2)c1,-0.12,-1.17
CHEMBL4290737,Cc1ccc(-c2nc(N)nc(Cl)c2C)cc1,3.00,3.78
CHEMBL160159,CCCCCCCCNc1nc(O)c(C#N)c(-c2ccc(C)cc2)n1,4.80,6.00
CHEMBL3415361,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cccc(OC)c2)n1,1.91,3.46
CHEMBL3407879,COc1c(C(=O)O)ncnc1-c1ccc(Cl)c(Cl)c1,3.16,-0.02
CHEMBL55609,CN(C)c1ccc(-c2nc(N)nc(O)c2Br)cc1,2.26,3.10
CHEMBL3251540,Cc1cncnc1-c1ccccc1,2.45,2.60
CHEMBL2022881,COc1ccc(-c2cc(O)nc(N)n2)cc1,1.44,2.07
CHEMBL1552187,CC(=O)NCCNc1cc(-c2ccccc2C(F)(F)F)ncn1,2.71,2.05
CHEMBL1783477,CCOC(=O)c1c(C)nc(N)nc1-c1ccccc1,2.21,2.42
CHEMBL3407915,COc1cc(-c2cc(C(=O)O)ncn2)ccc1Cl,2.50,-0.77
CHEMBL3407896,CS(=O)(=O)Nc1cc(-c2ccc(Cl)c(Cl)c2)ncn1,2.82,1.94
CHEMBL1469697,CC(C)(C)NC(=O)CSc1nc(O)cc(-c2ccccc2)n1,2.86,3.32
