chemblID,smiles,ALogP,LogD
CHEMBL131561,CC(/C=C/c1sccc1-c1cc(C(C)C)cc(C(C)C)c1OCCCF)=C\C(=O)O,7.44,3.99
CHEMBL1207199,CC(C)=Cc1sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,5.70,2.95
CHEMBL323587,CSc1cc(-c2ccc(F)cc2)c(C(=O)O)s1,3.97,0.70
CHEMBL2393437,CCNC(=O)c1c(-c2ccc(OC)c(OC)c2)csc1N,2.76,2.50
CHEMBL4111245,CNC(=O)c1sc(C(F)(F)F)c(-c2ccccc2)c1N,3.38,3.44
CHEMBL3133560,COC(=O)[C@H](CCSC)NC(=S)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,6.00,6.16
CHEMBL3133566,CCOC(=O)CSCCNC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,5.47,4.89
CHEMBL3221139,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1cccc(OC)c1,4.97,4.95
CHEMBL3221143,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccccc1OC,4.97,4.95
CHEMBL3702555,CCOC(=O)c1c(NC(C)=O)sc(C(C)=O)c1-c1ccc(Cl)cc1,4.41,4.11
CHEMBL3786727,COc1ccc(-c2csc(/C=C(\C)C(N)=O)c2)cc1,3.31,3.13
CHEMBL1542652,Cc1ccc(C)c(-c2csc(N)c2C(=O)OC(C)C)c1,4.18,5.19
CHEMBL2393444,CCOC(=O)c1c(-c2ccc(C)cc2)csc1N,3.48,4.26
CHEMBL3660408,COc1cc(-c2ccsc2)cc(C=O)c1O,2.94,3.28
CHEMBL3786245,C/C(=C\c1cc(-c2ccccc2C)cs1)C(N)=O,3.61,3.80
CHEMBL1207089,Cc1sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccccc1,4.45,2.04
CHEMBL3221155,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1cc(OC)cc(OC)c1,4.98,4.79
CHEMBL3660409,O=Cc1cc(-c2ccsc2)ccc1O,2.93,3.40
CHEMBL3221164,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1cccc(C#N)c1,4.84,4.97
CHEMBL214834,CC(C)(C)c1ccc(-c2c(C(=O)O)sc(C(F)(F)F)c2C#N)cc1,5.30,2.17
CHEMBL3221135,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(OC)cc1,4.97,4.95
CHEMBL2086921,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cccc(CN(CC)C(C)=O)c1,5.20,4.51
CHEMBL1828953,N#Cc1sc(N)c(C#N)c1-c1cc(C(F)(F)F)cc(C(F)(F)F)c1,4.78,4.34
CHEMBL2022804,N#CCC(=O)Nc1scc(-c2ccc(Cl)cc2)c1C#N,3.79,3.20
CHEMBL3444358,Cc1ccc(-c2csc(N)c2C#N)cc1,3.18,3.11
CHEMBL2393451,CCOC(=O)c1c(-c2ccc(OC)cc2F)csc1N,3.32,3.73
CHEMBL246666,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CC(=O)N(C)CCCC)cc1,5.63,5.59
CHEMBL2096754,C[C@H](C(=O)O)c1ccc(-c2ccsc2)cc1,3.60,1.30
CHEMBL570131,CC(C)Sc1sc(CO)c(-c2ccc(Cl)cc2)c1C#N,4.93,4.59
CHEMBL2393452,CCOC(=O)c1c(-c2ccc(OC)c(F)c2)csc1N,3.32,3.73
CHEMBL2393448,CCOC(=O)c1c(-c2ccc(N(C)C)cc2)csc1N,3.24,3.86
CHEMBL2393419,CCOC(=O)c1cscc1-c1ccc(OC)c(OC)c1,3.61,3.45
CHEMBL3196424,CCOC(=O)c1c(-c2ccc(F)cc2)csc1/N=C/N(C)C,3.95,3.66
CHEMBL361159,CNc1scc(-c2ccc(F)cc2)c1C#N,3.47,3.04
CHEMBL3785956,C/C(=C\c1cc(-c2ccc(S(C)(=O)=O)cc2)cs1)C(N)=O,2.71,2.13
CHEMBL1433235,COC(=O)c1sc(C(F)(F)F)c(-c2ccccc2)c1S(=O)(=O)NC(C)(C)C,4.30,4.38
CHEMBL3787409,C=Cc1ccc(-c2csc(/C=C(\C)C(N)=O)c2)cc1,3.95,4.02
CHEMBL246461,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CN(C)C)cc1,4.89,4.55
CHEMBL182609,CSc1scc(-c2ccc(F)cc2)c1Br,5.04,5.11
CHEMBL239393,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CC(=O)N(C)C)cc1,4.46,4.27
CHEMBL181438,CCSc1cc(-c2ccc([N+](=O)[O-])cc2)cs1,4.44,4.39
CHEMBL2393445,CCOC(=O)c1c(-c2cccc(OC)c2)csc1N,3.18,3.59
CHEMBL2393423,COc1ccc(-c2csc(N)c2C(=O)OC(C)C)cc1OC,3.58,3.85
CHEMBL1828947,NC(=O)c1sc(N)c(C(N)=O)c1-c1cc(C(F)(F)F)cc(C(F)(F)F)c1,3.23,2.98
CHEMBL3221137,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(O)cc1,4.67,4.78
CHEMBL1205800,CC(C)c1sc(C(C)C)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,5.40,2.89
CHEMBL360725,CCc1cc(-c2ccc(F)cc2)cs1,4.12,4.63
CHEMBL3221154,CC(C)Sc1sc(C(=O)O)c(-c2ccc(O)c(O)c2)c1C#N,3.90,0.32
CHEMBL1207195,COCCOCc1sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,4.44,1.36
CHEMBL2229898,O=[N+]([O-])c1cc(-c2c(Cl)cc(Cl)cc2[N+](=O)[O-])cs1,4.54,4.65
CHEMBL3647097,CC(CCc1ccc(-c2ccsc2)cc1)(C(=O)NO)S(C)(=O)=O,2.66,2.33
CHEMBL426256,N#Cc1c(-c2ccc(F)cc2)csc1N,3.01,2.74
CHEMBL1922560,COc1cc(-c2cc(Cl)sc2Cl)ccc1C(=O)O,4.43,1.12
CHEMBL404690,CCOC(=O)c1c(-c2cccc(C(F)(F)F)c2)csc1N,4.19,4.63
CHEMBL2153165,CC(C)CS(=O)(=O)CC(NC(=O)c1cc(-c2ccccc2)cs1)C(=O)NCC#N,2.22,1.33
CHEMBL523663,CCOC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccccc1,3.48,1.15
CHEMBL3133562,COC(=O)[C@H](CCSC)N(C)C(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,5.81,5.50
CHEMBL152963,CCCCCCCCc1sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],7.18,5.28
CHEMBL106893,CSc1cc(-c2ccc(Cl)cc2)c(C(=O)O)s1,4.49,1.16
CHEMBL3133567,CC(C)Sc1sc(C(=O)NCCSCC(=O)O)c(-c2ccc(Cl)cc2)c1C#N,4.99,1.23
CHEMBL3221141,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1cccc(O)c1,4.67,4.80
CHEMBL3133580,CSCC[C@H](NC(=O)c1sc(SC(C)C)c(C#N)c1-c1cc(O)c(O)c(O)c1)C(=O)O,3.84,-0.03
CHEMBL538396,CCCSc1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N,5.78,2.73
CHEMBL3221157,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1cc(O)cc(O)c1,4.38,4.47
CHEMBL385502,CC(C)(C)c1ccc(-c2c(C#N)csc2C(=O)O)cc1,4.28,1.16
CHEMBL1454285,CCCC(=O)Nc1sc(C)c(-c2ccc(OC)cc2)c1C#N,4.34,4.29
CHEMBL3133564,CSCCNNC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,5.04,4.92
CHEMBL1828951,CC(=O)Nc1sc(C#N)c(-c2ccc(F)cc2F)c1C#N,3.40,2.93
CHEMBL2022806,CN(C)/C=C(\C#N)C(=O)Nc1scc(-c2ccc(Cl)cc2)c1C#N,3.85,3.42
CHEMBL3764531,CC(C)(C)OC(=O)NC(C(=O)NO)c1ccc(-c2ccsc2)cc1,3.49,2.88
CHEMBL3764316,COC(=O)[C@H](CCSC)NC(=O)c1sc(N=[N+]=[N-])c(C#N)c1-c1ccc(Cl)cc1,4.91,4.38
CHEMBL1602194,COC(=O)c1c(-c2ccc(OC)c(OC)c2)csc1N,2.80,3.08
CHEMBL3763576,CC(C)(C)C(=O)NC(C(=O)NO)c1ccc(-c2ccsc2)cc1,3.12,3.00
CHEMBL3221147,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1cc(OC)c(OC)c(OC)c1,4.99,4.64
CHEMBL433571,CSc1scc(-c2ccc(F)cc2)c1[N+](=O)[O-],4.18,4.28
CHEMBL569191,CCC(C)Sc1sc(C(=O)O)c(-c2ccc(Cl)cc2)c1C#N,5.53,2.11
CHEMBL1491158,Cc1sc(NC(=O)/C=C/C(=O)O)c(C(N)=O)c1-c1ccc(C(C)(C)C)cc1,3.70,1.21
CHEMBL568491,CON(C)C(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,5.07,4.80
CHEMBL2393456,CCOC(=O)c1c(-c2cccc(C#N)c2)csc1N,3.05,3.60
CHEMBL4238788,O=C([O-])c1ccc(-c2ccsc2)cc1O.[K+],2.82,-0.09
CHEMBL1578230,Cc1cccc(-c2csc(N)c2C(=O)OC(C)C)c1,3.87,4.68
CHEMBL576470,CSCC[C@@H](NC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1)C(=O)O,5.38,1.70
CHEMBL247079,CCCCCCNC(=O)Cc1ccc(-c2cc(CC(C)C)sc2S(=O)(=O)NC(=O)OCCCC)cc1,6.07,6.26
CHEMBL246460,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CN(C)C=O)cc1,4.42,4.11
CHEMBL2393453,CCOC(=O)c1c(-c2ccc(C(F)(F)F)cc2)csc1N,4.19,4.63
CHEMBL2393443,CCOC(=O)c1c(-c2cccc(C)c2)csc1N,3.48,4.26
CHEMBL1370709,C=CCNC(=O)c1sc(SC)cc1-c1ccc(Cl)cc1,4.71,4.74
CHEMBL2393424,COCCOC(=O)c1c(-c2ccc(OC)c(OC)c2)csc1N,2.82,3.03
CHEMBL3221162,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(C#N)cc1,4.84,4.97
CHEMBL397615,CN(C)CCc1cccc(-c2ccsc2)c1,3.52,1.84
CHEMBL3221144,COc1ccccc1-c1c(C(=O)O)sc(SC(C)C)c1C#N,4.49,0.82
CHEMBL437377,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CN(CC)C(C)=O)cc1,5.20,4.51
CHEMBL358623,CC(C)=Cc1sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],5.70,2.95
CHEMBL183075,CCSc1cc(-c2cccc(C#N)c2)cs1,4.40,4.30
CHEMBL4088105,O=C(O)c1ccc(-c2ccsc2)cc1CS,3.54,0.28
CHEMBL378065,C[S+]([O-])c1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N,4.02,0.06
CHEMBL1460524,CCOC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(F)cc1,3.62,1.29
CHEMBL104781,CCOC(=O)c1sc(SC)cc1-c1ccc(Br)cc1,5.08,5.46
CHEMBL1344566,CCOC(=O)c1c(N)sc(C(O)(C(F)(F)F)C(F)(F)F)c1-c1ccc(OC)cc1OC,4.50,4.30
CHEMBL3133582,CCC(C)Sc1sc(C(=O)N[C@@H](CCSC)C(=O)O)c(-c2ccc(Cl)cc2)c1C#N,5.77,2.22
CHEMBL3445404,NC(=O)c1c(-c2ccc(Cl)cc2Cl)csc1NC(=O)CCCC(=O)O,4.01,0.78
CHEMBL1207094,CC(C)c1sc(CO)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,3.77,0.76
CHEMBL2022803,N#CCC(=O)Nc1scc(-c2ccccc2)c1C#N,3.14,2.60
CHEMBL2393418,CCOC(=O)c1c(-c2ccc(OC)c(OC)c2)csc1N,3.19,3.43
CHEMBL182876,CSc1cc(-c2ccc(F)cc2)cs1,4.28,4.34
CHEMBL600494,COC(=O)c1c(-c2ccccc2Cl)csc1N,3.44,4.00
CHEMBL392514,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CC(=O)NC)cc1,4.12,4.04
CHEMBL4108316,CNC(=O)c1cc(-c2ccccc2)c(C(F)(F)F)s1,3.79,3.62
CHEMBL1385311,COc1ccc(-c2cc(C(=O)O)sc2C)cc1,3.43,0.27
CHEMBL3221156,COc1cc(OC)cc(-c2c(C(=O)O)sc(SC(C)C)c2C#N)c1,4.50,0.66
CHEMBL2086920,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cccc(CN(C)S(C)(=O)=O)c1,4.22,3.65
CHEMBL1368232,COC(=O)c1c(-c2ccc(C)cc2)csc1N,3.09,3.90
CHEMBL1366972,Cc1sc(NC(=O)CCCC(=O)O)c(C(N)=O)c1-c1ccccc1,3.02,0.24
CHEMBL283082,CSc1sc(C(=N)N)cc1-c1ccccc1,3.42,1.90
CHEMBL1524015,COC(=O)c1c(-c2cccc(OC)c2)csc1N,2.79,3.23
CHEMBL264926,COC(=O)[C@H](Cc1ccc(-c2ccsc2)cc1)NC(=O)CCCCCCCC(=O)NO,3.85,3.69
CHEMBL1564057,COC(=O)c1sc(N(C)C)c(C#N)c1-c1ccccc1,3.14,3.67
CHEMBL183144,CCOc1scc(-c2ccc(F)cc2)c1C#N,3.82,3.76
CHEMBL3221138,CC(C)Sc1sc(C(=O)O)c(-c2ccc(O)cc2)c1C#N,4.19,0.66
CHEMBL3593494,O=C(O)c1ccc(-c2ccsc2)cc1,3.11,-0.07
CHEMBL1374373,CNC(=O)c1sc(SC)cc1-c1ccc(Cl)cc1,4.15,4.01
CHEMBL2022627,N#Cc1c(-c2ccccc2)csc1N,2.87,2.59
CHEMBL1345340,CCOC(=O)c1c(NC(=O)/C=C\C(=O)O)sc(C)c1-c1ccccc1,3.48,1.13
CHEMBL2393449,CCOC(=O)c1c(-c2cccc(NC(C)=O)c2)csc1N,3.13,2.99
CHEMBL3133587,COC(=O)[C@H](CCSC)NC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,5.47,5.27
CHEMBL521093,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(C(=O)N(CC)CC)cc1,5.31,5.00
CHEMBL578604,CC(C)Sc1sc(C(N)=O)c(-c2ccc(Cl)cc2)c1C#N,4.54,4.20
CHEMBL3221146,CC(C)Sc1sc(C(=O)O)c(-c2ccccc2O)c1C#N,4.19,0.61
CHEMBL3702543,CCOC(=O)c1c(-c2ccc(NC(C)=O)cc2)csc1N,3.13,2.99
CHEMBL4302475,O=C(O)c1ccc(-c2ccsc2)cc1O,2.82,-0.09
CHEMBL2393421,CCOC(=O)c1c(-c2ccc(OC)c(OC)c2)csc1N(C)C,3.68,3.72
CHEMBL342129,N[C@H](C[C@H](Cc1ccc(-c2ccsc2)cc1)C(=O)O)C(=O)O,2.46,-2.06
CHEMBL2229905,O=[N+]([O-])c1cc(Cl)ccc1-c1ccsc1[N+](=O)[O-],3.88,4.05
CHEMBL347277,CC(C)c1sc(CO)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],3.77,0.76
CHEMBL3133561,CSCC[C@H](NC(=S)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1)C(=O)O,5.91,2.65
CHEMBL340555,CC(/C=C/c1sccc1-c1cc(C(C)C)cc(C(C)C)c1OCC(F)F)=C\C(=O)O,7.35,4.20
CHEMBL1443679,COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C(C)C)cc1,4.21,2.04
CHEMBL3702551,CCOC(=O)c1c(-c2ccc(F)cc2)csc1N,3.31,3.89
CHEMBL3221140,COc1cccc(-c2c(C(=O)O)sc(SC(C)C)c2C#N)c1,4.49,0.82
CHEMBL1480004,CCN(CC)C(=O)c1c(-c2ccccc2)csc1NC(=O)CC(C)C,4.88,4.90
CHEMBL2086916,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cccc(CN(C)C(=O)CCCC)c1,5.98,5.75
CHEMBL2230020,O=[N+]([O-])c1ccccc1-c1ccsc1,3.32,3.34
CHEMBL266579,CCCC[C@@H](C[C@@H](CCc1cccc(-c2ccsc2)c1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O,5.52,3.39
CHEMBL213197,CSc1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N,5.00,1.96
CHEMBL3443661,Cc1ccc(-c2csc(N)c2C#N)c(C)c1,3.49,3.62
CHEMBL2393447,CCOC(=O)c1c(-c2ccc(N)cc2)csc1N,2.76,2.92
CHEMBL3453593,CNC(=O)[C@@H](C)NC(=O)c1cc(-c2ccc(F)cc2)c(C)s1,2.73,2.86
CHEMBL578811,CC(C)CSc1sc(C(=O)O)c(-c2ccc(Cl)cc2)c1C#N,5.39,2.16
CHEMBL1548884,CCOC(=O)c1c(-c2cccc([N+](=O)[O-])c2)csc1N,3.08,3.69
CHEMBL3221151,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(OC)c(OC)c1,4.98,4.79
CHEMBL3445406,Cc1sc(NC(=O)CCC(=O)O)c(C(N)=O)c1-c1ccc(Cl)cc1Cl,3.93,1.04
CHEMBL571705,CC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,5.64,4.91
CHEMBL367252,CC(C(=O)O)c1ccc(-c2ccsc2)cc1,3.60,1.30
CHEMBL1625599,CCOC(=O)c1c(NC(=O)CCl)sc(CN(C)C)c1-c1ccccc1,3.83,3.95
CHEMBL492880,Oc1ccc(-c2ccsc2)cc1O,2.83,2.79
CHEMBL1482989,CCN(CC)S(=O)(=O)c1ccc(-c2cc(C(=O)OC)sc2C(F)(F)F)cc1,4.25,4.31
CHEMBL2022629,CN(C)/C=C(\C#N)C(=O)Nc1scc(-c2ccccc2)c1C#N,3.19,2.82
CHEMBL3453573,Cc1sc(C(=O)NS(C)(=O)=O)cc1-c1ccc(F)cc1,2.55,1.71
CHEMBL386250,c1ccc(-c2ccsc2)cc1,3.42,3.40
CHEMBL191468,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CC#N)cc1,4.89,4.68
CHEMBL246665,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(CN(C)OC)cc1,4.82,4.54
CHEMBL3787229,C/C(=C\c1cc(-c2ccc(C(F)(F)F)cc2)cs1)C(N)=O,4.32,4.16
CHEMBL3133586,CC[C@H](C)[C@H](NC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccccc1)C(=O)N[C@@H](CCSC)C(=O)O,5.25,2.24
CHEMBL346856,Cc1sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccccc1.[Na+],4.45,2.04
CHEMBL1331694,CCOC(=O)c1c(-c2ccccc2)csc1N=C(S)NC,3.73,4.16
CHEMBL3221153,CCOC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(O)c(O)c1,4.38,4.43
CHEMBL1389534,COC(=O)c1c(-c2cccc(C)c2)csc1N,3.09,3.90
CHEMBL215987,CCSc1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N,5.39,2.21
CHEMBL2393420,CCOC(=O)c1c(-c2ccc(OC)c(OC)c2)csc1NC,3.65,3.73
CHEMBL1326326,CC[S+]([O-])c1scc(-c2ccc(Cl)cc2)c1C#N,4.07,3.27
CHEMBL569400,COC(=O)[C@@H](CCSC)NC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,5.47,5.27
CHEMBL4245097,O=C(O)c1cc(-c2ccsc2)ccc1O,2.82,-0.10
CHEMBL1578435,CCCC(=O)Nc1sc(C)c(-c2ccc(C(C)CC)cc2)c1C#N,5.85,6.14
CHEMBL3792651,NC(=O)c1sccc1-c1ccccc1,2.51,2.38
CHEMBL3660405,O=Cc1cc(-c2ccsc2)cc([N+](=O)[O-])c1O,2.84,1.90
CHEMBL259708,COC(=O)[C@H](Cc1ccc(-c2ccsc2)cc1)NC(=O)CCCCCCC(=O)NO,3.46,3.25
CHEMBL1828946,NC(=O)c1sc(N)c(C(N)=O)c1-c1ccc(Cl)cc1,1.85,1.83
CHEMBL2086914,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cccc(CN(C)C=O)c1,4.42,4.11
CHEMBL1602581,CCOC(=O)c1c(N)sc(C(O)(C(F)(F)F)C(F)(F)F)c1-c1ccc(Cl)cc1,5.14,5.24
CHEMBL3443662,COc1ccc(-c2csc(N)c2C#N)cc1,2.88,2.44
CHEMBL2230023,O=[N+]([O-])c1cc(Cl)ccc1-c1ccsc1,3.98,3.94
CHEMBL565245,CC(C)Sc1scc(-c2ccc(Cl)cc2)c1C#N,5.44,5.22
CHEMBL481089,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(C(=O)NC(C)C)cc1,4.97,4.84
