chemblID,smiles,ALogP,LogD
CHEMBL1197560,N=C(N)c1cccc(-c2cn(-c3cc(C(=N)N)ccc3O)nn2)c1,1.21,-1.73
CHEMBL1197592,N=C(N)c1ccc(-n2cc(-c3ccc(C(=N)N)cc3O)nn2)cc1,1.21,-1.67
CHEMBL1091474,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(F)cc3)nn2)c1)NO,3.86,3.87
CHEMBL1197614,N=C(N)c1ccc(-c2cn(-c3cccc(C(=N)N)c3)nn2)cc1,1.50,-3.24
CHEMBL1197426,CC(C)NC(=N)c1ccc(-c2cn(-c3cc(C(=N)NC(C)C)ccc3O)nn2)cc1,3.29,0.41
CHEMBL1197417,CC(C)NC(=N)c1cccc(-c2cn(-c3ccc(C(=N)NC(C)C)cc3O)nn2)c1,3.29,0.17
CHEMBL3427187,COc1ccc(-n2nnc(-c3ccccc3)c2C)cc1,3.25,3.75
CHEMBL201111,COc1ccc(-c2cn(-c3ccc(OC)c(OC)c3)nn2)cc1O,2.67,2.93
CHEMBL3215594,COc1cc(C(=N)NC(C)C)ccc1-c1cn(-c2ccc(C(=N)NC(C)C)cc2)nn1.Cl.Cl,3.59,-1.24
CHEMBL3427192,COc1ccc(-c2nnn(-c3ccc(OC)cc3)c2C)cc1,3.26,3.60
CHEMBL3216449,COc1ccc(C(=N)N)cc1-c1cn(-c2cccc(C(=N)N)c2)nn1.Cl.Cl,1.51,-3.41
CHEMBL512916,CN(C)c1ccc(-c2cn(-c3ccc(S(C)(=O)=O)cc3)nn2)cc1,2.40,2.66
CHEMBL1197402,COc1ccc(C(=N)NC(C)C)cc1-n1cc(-c2ccc(C(=N)NC(C)C)cc2)nn1,3.59,-1.27
CHEMBL201498,COc1cc(OC)cc(-n2cc(-c3ccc(OC)c(OC)c3)nn2)c1,2.97,3.08
CHEMBL3215791,Cl.Cl.N=C(N)c1cccc(-c2cn(-c3ccc(C(=N)N)cc3O)nn2)c1,1.21,-1.95
CHEMBL3216040,Cl.Cl.N=C(N)c1cccc(-c2cn(-c3cccc(C(=N)N)c3)nn2)c1,1.50,-3.24
CHEMBL1197718,CC(C)NC(=N)c1ccc(-c2cn(-c3ccc(C(=N)NC(C)C)cc3)nn2)cc1,3.58,-1.12
CHEMBL3427186,Cc1c(-c2ccccc2)nnn1-c1ccc(F)cc1,3.38,4.05
CHEMBL1188313,COc1ccc(-c2cn(-c3ccc(N)cc3)nn2)cc1,2.53,2.72
CHEMBL468367,NS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,1.72,2.46
CHEMBL4204323,O=C(O)c1cc(O)cc(-n2cc(-c3ccc(C(F)(F)F)cc3)nn2)c1,3.36,0.63
CHEMBL1197369,CC(C)NC(=N)c1ccc(-c2cn(-c3cccc(C(=N)NC(C)C)c3)nn2)cc1,3.58,-1.10
CHEMBL3617843,N#Cc1cccc(-c2cn(-c3cccc(I)c3)nn2)c1,3.41,4.50
CHEMBL1197435,N=C(N)c1ccc(-n2cc(-c3cccc(C(=N)N)c3)nn2)cc1,1.50,-3.25
CHEMBL381713,COc1ccc(-c2cn(-c3c(O)c(F)cc(F)c3F)nn2)cc1O,2.77,2.80
CHEMBL3617818,NC(=O)c1cccc(-c2cn(-c3ccc([N+](=O)[O-])cc3)nn2)c1,1.94,2.50
CHEMBL1197420,COc1ccc(C(=N)NC(C)C)cc1-c1cn(-c2ccc(C(=N)NC(C)C)cc2)nn1,3.59,-1.31
