chemblID,smiles,ALogP,LogD
CHEMBL2220702,CCCCCCSc1ccc(-c2nc3ccc(C)cn3c2NCCCC)cc1OC,7.20,6.65
CHEMBL179476,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,7.84,7.62
CHEMBL1621755,COc1ccc(-c2cn3ccccc3n2)cc1OC,3.02,2.47
CHEMBL180210,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cn12,5.76,5.13
CHEMBL3944269,CC(C)(C)Nc1c(-c2cccc(C#N)c2)nc2ccc(Cl)cn12,4.74,3.81
CHEMBL1621099,COc1ccc(-c2cn3cc(C)ccc3n2)cc1OC,3.33,2.98
CHEMBL1622494,Clc1ccc(-c2cn3cc(Br)ccc3n2)cc1Cl,5.07,4.77
CHEMBL1740124,CCCCCCSc1cc(-c2nc3ccc(Cl)cn3c2NCCCC)ccc1OC,7.55,6.80
CHEMBL1873711,CCCCCCSc1cccc(-c2nc3ccc(Cl)cn3c2NCCCC)c1,7.54,6.96
CHEMBL3734029,Cc1cccn2cc(-c3ccccc3Cl)nc12,3.96,3.90
CHEMBL485219,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)c(N)c2)nc2c(Cl)cc(Cl)cn12,5.73,4.73
CHEMBL1869980,Cc1cc2nc(-c3ccccc3)c(CC(C)(C)C)n2c(C)c1Br,5.97,6.02
CHEMBL1306008,CCN(CC)S(=O)(=O)c1ccc(-c2cn3cc(Cl)ccc3n2)cc1,3.69,3.16
CHEMBL483383,CCCCN(C)C(=O)Cc1c(-c2ccc(Cl)c(N)c2)nc2c(Cl)cc(Cl)cn12,5.34,4.30
CHEMBL1204280,CCCCN(CCCC)CCCOc1ccc(-c2cn3cc(C)ccc3n2)cc1.Cl.Cl.Cl,5.98,3.02
CHEMBL1895361,COc1ccc(-c2nc3c(C)cc(Br)cn3c2CC(C)(C)C)cc1OC,5.68,5.50
CHEMBL3903644,NC(=O)c1cc(-c2cn3cc(N)ccc3n2)ccc1O,1.39,0.92
CHEMBL1403741,NNC(=O)c1ccc2nc(-c3ccc(Br)cc3)cn2c1,2.37,2.11
CHEMBL1616404,CCCCNc1c(-c2ccc(SC(C)CC)c(OC)c2)nc2ccc(C)cn12,6.42,5.63
CHEMBL2009755,Oc1c(-c2ccccc2)nc2ccccn12,2.71,2.58
CHEMBL2387354,Cc1cccn2c(/C=N/O)c(-c3ccccc3)nc12,3.12,2.95
CHEMBL484932,CCCN(CCC)C(=O)Cc1c(-c2ccc(OC(=O)CN)cc2)nc2c(Cl)cc(Cl)cn12.Cl,4.36,3.51
CHEMBL1740861,CCCCCCSc1cc(-c2nc3cc(C)ccn3c2NCCCC)ccc1OC,7.20,6.70
CHEMBL1428850,COC(=O)c1ccc2nc(-c3cccc(N)c3)cn2c1,2.37,1.97
CHEMBL2177898,CC(C)(C)Nc1c(-c2ccccc2O)nc2ccccn12,3.92,3.04
CHEMBL1441814,Cc1c(-c2ccc(Br)cc2)nc2ccccn12,4.07,3.75
CHEMBL104554,CCOC(=O)c1c(-c2ccccc2)nc2ccc(Cl)cn12,3.83,3.68
CHEMBL1521312,COc1ccc(-c2cn3cc(C)ccc3n2)cc1Br,4.08,3.91
CHEMBL1980292,Cc1ccc(-c2nc3ccc(Cl)cn3c2CC(C)(C)C)cc1,5.55,5.65
CHEMBL601808,CCOC(=O)CCC(=O)Oc1ccccc1-c1nc2ccccn2c1NC(C)(C)CC(C)(C)C,5.88,4.84
CHEMBL1727114,CCCCCCSc1cc(-c2nc3ccc(C)cn3c2NCCCC)ccc1OC,7.20,6.64
CHEMBL1623000,Cc1ccn2cc(-c3ccc(O)c(O)c3)nc2c1,2.72,2.68
CHEMBL3937382,CN(C)C(=O)Cc1c(-c2cccc(F)c2)nc2ccc(C(F)(F)F)cn12,3.79,3.01
CHEMBL1462462,Fc1ccc(-c2cn3cc(C(F)(F)F)cc(Cl)c3n2)cc1,4.81,4.42
CHEMBL243935,CC(=O)N(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1C,4.05,3.17
CHEMBL1394550,CCCS(=O)(=O)Nc1cc(-c2cn3cccc(C)c3n2)ccc1C,3.77,3.22
CHEMBL3971200,Cc1ccc2nc(-c3ccc(F)cc3)c(CC(=O)N(C)C)n2c1,3.08,2.64
CHEMBL106780,CCOC(=O)c1c(-c2ccccc2)nc2ccccn12,3.18,3.07
CHEMBL81260,CN(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1,3.83,3.67
CHEMBL2237721,Cc1ccn2c(CN(C)C)c(-c3cccc(Br)c3F)nc2c1,4.27,2.95
CHEMBL3959035,CN(C)C(=O)Cc1c(-c2cccc(F)c2)nc2ccc(F)cn12,2.91,2.27
CHEMBL1393842,COc1cc(-c2nc3ccccn3c2N)ccc1O,2.30,1.51
