chemblID,smiles,ALogP,LogD
CHEMBL248782,N#CCOn1c(-c2ccccc2)nc2ccc([N+](=O)[O-])cc21,2.56,2.47
CHEMBL1998501,NNC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1nc2ccccc2[nH]1,4.45,4.25
CHEMBL166563,CN(C)CCNC(=O)c1cccc2[nH]c(-c3ccc(Cl)cc3)nc12,3.17,1.84
CHEMBL1307918,Cc1c(N)cccc1-c1nc2ccccc2[nH]1,3.12,2.97
CHEMBL1812487,O=C(CCCl)Nc1ccc2[nH]c(-c3ccc(Br)cc3)nc2c1,4.56,4.06
CHEMBL1563210,O=[N+]([O-])c1cccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)c1,3.05,3.16
CHEMBL1223438,COc1ccc(Br)c2nc(-c3ccc(C(C)C)cc3)n(CCN(C)C)c12,5.16,3.43
CHEMBL586444,CN(C)Cc1c(O)ccc2[nH]c(-c3ccc(F)cc3F)nc12,3.28,1.71
CHEMBL241961,Cc1cc2nc(-c3ccc(O)c(C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)O)C(C)C)c3)[nH]c2cc1C,2.40,0.54
CHEMBL1203811,COc1ccc(-c2nc3c(C(=O)NCCN(C)C)cccc3[nH]2)c(OC)c1OC.Cl.Cl,2.55,0.76
CHEMBL167038,COc1ccc(-c2nc3c(C(=O)NCCN(C)C)cccc3[nH]2)c(OC)c1OC,2.55,0.76
CHEMBL582552,CN(C)c1ccc(-c2nc3cc(N)ccc3[nH]2)cc1,2.88,2.47
CHEMBL65012,CCCCCCCCC(=O)c1ccc(O)c(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)c1,5.78,5.27
CHEMBL475441,O=C(O)c1ccccc1-c1nc2ccccc2[nH]1,2.93,-0.38
CHEMBL1944798,O=[N+]([O-])c1ccc2nc(-c3ccc(O)cc3O)[nH]c2c1,2.55,2.55
CHEMBL1092984,COc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)c(OC)c1OC,3.16,2.75
CHEMBL48328,CCC(C)C(=O)C(=O)NCCn1c(-c2ccccc2)nc2ccccc21,3.43,4.51
CHEMBL1223368,COCCn1c(-c2ccc(C(C)C)cc2)nc2c(I)ccc(OC)c21,5.09,5.48
CHEMBL161305,Nc1cccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)c1,2.72,2.39
CHEMBL1609599,CCCCCn1c(-c2ccc(OC)c(OC)c2)nc2ccccc21,4.91,4.96
CHEMBL3819224,CCOc1cc(-c2nc3ccc(Cl)cc3[nH]2)ccc1O,3.99,3.78
CHEMBL3355341,Nc1ccc(O)c(-c2nc3ccc([N+](=O)[O-])cc3[nH]2)c1,2.43,2.04
CHEMBL354585,CN(C)CCNC(=O)c1cccc2c1nc(-c1ccccc1)n2C,2.53,1.46
CHEMBL70742,COc1ccc(-c2nc3c(C)ccc(O)c3[nH]2)cc1,3.25,3.31
CHEMBL133275,NC(=O)c1cccc2[nH]c(-c3ccccc3CO)nc12,1.82,1.37
CHEMBL132947,NC(=O)c1cccc2[nH]c(-c3cccc(Cl)c3)nc12,2.98,2.74
CHEMBL251020,COc1ccc(-c2nc3ccc([N+](=O)[O-])cc3n2O)cc1,2.86,2.37
CHEMBL3355342,Cc1ccc2nc(-c3cc(N)ccc3O)[nH]c2c1,2.83,2.66
CHEMBL420183,Cc1ccc(O)c2[nH]c(-c3ccc(N(C)C)cc3)nc12,3.31,3.58
CHEMBL1334561,C=C(C)Cn1c(-c2ccc(OC)cc2)nc2ccccc21,4.29,4.32
CHEMBL3901280,O=C(O)/C=C/C(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,2.81,-0.57
CHEMBL132834,COc1cc(-c2nc3c(C(N)=O)cccc3[nH]2)cc(OC)c1OC,2.35,1.66
CHEMBL133855,CCOC(=O)c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,2.51,2.49
CHEMBL134022,COc1cccc(-c2nc3c(C(N)=O)cccc3[nH]2)c1,2.34,1.98
CHEMBL167873,COc1cccc(-c2nc3c(C(=O)NCCN(C)C)cccc3[nH]2)c1,2.53,1.08
CHEMBL4209713,Oc1ccc(-c2nc3cc(F)ccc3[nH]2)c(O)c1,2.78,2.79
CHEMBL2413733,Cc1ccc2[nH]c(-c3ccc(OCCN(C)C)cc3)nc2c1,3.48,2.28
CHEMBL335198,NC(=O)c1cccc2[nH]c(-c3ccc(C(=O)O)cc3)nc12,2.03,-1.42
CHEMBL3818931,CC(C)c1ccc(-c2nc3ccc(Cl)cc3[nH]2)cc1,5.01,5.13
CHEMBL133241,NC(=O)c1cccc2[nH]c(-c3ccc(CO)cc3)nc12,1.82,1.37
CHEMBL249799,CC(=O)c1ccc2nc(-c3ccccc3)n(O)c2c1,3.14,2.16
