chemblID,smiles,ALogP,LogD
CHEMBL604044,Cl.N=C(N)c1ccc2nc(-c3ccc([N+](=O)[O-])cc3)sc2c1,3.16,0.62
CHEMBL529555,CC(C)N(C)Cc1cc(-c2nc3ccccc3s2)ccc1O,4.51,3.04
CHEMBL1339340,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,3.10,0.63
CHEMBL2068766,CNc1ccc(-c2nc3ccccc3s2)cc1C,4.31,4.12
CHEMBL2009930,Cc1cc(-c2nc3ccccc3s2)ccc1NC(=O)[C@H](C)N,3.56,2.65
CHEMBL2009318,C[C@H](N)C(=O)Nc1ccc(-c2nc3ccccc3s2)cc1Cl,3.90,2.74
CHEMBL462617,N#Cc1ccc(-c2nc3ccccc3s2)cc1,3.83,3.99
CHEMBL167942,CC(C)OP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OC(C)C,6.51,5.31
CHEMBL1437035,Cc1ccc2sc(-c3ccc(N)cc3)nc2c1,3.85,3.82
CHEMBL2068763,CNc1ccc(-c2nc3cc(F)ccc3s2)cc1,4.14,3.75
CHEMBL2272279,Fc1cc(-c2nc3ccc(Br)cc3s2)c(F)c(F)c1F,5.28,5.48
CHEMBL1092857,CN(C)c1ccc(-c2nc3ccc([125I])cc3s2)cc1,4.63,5.18
CHEMBL324744,COc1ccc2nc(-c3ccc(N)cc3I)sc2c1,4.16,4.08
CHEMBL1789367,NCCC(=O)Nc1ccccc1-c1nc2ccccc2s1,3.25,0.98
CHEMBL1500923,O=C(O)c1ccc2nc(-c3ccccc3)sc2c1,3.66,0.46
CHEMBL2068764,CNc1ccc(-c2nc3cc(F)ccc3s2)cc1Cl,4.80,4.36
CHEMBL576650,CN(C)c1ccc2nc(-c3ccc([18F])cc3)sc2c1,4.17,4.39
CHEMBL1214181,CCc1ccc2nc(-c3ccc(N)c(C)c3)sc2c1,4.42,4.78
CHEMBL1207598,O=S(=O)(O)Nc1ccc(-c2nc3ccccc3s2)cc1,3.18,0.25
CHEMBL1922166,CCc1ccccc1-c1nc2ccccc2s1,4.53,5.10
CHEMBL35508,C#CCOC(=O)Nc1ccc(C)c(-c2nc3cc(Cl)ccc3s2)c1,5.11,5.34
CHEMBL1486939,CC(=O)Nc1cccc(-c2nc3ccc(NC(C)=O)cc3s2)c1,3.88,2.61
CHEMBL568061,Nc1ccc2nc(-c3ccc(F)cc3)sc2c1,3.68,3.45
CHEMBL1304258,COc1cc(OC)c(-c2nc3ccccc3s2)cc1OC,3.99,3.67
CHEMBL1793887,Cc1cc(-c2nc3cc(F)ccc3s2)ccc1NC(=O)[C@@H](N)CCCCN,3.81,0.01
CHEMBL1991185,CCOc1cc(-c2nc3cc(F)ccc3s2)ccc1O,4.21,4.17
CHEMBL2401897,C=CC(=O)Nc1cccc(-c2nc3ccccc3s2)c1,4.09,4.13
CHEMBL272642,Cc1ccc2nc(-c3ccc(NC(=O)/C=C/C(=O)O)cc3)sc2c1,3.85,0.68
CHEMBL508666,COc1ccc2nc(-c3ccccc3F)sc2c1,4.11,4.12
CHEMBL599341,Cl.N=C(N)c1ccc2nc(-c3ccc(N)cc3)sc2c1,2.83,-0.15
CHEMBL113822,Nc1ccc(-c2nc3ccccc3s2)c(O)c1,3.25,2.97
CHEMBL167907,CCOP(=O)(Cc1ccc(-c2nc3ccc(NC(C)=O)cc3s2)cc1)OCC,5.69,3.81
CHEMBL168789,CCCOP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OCCC,6.51,5.47
CHEMBL525539,CS(=O)(=O)c1ccc2nc(-c3ccc(O)cc3)sc2c1,3.07,2.67
CHEMBL1202656,CCCN(CCC)CCCOc1ccc(-c2nc3ccccc3s2)cc1.Cl.O,5.85,3.01
CHEMBL35789,Cc1cc(-c2nc3c(F)cccc3s2)ccc1N,3.99,3.97
CHEMBL1774646,CN(C)c1ccc(-c2nc3ccc([18F])cc3s2)cc1,4.17,4.39
CHEMBL201081,CCOc1cc(-c2nc3cc(F)ccc3s2)ccc1OC,4.51,4.32
CHEMBL370556,COc1ccc(-c2nc3cc(F)ccc3s2)c(OC)c1OC,4.13,3.81
CHEMBL284993,Nc1ccc(-c2nc3cc(F)ccc3s2)cc1,3.68,3.45
CHEMBL2355787,CCN(CC)CCOc1ccc(-c2nc3cc(Cl)ccc3s2)cc1.Cl,5.34,3.44
CHEMBL32616,Cc1cc(-c2nc3cccc(F)c3s2)ccc1N,3.99,3.97
CHEMBL453116,COc1ccc2nc(-c3ccc(F)cc3Cl)sc2c1,4.76,4.73
CHEMBL1773695,CC(C)C(=O)Nc1ccc2sc(-c3ccc(Cl)cc3)nc2c1,5.21,5.22
CHEMBL1325980,COc1ccc(-c2nc3ccccc3s2)cc1NC(C)=O,3.93,3.22
CHEMBL1774676,COc1cc(-c2nc3ccccc3s2)c([N+](=O)[O-])cc1OC,3.89,3.76
CHEMBL338064,O=C(CCl)Nc1ccc(-c2nc3ccccc3s2)cc1I,4.75,4.84
CHEMBL1523421,CC(C)(C)NC(=O)c1ccccc1-c1nc2ccccc2s1,4.49,4.27
CHEMBL1468011,Nc1ccc(-c2nc3ccc(C(=O)O)cc3s2)cc1,3.24,-0.37
CHEMBL446421,CC(=O)Nc1ccc(-c2nc3cc(O)ccc3s2)cc1Cl,4.28,3.67
CHEMBL325754,Nc1ccc(-c2nc3cc(O)cc(O)c3s2)cc1,2.96,2.50
CHEMBL452608,COc1ccc2nc(-c3ccccc3OC)sc2c1,3.98,3.82
CHEMBL1970134,C[C@H](N)C(=O)Nc1ccc(-c2nc3ccccc3s2)cc1Cl.Cl,3.90,2.74
CHEMBL307762,CCOP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)NC(C)C,5.69,4.25
CHEMBL334784,CC(=O)Nc1ccc(-c2nc3c(O)cccc3s2)cc1Cl,4.28,3.60
CHEMBL1391486,CC(=O)Nc1ccc(O)c(-c2nc3ccccc3s2)c1,3.63,3.02
CHEMBL167660,CCOP(=O)(Cc1ccc(-c2nc3ccc(C)cc3s2)cc1)OCC,6.04,4.98
CHEMBL1599486,CC(=O)Nc1cccc(-c2nc3ccccc3s2)c1,3.92,3.38
CHEMBL1368519,Cc1ccc2sc(-c3ccc(NC(=O)/C=C\C(=O)O)cc3)nc2c1,3.85,0.62
CHEMBL12385,O=S(=O)([O-])Nc1ccc(-c2nc3ccccc3s2)cc1I.[Na+],3.78,1.18
CHEMBL477841,O=[N+]([O-])c1ccc(-c2nc3ccccc3s2)cc1,3.87,4.08
CHEMBL94230,CNc1ccc(-c2nc3ccc(OC)cc3s2)cc1,4.01,3.45
CHEMBL67930,Cc1ccc(-c2nc3ccccc3s2)cc1,4.27,4.65
CHEMBL273465,O=S(=O)([O-])Nc1ccc(-c2nc3ccccc3s2)cc1Cl.[Na+],3.83,0.86
CHEMBL1611117,Cc1ccc2nc(-c3ccc(NC(=O)C(F)(F)F)cc3)sc2c1,4.77,5.02
CHEMBL3261381,COc1cc(-c2nc3ccccc3s2)cc(Br)c1OCC(=O)O,4.20,0.65
CHEMBL1574298,Cc1ccc2nc(-c3ccc(NC(=O)CSCC(=O)O)cc3)sc2c1,4.03,0.47
CHEMBL219933,[11CH3]Nc1ccc(-c2nc3cc(F)ccc3s2)cc1,4.14,3.75
CHEMBL141437,C#Cc1cc(-c2nc3ccccc3s2)ccc1N,3.53,3.46
CHEMBL1198434,N=C(N)c1ccc2nc(-c3ccc([N+](=O)[O-])cc3)sc2c1,3.16,0.62
CHEMBL503833,CNc1ccc(-c2nc3cc(O)ccc3s2)cc1,3.71,3.30
CHEMBL300939,CCCCN(CCCC)CCCOc1ccc(-c2nc3ccccc3s2)cc1,6.63,3.86
CHEMBL1951352,COc1ccc2nc(-c3ccc(C)c(N)c3)sc2c1,3.86,3.67
CHEMBL126268,CC(=O)Nc1ccc(-c2nc3ccccc3s2)cc1Cl,4.58,3.98
CHEMBL523792,COc1ccc2nc(-c3ccc([18F])cc3)sc2c1,4.11,4.12
CHEMBL128895,CC(=O)Nc1ccc(-c2nc3ccccc3s2)cc1I,4.53,4.30
CHEMBL337239,CC(=O)Nc1ccc(-c2nc3cccc(O)c3s2)cc1C,3.94,3.52
CHEMBL1672860,COc1ccc(-c2nc3ccc([N+](=O)[O-])cc3s2)cc1,3.88,3.92
CHEMBL1488733,CC(=O)NCc1ccc(-c2nc3ccccc3s2)cc1,3.60,3.08
CHEMBL506342,Fc1cccc(-c2nc3ccccc3s2)c1,4.10,4.28
CHEMBL462620,COc1ccc2nc(-c3cccc(NC(C)=O)c3)sc2c1,3.93,3.22
CHEMBL1774644,Nc1ccc(-c2nc3ccc([18F])cc3s2)cc1,3.68,3.45
CHEMBL328430,COc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1,4.04,4.09
CHEMBL338065,CC(=O)N(C(C)=O)c1ccc(-c2nc3ccccc3s2)cc1,3.86,3.00
CHEMBL2272273,c1ccc(-c2nc3ccccc3s2)cc1,3.96,4.14
CHEMBL32818,Nc1ccc(-c2nc3cc(F)ccc3s2)cc1I,4.29,4.38
CHEMBL352294,COP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OC,4.95,3.78
CHEMBL68862,CCOC(=O)Cc1ccc(-c2nc3ccccc3s2)cc1,4.07,4.28
CHEMBL456994,Oc1ccc(-c2nc3ccc(F)cc3s2)cc1,3.81,3.97
CHEMBL1808311,Oc1cc(O)c(-c2nc3ccccc3s2)cc1O,3.08,3.20
CHEMBL1241264,Oc1ccc(-c2nc3cc(O)cc(O)c3s2)cc1,3.08,3.02
CHEMBL456887,Oc1ccc(-c2nc3ccc(Cl)cc3s2)cc1,4.32,4.43
CHEMBL446901,Cc1ccc2nc(-c3ccc([18F])cc3)sc2c1,4.41,4.79
CHEMBL2401900,O=C(O)/C=C/C(=O)Nc1cccc(-c2nc3ccccc3s2)c1,3.54,0.11
CHEMBL485640,[11CH3]Nc1ccc(-c2nc3cccc(O)c3s2)cc1,3.71,3.24
CHEMBL93270,N#Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,3.42,3.17
CHEMBL325610,CCc1cc(N)ccc1-c1nc2ccccc2s1,4.11,4.27
CHEMBL1808309,Clc1ccc(-c2nc3ccccc3s2)c(Cl)c1,5.27,5.35
CHEMBL1774642,CNc1ccc(-c2nc3ccc(F)cc3s2)cc1,4.14,3.75
CHEMBL45564,Oc1ccc(-c2nc3c(O)cc(O)cc3s2)cc1,3.08,3.00
CHEMBL201080,COCOc1ccc(-c2nc3cc(F)ccc3s2)cc1OC,4.09,4.03
CHEMBL201701,COc1ccc(-c2nc3cc(F)ccc3s2)cc1Br,4.87,4.89
CHEMBL1198231,N=C(N)c1ccc(-c2nc3ccc(C(=N)N)cc3s2)cc1,2.53,-2.79
CHEMBL320948,CS(=O)(=O)O.Cc1cc(N)ccc1-c1nc2ccccc2s1,3.85,3.82
CHEMBL1892775,CC(C)(C)CC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3s2)cc1,5.99,5.71
CHEMBL92802,CNc1ccc(-c2nc3ccc(C#N)cc3s2)cc1,3.88,3.47
CHEMBL35163,Nc1ccc(-c2nc3ccc(F)cc3s2)cc1I,4.29,4.38
CHEMBL70009,CCOP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)NCCCl,5.52,4.18
CHEMBL458066,Oc1cccc(-c2nc3cc(F)ccc3s2)c1,3.81,3.97
CHEMBL133807,CC(=O)Nc1ccc(-c2nc3ccc(O)cc3s2)cc1Cl,4.28,3.67
CHEMBL141439,N#Cc1cc(-c2nc3cc(F)ccc3s2)ccc1N,3.56,3.31
CHEMBL1356622,Oc1c(Br)cc(Br)cc1-c1nc2ccccc2s1,5.19,4.48
CHEMBL39318,CCOP(=O)(CCOc1ccc(-c2nc3ccccc3s2)cc1)OCC,5.61,4.28
CHEMBL115231,Cc1ccc2nc(-c3ccc(N)cc3I)sc2c1,4.46,4.75
CHEMBL1560969,CC(C)(C)C(=O)Nc1ccc(-c2nc3ccccc3s2)cc1,4.95,5.18
CHEMBL1566877,Nc1cccc(-c2nc3ccc(N)cc3s2)c1,3.13,2.48
CHEMBL353616,O=P(O)(O)Cc1ccc(-c2nc3ccccc3s2)cc1,3.64,0.32
CHEMBL2401898,C/C=C/C(=O)Nc1cccc(-c2nc3ccccc3s2)c1,4.48,4.52
CHEMBL1876316,CCCC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3s2)cc1,5.36,5.13
CHEMBL2010067,C[C@H](N)C(=O)Nc1ccc(-c2nc3ccccc3s2)cc1,3.25,2.14
CHEMBL1998534,Cc1cc(-c2nc3cc(F)ccc3s2)ccc1NC(=O)[C@@H](N)CCCCN.Cl,3.81,0.01
CHEMBL2068802,CNc1ccc(-c2nc3cc(F)ccc3s2)cc1C,4.45,4.27
CHEMBL433271,CCCN(CCC)CCCOc1ccc(-c2nc3ccccc3s2)cc1,5.85,3.01
CHEMBL133564,Cc1cc(-c2nc3ccc(O)cc3s2)ccc1N,3.56,3.51
