chemblID,smiles,ALogP,LogD
CHEMBL1365431,CCOC(=O)c1sc(-c2ccc(C(F)(F)F)cc2)nc1O,3.71,4.00
CHEMBL1766046,CONC(=O)c1sc(-c2ccc(Cl)cc2)nc1C(Br)Br,4.54,3.63
CHEMBL574365,O=C(c1cnc(-c2ccccc2)s1)C(F)(F)F,3.56,3.48
CHEMBL1329867,CC(=O)c1sc(-c2cccc(Cl)c2)nc1C,3.97,3.08
CHEMBL3245078,O=C(O)c1ccc(-c2nccs2)cc1O,2.21,-0.85
CHEMBL1620262,COc1cccc(-c2nc(CCl)cs2)c1,3.56,3.17
CHEMBL1579288,Cc1nc(-c2ccc(Cl)cc2)sc1C(=O)NN,2.38,2.08
CHEMBL1797829,COC(=O)c1sc(-c2ccc(C(F)(F)F)cc2)nc1C,3.92,3.80
CHEMBL39020,CNC(=O)OCc1nc(-c2ccccc2)sc1COC(=O)NC,2.52,2.00
CHEMBL1309968,CC(=O)c1cnc(-c2ccccc2)s1,3.01,2.35
CHEMBL4212970,CCCCCCC#Cc1ccc(-c2nc(C)c(/C(C)=N/NC(=N)N)s2)cc1,4.65,4.61
CHEMBL3126638,CCCCCCCc1ccc(-c2nc(C)c(/C(C)=N/NC(=N)N)s2)cc1,4.84,4.49
CHEMBL1446161,CN(C)/C=C/C(=O)c1cnc(-c2ccccc2)s1,3.07,2.69
CHEMBL1494867,CC(C)(C)CC(=O)NCCc1csc(-c2ccccc2)n1,3.91,3.65
CHEMBL1714684,CC(=O)c1csc(-c2ccccc2)n1,3.01,2.60
CHEMBL3488865,CC(=O)NCCNC(=O)c1sc(-c2ccc(Cl)cc2)nc1C,2.64,1.62
CHEMBL1622198,COc1ccc(-c2nc(CCl)cs2)cc1OC,3.57,3.01
CHEMBL1519307,COc1ccc(-c2nc(C=O)cs2)cc1,2.63,2.89
CHEMBL3455783,CCCc1csc(-c2ccc(S(C)(=O)=O)cc2)n1,3.17,2.77
CHEMBL3828136,CCCCc1ccc(-c2nc(C)c(C(=O)/C=C/N(C)C)s2)cc1,4.72,4.67
CHEMBL304398,Cc1sc(-c2ccc(Br)cc2)nc1O,3.59,3.40
CHEMBL512879,CCOCCOc1nc(-c2ccc(C(=O)O)cc2)sc1C,3.23,0.46
CHEMBL1405779,Cc1ccc(-c2nc(C(=O)O)cs2)cc1,2.82,-0.24
CHEMBL4287988,COc1ccc(-c2nc(C(=O)O)cs2)cc1,2.52,-0.91
CHEMBL3443807,C[C@H](NC(=O)Cc1csc(-c2cccc(Cl)c2)n1)C(=O)O,2.60,-0.47
CHEMBL1766058,CC(=O)c1sc(-c2ccc(Cl)cc2)nc1C(Br)Br,5.45,3.90
CHEMBL1622165,COc1cccc(-c2nc(CCl)cs2)c1OC,3.57,3.01
CHEMBL3452049,CNC(=O)C(CC(C)C)NC(=O)c1cccc(-c2nc(C)cs2)c1,3.01,2.58
