chemblID,smiles,ALogP,LogD
CHEMBL3546914,CCCCCCCCc1ccc(-c2noc([C@H](C)NC(=N)N)n2)cc1,4.18,3.00
CHEMBL3547001,CCCCCCCCc1ccc(-c2noc([C@H](CO)NC(=N)N)n2)cc1,3.16,2.01
CHEMBL3692674,CCN(C)C[C@@H](C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,2.96,1.74
CHEMBL1888988,CNC(=O)CCc1nc(-c2ccc(OC)cc2)no1,1.42,1.40
CHEMBL3692599,CNC(=O)CNC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,1.23,1.40
CHEMBL1630588,COc1ccc(-c2noc(NC(C)C)n2)cc1,2.57,2.96
CHEMBL4130106,NCc1nc(-c2ccc(F)cc2)no1,1.33,1.47
CHEMBL2442682,COC(=O)CCCc1nc(-c2ccccc2)no1,2.23,2.66
CHEMBL3688158,CC(C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,2.89,3.20
CHEMBL1421666,COc1ccc(-c2noc(CN(C(=O)C(C)(C)C)C(C)C)n2)cc1,3.53,3.90
CHEMBL3438384,COc1ccc(-c2noc(C(N)CCSC)n2)cc1OC,2.51,1.99
CHEMBL1873656,CNC(=O)CCc1nc(-c2ccc(C)cc2)no1,1.72,2.10
CHEMBL3692587,CC(CNC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1)N(C)C,2.44,1.45
CHEMBL21220,O=[N+]([O-])CCc1nc(-c2ccccc2)no1,1.56,2.23
CHEMBL3692622,C[C@H](CN(C)C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,2.57,1.65
CHEMBL3585985,O=C(CCCCCCc1nc(-c2ccc(Cl)cc2)no1)C(F)(F)F,5.01,5.89
CHEMBL3692574,CN(C)CCN(C)C(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,2.39,1.57
CHEMBL1546748,CN(C)C(=O)CCCc1nc(-c2ccc(Cl)cc2)no1,2.80,2.82
CHEMBL236076,COc1ccc(-c2noc(CCCCC(S)CCS)n2)cc1OC,4.08,4.11
CHEMBL1373288,Cc1ccc(-c2noc(CNCCCN(C)C)n2)cc1,2.09,0.41
CHEMBL3670719,Cc1nc(-c2ccc(CCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(N)=O)cc2)no1,0.16,-6.33
CHEMBL3585966,O=C(CCCCCCc1nc(-c2cccc([N+](=O)[O-])c2)no1)NO,2.64,2.86
CHEMBL1630587,CC(C)Nc1nc(-c2ccccc2)no1,2.56,3.15
CHEMBL2324855,Oc1nc(-c2ccccc2)no1,1.44,0.35
CHEMBL451000,O=C(O)c1ccc(-c2noc(CCl)n2)cc1,2.17,-0.82
CHEMBL1863625,CCC(=O)NCCc1nc(-c2ccccc2)no1,1.81,2.16
CHEMBL495441,O=C(O)Cc1nc(-c2ccc(Cl)cc2)no1,2.02,-0.44
CHEMBL3692675,CC(C)N(C)C[C@@H](C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,3.35,1.87
CHEMBL1830744,CCCCCN(CCCCC)C(=O)Cc1nc(-c2ccccc2)no1,4.49,5.24
CHEMBL1630603,Cc1ccc(-c2noc(NCCCN(C)C)n2)cc1,2.41,0.97
CHEMBL1830743,CCCCN(CCCC)C(=O)Cc1nc(-c2ccccc2)no1,3.71,4.40
CHEMBL1859123,CCCCCC(C)NCc1nc(-c2ccccc2)no1,3.80,3.79
