chemblID,smiles,ALogP,LogD
CHEMBL1188026,N=C(N)Nc1nnc(-c2ccccc2O)s1,1.22,1.04
CHEMBL1188452,N=C(N)Nc1nnc(-c2ccccc2I)s1,2.12,2.31
CHEMBL1189072,CCCCCCOc1ccccc1-c1nnc(N(C)NC(C)C)s1,4.51,4.94
CHEMBL1190101,Cc1ccccc1-c1nnc(NC(=N)NCCCO)s1,1.83,1.43
CHEMBL1188024,Cc1ccc(-c2nnc(NN)s2)cc1,1.80,2.36
CHEMBL1191535,CCCCCCOc1ccccc1-c1nnc(N(C)N)s1,3.47,3.95
CHEMBL1188532,Cc1ccc(F)cc1-c1nnc(NN)s1,1.94,2.50
CHEMBL1195990,CC(C)N(c1nnc(-c2ccccc2Cl)s1)N(C)C,3.55,3.44
CHEMBL1195187,CC(C)NN(C)c1nnc(-c2ccccc2Cl)s1,3.21,3.49
CHEMBL1188374,CCCCC/N=C(/N)Nc1nnc(-c2ccccc2C)s1,3.43,3.86
CHEMBL1189680,CNN(c1nnc(-c2ccccc2C)s1)C(C)C,2.86,3.38
CHEMBL1189722,COc1ccccc1-c1nnc(NN)s1,1.50,1.69
CHEMBL1188533,Cc1cc(F)ccc1-c1nnc(NN)s1,1.94,2.50
CHEMBL1197047,COCC/N=C(/N)Nc1nnc(-c2ccccc2C)s1,1.89,2.09
CHEMBL1188451,Cc1ccccc1-c1nnc(N/C(N)=N\C(C)C)s1,2.65,2.88
CHEMBL16353,CC(C)Sc1nnc(-c2cc(C(C)C)c(O)c(C(C)C)c2)s1,5.66,5.84
CHEMBL16733,CCOc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,4.90,5.44
CHEMBL536262,Cl.N=C(N)Nc1nnc(-c2ccc(Cl)cc2)s1,2.16,1.97
CHEMBL3982229,CC(CC(=O)Nc1nnc(-c2ccccc2)s1)CC(C)(C)C,4.61,4.09
CHEMBL1189984,N=C(N)Nc1nnc(-c2ccc([N+](=O)[O-])cc2)s1,1.42,1.34
CHEMBL417073,CC(C)(C)c1cc(-c2nnc(N)s2)cc(C(C)(C)C)c1O,4.09,4.41
CHEMBL1191741,CN(N)c1nnc(-c2ccccc2Cl)s1,2.17,2.50
CHEMBL2087022,CCCCCCOC(=O)Nc1nnc(-c2ccc(C(=O)O)cc2)s1,4.03,0.91
CHEMBL279387,CCCOc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,5.29,5.97
CHEMBL536033,CCCC/N=C(/NC)Nc1nnc(-c2ccccc2C)s1.Cl,3.30,3.66
CHEMBL4116389,CC(=O)Nc1nnc(-c2ccc(O)c(O)c2)s1,1.57,0.57
CHEMBL1194968,CN(C)N(C)c1nnc(-c2ccccc2Cl)s1,2.77,2.67
CHEMBL1188453,NNc1nnc(-c2ccccc2)s1,1.49,1.85
CHEMBL16698,COC(=O)CCSc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,5.16,5.63
CHEMBL1498893,CCCCOc1ccc(-c2nnc(N)s2)cc1,2.97,2.79
CHEMBL1196953,Cc1ccc(C)c(-c2nnc(N=C(N)N)s2)c1,1.73,1.91
CHEMBL1189485,Cc1cccc(-c2nnc(N=C(N)N)s2)c1,1.42,1.35
CHEMBL1188875,Cc1ccc(-c2nnc(N=C(N)N)s2)cc1C,1.73,1.92
CHEMBL279755,CNc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,4.55,4.72
CHEMBL1188300,Cc1ccc(F)cc1-c1nnc(N=C(N)N)s1,1.56,1.57
CHEMBL1189617,Cc1ccccc1-c1nnc(NC(=N)NCCN)s1,1.41,0.56
CHEMBL1190824,N=C(N)Nc1nnc(-c2ccc(Cl)c(Cl)c2)s1,2.82,2.61
CHEMBL2414497,CCCCCCCCC(=O)Nc1nnc(-c2ccc(O)c(OC)c2)s1,4.61,4.08
CHEMBL1190205,COc1cccc(-c2nnc(N=C(N)N)s2)c1,1.12,0.71
CHEMBL1188187,Cc1ccccc1-c1nnc(NC(=N)NC(C)(C)C)s1,3.25,3.10
CHEMBL539271,CNN(c1nnc(-c2ccccc2C)s1)C(C)C.Cl,2.86,3.38
CHEMBL553450,CCCCCCOc1ccccc1-c1nnc(N(C)NC)s1.Cl,3.73,4.17
CHEMBL172967,C/N=C(\N)Nc1nnc(-c2ccccc2C(F)(F)F)s1,2.58,2.50
CHEMBL1188079,Cc1ccccc1-c1nnc(N=C(N)N)s1,1.42,1.34
CHEMBL1188787,Cc1cccc(-c2nnc(NN)s2)c1,1.80,2.36
CHEMBL1196650,COc1cccc(OC)c1-c1nnc(NN)s1,1.51,1.53
CHEMBL534465,C=CCNC(=N)Nc1nnc(-c2ccccc2C)s1.Cl,2.64,2.85
CHEMBL1194866,CCCCCCOc1ccccc1-c1nnc(N(C)NC)s1,3.73,4.17
CHEMBL1189441,CCCCN(N)c1nnc(-c2ccccc2C)s1,2.99,3.73
CHEMBL1188073,N=C(N)Nc1nnc(-c2ccccc2F)s1,1.65,1.51
CHEMBL1188125,Cc1cccc(-c2nnc(NN)s2)c1C,2.11,2.88
CHEMBL1189362,COc1ccc(-c2nnc(N=C(N)N)s2)cc1OC,1.13,0.62
CHEMBL1188077,CSc1ccccc1-c1nnc(NN)s1,2.21,2.48
CHEMBL279801,CCSc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,5.62,6.12
CHEMBL1324157,COc1ccccc1-c1nnc(NC(C)=O)s1,2.17,1.03
CHEMBL535361,CO/N=C(/N)Nc1nnc(-c2ccccc2C)s1.Cl,1.80,2.32
CHEMBL538820,Cl.N=C(N)Nc1nnc(-c2ccccc2Cl)s1,2.16,1.98
CHEMBL535584,Cc1ccccc1-c1nnc(N/C(N)=N\CCCN(C)C)s1.Cl,2.19,0.60
CHEMBL536259,CCCCC/N=C(/N)Nc1nnc(-c2ccccc2C)s1.Cl,3.43,3.86
CHEMBL538810,Cc1cccc(-c2nnc(N=C(N)N)s2)c1.Cl,1.42,1.35
CHEMBL73765,CNN(C)c1nnc(-c2ccccc2C)s1,2.08,2.63
CHEMBL538819,COCC/N=C(/N)Nc1nnc(-c2ccc(F)cc2C)s1.Cl,2.03,2.25
CHEMBL1301955,CCOC(=O)Nc1nnc(-c2ccc(OC)c(OC)c2)s1,2.79,2.36
CHEMBL16854,CC(C)Oc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,5.29,5.86
CHEMBL1308929,COC(=O)CSCC(=O)Nc1nnc(-c2cccc(C)c2)s1,2.36,1.56
CHEMBL355459,Cc1ccccc1-c1nnc(NN)s1,1.80,2.36
CHEMBL3342163,O=C(CCCCCC(=O)Nc1nnc(-c2ccc(C(F)(F)F)cc2)s1)NO,3.62,2.40
CHEMBL1440030,COc1ccccc1-c1nnc(NC(=O)C(C)C)s1,2.81,2.24
CHEMBL242176,OCCCc1nnc(-c2ccc(O)cc2O)s1,1.54,0.91
CHEMBL3102889,CCCCCCCCOc1ccc(-c2nnc([C@@](C)(N)CO)s2)cc1C(F)(F)F,5.13,4.54
CHEMBL539070,CCCOc1ccccc1-c1nnc(NN)s1.Cl,2.28,2.57
CHEMBL539321,COc1ccccc1-c1nnc(NN)s1.Cl,1.50,1.69
CHEMBL540103,Cc1ccccc1-c1nnc(NC(=N)NCCCO)s1.Cl,1.83,1.43
CHEMBL537621,Cc1ccc(-c2nnc(N=C(N)N)s2)cc1C.Cl,1.73,1.92
CHEMBL1402604,COc1ccc(-c2nnc(N)s2)cc1,1.80,1.47
CHEMBL3770596,CC(C)Oc1ccc(-c2nnc(NCCN)s2)cc1Cl,3.02,0.20
CHEMBL1367601,CC(C)=CC(=O)Nc1nnc(-c2ccc(F)cc2)s1,3.25,2.77
CHEMBL554798,Cl.N=C(N)Nc1nnc(-c2ccccc2N)s1,1.09,0.51
CHEMBL554008,CC(C)NN(C)c1nnc(-c2ccccc2Cl)s1.Cl,3.21,3.49
CHEMBL556958,Cl.NNc1nnc(-c2ccccc2C(F)(F)F)s1,2.51,2.73
CHEMBL2087018,CC(C)OC(=O)Nc1nnc(-c2ccc(C(=O)O)cc2)s1,2.86,-0.53
CHEMBL538811,Cc1ccc(-c2nnc(N=C(N)N)s2)cc1.Cl,1.42,1.35
CHEMBL1190448,Cc1ccccc1-c1nnc(NC(=N)NCCO)s1,1.44,1.49
CHEMBL1196267,CCCC/N=C(/N)Nc1nnc(-c2ccccc2C)s1,3.04,3.42
CHEMBL1195749,CCCC/N=C(\NCCCN(C)C)Nc1nnc(-c2ccccc2C)s1,3.62,2.30
CHEMBL1195227,COc1ccc(-c2nnc(NN)s2)cc1OC,1.51,1.53
CHEMBL1188620,Cc1cccc(C)c1-c1nnc(N=C(N)N)s1,1.73,1.91
CHEMBL1195722,COCC/N=C(/N)Nc1nnc(-c2ccc(OC)c(OC)c2)s1,1.60,1.28
CHEMBL1192371,NNc1nnc(-c2ccccc2Cl)s1,2.14,2.45
CHEMBL538558,COc1ccc(-c2nnc(N=C(N)N)s2)cc1OC.Cl,1.13,0.62
CHEMBL274271,CC(C)(C)c1cc(-c2nnc(SCCN)s2)cc(C(C)(C)C)c1O,4.56,2.85
CHEMBL1534367,Nc1nnc(-c2ccc(Cl)cc2Cl)s1,3.09,2.84
CHEMBL1197096,CCOCC/N=C(/N)Nc1nnc(-c2ccccc2C)s1,2.28,2.44
CHEMBL1196330,COc1ccc(Cl)c(OC)c1-c1nnc(NN)s1,2.16,2.14
CHEMBL536943,Cc1cccc(C)c1-c1nnc(N=C(N)N)s1.Cl,1.73,1.91
CHEMBL73323,CC(C)N(N)c1nnc(-c2ccccc2Cl)s1,2.95,3.27
CHEMBL4216619,COc1cc(-c2nnc(N)s2)cc(OC)c1OC,1.81,1.16
CHEMBL1195740,COc1cccc(-c2nnc(NN)s2)c1,1.50,1.69
CHEMBL542880,CN(N)c1nnc(-c2ccccc2Cl)s1.Cl,2.17,2.50
CHEMBL16891,CC(C)(C)c1cc(-c2nnc(NN)s2)cc(C(C)(C)C)c1O,3.79,4.64
