chemblID,smiles,ALogP,LogD
CHEMBL1446367,O=C(O)CCCC(=O)Nc1ccn(-c2ccccc2)n1,2.07,-1.08
CHEMBL171412,O=C(O)c1cnn(-c2ccc(Cl)cc2)c1,2.22,-1.08
CHEMBL1333144,CCOC(=O)c1cc(C(=O)OCC)cc(-n2cc(O)c(C(=O)OCC)n2)c1,2.11,2.79
CHEMBL316415,c1ccc(-n2cccn2)cc1,1.87,2.06
CHEMBL3443736,CC(=O)c1nn(-c2ccccc2)c(C)c1C(C)=O,2.59,1.76
CHEMBL1993478,CSc1c(C(N)=S)c(N)nn1-c1ccccc1,1.81,2.33
CHEMBL3304974,CCCCOc1cc(C(=O)N(C)CCN(C)C)nn1-c1ccccc1,2.68,1.92
CHEMBL363671,C#Cc1c(SC)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,4.48,4.78
CHEMBL3461815,Cc1cc(F)ccc1-n1cc(O)c(C(=O)NCC[S+](C)[O-])n1,1.13,-0.36
CHEMBL3462131,CN(CCO)C(=O)Nc1ccn(-c2cccc(C(F)(F)F)c2)n1,2.35,2.19
CHEMBL3468284,CC(C)N(C)CCNC(=O)NCc1ccccc1-n1cccn1,2.01,0.03
CHEMBL3464258,CC(C)c1cccc(-n2cc(O)c(C(N)=O)n2)c1,1.80,1.43
CHEMBL3467388,CC(C)C(O)CCNC(=O)Nc1cc(F)ccc1-n1cccn1,2.54,2.00
CHEMBL3467162,CSCCC(NC(N)=O)C(=O)NCc1c(C)nn(-c2ccccc2)c1C,1.90,1.12
CHEMBL3455024,COCCN(CCOC)C(=O)c1ccn(-c2ccccc2Cl)n1,2.26,2.25
CHEMBL2170204,CCN(CC)CCCCOc1ccn(-c2ccc(Cl)c(Cl)c2)n1,4.68,2.19
CHEMBL3475312,Cc1ccccc1-n1ncc(C(C)N)c1C,2.51,0.67
CHEMBL354749,CC(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1Br,3.37,0.17
CHEMBL1510373,CNc1c([N+](=O)[O-])cnn1-c1ccccc1Cl,2.48,2.82
CHEMBL3462102,CN(C)S(=O)(=O)Nc1ccc(-n2nccc2C(F)(F)F)cc1,2.11,1.22
CHEMBL3457523,CCNC(=O)CCS(=O)(=O)Cc1ccn(-c2cccc(F)c2)n1,1.45,0.83
CHEMBL3457710,CC(C)N(C)CC(=O)Nc1ccc(-n2ccc(C(N)=O)n2)cc1,1.25,0.68
