chemblID,smiles,ALogP,LogD
CHEMBL2022985,NCCSC(c1ccccc1)(c1ccccc1)c1cccc(C(F)(F)F)c1,5.69,3.67
CHEMBL3640658,Cc1cc(F)ccc1C(O)(c1ccc(C(=O)NCCCCCCC(=O)NO)cc1)c1ccc(F)cc1C,5.05,5.54
CHEMBL1922401,O=[N+]([O-])c1cccc(C(c2ccc(O)cc2O)c2cc(Br)c(O)cc2O)c1,4.36,4.77
CHEMBL261828,NC(=O)C(c1ccccc1)(c1cccc(F)c1)c1cccc(F)c1,3.78,4.46
CHEMBL2022588,NC(CCC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,4.21,2.56
CHEMBL1922394,Oc1ccc(C(c2cc(Br)c(O)cc2O)c2cc(Br)c(O)cc2O)cc1,4.92,5.38
CHEMBL410315,CC(NC(=O)[C@@H](N)CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,3.63,1.82
CHEMBL272034,OCCSC(c1ccccc1)(c1ccccc1)c1ccccc1,4.70,5.12
CHEMBL1704224,O=[N+]([O-])c1ccc(C(c2ccc([N+](=O)[O-])cc2)c2ccc([N+](=O)[O-])cc2)cc1,4.59,5.31
CHEMBL1392219,Cc1cc(C(c2ccc(O)cc2)c2cc(C)c(O)cc2C)c(C)cc1O,5.22,6.63
CHEMBL1205467,Cc1cc(C(c2ccc(F)c(C)c2)c2cc(Cl)cc(Cl)c2OCC(O)C[C@@H](O)CC(=O)O)ccc1F,6.03,3.00
CHEMBL2022982,CCc1cccc(C(SCCN)(c2ccccc2)c2ccccc2)c1,5.23,3.75
CHEMBL1720088,Cc1ccc(C(C)(c2ccc(N)cc2)c2ccc(N)cc2)cc1,4.51,4.64
CHEMBL2022998,NCCCC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1,5.41,3.13
CHEMBL333146,COC(=O)c1cc(C(O)(c2ccc(O)c(C(=O)OC)c2)c2ccc(O)c(C(=O)OC)c2)ccc1O,2.45,5.68
CHEMBL1214121,NOC(c1ccccc1)(c1ccccc1)c1ccccc1,3.87,4.79
CHEMBL1922395,Oc1cc(O)c(C(c2cc(Br)c(O)cc2O)c2c(Cl)cccc2Cl)cc1Br,6.52,6.88
CHEMBL491936,CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1,4.16,4.87
CHEMBL1939843,Oc1ccc(C(c2ccc(O)cc2)c2ccc(O)cc2)cc1,3.98,4.57
