chemblID,smiles,ALogP,LogD
CHEMBL1190264,NC[C@]1(CC(=O)O)CC[C@@H](c2ccccc2)CC1,2.76,0.15
CHEMBL1213722,CCCCCCC(C)(C)c1ccc([C@H]2CCC[C@H](O)C2)cc1,5.95,6.47
CHEMBL2106002,Cc1cc(O)c(C2CCCCC2)c(C)c1I,4.66,5.74
CHEMBL2007918,CN(C)Cc1cc(C(C)(C)C)cc(C2CCCCC2)c1O,4.80,3.59
CHEMBL2009452,CCN(CC)CCOCCOCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,5.57,3.64
CHEMBL3183424,OC1CCCCC1c1ccccc1,2.71,2.78
CHEMBL2220901,CCCCCCCCCCc1ccc([C@H]2CC[C@H]([N+](C)(C)CCC)CC2)cc1,7.88,4.64
CHEMBL2220915,CCCCCCCCCC#Cc1ccc([C@H]2CC[C@H]([N+](C)(C)CCC)CC2)cc1,7.69,4.67
CHEMBL1190254,CNCCCCOc1ccccc1C1CCCCC1,4.11,1.26
CHEMBL1927586,CCCCCCCCc1ccc([C@H]2CC[C@@H](N(C)C(C)C)CC2)cc1,6.96,4.68
CHEMBL1621018,NCCOc1ccc(C2CCCCC2)cc1,3.07,1.28
CHEMBL158506,COC(=O)CCCCNC1(c2ccccc2)CCCCC1,3.78,1.26
CHEMBL205977,CC(C)C[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)CCCCN=C(N)N)C(=O)N[C@H]1CCCC[C@@H]1c1cccc(Cl)c1,2.00,-2.81
CHEMBL1684044,CC(C)CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,5.57,3.63
CHEMBL1681810,CN(C)CC1(c2ccc(C(F)(F)F)cc2)CCCCC1,4.47,2.85
CHEMBL1927579,CCCCCCCCc1ccc([C@H]2CC[C@H](NCCO)CC2)cc1,5.20,3.31
CHEMBL3985824,CCCCC1(N(C)C)CCC(c2ccccc2)(N(C)C)CC1,4.51,-0.93
CHEMBL539491,Cl.NC1(c2cccc(C(F)(F)F)c2)CCCCC1,3.82,1.45
CHEMBL2221203,CCCCCCc1ccc([C@H]2CC[C@H]([N+](C)(C)CCC)CC2)cc1,6.32,2.86
CHEMBL2106527,CC(C)C1CCC(C)C(c2ccc(O)cc2)C1,4.57,5.09
CHEMBL1766704,O=[N+]([O-])c1ccc(OP(=O)(O)O)c(C2CCCCC2)c1,3.11,-0.05
CHEMBL2221075,CCCCCCCCCCCC(=O)c1ccc([C@H]2CC[C@H]([N+](C)(C)CCC)CC2)cc1,8.30,4.39
CHEMBL476758,O=C(NCCCl)Nc1cccc(C2CCCCC2)c1,4.09,3.88
CHEMBL2221060,CCCCCCCCCCCc1ccc([C@H]2CC[C@H]([N+](C)(C)CCC)CC2)cc1,8.27,5.09
CHEMBL382908,N=C(N)Nc1ccc([C@H]2C[C@@H](O)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,-1.76,-11.55
CHEMBL110519,CCN(CC)CCOCCNCC1(c2ccccc2)CCCCC1,3.84,-0.08
CHEMBL395134,CC1(c2cc(Cl)ccc2OCC(=O)O)CCCCC1,4.03,1.09
CHEMBL2221183,CCCCCCCCCCCCCC(=O)c1ccc([C@H]2CC[C@H]([N+](C)(C)CCC)CC2)cc1,9.08,5.28
CHEMBL323992,CCN(CC)CCOCCNC(=O)C1(c2ccccc2)CCCCC1,3.36,1.68
CHEMBL1188528,NCC(O)c1ccc(C2CCCCC2)c(O)c1,2.43,0.57
CHEMBL2221088,CCCCCCCCC#Cc1ccc([C@H]2CC[C@H]([N+](C)(C)CCC)CC2)cc1,7.30,4.23
CHEMBL2003065,COc1ccc(C2CCC(Cl)(OC)CC2C=O)cc1,3.36,2.80
CHEMBL1469568,CCCC1CCC(c2ccc(C(=O)NN)cc2)CC1,3.36,3.82
CHEMBL2110963,CC(=O)OC1(C(C)CN(C)C)CCCCC1c1ccccc1,3.84,1.42
CHEMBL245700,N#Cc1ccc(OCC(=O)O)c(C2CCCCC2)c1,3.07,-0.19
CHEMBL1195265,NCC(O)c1ccc(O)c(C2CCCCC2)c1,2.43,0.54
CHEMBL253183,C[C@@H]1CCCC[C@]1(N)c1ccccc1,3.05,0.80
CHEMBL1195406,NCc1cc(C2CCCCC2)cc(Cl)c1O,3.55,2.46
CHEMBL421904,C=CCCCC1(O)CCC(c2ccc(Cl)cc2)(N(C)C)CC1,4.76,2.70
CHEMBL3188606,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.26,2.85
CHEMBL2104299,CCC(C(=O)O)C1(O)CCC(c2ccccc2)CC1,3.19,0.65
CHEMBL23627,C=CCN(CC)C1(c2ccccc2)CCCCC1,4.35,2.29
