chemblID,smiles,ALogP,LogD
CHEMBL3547135,CN(C)[C@H]1Cc2ccccc2[C@H](c2cccc(Br)c2)C1,4.46,2.69
CHEMBL287962,CCCCOc1ccc([C@@H]2CC[C@@H](NC)c3ccccc32)cc1,5.05,2.98
CHEMBL3402677,CN(C)[C@@H]1Cc2ccccc2[C@@H](c2cccc(F)c2)C1.Cl,3.83,2.08
CHEMBL3547150,CN(C)[C@H]1Cc2ccccc2[C@H](c2ccc(Br)cc2)C1,4.46,2.68
CHEMBL3547136,CN(C)[C@@H]1Cc2ccccc2[C@@H](c2cccc(Cl)c2)C1,4.35,2.53
CHEMBL2110041,CN(C)[C@]1(C)Cc2ccccc2[C@@H](c2ccccc2)C1,4.09,1.91
CHEMBL399512,COc1cc([C@H]2c3cc(O)c(OC)cc3C[C@@H](CO)[C@@H]2CO)ccc1O,2.02,1.78
CHEMBL1193985,CN(C)[C@H]1Cc2cc(Cl)c(O)cc2[C@H](c2ccccc2)C1,4.05,2.59
CHEMBL3547134,CN(C)[C@@H]1Cc2ccccc2[C@@H](c2cccc(Br)c2)C1,4.46,2.69
CHEMBL1642892,N[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,4.40,2.10
CHEMBL2141439,O=C(O)C1C(c2ccccc2)c2ccccc2C(O)C1CO,2.17,-1.14
CHEMBL381754,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NCCO)cc21,3.45,1.81
CHEMBL1642900,CN(C)[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,5.00,3.14
CHEMBL36440,CN[C@@H]1CC[C@@H](c2ccc(C(F)(F)F)cc2)c2ccccc21,4.89,2.69
CHEMBL1190041,C=CCN(C)C1Cc2ccccc2C(c2ccccc2)C1,4.25,2.96
CHEMBL3547044,CN(C)[C@H]1Cc2ccccc2[C@H](c2cccc(C(F)(F)F)c2)C1,4.71,2.80
CHEMBL4206844,COc1ccc([C@@H]2c3cc(OC)c(OC)cc3C[C@H](C)[C@H]2C)cc1OC,4.68,4.79
CHEMBL317029,CN(C)C1Cc2cc(Cl)c(O)cc2C(c2ccccc2)C1,4.05,2.59
CHEMBL497886,COC(=O)[C@@H]1[C@@H](c2ccc(O)c(OC)c2)c2c(cc(OC)c(OC)c2OC)C[C@H]1CO,2.51,2.21
CHEMBL36632,CN(C)[C@@H]1CC[C@@H](c2ccccc2)c2ccccc21,4.22,2.41
CHEMBL291055,CN[C@H]1CC[C@@H](c2ccc(F)cc2)c2ccccc21,4.01,1.95
CHEMBL39955,CCCCOc1ccc([C@@H]2CC[C@H](NC)c3ccccc32)cc1,5.05,2.98
CHEMBL380523,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)N(C)C)cc21,4.88,2.82
CHEMBL3547177,CN(C)[C@@H]1Cc2ccccc2[C@@H](c2ccccc2Cl)C1,4.35,2.58
CHEMBL37241,CN[C@H]1CC[C@@H](c2cccc(OC)c2)c2ccccc21,3.88,1.65
CHEMBL36701,CN(C)[C@@H]1CC[C@@H](c2ccc(Cl)cc2)c2ccccc21,4.87,3.01
CHEMBL205837,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cccc(C(N)=O)c21,4.28,2.29
CHEMBL3547152,CN(C)[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)cc2)C1,4.35,2.52
CHEMBL3547137,CN(C)[C@H]1Cc2ccccc2[C@H](c2cccc(Cl)c2)C1,4.35,2.53
CHEMBL3547012,CN(C)[C@H]1Cc2ccccc2[C@H](c2ccccc2Br)C1,4.46,2.73
CHEMBL246361,Oc1cc2c(cc1O)C(c1ccccc1)CCC2,3.57,4.24
CHEMBL33854,CC(=O)NC1Cc2ccccc2C(c2ccccc2)C1,3.27,3.17
CHEMBL39511,CN[C@@H]1CC[C@@H](c2cccc(OC)c2)c2ccccc21,3.88,1.65
CHEMBL3547153,CN(C)[C@@H]1Cc2ccccc2[C@@H](c2ccc(F)cc2)C1,3.83,2.04
CHEMBL35939,CN[C@@H]1CC[C@@H](c2ccc(Cl)c(C(F)(F)F)c2)c2ccccc21,5.55,3.29
CHEMBL3547043,CN(C)[C@@H]1Cc2ccccc2[C@@H](c2ccc(Br)cc2)C1,4.46,2.68
CHEMBL3402679,CN(C)[C@H]1Cc2ccccc2[C@H](c2ccccc2)C1,3.69,1.91
CHEMBL1788365,CN[C@H]1CC[C@@H](c2ccccc2)c2ccccc21.Cl,3.87,1.81
CHEMBL1642897,CN[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,4.66,2.28
CHEMBL1642899,CN(C)[C@@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,5.00,3.14
CHEMBL3402666,CN(C)[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)cc2)C1.Cl,4.35,2.52
CHEMBL1788367,CN[C@H]1CC[C@@H](c2cccc(C(F)(F)F)c2)c2ccccc21.Cl,4.89,2.69
CHEMBL1812796,COc1cc2c(cc1O)[C@H](c1cc(OC)c(O)c(OC)c1)[C@@H](C)[C@@H](COC(C)=O)C2,3.63,3.42
CHEMBL3402678,CN(C)[C@H]1Cc2ccccc2[C@H](c2cccc(F)c2)C1.Cl,3.83,2.08
CHEMBL1909070,CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,4.40,1.86
CHEMBL378804,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(=O)O)cc21,4.81,2.31
CHEMBL333811,CN(C)[C@@H]1Cc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,4.05,2.59
CHEMBL1415862,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,5.18,3.02
CHEMBL2022445,COc1ccc2c(c1CCCCO)CCCC2c1cc(OC)c(OC)c(OC)c1,4.50,4.63
CHEMBL3301596,Cl.N[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,4.92,2.65
CHEMBL1642901,CN(C)[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,5.00,3.14
CHEMBL2022444,COc1ccc2c(c1O)CCCC2c1cc(OC)c(OC)c(OC)c1,3.89,3.91
CHEMBL540038,C=CCN(C)C1Cc2ccccc2C(c2ccccc2)C1.Cl,4.25,2.96
CHEMBL1946401,CCC(=O)N[C@@H]1Cc2c(Br)cccc2[C@H](c2ccccc2)C1,4.42,4.64
CHEMBL320435,CN(C)C1CCc2ccccc2C1c1ccccc1,3.69,1.82
CHEMBL202907,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)c(NS(C)(=O)=O)cc21,3.65,1.29
CHEMBL3547178,Cc1ccccc1[C@@H]1C[C@@H](N(C)C)Cc2ccccc21,4.00,2.41
CHEMBL36792,CN[C@@H]1CC[C@@H](c2ccc(Cl)cc2Cl)c2ccccc21,5.18,3.02
CHEMBL37107,CN(C)[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,5.52,3.61
CHEMBL39799,CN[C@@H]1CC[C@@H](c2ccccc2OC)c2ccccc21,3.88,1.66
CHEMBL39622,CN[C@@H]1CC[C@@H](c2ccc(OC)cc2)c2ccccc21,3.88,1.65
CHEMBL40178,CN(C)[C@H]1CC[C@@H](c2ccc(Cl)cc2)c2ccccc21,4.87,3.01
CHEMBL3402660,CN(C)[C@H]1Cc2ccccc2[C@H](c2ccc([N+](=O)[O-])cc2)C1.Cl,3.60,1.93
CHEMBL542419,C=CCNC1Cc2ccccc2C(c2ccccc2)C1.Cl,3.91,2.27
CHEMBL539274,C=CCN(CC=C)C1Cc2ccccc2C(c2ccccc2)C1.Cl,4.81,4.02
CHEMBL339740,CN(C)[C@@H]1CCc2ccccc2[C@H]1c1ccccc1,3.69,1.82
CHEMBL104444,CNC1Cc2ccccc2C(c2ccccc2)C1,3.35,1.06
CHEMBL459273,COc1cc([C@H]2c3c(cc(OC)c(OC)c3OC)C[C@@H](C)[C@@H]2C)cc(OC)c1OC,4.70,4.47
CHEMBL38340,CN(C)[C@@H]1CC[C@@H](c2ccc(C(F)(F)F)cc2)c2ccccc21,5.23,3.28
CHEMBL4214167,COc1cc2c(cc1OC)[C@@H](c1cc(OC)c(OC)c(OC)c1)[C@H](C)CC2,4.44,4.34
CHEMBL39405,CN(C)[C@H]1CC[C@@H](c2cccc(C(F)(F)F)c2)c2ccccc21,5.23,3.28
CHEMBL1642893,N[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,4.40,2.10
CHEMBL205505,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)N(C)C)ccc21,4.88,2.52
CHEMBL383706,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,3.83,2.28
CHEMBL3402670,CN(C)[C@H]1Cc2ccccc2[C@H](c2cccc([N+](=O)[O-])c2)C1.Cl,3.60,1.93
CHEMBL1788366,CN[C@@H]1CC[C@@H](c2ccc(Cl)cc2)c2ccccc21.Cl,4.53,2.41
CHEMBL1642896,CN[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,4.66,2.28
CHEMBL1642912,NCC[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,5.04,2.64
CHEMBL103471,C[N+](C)(C)C1Cc2ccccc2C(c2ccccc2)C1,3.84,0.01
CHEMBL381792,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(NS(C)(=O)=O)cc21,4.55,1.75
CHEMBL1743851,CN[C@@H]1CC[C@@H](c2ccc(OC)cc2)c2ccccc21.Cl,3.88,1.65
CHEMBL453823,COc1cc(C)c(OC)c2c1C[C@@H](C(=O)O)C[C@H]2c1ccccc1,3.79,1.26
CHEMBL417704,CN(C)[C@H]1CC[C@@H](c2ccc(C(F)(F)F)cc2)c2ccccc21,5.23,3.28
CHEMBL1642891,N[C@@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,4.40,2.10
CHEMBL4061850,CCC(=O)NC[C@@H]1CCc2ccccc2[C@H]1c1ccccc1,3.91,4.19
CHEMBL1642911,CN(C)C[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,5.25,3.30
CHEMBL1760593,COc1cc([C@@H]2c3cc(O)c(OC)cc3C[C@H](CO)[C@H]2CO)ccc1O,2.02,1.78
CHEMBL2022446,COc1cc(OC)cc(C2CCCc3cc(OC)ccc32)c1,4.18,4.37
CHEMBL3402686,Cc1ccccc1[C@H]1C[C@H](N(C)C)Cc2ccccc21.Cl,4.00,2.41
