chemblID,smiles,ALogP,LogD
CHEMBL546113,COc1cccc(CC(C)NCC(O)c2cccc(Cl)c2)c1,3.60,1.60
CHEMBL581078,CC(Cc1ccc(SC(C)C)cc1)NCC(O)c1cccc(Cl)c1,5.09,2.93
CHEMBL528403,CC(Cc1ccc(SC(C)(C)C)cc1)NCC(O)c1cccc(Cl)c1,5.48,3.11
CHEMBL533434,COC(=O)c1ccc(CC(C)NCC(O)c2ccc(F)c(Cl)c2)cc1,3.52,1.97
CHEMBL3989644,COc1ccc(CCNC(C)C(O)c2ccc(O)c(NS(C)(=O)=O)c2)cc1.Cl,2.03,0.28
CHEMBL528029,CSc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1,4.32,2.37
CHEMBL526427,Cc1ccc(CC(C)NCC(O)c2cccc(Cl)c2)cc1F,4.04,2.44
CHEMBL530225,COc1ccc(CCNCC(O)c2cccc(Br)c2)c(Cl)c1OC,3.99,1.97
CHEMBL3550279,Nc1ccc(CCNC[C@H](O)c2ccccc2)cc1,2.13,-0.18
CHEMBL4116120,CC(C)CCN(CCc1cccc(O)c1)CCc1cccc(O)c1,4.23,2.51
CHEMBL3303930,COCc1cc(C(O)CNC(C)Cc2ccc(OC)cc2)ccc1O,2.80,0.62
CHEMBL531674,COC(=O)C(C)(C)c1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1,4.41,2.88
CHEMBL580870,CCCCCCCSc1ccc(CC(C)NCC(O)c2cccc(Cl)c2)cc1,6.66,4.92
CHEMBL3304097,COCc1cc(C(O)CNC(C)Cc2ccccc2)ccc1O,2.79,0.77
CHEMBL1192581,CCCN(CCc1ccccc1)CCc1ccc(F)c(O)c1,4.03,2.78
CHEMBL32933,C[C@H](NCCc1ccc(NCC(=O)O)cc1Cl)[C@H](O)c1ccc(O)cc1,2.80,0.10
CHEMBL1706101,NC[C@H](Cc1ccccc1)NCCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,4.43,2.26
CHEMBL547880,COc1c(F)cc(CC(C)NCC(O)c2cccc(Cl)c2)cc1F,3.88,2.01
CHEMBL529151,C#CCOc1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1,3.97,2.07
CHEMBL534444,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(OC(F)(F)F)c2)cc1,3.63,2.64
CHEMBL1618189,COc1ccc(CCN(C)CC(O)c2ccccc2)cc1OC,2.91,1.31
CHEMBL3990805,COc1ccc(CCNC(C)C(O)c2ccc(O)c(NS(C)(=O)=O)c2)cc1,2.03,0.28
CHEMBL1193081,CCOC(=O)COc1ccc(CCNC(C)C(O)c2ccc(O)cc2)cc1Cl,3.24,1.28
CHEMBL545972,COc1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1F,4.11,2.06
CHEMBL536138,Cc1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1,4.27,2.49
CHEMBL4117954,C=CCN(CCc1cccc(O)c1)CCc1cccc(O)c1,3.37,2.45
CHEMBL1243407,CC(C)(Cc1ccccc1)NCC(O)c1ccc(O)c(NS(C)(=O)=O)c1,2.41,0.71
CHEMBL785,C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,2.35,0.51
CHEMBL532433,CC(Cc1ccc(CSC(C)C)cc1)NCC(O)c1cccc(Cl)c1,5.24,3.16
CHEMBL3304034,CCOCc1cc(C(O)CNC(C)Cc2ccccc2)ccc1O,3.18,1.13
CHEMBL1621544,COc1ccc(CCNCC(O)c2ccccc2)cc1,2.56,0.56
CHEMBL1194852,CCCN(CCc1ccccc1)CCc1ccc(Cl)c(O)c1,4.54,3.52
CHEMBL32115,C[C@H](NCCc1ccc(N(C)CC(=O)O)c(Cl)c1)[C@H](O)c1ccc(O)cc1,2.82,0.74
CHEMBL1625738,CC(C)OCCCN(CC(O)c1ccccc1)CC(O)c1ccccc1,3.57,1.61
CHEMBL2107568,CC(O)C(=O)O.COc1ccccc1CC(C)NC(C)Cc1ccccc1OC,3.86,1.71
CHEMBL524260,Cc1ccc(CC(C)(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1,4.66,2.69
CHEMBL260393,CC(C)(Oc1ccc(CCNC[C@H](O)c2ccccc2)cc1)C(=O)O,2.79,0.76
CHEMBL4102256,C=CCN(CCc1ccc(O)cc1)CCc1cccc(O)c1.Cl,3.37,2.40
CHEMBL229390,C[C@@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1,2.35,0.62
CHEMBL1164189,CSc1ccc(CC(C)NC(C)Cc2ccc(SC)cc2)cc1,5.28,3.11
CHEMBL532197,COc1ccccc1CC(C)NCC(O)c1cccc(Cl)c1,3.60,1.69
CHEMBL1160705,CC(Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,2.06,0.33
CHEMBL1445411,CC(Cc1ccc(OCC(=O)[O-])cc1)NCC(O)c1cccc(Cl)c1.[Na+],3.06,0.78
CHEMBL535241,Br.COc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1F,3.74,1.79
CHEMBL528875,Br.CC(Cc1ccc(SC(C)(C)C)cc1)NCC(O)c1cccc(Cl)c1,5.48,3.11
CHEMBL387825,C[C@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1,2.35,0.62
CHEMBL52394,COC(=O)c1ccc(CC(C)NCC(O)c2ccccc2)cc1,2.73,1.14
CHEMBL161885,O=C(O)CCNC(=O)[C@H](Cc1ccccc1)N[C@@H](Cc1ccccc1)C(=O)O,1.47,-3.32
CHEMBL2104216,CN(CCc1ccccc1)CCc1ccccc1,3.40,1.89
CHEMBL3228626,CCOCc1cc(C(O)CNC(C)(C)Cc2ccccc2)ccc1O.Cl,3.57,1.35
CHEMBL38486,COC(=O)COc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1,3.15,1.20
CHEMBL1160692,CC(C)(Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(CO)c1,2.23,0.05
CHEMBL105095,CNC(=O)CCCCC(Cc1ccccc1)NCC(O)c1ccc(O)c(NS(C)(=O)=O)c1,2.30,0.37
CHEMBL32532,C[C@H](NCCc1ccc(NCC(=O)O)cc1)[C@H](O)c1ccc(O)cc1,2.14,-0.50
CHEMBL582562,COc1ccc(CC(C)NCC(O)c2cccc(Br)c2)cc1,3.71,1.72
CHEMBL586653,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(Cl)c2Cl)cc1.Cl,4.03,2.53
CHEMBL531991,Cc1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1F.Cl,4.41,2.71
CHEMBL531848,Br.COC(=O)c1ccc(CC(C)NCC(O)c2cccc(SC(F)(F)F)c2)cc1,4.34,3.19
CHEMBL547745,CNCCCCCCOc1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1,5.12,0.05
CHEMBL103096,CS(=O)(=O)Nc1cc(C(O)CNCCc2ccc(OCC(=O)O)cc2)ccc1O,1.09,-1.64
CHEMBL3303395,Oc1ccc(CCNCCc2ccccc2)cc1O,2.47,0.67
CHEMBL1190552,CCCN(CCc1cccc(O)c1)CCc1ccc(Cl)c(O)c1,4.25,3.23
CHEMBL3542321,Cl.Nc1ccc(CCNC[C@H](O)c2ccccc2)cc1,2.13,-0.18
CHEMBL547703,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(SC(F)(F)F)c2)cc1,4.34,3.19
CHEMBL579586,Cc1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)c(C)c1,4.58,2.99
CHEMBL3303929,CCOCc1cc(C(O)CNC(C)(C)Cc2ccccc2)ccc1O,3.57,1.35
CHEMBL1336469,C[C@@H](Cc1ccc(C=O)cc1)NC[C@@H](O)c1ccc(O)c(NCO)c1,1.82,-0.53
CHEMBL566777,Cc1ccccc1CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2.84,0.74
CHEMBL111319,CN(C)S(=O)(=O)Nc1ccc(CCNC[C@H](O)c2cccc(Cl)c2)cc1,2.42,-0.27
CHEMBL579805,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(Br)c2)cc1,3.49,1.96
CHEMBL2111146,COc1ccccc1CC(C)NC(C)Cc1ccccc1OC,3.86,1.71
CHEMBL586132,Cc1ccc(CC(C)NC[C@H](O)c2cccc(Cl)c2)cc1,3.90,2.21
CHEMBL1376064,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1.Cl,2.35,0.51
CHEMBL2133469,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1.O.O=C(O)/C=C/C(=O)O,2.22,0.04
CHEMBL524783,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1F,3.89,2.30
CHEMBL3302675,CCCCN(CCc1ccccc1)CCc1ccc(O)c(O)c1,3.99,2.26
CHEMBL1339918,COc1ccc(CCN(C)CC(O)c2ccccc2)cc1OC.O=C(O)C(=O)O,2.91,1.31
CHEMBL3099660,CC[C@@H](Cc1ccc(OC)cc1)NC[C@H](O)c1cc(O)cc(O)c1,2.75,0.89
CHEMBL228992,COc1ccc(C[C@@H](C)NC[C@H](O)c2cc(O)cc(O)c2)cc1,2.36,0.47
CHEMBL4108239,COc1cccc(C[C@@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)c1,2.36,0.49
CHEMBL1357401,C[C@@H](Cc1ccc(OCC(=O)[O-])cc1)NC[C@H](O)c1cccc(Cl)c1.[Na+],3.06,0.78
CHEMBL228998,COc1ccc(C[C@@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)cc1,2.36,0.47
CHEMBL582341,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)c(Cl)c1,4.40,2.81
CHEMBL39596,C[C@H](Cc1ccc(OCC(=O)NO)cc1)NC[C@H](O)c1cccc(Cl)c1,2.48,0.41
CHEMBL83063,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,2.35,0.51
CHEMBL229391,C[C@H](Cc1ccc(N)cc1)NC[C@H](O)c1cc(O)cc(O)c1,1.93,-0.25
CHEMBL528053,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1F.Cl,3.89,2.30
CHEMBL528261,COc1ccc(CC(C)NCC(O)c2cccc(Cl)c2)cc1C,3.91,2.06
CHEMBL429764,CN(CCc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,2.15,-1.40
CHEMBL582187,COC(=O)/C=C/c1ccc(CC(C)NCC(O)c2cccc(Cl)c2)cc1,3.78,2.27
CHEMBL3228628,COCc1cc(C(O)CNC(C)Cc2ccc(O)cc2)ccc1O.O=C(O)C(=O)O,2.50,0.48
CHEMBL3548755,CC(=O)Nc1ccc(CCNC[C@H](O)c2ccccc2)cc1,2.51,-0.03
CHEMBL4117595,C=CCN(CCc1ccc(O)cc1)CCc1cccc(O)c1,3.37,2.40
CHEMBL1160696,CC(C)(Cc1ccc(O)cc1)NC[C@H](O)c1ccc(O)c(O)c1,2.45,0.50
CHEMBL3245322,CCCN(CCc1ccccc1)CCc1ccc(O)c(O)c1.Cl,3.60,1.84
CHEMBL533793,COC(=O)c1ccc(CC(C)NCC(O)c2cc(Cl)c(N)c(Cl)c2)cc1,3.62,1.58
CHEMBL528298,CCc1ccc(CC(C)NCC(O)c2ccccc2)cc1.O,3.50,2.00
CHEMBL102522,COc1ccc(CCNCC(O)c2ccc(O)c(NS(C)(=O)=O)c2)cc1,1.64,-0.12
CHEMBL260996,C[C@@H](Oc1ccc(CCNC[C@H](O)c2ccccc2)cc1)C(=O)O,2.40,0.33
CHEMBL538012,Br.CCCN(CCc1ccccc1)CCc1ccc(O)c(F)c1,4.03,2.62
CHEMBL2009638,COc1cccc(CC(C)NCC(O)c2ccc(O)c(O)c2)c1,2.36,0.44
CHEMBL529328,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(Cl)c2Cl)cc1,4.03,2.53
CHEMBL493682,COc1ccc(CCNC[C@H](O)c2ccc(O)cc2)cc1OC,2.28,0.17
CHEMBL1189074,CCCN(CCc1ccccc1)CCc1ccc(O)c(F)c1,4.03,2.62
CHEMBL2105155,COc1ccc(CC(C)NCC(O)c2cc(N)cc(CO)c2)cc1,2.02,-0.73
CHEMBL582763,Cc1ccc(CC(C)NCC(O)c2cccc(Cl)c2)cc1F.Cl,4.04,2.44
CHEMBL3099663,CCC[C@H](Cc1ccc(OC)cc1)NC[C@H](O)c1cc(O)cc(O)c1,3.14,1.31
CHEMBL536339,Cc1ccc(CC(C)NC[C@H](O)c2cccc(Cl)c2)cc1.Cl,3.90,2.21
CHEMBL2180637,CCCCCN(CCc1ccccc1)CCc1cccc(O)c1,4.67,2.93
CHEMBL1958249,COc1cccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(O)c2)c1,2.36,0.44
CHEMBL3245332,Cl.Oc1ccc(CCNCCc2ccccc2)cc1O,2.47,0.67
CHEMBL546143,Cc1ccc(CC(C)NCC(O)c2cccc(Br)c2)cc1,4.01,2.36
CHEMBL1256839,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC.Cl,3.44,1.40
CHEMBL35459,C[C@H](NCCc1ccc(NC(C)(C)C(=O)O)cc1)[C@H](O)c1ccc(O)cc1,2.92,0.50
CHEMBL102364,COC(=O)CCCCC(Cc1ccccc1)NCC(O)c1ccc(O)c(NS(C)(=O)=O)c1,2.73,1.10
CHEMBL537761,COC(=O)c1ccc(CC(C)NCC(O)c2cccc(C(F)(F)F)c2)cc1.Cl,3.75,2.08
CHEMBL2180641,CCCCCCN(CCc1ccccc1)CCc1cccc(O)c1,5.06,3.37
CHEMBL2105510,CC(C)(Cc1ccccc1)NCC(O)c1ccc(O)c(NS(C)(=O)=O)c1.Cl,2.41,0.71
CHEMBL2079543,C[C@H](NCCc1ccc(OCC(=O)O)c(Cl)c1)[C@@H](O)c1ccc(O)cc1,2.76,0.47
