chemblID,smiles,ALogP,LogD
CHEMBL146063,CC(C)c1ccc(OC(C)(C(=O)NS(=O)(=O)C(F)(F)F)C(C)c2ccc(Cl)cc2)cc1,5.37,6.01
CHEMBL1761715,COc1cc([C@H](O)[C@H](CO)Oc2ccc(CCCO)cc2OC)ccc1O,1.81,1.63
CHEMBL356318,CC(C)c1ccc(OC(C)(Cc2ccc(Cl)cc2)C(=O)CO)cc1,4.41,5.31
CHEMBL1188751,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccc(F)cc2)c1,5.12,3.07
CHEMBL1789208,CC(C)c1ccc(OC(Cc2ccc(Cl)c(Cl)c2)C(=O)O)cc1,5.19,2.68
CHEMBL3138903,CN[C@@H](COc1cccc(Cl)c1Cl)c1ccccc1,4.33,2.95
CHEMBL1191010,CCCN(CCC)CCc1ccc(OCCc2ccccc2)c(O)c1,4.68,2.81
CHEMBL1205766,Cc1cccc(CC(C)(Oc2ccc(C(C)C)cc2)C(=O)O)c1,4.58,2.66
CHEMBL1194088,CCCN(CCC)CCCc1ccc(OC)c(OCCc2ccccc2)c1,5.37,3.04
CHEMBL1207066,CCc1cccc(CC(C)(Oc2ccc(C(C)C)cc2)C(=O)O)c1,4.84,3.12
CHEMBL1195633,COc1ccc(CC(C)N)cc1OCCc1ccccc1,3.21,1.02
CHEMBL464934,C/C=C/c1ccc(O[C@@H](C)[C@@H](O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,4.26,3.82
CHEMBL1760018,COc1cc([C@H](O)[C@H](CO)Oc2c(OC)cc(/C=C/CO)cc2OC)ccc1O,1.90,1.34
CHEMBL1191381,CCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,6.93,4.79
CHEMBL2086453,C/C=C/c1cc(OC)c(O[C@@H](C)[C@@H](O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,4.26,3.66
CHEMBL4062360,C=CCc1cc(OC)c(OC(C)C(OC)c2ccc(O)c(OC)c2)c(OC)c1,4.30,4.29
CHEMBL464726,C/C=C/c1ccc(O[C@H](C)[C@@H](O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,4.26,3.82
CHEMBL374651,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCCc1ccccc1,2.59,1.61
CHEMBL1400705,CC(C)OCCCNC(=O)CCCC(=O)Nc1ccc(OCCc2ccccc2)cc1,4.35,3.54
CHEMBL1178040,CCCN(CCC)CCc1ccc(OCCc2ccccc2)c(OC)c1,4.98,2.92
CHEMBL4097551,C=CCc1cc(OC)c(O[C@H](C)[C@H](OC(C)=O)c2ccc(OC)c(OC)c2)c(OC)c1,4.52,4.24
CHEMBL478993,N[C@@H](CCC(=O)Nc1ccc(OCCc2ccccc2)cc1)C(=O)O,2.44,0.09
CHEMBL1188761,CCCN(CCC)CCc1cc(OC)ccc1OCCc1ccccc1,4.98,3.13
CHEMBL280062,COc1ccc(CCOc2c(I)cc(C[C@@H](N)C(=O)O)cc2I)cc1,3.48,2.37
CHEMBL464725,C/C=C/c1ccc(O[C@@H](C)[C@@H](O)c2ccc(OC)c(OC)c2)c(OC)c1,4.25,3.98
