chemblID,smiles,ALogP,LogD
CHEMBL279151,CC(c1cccc(O)c1)C(C)c1cccc(O)c1,4.01,4.47
CHEMBL2365379,N/C(=N\O)Nc1ccc(CCc2ccc(N/C(N)=N/O)cc2)cc1,1.70,2.45
CHEMBL3303069,Nc1ccccc1C(F)(F)C(F)(F)c1ccccc1,4.15,4.19
CHEMBL3302834,COc1cccc(CC(c2ccccc2)N(CCO)CCO)c1,2.27,0.88
CHEMBL3303714,NCc1ccccc1C(F)(F)C(F)(F)c1ccccc1,4.03,2.47
CHEMBL2105462,C[C@@H](c1ccc(O)cc1)[C@H](CC(F)(F)F)c1ccc(O)cc1,4.94,5.11
CHEMBL2365632,N=C(N)Nc1ccc(CCc2ccc(NC(=O)CCCCCCCCCCCN)cc2)cc1,5.58,1.79
CHEMBL1191623,NC[C@@H](c1ccccc1)[C@@H](O)c1ccccc1,2.46,0.17
CHEMBL1188069,CCCCNC(c1cccc(OC)c1)C(NCCCC)c1cccc(OC)c1,5.27,3.60
CHEMBL1198766,N=C(N)Nc1ccc(CCc2ccc(N)cc2)cc1,2.36,0.93
CHEMBL1623326,CC(C)CCC(O)(c1ccc(Br)cc1)C(CNCCCCO)c1ccccc1,5.22,2.90
CHEMBL1190373,CCCNC(c1c(Cl)cccc1Cl)C(NCCC)c1c(Cl)cccc1Cl,7.08,6.67
CHEMBL1907333,COc1ccc([C@@H](O)[C@@H](N)c2ccccc2)cc1,2.43,0.60
CHEMBL3302732,NCCc1ccccc1C(F)(F)C(F)(F)c1ccccc1,4.07,2.19
CHEMBL1739837,CC(CCCN(C)C)C(Cc1ccccc1)c1ccccc1,4.99,3.33
CHEMBL3301973,CC(N)c1ccccc1C(F)(F)C(F)(F)c1ccccc1,4.59,2.68
CHEMBL2104694,CCC(c1cc(F)c(OC(C)=O)c(OC(C)=O)c1)C(C)c1cc(F)c(OC(C)=O)c(OC(C)=O)c1,4.96,4.24
CHEMBL7192,CCC(c1ccc(O)cc1)C(CCF)c1ccc(O)cc1,4.73,4.82
CHEMBL1189039,CCCNC(c1ccc(Cl)cc1Cl)C(NCCC)c1ccc(Cl)cc1Cl,7.08,6.25
CHEMBL1190184,CCOC(=N)c1ccc([C@H](CC)[C@H](CC)c2ccc(O)cc2)cc1,5.44,5.79
CHEMBL1189611,CCNC(c1ccc(OC)cc1)C(NCC)c1ccc(OC)cc1,3.71,1.78
CHEMBL2368846,CC[C@](C)(c1ccc(O)cc1)[C@H](CCCCN(CCCl)CCCl)c1ccc(O)cc1,6.50,7.07
CHEMBL1188019,CCCCNC(c1ccc(O)cc1)C(NCCCC)c1ccc(O)cc1,4.66,3.23
CHEMBL3989620,CC(NC(=O)/C=C\C(=O)O)C(Cc1ccc(Cl)cc1)c1ccc(Cl)cc1,4.47,1.52
CHEMBL499124,Oc1ccc(CCc2ccc(O)cc2O)c(O)c1,2.29,3.29
CHEMBL1738990,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,4.28,2.80
CHEMBL477915,COc1ccc(CCc2cccc(OC)c2)cc1,3.49,4.19
CHEMBL467941,N#CC(Cc1ccc(O)c(Cl)c1)c1ccc(O)cc1,3.60,3.67
CHEMBL150137,COc1ccc(C(O)Cc2cc(OC)c(OC)c(OC)c2)cc1O,2.70,2.34
CHEMBL25843,CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1,2.22,1.54
CHEMBL39545,CC[C@@](C)(c1ccc(O)cc1)[C@H](CCCCOCCOCCOCCCl)c1ccc(O)cc1,6.01,6.33
CHEMBL285152,COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)c(O)c1O,2.92,3.27
CHEMBL289686,COc1ccc([C@@H](O)[C@H](O)c2cc(OC)c(OC)c(OC)c2)cc1O,2.19,1.42
CHEMBL534405,CCCCNC(c1ccc(Cl)cc1)C(O)c1ccc(Cl)cc1.Cl,5.16,3.57
CHEMBL383117,CCN(CC)CCCC(C)/N=C(/N)NC(=O)c1cccc(Cl)c1CCc1cc(Br)ccc1OC,5.45,3.64
CHEMBL52563,CN(C)CC(COc1ccccc1CCc1cccc(Cl)c1)OC(=O)CCC(=O)O,3.84,1.83
CHEMBL284919,COc1ccc([C@@H](O)Cc2cc(OC)c(OC)c(OC)c2)cc1O,2.70,2.34
CHEMBL3303460,CN(C)CC(O)C(Cc1ccccc1)c1ccccc1,2.94,1.88
CHEMBL36163,CC[C@@](C)(c1ccc(O)cc1)[C@H](CCCCBr)c1ccc(O)cc1,6.11,6.66
CHEMBL1616756,CN(C)CCCC(C)(O)C(Cc1ccccc1)c1ccccc1,4.11,2.30
CHEMBL79269,CCOC(=O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,4.49,5.42
CHEMBL3216199,CCNC(c1ccc(O)cc1)C(NCC)c1ccc(O)cc1.Cl.Cl,3.10,1.49
CHEMBL52663,CN(CCCCOc1ccccc1CCc1ccccc1)CCCC(=O)O,4.43,2.22
CHEMBL137834,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(S(=O)(=O)F)cc1,4.74,5.33
CHEMBL26386,CCCCC(=O)[C@@H](c1ccc(O)cc1)[C@H](CC)c1ccc(O)cc1,5.13,5.77
CHEMBL241559,O=C(O)c1c(O)cccc1CCc1ccccc1,2.88,1.01
CHEMBL51714,CN(C)CCCCOc1ccccc1CCc1ccccc1O,3.90,2.29
CHEMBL53142,CN(C)CC(COc1ccccc1CCc1ccccc1)OCCC(=O)O,3.27,1.35
CHEMBL3216646,CCCCNC(c1ccccc1OC)C(NCCCC)c1ccccc1OC.Cl.Cl,5.27,4.10
CHEMBL2326869,CC(=O)Nc1cccc(CCc2ccc(NC(=N)N)cc2)c1.Cl,2.74,1.23
CHEMBL113365,C[C@H](c1cccc(O)c1)[C@@H](C)c1cccc(O)c1,4.01,4.47
CHEMBL2326851,Cl.N/C(=N\O)Nc1ccc(CCc2ccc(N/C(N)=N/O)cc2)cc1,1.70,2.45
CHEMBL298660,CN(C)CCCOc1ccccc1CCc1ccc(Cl)cc1,4.46,3.18
CHEMBL3302855,COc1cccc(CC(N)c2ccccc2)c1,2.94,0.99
CHEMBL101078,Oc1cc(O)cc(CCc2cc(O)cc(O)c2)c1,2.29,3.29
CHEMBL4061024,C=C(C)[C@@H](O)CC/C(C)=C/Cc1c(O)cc(CCc2ccccc2)c(C(=O)O)c1O,4.79,2.94
CHEMBL139092,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(OCC(=O)C=[N+]=[N-])cc1,4.33,3.90
CHEMBL1195848,CCCCNC(c1ccc(OC)cc1)C(NCCCC)c1ccc(OC)cc1,5.27,3.50
CHEMBL298554,CN(C)CCCOc1ccc(Cl)cc1CCc1ccccc1,4.46,3.18
CHEMBL1208052,COc1cc(CCc2ccc(OC)c(OP(=O)(O)O)c2OP(=O)(O)O)cc(OC)c1OC,2.45,-4.48
CHEMBL27741,CNC(c1c(Cl)cc(O)cc1Cl)C(NC)c1c(Cl)cc(O)cc1Cl,4.93,4.29
CHEMBL1187914,CCCCCCNC(c1ccc(OC)cc1)C(NCCCCCC)c1ccc(OC)cc1,6.83,5.28
CHEMBL1196482,COc1ccc(C(NC(C)C)C(NC(C)C)c2ccc(OC)cc2)cc1,4.48,2.53
CHEMBL3303197,CNCc1cccc(C(F)(F)C(F)(F)c2ccccc2)c1CNC,4.01,0.69
CHEMBL2107796,C=C(CN(C)C)[C@](Cc1ccccc1)(OC(=O)CC)c1ccccc1,4.20,3.51
CHEMBL1934597,CC(C)CCCC(C)CCOc1ccc(CCc2cccc(O)c2C(=O)O)cc1,6.11,4.53
CHEMBL1196139,CCNC(c1cc(Cl)cc(Cl)c1)C(NCC)c1cc(Cl)cc(Cl)c1,6.30,4.87
CHEMBL3216193,CCCCCCNC(c1ccc(O)cc1)C(NCCCCCC)c1ccc(O)cc1.Cl.Cl,6.22,5.00
CHEMBL1276204,Oc1ccc(CCc2ccc(F)cc2)cc1O,3.02,4.04
CHEMBL3303474,COc1ccccc1C(Cc1ccccc1)N(CCCl)CCCl,4.76,5.14
