chemblID,smiles,ALogP,LogD
CHEMBL1469088,CCOC(=O)C1CCCN(Cc2ccccc2C)C1,2.77,1.68
CHEMBL1390967,CCC1CCCCN1Cc1ccc(OC)c(OC)c1,3.47,1.88
CHEMBL1621949,CC(=O)c1ccc(OC(C)C)c(CN2CCCCC2)c1,3.66,2.74
CHEMBL1740887,CC1CCN(C(C(=O)O)c2ccccc2)CC1,2.54,0.01
CHEMBL1626137,Oc1cccc(CN2CCCCC2)c1,2.38,1.24
CHEMBL1364252,COc1cc(OC)c(OC)cc1CN1CCC(O)CC1.Cl,1.67,0.51
CHEMBL3467491,COc1ccc(C(C)N2CCC(CO)CC2)cc1Cl,3.11,2.00
CHEMBL1369730,CCOC(=O)C1CCCCN1Cc1ccc(C(F)(F)F)cc1,3.62,3.76
CHEMBL3486227,CCc1ccc(CN2CCCC(CO)(CCOC)C2)cc1,2.86,1.37
CHEMBL3742107,CCCCCCOc1ccc(CN2CCC[C@H](C(=O)O)C2)cc1,3.94,1.46
CHEMBL1330136,COc1ccccc1CN1CCCCC1C(=O)O,2.13,-0.44
CHEMBL1463400,CCOC(=O)C1CCCCN1Cc1cccc(F)c1,2.74,3.07
CHEMBL1377579,N#CC(c1ccc(O)cc1)N1CCCCC1,2.44,2.20
CHEMBL599902,Cl.O=C(CCl)Nc1ccc(CN2CCCCC2)cc1,2.85,0.96
CHEMBL1495901,CCOC(=O)C1CCN(Cc2ccc(F)cc2F)CC1,2.74,2.70
CHEMBL1362614,CC(=O)c1cc(CN2CCCCC2)cc(OC(C)C)c1.Cl,3.66,2.63
CHEMBL3455702,CCNC(=O)C1CCN(Cc2ccccc2OCC(F)(F)F)CC1,2.98,1.68
CHEMBL1483568,CCC1CCCCN1Cc1ccc(OC)c(C)c1,3.77,2.02
CHEMBL1465096,CC(C)(C)CC(C)(C)N=C(S)NC1CCN(Cc2ccccc2)CC1,4.74,4.62
CHEMBL1895391,CCCC(CCC)C(=O)NC1CCN(Cc2ccccc2)CC1.Cl,3.98,2.80
CHEMBL1620314,CCN(CC)C(=O)C1CCN(Cc2ccc(Br)cc2)CC1,3.53,2.83
CHEMBL1493924,COc1cccc(CN2CCCCC2C(=O)O)c1,2.13,-0.44
CHEMBL4294491,CCCN(CC1CCN(Cc2ccc(Cl)cc2)CC1)C(C)=O,3.81,2.49
CHEMBL1618493,CC(=O)c1cc(CN2CCCCC2)cc(OC(C)C)c1,3.66,2.63
CHEMBL2104630,CCCCOCCOC(=O)C(c1ccccc1)N1CCCCC1,3.57,3.79
CHEMBL1907018,CCOc1ccc(C=O)cc1CN1CCCCC1,2.88,2.43
CHEMBL4284597,CCCCN(CC1CCN(Cc2ccc(Cl)cc2)CC1)C(C)=O,4.20,2.94
CHEMBL3455710,NC(=O)NC1CCN(Cc2ccccc2OCC(F)(F)F)CC1,2.26,0.82
CHEMBL3482394,CCOc1ccc(Cl)cc1C(C(=O)O)N1CCC(CO)CC1,2.57,-0.61
CHEMBL2137335,CCOc1cc(CN2CCCCC2)ccc1OC,3.08,1.84
CHEMBL1907469,CCCC(CCC)C(=O)NC1CCN(Cc2ccccc2)CC1,3.98,2.80
CHEMBL1577222,Cl.Oc1cccc(CN2CCCCC2)c1,2.38,1.24
CHEMBL3467495,COc1ccc(C(C)N2CCC(OC)CC2)cc1Cl,3.52,2.13
CHEMBL1191718,CCN(CC)C(=O)C1CCCN(Cc2ccc(Cl)cc2)C1,3.42,2.25
CHEMBL50747,N=C(CCCOc1cccc(CN2CCCCC2)c1)NS(N)(=O)=O,1.60,-0.52
CHEMBL285556,CC(C)(C)OC(=O)NCCCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,3.86,1.42
CHEMBL4278696,CCCCCN(CC1CCN(Cc2ccc(Cl)cc2)CC1)C(C)=O,4.59,3.38
CHEMBL1582937,CC1CCCCN1Cc1ccc(N)cc1,2.64,0.16
CHEMBL3470141,NC(=O)c1ccc(CN2CCCC(O)C2)cc1,0.74,-0.51
CHEMBL3456757,CS(=O)(=O)NCC1CCCCN1Cc1ccccc1C#N,1.46,1.15
CHEMBL3464582,CCSCCC(=O)NC1CCN(C(C)c2ccccc2)CC1,3.47,1.25
CHEMBL1499199,CCOC(=O)C1CCCN(Cc2ccccc2OCC)C1,2.86,2.15
CHEMBL3486476,COc1ccc(CN2CCC(O)CC2)c(OC)c1,1.66,0.47
CHEMBL225592,O=Cc1ccc(O)c(CN2CCCCC2)c1O,1.90,1.00
CHEMBL1884776,CCCNC(=O)C1(C)CCCN(Cc2ccc(Cl)cc2)C1,3.47,2.49
CHEMBL1543833,CCCCOc1ccc(CN2CCCCC2)cc1,3.85,2.49
CHEMBL3987011,Cc1ccccc1CN1C[C@@H](O)[C@H](O)[C@@H](CO)C1,0.14,-0.67
CHEMBL1484388,CCN(CC)C(=O)C1CCCN(Cc2ccc(N(C)C)cc2)C1,2.83,0.93
CHEMBL3482387,NC(=O)C1CCN(C(C(=O)O)c2ccc(Cl)c(C(F)(F)F)c2)CC1,2.68,-0.53
CHEMBL1193142,CCN(CC)C(=O)C1CCCN(Cc2cccc(Cl)c2)C1,3.42,2.22
CHEMBL3952179,Nc1ccc(CN2C[C@@H](O)[C@H](O)[C@@H](CO)C2)cc1,-0.59,-1.81
CHEMBL1325511,CC(C)(C)CC(C)(C)c1cc(O)c(O)c(CN2CCCCC2)c1,4.80,3.83
CHEMBL1524136,COC(=O)c1cccc(N)c1CN1CCCCC1,2.04,1.52
CHEMBL2362480,COCCNC(=O)C1(C)CCCN(Cc2ccc(OC)cc2)C1,2.06,0.26
CHEMBL1652418,CCCNC(=S)NC1CCN(Cc2ccccc2)CC1,2.53,1.55
CHEMBL3235205,O=C(/C=N/O)NC1CCN(Cc2ccccc2)CC1,1.23,-0.16
CHEMBL598128,CCCCCCCCCCCCCCCC(=O)NC1CCN(Cc2ccccc2)CC1,7.25,6.25
CHEMBL3233996,COc1ccc(C(C#N)N2CCCCC2)cc1O,2.45,2.05
CHEMBL353792,NCCCOc1cccc(CN2CCCCC2)c1,2.40,-1.91
CHEMBL1195764,c1ccc(CN2CCCCC2)cc1,2.67,0.77
CHEMBL4281185,CCCCCN(CC1CCN(Cc2ccc(Cl)cc2Cl)CC1)C(C)=O,5.24,4.42
CHEMBL1525683,CC(C)(C)c1cc(CN2CCCCC2)cc(C(C)(C)C)c1O,4.97,4.48
CHEMBL1360891,CCOC(=O)C1CCN(Cc2c(F)cccc2Cl)CC1,3.25,3.18
CHEMBL1625324,COc1ccc(C(C)=O)cc1CN1CCCCC1,2.88,1.92
CHEMBL1622978,CC1CCCCN1C(C(=O)O)c1ccccc1,2.69,0.14
CHEMBL1625754,O=C(O)C(c1ccccc1)N1CCCCC1,2.30,-0.28
CHEMBL2219687,O=C(O)c1ccccc1CN1CCCC(C(=O)O)C1,1.68,-4.19
CHEMBL1194396,CCN(CC)C(=O)C1CCCN(Cc2ccc(C(C)(C)C)cc2)C1,4.06,2.42
CHEMBL4302696,Nc1ccc(O)c(CN2CCCCC2)c1,1.96,-0.59
CHEMBL3138841,NC(=O)C1CCN(Cc2ccccc2O)CC1,1.09,-0.97
CHEMBL1550222,COc1cc(CN2CCCC(C)C2)cc([N+](=O)[O-])c1O,2.54,1.40
CHEMBL3476392,CSc1cccc(CN2CCC(CCC(=O)NCCN(C)C)CC2)c1,3.08,0.18
CHEMBL1191301,CCN(CC)C(=O)C1CCCN(Cc2ccccc2)C1,2.77,0.81
CHEMBL1334211,CCOC(=O)C1CCCN(Cc2c(F)cccc2Cl)C1,3.25,3.28
CHEMBL3669167,OC[C@@H]1[C@@H](O)[C@H](O)CCN1Cc1ccc(F)cc1,0.11,-0.22
CHEMBL1897748,CCCNC1(C(N)=O)CCN(Cc2ccccc2)CC1,1.51,-0.53
CHEMBL4109760,CCCCOc1ccc(CN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,0.12,0.15
CHEMBL2106025,CCCCOC(=O)CC(c1ccccc1)N1CCCCC1,3.95,2.49
CHEMBL1877685,CS(=O)(=O)NC1CCN(Cc2ccccc2)CC1,1.20,-0.10
CHEMBL1200189,O=NN(CCCl)C(=O)NC1CCN(Cc2ccccc2)CC1,2.58,0.97
CHEMBL3465748,CN(C)S(=O)(=O)NCC1CCN(Cc2ccccc2F)CC1,1.43,0.50
CHEMBL1429588,CCOC(=O)C1CCN(Cc2ccccc2C(F)(F)F)CC1,3.48,3.15
CHEMBL3669164,Cc1ccccc1CN1CC[C@@H](O)[C@H](O)[C@H]1CO,0.28,-0.59
CHEMBL2355803,COCCNC(=O)C1(C)CCCN(Cc2cc(C)ccc2C)C1,2.67,0.78
CHEMBL1583055,CC1CCCCN1Cc1ccc(N(C)C)cc1,3.13,1.12
CHEMBL1409889,CCOC(=O)C1CCCN(Cc2ccc(OC)cc2OC)C1,2.48,1.84
CHEMBL165512,Oc1c(Cl)cc(Cl)c(Cl)c1CN1CCCCC1,4.34,2.96
CHEMBL3321877,COc1ccc(CN2CCCCC2)cc1OC(=O)N(C)C,2.74,1.43
CHEMBL3467496,CCC(=O)NC1CCCN(Cc2ccc(NC(C)=O)cc2)C1,2.14,0.77
CHEMBL3455701,NC(=O)CC1CCN(Cc2ccccc2OCC(F)(F)F)CC1,2.72,1.39
CHEMBL3409697,C=CCc1cc(O)c(O)c(CN2CCC(CO)CC2)c1,2.03,0.92
CHEMBL3739759,CCCCCCOc1ccc(CN2CCC(C(=O)O)CC2)cc1,3.94,1.30
CHEMBL3409567,C=CCc1cc(O)c(O)c(CN2CCC(C)CC2)c1,3.06,1.94
CHEMBL3321891,COc1cc(CN2CCCCC2)ccc1O,2.39,1.32
CHEMBL1483351,CC(=O)c1ccc(OC(C)C)c(CN2CCCCC2)c1.Cl,3.66,2.74
CHEMBL542377,Br.CCN(CC)C(=O)C1CCCN(Cc2ccccc2)C1,2.77,0.81
CHEMBL340688,CCN(CC)CCCOc1ccc(CN2CCCCC2)cc1,3.78,-0.42
CHEMBL3480447,CS(=O)(=O)NCCC1CCCN(Cc2ccccc2F)C1,1.98,0.93
CHEMBL1794966,O=C(O)/C=C\C(=O)O.O=NN(CCCl)C(=O)NC1CCN(Cc2ccccc2)CC1,2.58,0.97
CHEMBL78519,CCCCNC(=O)NCCCOc1cccc(CN2CCCCC2)c1,3.54,1.54
CHEMBL3397618,CC(C)NC(=O)C1CCN(Cc2ccccc2)CC1,2.42,0.69
CHEMBL2008138,SC1CCCN(Cc2ccccc2)C1,2.58,1.16
CHEMBL4281986,CCCN(CC1CCN(Cc2ccccc2)CC1)C(C)=O,3.16,0.99
CHEMBL2356731,CC(C)NC(=O)C1(C)CCCCN1Cc1cccc(C(F)(F)F)c1,3.97,3.85
CHEMBL1325282,CC(C)NC1(C(N)=O)CCN(Cc2ccccc2)CC1,1.50,-0.56
CHEMBL3485028,COCCOC1CCN(C(C(=O)O)c2c(Cl)cccc2OC)CC1,2.60,-0.83
CHEMBL1425874,CCC(C)[C@H](NC(=O)NC1CCN(Cc2ccccc2)CC1)C(=O)OC,2.54,1.22
CHEMBL1732633,CCOC(=O)C1CCN(Cc2ccc(F)cc2)CC1,2.60,2.28
CHEMBL3464581,CCOCCCC(=O)NC1CCN(C(C)c2ccccc2)CC1,3.14,0.65
CHEMBL2357796,CCCNC(=O)C1(C)CCCN(Cc2ccccc2Cl)C1,3.47,2.47
CHEMBL1199833,O=NN(CCCl)C(=O)NC1CCCN(Cc2ccccc2)C1,2.58,1.92
CHEMBL1619201,CN(C)c1ccc(CN2CCC(C(N)=O)CC2)cc1,1.45,-0.27
CHEMBL1734485,CC1CCN(C(C(=O)O)c2ccccc2)CC1.Cl,2.54,0.01
CHEMBL3188585,CCOC(=O)C1(CCOC)CCN(Cc2ccc(O)c(Cl)c2)CC1,3.23,2.67
CHEMBL1451407,CCOC(=O)C1CCN(Cc2cccc(OC)c2)CC1,2.47,1.78
CHEMBL348895,FC(F)(F)CNCCCOc1cccc(CN2CCCCC2)c1,3.59,1.90
CHEMBL3321876,COc1cccc(CN2CCCCC2)c1OC(=O)N(C)C,2.74,1.87
CHEMBL4285685,CCCCN(CC1CCN(Cc2ccc(Cl)cc2Cl)CC1)C(C)=O,4.85,3.98
CHEMBL1587884,CCOC(=O)C1CCN(Cc2ccc(O)c(OC)c2)CC1,2.18,1.68
CHEMBL1616838,COc1cc(OC)c(OC)cc1CN1CCC(O)CC1,1.67,0.51
CHEMBL3397617,CCCCCC(C)NC(=O)C1CCN(Cc2ccc(Cl)cc2Cl)CC1,5.29,5.06
CHEMBL2360040,CCCNC(=O)C1(C)CCCN(Cc2ccccc2N(C)C)C1,2.88,1.17
CHEMBL2110892,CCN(CC)CCOC(=O)C(c1ccccc1)N1CCCCC1,3.10,1.65
CHEMBL343430,OCCCOc1cccc(CN2CCCCC2)c1,2.43,0.62
CHEMBL170054,N#CNC(=N)CCCOc1cccc(CN2CCCCC2)c1,2.88,0.75
CHEMBL3474730,COCCNC(=O)CCC1CCN(Cc2cccc(SC)c2)CC1,3.16,1.25
CHEMBL3476459,COCCC1(CO)CCCN(Cc2cc(C(F)(F)F)ccc2F)C1,3.46,2.76
CHEMBL1419833,CCOC(=O)C1CCCCN1Cc1cccc(OC)c1OC,2.62,2.62
CHEMBL158174,Cc1ccccc1CN1CCC(C)CC1,3.23,1.30
CHEMBL1426916,CCOC(=O)C1CCCN(Cc2cc(OC)c(O)c(OC)c2)C1,2.18,1.61
CHEMBL4108654,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1Cc1ccc(OC(F)(F)F)cc1,-0.16,0.44
CHEMBL1503267,CCOC(=O)C1CCCN(Cc2ccccc2F)C1,2.60,2.30
CHEMBL1083177,CCCCCCCCCCCCCCC(c1cccc(OC(=O)N(C)C)c1)N1CCCCC1,8.37,6.84
CHEMBL1484924,CCOC(=O)C1CCCCN1Cc1ccccc1C(F)(F)F,3.62,3.82
CHEMBL3235210,N#C/C(=N\O)C(=O)NCC1CCN(Cc2ccccc2)CC1,1.37,0.40
