chemblID,smiles,ALogP,LogD
CHEMBL1624620,CCOc1ccccc1CN1CCN(S(=O)(=O)CC)CC1,1.55,1.18
CHEMBL3216415,CCCCCCCOc1c(O)cc(CN2CCN(CCO)CC2)cc1O.Cl.Cl,2.56,2.60
CHEMBL1620904,CCOc1cc(CN2CCN(C(=O)CC(C)C)CC2)ccc1OC,2.78,2.43
CHEMBL1193607,CCOP(=O)(OCC)C(c1cc(OC)c(O)c(OC)c1)N1CCN(C)CC1,2.92,1.67
CHEMBL1194008,Cc1ccc(C(C#N)N2CCN(C)CC2)cc1,1.81,1.78
CHEMBL1622127,CCS(=O)(=O)N1CCN(Cc2ccccc2OC)CC1,1.16,0.82
CHEMBL1557475,CCCS(=O)(=O)N1CCN(Cc2ccccc2C(F)(F)F)CC1.O=C(O)C(=O)O,2.56,2.39
CHEMBL1583239,CC(C)CC(=O)N1CCN(Cc2cccc([N+](=O)[O-])c2)CC1,2.29,2.35
CHEMBL3496045,COCCN1CCN(Cc2cccc(OCC(N)=O)c2)CC1C,0.70,-0.04
CHEMBL80035,C[C@@](O)(C(=O)N1CCN(Cc2ccccc2)CC1)C(F)(F)F,1.64,1.69
CHEMBL1400101,COc1ccc(CN2CCN(C(=O)CC(C)C)CC2)cc1Br,3.15,3.03
CHEMBL3218883,COc1ccc(CN2CCN(CC=C(C)C)[C@@H](CCO)C2)cc1,2.53,1.71
CHEMBL1607668,CN(C)S(=O)(=O)N1CCN(Cc2ccccc2)CC1,0.61,0.45
CHEMBL199071,CCN(CC)CC(c1c(F)cccc1F)N1CCN(C)CC1,2.60,1.74
CHEMBL1624071,CC(c1ccccc1)N1CCN(C(=O)CCl)CC1,2.13,1.88
CHEMBL1624626,CCOC(=O)N1CCN(Cc2ccc(F)cc2F)CC1,2.24,2.25
CHEMBL3975483,COc1ccc(CN2CCN(C(=O)OC(C(F)(F)F)C(F)(F)F)CC2)cc1,3.44,3.37
CHEMBL166024,CN1CCN(Cc2cc(C(C)(C)C)cc(Cl)c2O)CC1,3.09,2.84
CHEMBL1192191,CN1CCN(C(C#N)c2c(F)cccc2Cl)CC1,2.29,2.12
CHEMBL1740116,FC(F)(F)c1ccc(CN2CCNCC2)cc1,2.11,0.43
CHEMBL1191357,CCOP(=O)(OCC)C(c1ccc(O)c(OC)c1)N1CCN(C)CC1,2.91,1.86
CHEMBL198320,CCN(CC)CC(c1ccccc1Cl)N1CCN(C)CC1,2.97,1.50
CHEMBL1483943,CCCCNC(=O)N1CCN(Cc2ccc(F)cc2)CC1,2.45,2.32
CHEMBL144726,CN1CCN(Cc2ccc(F)cc2)CC1,1.57,1.37
CHEMBL1453477,COC(=O)[C@H](CCSC)NC(=O)N1CCN(Cc2ccccc2)CC1,1.81,1.58
CHEMBL1190052,CCOP(=O)(OCC)C(c1ccc(O)cc1)N1CCN(C)CC1,2.90,2.04
CHEMBL1625202,CCCS(=O)(=O)N1CCN(Cc2ccccc2[N+](=O)[O-])CC1,1.45,1.45
CHEMBL544102,CN1CCN(C(C#N)c2ccc(F)cc2)CC1.Cl,1.64,1.43
CHEMBL1624331,Clc1ccccc1CN1CCNCC1,1.75,0.18
CHEMBL1624095,CCCS(=O)(=O)N1CCN(Cc2ccccc2C(F)(F)F)CC1,2.56,2.39
CHEMBL1321522,COc1cc(CN2CCN(C(=O)CC(C)C)CC2)c([N+](=O)[O-])cc1OC,2.30,2.04
CHEMBL1189644,CC(C)Oc1cc(CN2CCN(CCO)CC2)cc(OC(C)C)c1O,2.08,1.63
CHEMBL1582912,COc1ccc(CN2CCN(C(=O)CC(C)C)CC2)cc1OC,2.39,2.08
