chemblID,smiles,ALogP,LogD
CHEMBL3814270,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,3.59,3.73
CHEMBL4083524,CCCNc1nc(NCc2ccc(OC)c(OC)c2)c2ccccc2n1,4.08,3.86
CHEMBL1722363,COc1ccc(CNc2ncnc3cc(OC)c(OC)cc23)cc1OC,3.28,2.58
CHEMBL1518432,COc1cc2ncnc(NCc3ccccc3C)c2cc1OC,3.57,3.41
CHEMBL3680400,CNCC(Nc1ncnc2c(C(N)=O)cc(OCCN(C)C)cc12)c1cccc(F)c1,2.18,-1.54
CHEMBL3675364,CC(C)(C)OC(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,3.69,2.98
CHEMBL3675473,CCNC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,2.49,-0.01
CHEMBL3670458,[N-]=[N+]=NC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,3.19,2.14
CHEMBL1626070,OCCNc1nc(NCc2ccccc2)c2ccccc2n1,2.65,2.61
CHEMBL1203938,COc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OC.Cl,3.40,3.04
CHEMBL3675344,NC(=O)c1cccc2c(NCc3cccc(C(F)(F)F)c3)ncnc12,3.36,2.95
CHEMBL1714813,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC,3.82,3.31
CHEMBL3670441,NC(=O)c1cccc2c(N[C@@H](CO)c3ccccc3)ncnc12,1.87,1.44
CHEMBL3675407,CNC[C@@H](Nc1ncnc2c(C(N)=O)cc(OC)cc12)c1cccc(F)c1,2.25,-0.22
CHEMBL3670431,NC(=O)c1cccc2c(NCc3ccccc3Br)ncnc12,3.10,2.84
CHEMBL102726,c1ccc(CNc2ncnc3ccccc23)cc1,3.24,3.22
CHEMBL3472436,COCCN(Cc1ccccc1Cl)c1nc(CCN)nc2ccccc12,3.44,2.22
CHEMBL1928498,CSc1nc(NCc2ccccc2)c2ccccc2n1,3.96,4.52
CHEMBL1386027,COc1cccc(CNc2nc(C(F)(F)F)nc3ccccc23)c1,4.27,4.72
CHEMBL1374312,COc1cc2nc(S)nc(NCc3cccc(Cl)c3)c2cc1OC,4.20,4.27
CHEMBL3357256,Nc1nc(NCc2ccc(F)cc2)c2ccccc2n1,2.96,3.10
CHEMBL418173,C[C@@H](Nc1nc(C(F)(F)F)nc2ccccc12)c1ccccc1,4.82,5.33
CHEMBL126177,COc1cc2c(NCc3cccc(Cl)c3)ncnc2c(OC)c1OC,3.92,3.35
CHEMBL3675355,NC(=O)c1cccc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,3.36,2.95
CHEMBL3680602,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)CC(F)(F)F)c1,3.79,2.74
CHEMBL233045,CCN(CC)CCCC(C)Nc1nc(NCc2ccc(Cl)cc2Cl)c2ccccc2n1,6.47,3.41
CHEMBL577414,CCCCN(C)C(=O)CSc1nc(NCc2ccccc2)c2ccccc2n1,4.59,4.65
CHEMBL3670462,COCCCNC(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,2.50,1.21
CHEMBL488077,CCC(=O)Nc1cc2c(NCc3ccc(OC)c(Cl)c3)ncnc2c(CCO)c1OC.Cl,3.80,2.96
CHEMBL3813971,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,3.13,3.47
CHEMBL2391504,Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1,3.52,3.50
CHEMBL3675360,NC(=O)c1cccc2c(NCc3ccc(N)cc3)ncnc12,1.92,1.24
CHEMBL248675,CC(C)(C)c1ccc(CNc2ncnc3ccccc23)cc1,4.54,4.76
CHEMBL3675440,CN(CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc([N+](=O)[O-])c1)C(=O)OC(C)(C)C,3.66,2.99
CHEMBL3675373,NC(=O)c1cc([N+](=O)[O-])cc2c(NCc3cccc(C(F)(F)F)c3)ncnc12,3.27,2.89
CHEMBL116919,COc1ccc(CNc2ncnc3ccccc23)cc1,3.25,3.06
CHEMBL422424,CC(c1ccccc1)N(C)c1ncnc2ccccc12,3.83,4.27
CHEMBL4060687,COc1ccc(CNc2nc(NC(N)=O)nc3ccccc23)cc1OC,2.75,2.48
CHEMBL3670427,NC(=O)c1cccc2c(NCc3cc(F)cc(F)c3)ncnc12,2.62,2.35
CHEMBL1561261,COc1cc2ncnc(NCc3ccccc3Cl)c2cc1OC,3.91,3.50
CHEMBL3675414,CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Br)c1,3.21,1.81
CHEMBL1550435,Cc1ccccc1CNc1ncnc2cc(Cl)ccc12,4.20,4.33
CHEMBL3670455,NC(=O)c1cc(N)cc2c(NCc3ccccc3)ncnc12,1.92,1.24
CHEMBL3680435,C=[N+]([O-])c1cccc(C(COC)Nc2ncnc3c(C(N)=O)cccc23)c1,2.37,0.14
CHEMBL374810,COc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OC,3.40,3.04
CHEMBL1389279,COc1ccc(CNc2ncnc3cc(Cl)ccc23)cc1OC,3.91,3.51
CHEMBL596489,CCOC(=O)Nc1cc2c(NCc3ccc(OC)c(Cl)c3)ncnc2c(CCO)c1OC,4.02,3.24
CHEMBL1444764,Cl.c1ccc(CNc2ncnc3ccccc23)cc1,3.24,3.22
CHEMBL3670482,COc1cc(C(N)=O)c2ncnc(NCc3ccc(Cl)c(C(F)(F)F)c3)c2c1,4.02,3.39
CHEMBL125373,COc1cc(OC)c(CNc2ncnc3c(OC)c(OC)c(OC)cc23)c(OC)c1,3.29,2.27
CHEMBL3680463,CC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,3.29,3.01
CHEMBL524871,COc1ccc(CNc2ncnc3cc(N(C)C)c([N+](=O)[O-])cc23)cc1Cl,3.88,3.69
CHEMBL1434337,Sc1nc(NCc2cccc(Cl)c2)c2ccccc2n1,4.18,4.59
CHEMBL117988,Nc1cccc2c(NCc3ccccc3)ncnc12,2.82,2.39
CHEMBL390283,CCOc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCC,4.18,3.75
CHEMBL119000,O=[N+]([O-])c1ccc2ncnc(NCc3ccccc3)c2c1,3.15,3.16
CHEMBL3675350,NC(=O)c1cccc2c(NCc3ccccc3Cl)ncnc12,2.99,2.67
CHEMBL3670419,NC(=O)c1cccc2c(NCc3cccc(Br)c3)ncnc12,3.10,2.84
CHEMBL3357263,OCCN(CCO)c1nc(NCc2ccc(F)cc2)c2ccccc2n1,2.17,2.72
CHEMBL3670494,COc1cc(C(N)=O)c2ncnc(NCc3ccc(Cl)c(Cl)c3)c2c1,3.66,3.12
CHEMBL604271,CCC(=O)N(C)c1cc2c(NCc3ccc(OC)c(Cl)c3)ncnc2c(CCO)c1OC,3.82,2.83
CHEMBL3357258,CN(C)c1nc(NCc2ccc(F)cc2)c2ccccc2n1,3.45,4.09
CHEMBL3675405,CNCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Cl)c1,2.75,0.38
CHEMBL3675329,COc1ccccc1C(CN)Nc1ncnc2c(C(N)=O)cccc12,1.85,-0.67
CHEMBL3675365,NC(=O)c1cccc2c(NCc3ccc(Cl)c(C(F)(F)F)c3)ncnc12,4.01,3.55
