chemblID,smiles,ALogP,LogD
CHEMBL1333993,CCCOc1ccc(Cc2c(Cl)nc(SC)nc2N(C)C)cc1,4.30,5.70
CHEMBL530491,CCCc1cc(Cc2cnc(N)nc2N)ccc1OCCCCCC(=O)O,3.21,1.78
CHEMBL122351,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N,0.83,0.42
CHEMBL150700,COc1cc(Cc2c(N)nc(N)nc2OC)cc(OC)c1OC,1.27,1.61
CHEMBL36310,COc1ccc(OCCCCCCC(=O)O)cc1Cc1cnc(N)nc1N,2.65,0.67
CHEMBL277391,COc1ccc(Cc2cnc(N)nc2N)cc1C(F)(F)F,2.26,2.29
CHEMBL1477827,Cc1nc(N)nc(C)c1Cc1ccccc1,2.27,2.25
CHEMBL1328754,Cc1ccc(C)c(Cc2c(C)nc(C)nc2O)c1,3.01,4.18
CHEMBL339510,Oc1ncc(Cc2cc(F)cc(F)c2)c(O)n1,1.76,3.09
CHEMBL535547,C=CCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.Cl,1.81,1.83
CHEMBL492787,COc1cc(C(C)C)c(C(O)c2cnc(N)nc2N)cc1OC,1.86,1.46
CHEMBL31887,COc1cc(Cc2cnc(N)nc2N)cc(OCCCC(=O)O)c1Br,2.25,0.08
CHEMBL23384,Cc1cc(Cc2cnc(N)nc2N)cc(C(C)(C)C)c1O,2.54,3.32
CHEMBL78648,CCCCCCCCOc1ccc(OC)c(Cc2cnc(N)nc2N)c1,3.98,4.36
CHEMBL19383,CN(C)c1ccc(Cc2cnc(N)nc2N)cc1,1.30,1.67
CHEMBL1181,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,0.95,0.95
CHEMBL1428715,Cc1nc(S)nc(O)c1Cc1ccc(OCC(C)C)cc1,3.40,4.41
CHEMBL32793,CCCCOc1ccc(Cc2cnc(N)nc2N)cc1,2.41,2.73
CHEMBL581765,CCCCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,2.59,3.10
