chemblID,smiles,ALogP,LogD
CHEMBL3989661,CCOC(=O)c1cncn1C(C)c1ccc(F)cc1,2.81,2.64
CHEMBL1191229,C/C(=C\c1cccc(Cn2ccnc2)c1)C(=O)O,2.42,0.57
CHEMBL1624850,COc1ccc(C=O)cc1Cn1ccnc1C,2.06,1.34
CHEMBL1852258,CCCCCCc1cnc(N)n1Cc1ccccc1,3.64,3.17
CHEMBL1194093,O=C(O)/C=C/c1ccccc1Cn1ccnc1,2.03,0.18
CHEMBL1852315,CC(C)Cc1cnc(N)n1Cc1ccccc1,2.71,2.13
CHEMBL1191446,O=C(O)CCCc1ccc(Cn2ccnc2)cc1,2.34,0.57
CHEMBL180399,CCC(c1ccc(C(F)(F)F)c(F)c1)n1c(S)nc(C(=O)OC)c1C(=O)OC,3.90,4.09
CHEMBL282594,CCCCc1nc(Cl)c(CC(=O)OC)n1Cc1ccc(N)cc1,3.23,3.21
CHEMBL360073,CC[C@@H](c1ccc(F)c(F)c1)n1c(S)nc(C(=O)OC)c1C(=O)OC,3.02,3.43
CHEMBL314592,NC(=O)C(c1ccccc1)n1ccnc1S,1.25,1.36
CHEMBL3105382,CC[C@H](C)[C@H](NC(=O)c1cccc(Cn2ccnc2)c1)C(=O)NNC(=O)OC(C)(C)C,2.63,2.50
CHEMBL25694,CCCCc1nc(CC(=O)O)c(Cl)n1Cc1ccc(C(=O)O)cc1,3.25,-2.64
CHEMBL1872623,CC(C)c1ncc(CO)n1Cc1c(Cl)cccc1Cl,3.85,3.50
CHEMBL1197312,COc1cc(Cn2cncc2C(=O)O)cc(OC)c1OC,1.66,-0.66
CHEMBL351275,NCc1nccn1Cc1ccc(O)cc1,1.10,0.10
CHEMBL274814,OCc1cn(C(CO)c2ccccc2)cn1,0.96,0.48
CHEMBL3105385,CCCCCS(=O)(=O)NNC(=O)[C@@H](NC(=O)c1cccc(Cn2ccnc2)c1)[C@@H](C)CC,2.22,2.24
CHEMBL94705,OCc1ccc(Cn2ccnc2S)cc1,1.71,1.71
CHEMBL1622288,COc1ccc(C=O)cc1Cn1ccnc1,1.75,1.32
CHEMBL482810,CC(c1ccccc1)n1cncc1C=O,2.30,1.85
CHEMBL261039,CCOC(=O)c1cncn1[C@H](C)c1ccc(I)cc1,3.27,3.43
CHEMBL24952,CCCCc1nc(Cl)c(CC(=O)O)n1Cc1ccccc1[N+](=O)[O-],3.46,0.54
CHEMBL359602,CCC(c1ccc(Cl)c(Cl)c1)n1c(S)nc(C)c1C(=O)OC,4.57,4.39
CHEMBL1984209,NC(=O)c1ncn(Cc2ccccc2)c1CNC(N)=S,0.36,0.46
CHEMBL1096161,CCO/C=N/c1c(C#N)ncn1Cc1ccccc1,2.50,2.52
CHEMBL360271,CCC(c1ccc(Cl)c(Cl)c1)n1c(C#N)cnc1S,4.35,3.96
CHEMBL3957229,CNC(=O)c1nc([N+](=O)[O-])cn1Cc1ccc(OC(F)(F)F)cc1,2.10,3.22
CHEMBL1484987,CCCCCOc1ccc(Cn2ccnc2)cc1[N+](=O)[O-].Cl,3.41,3.32
CHEMBL180147,CCCCNC(=O)c1cnc(S)n1C(CC)c1ccc(F)c(F)c1,3.98,3.84
CHEMBL361137,COC(=O)c1cnc(S)n1C(C)c1ccc(Cl)c(Cl)c1,3.87,3.64
CHEMBL13784,O=[N+]([O-])c1ccc(Cn2ccnc2)cc1,1.84,1.71
CHEMBL3485419,COCCS(=O)(=O)c1ncc(CN(C)CC(C)C)n1Cc1ccccc1,2.44,2.49
CHEMBL587243,Cc1nccn1Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.54,4.57
CHEMBL158058,Cc1cn(Cc2ccccc2)c(O)n1,1.95,2.31
CHEMBL165087,O=C(O)c1nccn1Cc1ccc(O)cc1,1.34,-1.91
CHEMBL598390,Fc1cccc(Cn2ccnc2)c1,2.07,1.91
CHEMBL22965,CNC(=O)OCc1nc(SC)n(Cc2ccccc2)c1COC(=O)NC,2.37,2.24
CHEMBL14106,NC(=O)c1cn(C(CO)c2ccccc2)cn1,0.56,0.41
CHEMBL39345,CCCCc1ncc(CC(=O)O)n1Cc1ccccc1Cl,3.55,1.63
CHEMBL126500,CCCCc1ncc(/C=C\C(=O)O)n1Cc1ccccc1Cl,4.03,2.14
CHEMBL1573228,COc1ccc(Cn2cc([N+](=O)[O-])nc2C)cc1[N+](=O)[O-],2.06,2.24
CHEMBL13697,COC(=O)c1cn(C(CO)c2ccccc2)cn1,1.25,1.36
CHEMBL3787067,OCc1cncn1Cc1ccccc1,1.42,0.94
CHEMBL261771,COC(=O)c1cncn1[C@H](C)c1cccc(I)c1,2.88,3.07
CHEMBL542300,C/C(=C\c1cccc(Cn2ccnc2)c1)C(=O)O.Cl,2.42,0.57
CHEMBL599222,COC(=O)OCc1cncn1Cc1ccc(C#N)cc1,2.09,1.86
CHEMBL483019,C[C@H](c1ccccc1)n1cncc1C(=O)N=[N+]=[N-],2.94,1.52
CHEMBL1309438,CC(C)(C)NC(=O)CSc1nccn1Cc1ccccc1,2.94,2.75
CHEMBL1506761,COC(=O)c1cncn1C(C)c1ccccc1.Cl,2.28,2.14
CHEMBL162496,Cc1cncn1Cc1ccc(C#N)cc1,2.11,1.75
CHEMBL1477218,O=C(O)c1ncn(Cc2ccc(Br)cc2)c1C(=O)O,2.09,-3.81
CHEMBL183447,CCC(c1ccc(F)c(F)c1)n1c(C(=O)NC)cnc1S,2.81,2.41
CHEMBL338423,CCCCc1ncc(/C=C(\C)C(=O)O)n1Cc1ccccc1Cl,4.42,2.52
CHEMBL259660,COC(=O)c1cncn1[C@H](C)c1ccc(C)cc1,2.59,2.66
CHEMBL22254,CSc1nc(COC(=O)NC(C)C)c(COC(=O)NC(C)C)n1Cc1ccccc1,3.92,3.79
CHEMBL296325,CC(C)(C)c1ncc(CC(N)C(=O)O)n1Cc1ccccc1,2.18,0.23
CHEMBL1589085,COc1ccc(Cn2cnc([N+](=O)[O-])c2)cc1[N+](=O)[O-],1.76,2.12
CHEMBL3947931,CCOC(=O)c1nc([N+](=O)[O-])cn1Cc1ccc(OC(F)(F)F)cc1,2.91,4.31
CHEMBL1702842,Cc1ccc(Cn2c([N+](=O)[O-])cnc2C)cc1,2.46,2.47
CHEMBL3468770,CC(C)COC(C)C(=O)NCc1ccccc1Cn1ccnc1,2.61,2.35
CHEMBL1303990,Cc1ncc([N+](=O)[O-])n1Cc1ccc(Br)cc1,2.91,2.72
CHEMBL3956589,NNC(=O)c1nc([N+](=O)[O-])cn1Cc1ccc(OC(F)(F)F)cc1,1.34,2.70
CHEMBL1617789,CC(C)c1nccn1Cc1ccc(Cl)cc1Cl,4.36,4.29
CHEMBL78345,CCCCc1ncc(CNCC(=O)O)n1Cc1ccc(C(=O)O)cc1,2.15,-3.40
CHEMBL359844,COC(=O)c1cnc(S)n1C(C)(C)c1ccc(Cl)c(Cl)c1,4.05,3.96
CHEMBL291114,CCCCc1ncc(/C=C/C(=O)O)n1Cc1ccccc1Cl,4.03,2.14
