chemblID,smiles,ALogP,LogD
CHEMBL1524570,CCC(=O)NCCc1nc2ccccc2n1Cc1ccccc1,3.15,3.16
CHEMBL3770720,COc1ccc(Cn2c(C)nc3ccccc32)cc1,3.40,3.16
CHEMBL43006,Oc1ccc(Cl)cc1Cn1c(O)nc2cc(Br)ccc21,3.91,4.25
CHEMBL1828696,CCC(C)[C@H](N)c1nc2cc(C(F)(F)F)ccc2n1Cc1cccc(C)c1,5.46,4.83
CHEMBL229776,CNC(=S)Nc1ccc2c(c1)nc(C)n2Cc1ccccc1,3.31,3.33
CHEMBL1828689,COc1cccc(Cn2c([C@@H](N)CC(C)C)nc3cc(C(F)(F)F)ccc32)c1,5.16,4.15
CHEMBL1828915,CC(C)[C@@H](N)c1nc2ccccc2n1Cc1cccc(Cl)c1,4.39,3.59
CHEMBL23032,Cc1ccc(Cn2c(Cl)nc3cc(Cl)c(Cl)cc32)cc1,5.35,5.84
CHEMBL280131,FC(F)(F)c1cc(Cn2c(Cl)nc3cc(Cl)c(Cl)cc32)cc(C(F)(F)F)c1,7.08,7.09
CHEMBL587795,COc1ccc2c(c1)nc(CNC(=N)N)n2Cc1ccc(Cl)cc1,2.73,0.11
CHEMBL42234,Oc1ccc(Cl)cc1Cn1c(O)nc2cc(Cl)cc(Cl)c21,4.46,4.69
CHEMBL393123,O=[N+]([O-])c1ccc(Cn2c(CC(F)(F)F)nc3cc(Cl)c(Cl)cc32)cc1,5.40,5.54
CHEMBL1537587,COc1ccc(Cn2cnc3c(NS(C)(=O)=O)c(C)c(C)cc32)cc1,3.08,2.01
CHEMBL1828913,CC(C)(N)c1nc2ccccc2n1Cc1cccc(F)c1,3.42,2.57
CHEMBL1459064,COCC(=O)NCc1nc2ccccc2n1Cc1ccccc1F,2.49,2.19
CHEMBL43260,Oc1ccccc1Cn1c(O)nc2cc(C(F)(F)F)ccc21,3.51,4.10
CHEMBL163823,CS(=O)(=O)Nc1cccc(Cn2cnc3ccccc32)c1,2.46,1.58
CHEMBL233116,O=[N+]([O-])c1cccc(Cn2c(CC(F)(F)F)nc3cc(Cl)c(Cl)cc32)c1,5.40,5.54
CHEMBL116497,Cc1nc2cc(C(=O)NCCC(=O)O)ccc2n1Cc1ccc(C(=N)N)cc1,1.88,-0.61
CHEMBL277516,CC(C)(CC(=O)O)Cc1nc2cc(F)ccc2n1Cc1ccc(Br)cc1F,5.17,2.25
CHEMBL69475,CCCCc1nc2ccccc2n1Cc1cc(Br)c(O)c(Br)c1,5.66,5.63
CHEMBL1828676,CCC[C@H](N)c1nc2ccccc2n1Cc1ccc(Cl)cc1,4.54,3.74
CHEMBL1308830,ClCc1nc2ccccc2n1Cc1ccccc1,3.82,3.87
CHEMBL17719,CCC(C)(CC(=O)O)Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,5.17,2.43
CHEMBL22995,Nc1nc2cc(Cl)c(Cl)cc2n1Cc1ccc(Cl)c(Cl)c1,5.28,5.16
CHEMBL3648269,CC(C)Cc1nc2cc(/C=C/C(=O)NO)ccc2n1Cc1ccccc1,3.80,4.11
CHEMBL17941,CC(C)(CC(=O)O)Cc1nc2ccccc2n1Cc1ccc([N+](=O)[O-])cc1,4.04,1.14
CHEMBL2270746,Nc1nc2ccccc2n1Cc1cccc(F)c1,2.81,2.82
CHEMBL1305701,COCc1nc2ccccc2n1Cc1ccccc1Br,3.99,3.93
CHEMBL1328035,Cc1ccccc1Cn1cnc2ccccc21,3.39,3.72
CHEMBL231678,FC(F)(F)Cc1nc2cc(Cl)c(Cl)cc2n1Cc1ccccc1C(F)(F)F,6.52,6.48
CHEMBL1428763,Cc1ccc(Cn2cnc3ccccc32)cc1,3.39,3.72
CHEMBL341387,Cc1cccc2c1nc(CO)n2Cc1c(F)cccc1F,3.16,3.31
