chemblID,smiles,ALogP,LogD
CHEMBL117417,Nc1nc(O)c2ncn(Cc3cccc(CSCP(=O)(O)O)c3)c2n1,1.53,-1.25
CHEMBL476994,CCC(Oc1nc(N)c2ncn(Cc3c(F)ccc(C)c3F)c2n1)C(F)(F)C(F)(F)F,4.40,5.33
CHEMBL6387,CCCNc1ncnc2c1ncn2Cc1ccccc1F,2.84,2.74
CHEMBL299894,CC(c1cccc(N)c1)n1c(Br)nc2c(N(C)C)ncnc21,2.85,3.01
CHEMBL301081,Cc1ccc(Cn2cnc3c(N(C)C)nc(C(F)(F)F)nc32)c(C)c1,3.58,5.06
CHEMBL7059,CC(C)Nc1ncnc2c1ncn2Cc1ccccc1F,2.83,2.63
CHEMBL19630,C=C(OCC)c1nc(Cl)nc2c1ncn2Cc1ccccc1,3.54,3.40
CHEMBL38603,CC(=O)Nc1nc2c(N(C)C)nc(C(F)(F)F)nc2n1Cc1ccc(C)cc1,3.23,4.59
CHEMBL41662,Cc1ccc(Cn2c(O)nc3c(N(C)C)nc(C(F)(F)F)nc32)cc1,2.97,5.00
CHEMBL4065609,COc1ccc(Cn2cnc3c(Cl)nc(Cl)nc32)cc1,3.19,3.23
CHEMBL1191510,CCCCNc1ncnc2c1ncn2Cc1ccccc1F,3.23,3.19
CHEMBL60841,Cc1nc2c(N(C)C)ncnc2n1Cc1ccccc1,2.25,2.48
CHEMBL1728030,O=C(O)c1ccc(Cn2cnc3c(S)ncnc32)cc1,1.86,-1.25
CHEMBL50420,COc1cc(C)ccc1Cn1cnc2c(N(C)C)nc(C(F)(F)F)nc21,3.28,4.36
CHEMBL576298,COc1cccc(Cn2cnc3c(Cl)ncnc32)c1,2.54,2.32
CHEMBL269046,CNc1ncnc2c1ncn2Cc1c(F)cccc1Cl,2.71,2.47
CHEMBL1984682,COc1nc(C)nc2c1ncn2Cc1ccccc1,2.19,2.60
CHEMBL355946,Cc1ccc(Cn2c(O)nc3c(N)ncnc32)cc1,1.47,2.31
CHEMBL52005,COc1cccc(Cn2cnc3c(N(C)C)nc(C(F)(F)F)nc32)c1,2.97,3.86
CHEMBL46436,CN(C)c1cc(Cl)ccc1Cn1cnc2c(N(C)C)nc(C(F)(F)F)nc21,3.68,4.83
